rank,score
1,0.658
2,0.654
3,0.653
4,0.65
5,0.648
6,0.648
7,0.647
8,0.647
9,0.646
10,0.646
11,0.645
12,0.644
13,0.644
14,0.644
15,0.644
16,0.644
17,0.642
18,0.641
19,0.641
20,0.641
21,0.639
22,0.638
23,0.638
24,0.638
25,0.637
26,0.637
27,0.637
28,0.636
29,0.636
30,0.636
31,0.636
32,0.635
33,0.635
34,0.635
35,0.635
36,0.634
37,0.634
38,0.633
39,0.633
40,0.633
41,0.633
42,0.632
43,0.632
44,0.632
45,0.632
46,0.632
47,0.63
48,0.63
49,0.63
50,0.63
51,0.629
52,0.629
53,0.629
54,0.629
55,0.629
56,0.629
57,0.628
58,0.628
59,0.628
60,0.628
61,0.627
62,0.626
63,0.626
64,0.626
65,0.626
66,0.626
67,0.626
68,0.625
69,0.625
70,0.625
71,0.625
72,0.625
73,0.624
74,0.624
75,0.624
76,0.624
77,0.624
78,0.624
79,0.624
80,0.624
81,0.624
82,0.623
83,0.623
84,0.623
85,0.623
86,0.623
87,0.623
88,0.623
89,0.622
90,0.622
91,0.622
92,0.622
93,0.622
94,0.622
95,0.621
96,0.621
97,0.621
98,0.621
99,0.621
100,0.621
101,0.621
102,0.62
103,0.62
104,0.619
105,0.619
106,0.619
107,0.619
108,0.619
109,0.619
110,0.619
111,0.619
112,0.619
113,0.619
114,0.619
115,0.618
116,0.618
117,0.618
118,0.618
119,0.618
120,0.618
121,0.618
122,0.618
123,0.618
124,0.617
125,0.617
126,0.617
127,0.617
128,0.617
129,0.617
130,0.617
131,0.617
132,0.617
133,0.617
134,0.617
135,0.617
136,0.617
137,0.616
138,0.616
139,0.616
140,0.616
141,0.616
142,0.616
143,0.616
144,0.616
145,0.616
146,0.616
147,0.616
148,0.616
149,0.616
150,0.616
151,0.615
152,0.615
153,0.615
154,0.615
155,0.615
156,0.615
157,0.615
158,0.615
159,0.615
160,0.615
161,0.615
162,0.615
163,0.615
164,0.615
165,0.615
166,0.615
167,0.615
168,0.615
169,0.615
170,0.615
171,0.615
172,0.615
173,0.615
174,0.614
175,0.614
176,0.614
177,0.614
178,0.614
179,0.614
180,0.614
181,0.614
182,0.614
183,0.614
184,0.614
185,0.614
186,0.614
187,0.614
188,0.614
189,0.614
190,0.614
191,0.614
192,0.614
193,0.614
194,0.614
195,0.614
196,0.614
197,0.614
198,0.614
199,0.614
200,0.614
201,0.614
202,0.614
203,0.614
204,0.614
205,0.614
206,0.614
207,0.614
208,0.614
209,0.614
210,0.614
211,0.614
212,0.614
213,0.614
214,0.614
215,0.614
216,0.614
217,0.614
218,0.614
219,0.614
220,0.614
221,0.614
222,0.614
223,0.614
224,0.614
225,0.614
226,0.614
227,0.614
228,0.614
229,0.614
230,0.614
231,0.614
232,0.614
233,0.614
234,0.614
235,0.614
236,0.614
237,0.614
238,0.614
239,0.614
240,0.614
241,0.614
242,0.614
243,0.614
244,0.614
245,0.614
246,0.614
247,0.614
248,0.614
249,0.614
250,0.614
251,0.614
252,0.614
253,0.614
254,0.614
255,0.614
256,0.614
257,0.614
258,0.614
259,0.614
260,0.614
261,0.614
262,0.614
263,0.614
264,0.614
265,0.614
266,0.614
267,0.614
268,0.614
269,0.614
270,0.614
271,0.614
272,0.614
273,0.614
274,0.614
275,0.614
276,0.614
277,0.614
278,0.614
279,0.614
280,0.614
281,0.614
282,0.614
283,0.614
284,0.614
285,0.614
286,0.614
287,0.614
288,0.614
289,0.614
290,0.614
291,0.614
292,0.614
293,0.614
294,0.614
295,0.614
296,0.614
297,0.614
298,0.614
299,0.614
300,0.614
301,0.614
302,0.614
303,0.614
304,0.614
305,0.614
306,0.614
307,0.614
308,0.614
309,0.614
310,0.613
311,0.613
312,0.613
313,0.613
314,0.613
315,0.613
316,0.613
317,0.613
318,0.613
319,0.613
320,0.613
321,0.613
322,0.613
323,0.613
324,0.613
325,0.613
326,0.613
327,0.613
328,0.613
329,0.613
330,0.613
331,0.613
332,0.613
333,0.613
334,0.613
335,0.613
336,0.613
337,0.613
338,0.613
339,0.612
340,0.612
341,0.612
342,0.612
343,0.612
344,0.612
345,0.612
346,0.612
347,0.612
348,0.612
349,0.612
350,0.612
351,0.612
352,0.612
353,0.612
354,0.612
355,0.612
356,0.612
357,0.612
358,0.612
359,0.612
360,0.612
361,0.612
362,0.612
363,0.612
364,0.612
365,0.612
366,0.612
367,0.612
368,0.612
369,0.612
370,0.612
371,0.612
372,0.612
373,0.612
374,0.612
375,0.612
376,0.612
377,0.612
378,0.612
379,0.612
380,0.612
381,0.612
382,0.612
383,0.612
384,0.612
385,0.612
386,0.612
387,0.612
388,0.612
389,0.612
390,0.612
391,0.612
392,0.612
393,0.612
394,0.612
395,0.612
396,0.612
397,0.612
398,0.612
