rank,score
1,1.229
2,1.499
3,1.583
4,1.594
5,1.596
6,1.648
7,1.722
8,1.742
9,1.755
10,1.766
11,1.768
12,1.802
13,1.83
14,1.856
15,1.863
16,1.881
17,1.888
18,1.888
19,1.9
20,1.902
21,1.903
22,1.922
23,1.93
24,1.935
25,1.941
26,1.944
27,1.963
28,1.978
29,1.981
30,1.995
31,2.012
32,2.025
33,2.033
34,2.035
35,2.041
36,2.046
37,2.064
38,2.066
39,2.07
40,2.072
41,2.072
42,2.074
43,2.094
44,2.107
45,2.107
46,2.115
47,2.116
48,2.118
49,2.118
50,2.119
51,2.13
52,2.134
53,2.136
54,2.138
55,2.143
56,2.163
57,2.163
58,2.18
59,2.188
60,2.189
61,2.189
62,2.189
63,2.195
64,2.204
65,2.204
66,2.215
67,2.23
68,2.286
69,2.291
70,2.34
71,2.381
72,2.422
73,2.476
74,2.485
75,2.552
76,2.584
77,2.705
78,2.757
79,2.804
80,2.805
81,2.807
82,2.807
83,2.828
84,2.853
85,2.864
86,2.864
87,2.868
88,2.869
89,2.882
90,2.886
91,2.899
92,2.937
93,2.95
94,3.006
95,3.025
96,3.034
97,3.048
98,3.054
99,3.06
100,3.068
101,3.076
102,3.076
103,3.084
104,3.117
105,3.12
106,3.137
107,3.149
108,3.153
109,3.18
110,3.189
111,3.193
112,3.2
113,3.202
114,3.204
115,3.21
116,3.211
117,3.215
118,3.216
119,3.216
120,3.219
121,3.226
122,3.228
123,3.228
124,3.228
125,3.229
126,3.229
127,3.229
128,3.229
129,3.229
130,3.229
131,3.229
132,3.229
133,3.229
134,3.229
135,3.229
136,3.229
137,3.229
138,3.229
139,3.229
140,3.229
141,3.229
142,3.229
143,3.231
144,3.236
145,3.237
146,3.238
147,3.24
148,3.242
149,3.246
150,3.248
151,3.249
152,3.253
153,3.257
154,3.257
155,3.259
156,3.26
157,3.26
158,3.26
159,3.26
160,3.26
161,3.26
162,3.26
163,3.26
164,3.26
165,3.271
166,3.271
167,3.273
168,3.273
169,3.273
170,3.273
171,3.273
172,3.273
173,3.273
174,3.273
175,3.273
176,3.273
177,3.273
178,3.273
179,3.273
180,3.273
181,3.273
182,3.273
183,3.273
184,3.273
185,3.273
186,3.273
187,3.273
188,3.273
189,3.273
190,3.273
191,3.273
192,3.273
193,3.273
194,3.273
195,3.273
196,3.273
197,3.273
198,3.273
199,3.273
200,3.273
201,3.274
202,3.274
203,3.274
204,3.274
205,3.274
206,3.278
207,3.278
208,3.278
209,3.278
210,3.278
211,3.278
212,3.278
213,3.278
214,3.278
215,3.278
216,3.278
217,3.278
218,3.278
219,3.278
220,3.278
221,3.278
222,3.278
223,3.278
224,3.278
225,3.278
226,3.278
227,3.278
228,3.278
229,3.278
230,3.278
231,3.278
232,3.278
233,3.278
234,3.278
235,3.278
236,3.278
237,3.28
238,3.286
239,3.287
240,3.295
241,3.297
242,3.302
243,3.303
244,3.305
245,3.307
246,3.307
247,3.312
248,3.313
249,3.313
250,3.313
251,3.313
252,3.313
253,3.313
254,3.313
255,3.313
256,3.313
257,3.313
258,3.313
259,3.313
260,3.313
261,3.313
262,3.313
263,3.313
264,3.313
265,3.313
266,3.313
267,3.313
268,3.313
269,3.313
270,3.313
271,3.313
272,3.313
273,3.313
274,3.313
275,3.313
276,3.313
277,3.313
278,3.313
279,3.313
280,3.313
281,3.313
282,3.314
283,3.315
284,3.318
285,3.321
286,3.322
287,3.326
288,3.33
289,3.333
290,3.338
291,3.341
292,3.348
293,3.349
294,3.35
295,3.352
296,3.352
297,3.354
298,3.358
299,3.358
300,3.358
301,3.358
302,3.358
303,3.358
304,3.358
305,3.358
306,3.359
307,3.359
308,3.359
309,3.359
310,3.359
311,3.359
312,3.359
313,3.359
314,3.359
315,3.359
316,3.359
317,3.359
318,3.359
319,3.359
320,3.359
321,3.359
322,3.359
323,3.359
324,3.359
325,3.359
326,3.359
327,3.359
328,3.359
329,3.359
330,3.359
331,3.359
332,3.359
333,3.359
334,3.359
335,3.359
336,3.359
337,3.359
338,3.359
339,3.359
340,3.359
341,3.359
342,3.359
343,3.359
344,3.359
345,3.359
346,3.359
347,3.359
348,3.359
349,3.359
350,3.359
351,3.359
352,3.359
353,3.359
354,3.359
355,3.359
356,3.359
357,3.359
358,3.359
359,3.359
360,3.359
361,3.359
362,3.359
363,3.359
364,3.359
365,3.359
366,3.359
367,3.359
368,3.359
369,3.359
370,3.359
371,3.359
372,3.359
373,3.36
374,3.36
375,3.36
376,3.36
377,3.36
378,3.36
379,3.36
380,3.36
381,3.36
382,3.36
383,3.36
384,3.36
385,3.36
386,3.36
387,3.36
388,3.36
389,3.36
390,3.36
391,3.36
392,3.36
393,3.36
394,3.36
395,3.36
396,3.36
397,3.36
398,3.36
399,3.36
400,3.363
401,3.364
402,3.365
403,3.371
404,3.383
405,3.385
406,3.39
407,3.406
408,3.412
409,3.417
410,3.427
411,3.436
412,3.458
413,3.458
414,3.479
415,3.49
416,3.49
417,3.49
418,3.49
419,3.49
420,3.49
421,3.49
422,3.49
423,3.518
424,3.518
425,3.518
426,3.518
427,3.518
428,3.561
429,3.743
430,3.764
431,3.798
432,4.146
433,4.353
434,4.494
435,4.68
436,4.74
437,4.741
438,4.741
439,4.741
440,4.741
441,4.761
442,4.772
443,4.777
444,4.779
445,4.779
446,4.779
447,4.779
448,4.779
449,4.779
450,4.779
451,4.779
452,4.779
453,4.779
454,4.779
455,4.779
456,4.779
457,4.779
458,4.779
459,4.779
460,4.779
461,4.779
462,4.779
463,4.779
464,4.779
465,4.779
466,4.791
467,4.81
468,4.81
469,4.81
470,4.811
471,4.816
472,4.887
473,4.902
474,4.982
475,5.028
476,5.03
477,5.03
478,5.177
479,5.19
480,5.201
481,5.212
482,5.215
483,5.215
484,5.215
485,5.215
486,5.215
487,5.215
488,5.215
489,5.215
490,5.215
491,5.215
492,5.215
493,5.215
494,5.215
495,5.215
496,5.215
497,5.215
498,5.215
499,5.215
500,5.215
501,5.215
502,5.215
503,5.215
504,5.215
505,5.215
506,5.215
507,5.215
508,5.215
509,5.215
510,5.215
511,5.215
512,5.215
513,5.215
514,5.215
515,5.215
516,5.215
517,5.215
518,5.215
519,5.215
520,5.215
521,5.215
522,5.215
523,5.215
524,5.215
525,5.215
526,5.215
527,5.215
528,5.215
529,5.215
530,5.215
531,5.215
532,5.215
533,5.216
534,5.216
535,5.216
536,5.216
537,5.216
538,5.216
539,5.216
540,5.216
541,5.216
542,5.216
543,5.237
544,5.263
545,5.516
546,7.788
547,8.316
548,31.924
549,254.377
550,2060.212
551,7413.973
552,10153.918
553,11763.966
554,16442.878
555,20456.364
556,20558.701
557,76850.112
558,85320.788
559,98816.631
560,120395.994
561,3084280.305
562,3084280.305
563,3084280.305
564,3084280.305
565,3084280.305
566,3084280.305
567,3084280.305
568,3084280.305
569,3084280.305
570,3084280.305
571,4110585.228
572,4110585.228
573,7916081.595
