rank,score
1,1.382
2,1.473
3,1.608
4,1.62
5,1.691
6,1.842
7,1.883
8,1.996
9,2.007
10,2.02
11,2.026
12,2.073
13,2.104
14,2.127
15,2.13
16,2.14
17,2.161
18,2.167
19,2.167
20,2.174
21,2.222
22,2.233
23,2.24
24,2.242
25,2.25
26,2.255
27,2.263
28,2.271
29,2.292
30,2.297
31,2.303
32,2.307
33,2.313
34,2.319
35,2.323
36,2.328
37,2.339
38,2.346
39,2.353
40,2.354
41,2.38
42,2.381
43,2.395
44,2.405
45,2.434
46,2.435
47,2.436
48,2.471
49,2.474
50,2.486
51,2.491
52,2.518
53,2.52
54,2.521
55,2.522
56,2.56
57,2.562
58,2.603
59,2.608
60,2.611
61,2.614
62,2.627
63,2.639
64,2.641
65,2.646
66,2.646
67,2.655
68,2.656
69,2.658
70,2.662
71,2.671
72,2.672
73,2.675
74,2.681
75,2.683
76,2.693
77,2.731
78,2.733
79,2.758
80,2.764
81,2.772
82,2.773
83,2.781
84,2.793
85,2.8
86,2.811
87,2.814
88,2.818
89,2.823
90,2.826
91,2.833
92,2.847
93,2.851
94,2.854
95,2.858
96,2.859
97,2.872
98,2.893
99,2.895
100,2.897
101,2.905
102,2.909
103,2.909
104,2.915
105,2.919
106,2.92
107,2.935
108,2.96
109,2.972
110,2.974
111,2.977
112,2.979
113,2.981
114,2.984
115,2.985
116,2.985
117,2.986
118,2.987
119,2.988
120,2.991
121,2.991
122,2.992
123,2.994
124,2.994
125,2.994
126,2.995
127,2.995
128,2.995
129,2.995
130,2.995
131,2.995
132,2.995
133,2.995
134,2.995
135,2.995
136,2.995
137,2.995
138,2.995
139,2.996
140,2.996
141,2.996
142,2.996
143,2.996
144,2.996
145,2.996
146,2.996
147,2.996
148,2.996
149,2.996
150,2.996
151,2.996
152,2.996
153,2.996
154,2.996
155,2.996
156,2.996
157,2.996
158,2.996
159,2.996
160,2.996
161,2.996
162,2.996
163,2.996
164,2.996
165,2.996
166,2.996
167,2.996
168,2.996
169,2.996
170,2.996
171,2.996
172,2.996
173,2.996
174,2.996
175,2.996
176,2.996
177,2.996
178,2.996
179,2.996
180,2.996
181,2.996
182,2.996
183,2.996
184,2.996
185,2.996
186,2.996
187,2.996
188,2.996
189,2.996
190,2.996
191,2.996
192,2.996
193,2.996
194,2.996
195,2.996
196,2.996
197,2.996
198,2.996
199,2.996
200,2.996
201,2.996
202,2.996
203,2.996
204,2.996
205,2.996
206,2.996
207,2.996
208,2.996
209,2.996
210,2.996
211,2.996
212,2.996
213,2.996
214,2.996
215,2.996
216,2.996
217,2.996
218,2.996
219,2.996
220,2.996
221,2.996
222,2.996
223,2.996
224,2.996
225,2.996
226,2.996
227,2.996
228,2.996
229,2.997
230,2.997
231,2.997
232,2.997
233,2.997
234,2.997
235,2.997
236,2.997
237,2.997
238,2.997
239,2.997
240,2.997
241,2.997
242,2.997
243,2.997
244,2.997
245,2.997
246,2.997
247,2.997
248,2.997
249,2.997
250,2.997
251,2.997
252,2.997
253,2.997
254,2.997
255,2.997
256,2.997
257,2.997
258,2.998
259,2.998
260,2.998
261,2.998
262,2.998
263,2.998
264,2.998
265,2.998
266,2.998
267,2.998
268,2.998
269,2.998
270,2.998
271,2.998
272,2.998
273,2.998
274,2.998
275,2.998
276,2.998
277,2.998
278,2.998
279,2.998
280,2.999
281,2.999
282,3.0
283,3.0
284,3.0
285,3.0
286,3.0
287,3.0
288,3.0
289,3.0
290,3.0
291,3.0
292,3.0
293,3.0
294,3.0
295,3.0
296,3.0
297,3.0
298,3.0
299,3.0
300,3.0
301,3.0
302,3.0
303,3.0
304,3.001
305,3.001
306,3.004
307,3.004
308,3.004
309,3.004
310,3.004
311,3.004
312,3.004
313,3.004
314,3.004
315,3.004
316,3.004
317,3.004
318,3.004
319,3.004
320,3.004
321,3.004
322,3.004
323,3.004
324,3.004
325,3.004
326,3.004
327,3.004
328,3.004
329,3.004
330,3.004
331,3.004
332,3.004
333,3.005
334,3.005
335,3.005
336,3.005
337,3.005
338,3.008
339,3.008
340,3.008
341,3.008
342,3.009
343,3.012
344,3.012
345,3.014
346,3.015
347,3.016
348,3.017
349,3.017
350,3.017
351,3.017
352,3.017
353,3.017
354,3.017
355,3.017
356,3.017
357,3.017
358,3.017
359,3.017
360,3.017
361,3.017
362,3.019
363,3.02
364,3.02
365,3.023
366,3.023
367,3.027
368,3.027
369,3.027
