rank,score
1,1.0
2,0.96305
3,0.82183
4,0.8209
5,0.82066
6,0.82066
7,0.82066
8,0.82043
9,0.8202
10,0.8202
11,0.8202
12,0.8202
13,0.81903
14,0.81903
15,0.81903
16,0.81903
17,0.81903
18,0.81879
19,0.81879
20,0.81716
21,0.81669
22,0.81622
23,0.81599
24,0.81599
25,0.81575
26,0.81482
27,0.81388
28,0.81388
29,0.81318
30,0.81295
31,0.81225
32,0.81201
33,0.81201
34,0.81201
35,0.81201
36,0.81155
37,0.81155
38,0.81155
39,0.81131
40,0.81131
41,0.81108
42,0.81108
43,0.81084
44,0.81084
45,0.81084
46,0.81061
47,0.81061
48,0.81061
49,0.81061
50,0.81061
51,0.81038
52,0.81038
53,0.81038
54,0.81038
55,0.81038
56,0.81014
57,0.81014
58,0.80991
59,0.80991
60,0.80991
61,0.80991
62,0.80967
63,0.80967
64,0.80967
65,0.80967
66,0.80967
67,0.80944
68,0.80921
69,0.80921
70,0.80921
71,0.80897
72,0.80874
73,0.80874
74,0.80874
75,0.80874
76,0.80874
77,0.80874
78,0.80874
79,0.80874
80,0.80874
81,0.80874
82,0.80874
83,0.80874
84,0.80874
85,0.80874
86,0.80874
87,0.80874
88,0.80851
89,0.80851
90,0.80851
91,0.80851
92,0.80851
93,0.80851
94,0.80827
95,0.80827
96,0.80827
97,0.80827
98,0.80827
99,0.80827
100,0.80827
101,0.80827
102,0.80827
103,0.80827
104,0.80827
105,0.80827
106,0.80804
107,0.80804
108,0.80804
109,0.80804
110,0.80804
111,0.8078
112,0.8078
113,0.8078
114,0.8078
115,0.8078
116,0.8078
117,0.8078
118,0.8078
119,0.80757
120,0.80757
121,0.80757
122,0.80757
123,0.80757
124,0.80757
125,0.80757
126,0.80757
127,0.80734
128,0.80734
129,0.80734
130,0.80734
131,0.80734
132,0.80734
133,0.80734
134,0.8071
135,0.8071
136,0.8071
137,0.8071
138,0.8071
139,0.80687
140,0.80687
141,0.80687
142,0.80687
143,0.80687
144,0.80687
145,0.80687
146,0.80687
147,0.80687
148,0.80664
149,0.80664
150,0.80664
151,0.80664
152,0.80664
153,0.80664
154,0.80664
155,0.8064
156,0.8064
157,0.8064
158,0.8064
159,0.8064
160,0.8064
161,0.8064
162,0.8064
163,0.8064
164,0.8064
165,0.8064
166,0.8064
167,0.8064
168,0.8064
169,0.8064
170,0.80617
171,0.80617
172,0.80617
173,0.80617
174,0.80617
175,0.80617
176,0.80617
177,0.80617
178,0.80617
179,0.80617
180,0.80617
181,0.80617
182,0.80617
183,0.80617
184,0.80593
185,0.80593
186,0.80593
187,0.80593
188,0.80593
189,0.80593
190,0.80593
191,0.80593
192,0.80593
193,0.8057
194,0.8057
195,0.8057
196,0.8057
197,0.8057
198,0.8057
199,0.8057
200,0.8057
201,0.8057
202,0.8057
203,0.8057
204,0.8057
205,0.8057
206,0.80547
207,0.80547
208,0.80547
209,0.80547
210,0.80547
211,0.80547
212,0.80547
213,0.80547
214,0.80547
215,0.80547
216,0.80547
217,0.80523
218,0.80523
219,0.80523
220,0.80523
221,0.80523
222,0.80523
223,0.80523
224,0.80523
225,0.80523
226,0.80523
227,0.805
228,0.805
229,0.805
230,0.805
231,0.805
232,0.805
233,0.805
234,0.805
235,0.805
236,0.805
237,0.805
238,0.805
239,0.805
240,0.805
241,0.805
242,0.805
243,0.805
244,0.80476
245,0.80476
246,0.80476
247,0.80476
248,0.80476
249,0.80476
250,0.80476
251,0.80476
252,0.80476
253,0.80476
254,0.80476
255,0.80476
256,0.80476
257,0.80476
258,0.80476
259,0.80476
260,0.80476
261,0.80476
262,0.80476
263,0.80476
264,0.80476
265,0.80476
266,0.80453
267,0.80453
268,0.80453
269,0.80453
270,0.80453
271,0.80453
272,0.80453
273,0.80453
274,0.80453
275,0.80453
276,0.80453
277,0.80453
278,0.8043
279,0.8043
280,0.8043
281,0.8043
282,0.8043
283,0.8043
284,0.8043
285,0.8043
286,0.8043
287,0.8043
288,0.8043
289,0.8043
290,0.8043
291,0.8043
292,0.8043
293,0.8043
294,0.8043
295,0.80406
296,0.80406
297,0.80406
298,0.80406
299,0.80406
300,0.80406
301,0.80406
302,0.80406
303,0.80406
304,0.80406
305,0.80383
306,0.80383
307,0.80383
308,0.80383
309,0.80383
310,0.80383
311,0.80383
312,0.80383
313,0.80383
314,0.80383
315,0.80383
316,0.80383
317,0.80383
318,0.80383
319,0.80383
320,0.80383
321,0.80383
322,0.80383
323,0.8036
324,0.8036
325,0.8036
326,0.8036
327,0.8036
328,0.8036
329,0.8036
330,0.8036
331,0.8036
332,0.8036
333,0.8036
334,0.8036
335,0.8036
336,0.8036
337,0.8036
338,0.8036
339,0.8036
340,0.8036
341,0.8036
342,0.8036
343,0.80336
344,0.80336
345,0.80336
346,0.80336
347,0.80336
348,0.80336
349,0.80336
350,0.80336
351,0.80336
352,0.80336
353,0.80313
354,0.80313
355,0.80313
356,0.80313
357,0.80313
358,0.80313
359,0.80313
360,0.80313
361,0.80313
362,0.80313
363,0.80313
364,0.80313
365,0.80313
366,0.80289
367,0.80289
368,0.80289
369,0.80289
370,0.80289
371,0.80289
372,0.80289
373,0.80289
374,0.80289
375,0.80289
376,0.80289
377,0.80289
378,0.80266
379,0.80266
380,0.80266
381,0.80266
382,0.80266
383,0.80266
384,0.80266
385,0.80266
386,0.80266
387,0.80266
388,0.80266
389,0.80266
390,0.80266
391,0.80266
392,0.80243
393,0.80243
394,0.80243
395,0.80243
396,0.80243
397,0.80243
398,0.80243
399,0.80243
400,0.80243
401,0.80243
402,0.80243
403,0.80243
404,0.80243
405,0.80243
406,0.80219
407,0.80219
408,0.80219
409,0.80219
410,0.80219
411,0.80219
412,0.80219
413,0.80219
414,0.80219
415,0.80219
416,0.80219
417,0.80219
418,0.80219
419,0.80219
420,0.80219
421,0.80219
422,0.80219
423,0.80219
424,0.80196
425,0.80196
426,0.80196
427,0.80196
428,0.80196
429,0.80196
430,0.80196
431,0.80196
432,0.80196
433,0.80196
434,0.80173
435,0.80173
436,0.80173
437,0.80173
438,0.80173
439,0.80173
440,0.80173
441,0.80173
442,0.80173
443,0.80173
444,0.80173
445,0.80173
446,0.80173
447,0.80173
448,0.80173
449,0.80173
450,0.80173
451,0.80173
452,0.80173
453,0.80173
454,0.80173
455,0.80173
456,0.80173
457,0.80173
458,0.80173
459,0.80173
460,0.80173
461,0.80173
462,0.80173
463,0.80173
464,0.80173
465,0.80173
466,0.80173
467,0.80173
468,0.80173
469,0.80173
470,0.80149
471,0.80149
472,0.80149
473,0.80149
474,0.80149
475,0.80149
