rank,score
1,0.02467
2,0.02593
3,0.07036
4,0.07174
5,0.0791
6,0.10897
7,0.12694
8,0.13246
9,0.13585
10,0.14106
11,0.14824
12,0.16506
13,0.16609
14,0.18876
15,0.19101
16,0.19619
17,0.20035
18,0.20224
19,0.20988
20,0.21884
21,0.22036
22,0.23008
23,0.23198
24,0.23745
25,0.24074
26,0.24273
27,0.24401
28,0.24432
29,0.24623
30,0.24796
31,0.24845
32,0.24855
33,0.2528
34,0.25471
35,0.25555
36,0.25698
37,0.25731
38,0.25838
39,0.25974
40,0.25998
41,0.26003
42,0.26003
43,0.26094
44,0.2618
45,0.26341
46,0.26384
47,0.26466
48,0.26504
49,0.26539
50,0.26541
51,0.26633
52,0.26661
53,0.267
54,0.26754
55,0.26757
56,0.26765
57,0.26766
58,0.26799
59,0.26846
60,0.26882
61,0.26904
62,0.26996
63,0.27044
64,0.27057
65,0.27322
66,0.27323
67,0.27426
68,0.27441
69,0.27527
70,0.27546
71,0.27565
72,0.2758
73,0.27633
74,0.27652
75,0.27718
76,0.27845
77,0.2786
78,0.27879
79,0.2807
80,0.28072
81,0.28094
82,0.28151
83,0.28195
84,0.28362
85,0.2843
86,0.28464
87,0.28472
88,0.28549
89,0.28551
90,0.28564
91,0.28615
92,0.28625
93,0.2865
94,0.28689
95,0.28738
96,0.28743
97,0.28797
98,0.28802
99,0.28902
100,0.2892
101,0.28945
102,0.28957
103,0.28966
104,0.28985
105,0.29006
106,0.29019
107,0.2904
108,0.2906
109,0.2906
110,0.29062
111,0.2907
112,0.29105
113,0.29134
114,0.29135
115,0.29182
116,0.2922
117,0.2926
118,0.29271
119,0.29314
120,0.29346
121,0.2935
122,0.29351
123,0.2938
124,0.29381
125,0.29381
126,0.2939
127,0.29393
128,0.29408
129,0.29408
130,0.29408
131,0.29408
132,0.29408
133,0.29408
134,0.29408
135,0.29408
136,0.29408
137,0.29408
138,0.29408
139,0.29408
140,0.29408
141,0.29408
142,0.29408
143,0.29408
144,0.29408
145,0.29408
146,0.29408
147,0.29408
148,0.29408
149,0.29408
150,0.29408
151,0.29408
152,0.29408
153,0.29408
154,0.29408
155,0.29408
156,0.29408
157,0.29408
158,0.29408
159,0.29408
160,0.29408
161,0.29408
162,0.29408
163,0.29408
164,0.29408
165,0.29408
166,0.29408
167,0.29408
168,0.29411
169,0.29417
170,0.29424
171,0.29425
172,0.29428
173,0.29428
174,0.29428
175,0.29428
176,0.29428
177,0.29429
178,0.29434
179,0.29444
180,0.29445
181,0.29447
182,0.29496
183,0.29498
184,0.29559
185,0.29569
186,0.29582
187,0.29661
188,0.297
189,0.29721
190,0.29738
191,0.29768
192,0.29774
193,0.29777
194,0.29778
195,0.29818
196,0.29861
197,0.29885
198,0.29922
199,0.30059
200,0.30059
201,0.30059
202,0.30289
203,0.30306
204,0.30397
205,0.30651
206,0.30651
207,0.30667
208,0.30899
209,0.30991
210,0.30998
211,0.31046
212,0.31106
213,0.31246
214,0.31277
215,0.31277
216,0.31277
217,0.31325
218,0.31399
219,0.3144
220,0.31494
221,0.31521
222,0.31638
223,0.31659
224,0.31669
225,0.3171
226,0.31887
227,0.31916
228,0.31919
229,0.31921
230,0.31922
231,0.31928
232,0.31928
233,0.31929
234,0.31929
235,0.31929
236,0.31929
237,0.31929
238,0.31939
239,0.31944
240,0.3203
241,0.32052
242,0.32059
243,0.32063
244,0.32108
245,0.32168
246,0.32184
247,0.32228
248,0.32237
249,0.32242
250,0.32299
251,0.3232
252,0.32381
253,0.32449
254,0.32464
255,0.32476
256,0.32487
257,0.32509
258,0.32565
259,0.32577
260,0.32654
261,0.32699
262,0.32715
263,0.32754
264,0.32754
265,0.32754
266,0.32813
267,0.32814
268,0.32859
269,0.32896
270,0.32911
271,0.32934
272,0.3296
273,0.3297
274,0.32979
275,0.32985
276,0.32987
277,0.32991
278,0.33031
279,0.33055
280,0.33056
281,0.33062
282,0.33074
283,0.33137
284,0.33138
285,0.33159
286,0.33159
287,0.33201
288,0.33277
289,0.33331
290,0.33347
291,0.33347
292,0.33362
293,0.33403
294,0.33478
295,0.33546
296,0.33577
297,0.33586
298,0.3362
299,0.33622
300,0.33634
301,0.33637
302,0.33652
303,0.33688
304,0.33688
305,0.33688
306,0.33751
307,0.33754
308,0.33755
309,0.33755
310,0.33778
311,0.33786
312,0.33799
313,0.33846
314,0.33852
315,0.3388
316,0.33889
317,0.33889
318,0.33893
319,0.33893
320,0.33915
321,0.33996
322,0.34002
323,0.34032
324,0.34043
325,0.34061
326,0.34061
327,0.34105
328,0.34129
329,0.34154
330,0.34156
331,0.34162
332,0.34179
333,0.34179
334,0.34228
335,0.34267
336,0.34296
337,0.34316
338,0.34343
339,0.34356
340,0.34357
341,0.34359
342,0.34378
343,0.34394
344,0.34404
345,0.34407
346,0.34408
347,0.34429
348,0.34451
349,0.34473
350,0.34479
351,0.34484
352,0.34495
353,0.34517
354,0.34517
355,0.34549
356,0.34551
357,0.34613
358,0.34664
359,0.34669
360,0.34693
361,0.34713
362,0.3474
363,0.34741
364,0.34744
365,0.34759
366,0.34777
367,0.34778
368,0.34796
369,0.34804
370,0.34805
371,0.34805
372,0.34805
373,0.34805
374,0.34805
375,0.34805
376,0.34813
377,0.34855
378,0.34866
379,0.34868
380,0.34882
381,0.34919
382,0.34926
383,0.34935
384,0.35004
385,0.35011
386,0.3502
387,0.35057
388,0.35074
389,0.35077
390,0.35091
391,0.35116
392,0.35151
393,0.35202
394,0.3521
395,0.35223
396,0.35229
397,0.35278
398,0.35286
399,0.35345
400,0.35373
401,0.35401
402,0.35411
403,0.3547
404,0.35488
405,0.35489
406,0.35495
407,0.35497
408,0.35497
409,0.35536
410,0.35585
411,0.35668
412,0.35674
413,0.35688
414,0.3571
415,0.35712
416,0.35714
417,0.35773
418,0.35788
419,0.35816
420,0.35884
421,0.359
422,0.35933
423,0.35934
424,0.35947
425,0.35968
426,0.35972
427,0.3599
428,0.35997
429,0.36005
430,0.36041
431,0.36124
432,0.36146
433,0.36175
434,0.36241
435,0.36269
436,0.3628
437,0.36324
438,0.36354
439,0.36371
440,0.36396
441,0.36491
442,0.36518
443,0.36558
444,0.36582
445,0.36633
446,0.36633
447,0.36634
448,0.36728
449,0.36793
450,0.36818
451,0.36874
452,0.36876
453,0.36888
454,0.3689
455,0.36999
456,0.3701
457,0.37098
458,0.37128
459,0.3714
460,0.37151
461,0.37214
462,0.37349
463,0.37353
464,0.37483
465,0.37498
466,0.37522
467,0.37562
468,0.37594
469,0.37635
470,0.37635
471,0.37639
472,0.37701
473,0.37736
474,0.37787
475,0.37805
476,0.37904
477,0.37919
478,0.37939
479,0.3795
480,0.38007
481,0.38103
482,0.38103
483,0.38122
484,0.38122
485,0.38131
486,0.38131
487,0.38258
488,0.38304
489,0.38321
490,0.38345
491,0.38363
492,0.38425
493,0.38431
494,0.38442
495,0.38449
496,0.38487
497,0.38528
498,0.38532
499,0.38572
500,0.38598
