rank,score
1,0.03224
2,0.03521
3,0.08105
4,0.08354
5,0.0845
6,0.11782
7,0.12326
8,0.13342
9,0.13741
10,0.15366
11,0.16769
12,0.17326
13,0.1811
14,0.18582
15,0.19777
16,0.2051
17,0.21058
18,0.22222
19,0.22289
20,0.22849
21,0.23194
22,0.25477
23,0.25638
24,0.26306
25,0.26337
26,0.26614
27,0.2666
28,0.27019
29,0.2705
30,0.27128
31,0.274
32,0.27554
33,0.27606
34,0.27665
35,0.27687
36,0.2778
37,0.27789
38,0.27809
39,0.2789
40,0.2796
41,0.28141
42,0.28348
43,0.28444
44,0.28456
45,0.28709
46,0.28733
47,0.28847
48,0.28863
49,0.28889
50,0.28907
51,0.28945
52,0.28955
53,0.28961
54,0.2901
55,0.29045
56,0.29067
57,0.29078
58,0.29092
59,0.2917
60,0.29174
61,0.29182
62,0.2922
63,0.29237
64,0.29297
65,0.29331
66,0.2937
67,0.29477
68,0.29595
69,0.29635
70,0.29704
71,0.29905
72,0.30109
73,0.30209
74,0.30215
75,0.30341
76,0.30343
77,0.30354
78,0.30428
79,0.30464
80,0.30507
81,0.30525
82,0.306
83,0.30674
84,0.30706
85,0.30732
86,0.30809
87,0.30961
88,0.30965
89,0.30977
90,0.30981
91,0.31021
92,0.31118
93,0.31134
94,0.31145
95,0.3115
96,0.31177
97,0.3123
98,0.31268
99,0.31315
100,0.31381
101,0.31427
102,0.31451
103,0.31458
104,0.31523
105,0.31546
106,0.31593
107,0.31593
108,0.31593
109,0.31621
110,0.31657
111,0.31763
112,0.3179
113,0.31833
114,0.31841
115,0.31886
116,0.31906
117,0.31914
118,0.31931
119,0.31988
120,0.32001
121,0.32019
122,0.32019
123,0.32021
124,0.32038
125,0.32051
126,0.32085
127,0.32134
128,0.32135
129,0.32228
130,0.32236
131,0.32241
132,0.3225
133,0.32314
134,0.32314
135,0.32317
136,0.32321
137,0.32325
138,0.32331
139,0.3235
140,0.32397
141,0.32513
142,0.32522
143,0.32528
144,0.32528
145,0.32529
146,0.32533
147,0.3255
148,0.3256
149,0.3256
150,0.3256
151,0.3256
152,0.3256
153,0.3256
154,0.3256
155,0.3256
156,0.3256
157,0.3256
158,0.3256
159,0.3256
160,0.3256
161,0.3256
162,0.3256
163,0.3256
164,0.3256
165,0.3256
166,0.3256
167,0.3256
168,0.3256
169,0.3256
170,0.3256
171,0.3256
172,0.3256
173,0.3256
174,0.3256
175,0.3256
176,0.3256
177,0.3256
178,0.3256
179,0.3256
180,0.3256
181,0.3256
182,0.3256
183,0.3256
184,0.3256
185,0.3256
186,0.3256
187,0.32577
188,0.32594
189,0.32596
190,0.32636
191,0.32637
192,0.32653
193,0.32669
194,0.32681
195,0.32693
196,0.32693
197,0.32693
198,0.32693
199,0.32693
200,0.32724
201,0.32767
202,0.32777
203,0.32777
204,0.32777
205,0.32865
206,0.32905
207,0.33
208,0.33026
209,0.33074
210,0.33157
211,0.33172
212,0.33176
213,0.33179
214,0.332
215,0.33237
216,0.33273
217,0.33286
218,0.33415
219,0.33451
220,0.33453
221,0.33454
222,0.33456
223,0.33456
224,0.33456
225,0.33456
226,0.33458
227,0.33466
228,0.33468
229,0.33469
230,0.33474
231,0.33485
232,0.33563
233,0.33597
234,0.33635
235,0.337
236,0.33729
237,0.3383
238,0.33854
239,0.33914
240,0.33915
241,0.33915
242,0.33987
243,0.34036
244,0.34049
245,0.34124
246,0.34172
247,0.34181
248,0.34203
249,0.34231
250,0.34291
251,0.34329
252,0.34336
253,0.34401
254,0.34446
255,0.34507
256,0.34549
257,0.34596
258,0.34597
259,0.34604
260,0.34613
261,0.34622
262,0.34651
263,0.34717
264,0.34719
265,0.34722
266,0.34777
267,0.34905
268,0.3494
269,0.34948
270,0.34959
271,0.34961
272,0.34966
273,0.34973
274,0.34974
275,0.34974
276,0.35058
277,0.35058
278,0.35062
279,0.35086
280,0.35127
281,0.35139
282,0.35185
283,0.35285
284,0.3529
285,0.35306
286,0.35318
287,0.35339
288,0.35343
289,0.35373
290,0.35405
291,0.35406
292,0.35435
293,0.35497
294,0.35532
295,0.35545
296,0.35581
297,0.35595
298,0.3561
299,0.35613
300,0.35627
301,0.35646
302,0.35649
303,0.35674
304,0.35682
305,0.35705
306,0.35706
307,0.35797
308,0.35885
309,0.35892
310,0.35916
311,0.35962
312,0.35976
313,0.3598
314,0.35993
315,0.36011
316,0.36019
317,0.36034
318,0.36035
319,0.36039
320,0.36041
321,0.36048
322,0.36048
323,0.36049
324,0.36072
325,0.36072
326,0.36073
327,0.36073
328,0.36073
329,0.36073
330,0.36073
331,0.36073
332,0.36082
333,0.36083
334,0.36085
335,0.36106
336,0.36134
337,0.36142
338,0.36203
339,0.36211
340,0.36219
341,0.36295
342,0.36347
343,0.36347
344,0.36349
345,0.36349
346,0.36349
347,0.36351
348,0.36354
349,0.36386
350,0.36391
351,0.36426
352,0.36426
353,0.3647
354,0.36498
355,0.3655
356,0.3655
357,0.36562
358,0.36592
359,0.36615
360,0.36701
361,0.36702
362,0.36706
363,0.36742
364,0.36784
365,0.36785
366,0.36843
367,0.3686
368,0.36881
369,0.36903
370,0.36954
371,0.36957
372,0.36991
373,0.36995
374,0.37011
375,0.37025
376,0.37092
377,0.37125
378,0.37131
379,0.37145
380,0.37165
381,0.3717
382,0.37176
383,0.37176
384,0.37195
385,0.37209
386,0.37209
387,0.37225
388,0.3724
389,0.37261
390,0.37261
391,0.37265
392,0.37285
393,0.37296
394,0.37305
395,0.37311
396,0.37328
397,0.37336
398,0.37336
399,0.37349
400,0.37398
401,0.37401
402,0.3741
403,0.37413
404,0.37462
405,0.37466
406,0.37485
407,0.37495
408,0.37519
409,0.37534
410,0.37566
411,0.37569
412,0.3757
413,0.37631
414,0.37662
415,0.37669
416,0.37677
417,0.37761
418,0.37774
419,0.37803
420,0.37808
421,0.37866
422,0.37892
423,0.3792
424,0.37931
425,0.37938
426,0.38028
427,0.38128
428,0.38132
429,0.38138
430,0.38247
431,0.38266
432,0.38294
433,0.38299
434,0.3832
435,0.38386
436,0.38447
437,0.38459
438,0.38466
439,0.38487
440,0.38501
441,0.38525
442,0.38525
443,0.38527
444,0.38564
445,0.38582
446,0.38629
447,0.38641
448,0.3867
449,0.38684
450,0.38727
451,0.38747
452,0.38891
453,0.38919
454,0.38957
455,0.38989
456,0.39012
457,0.39041
458,0.39058
459,0.3906
460,0.39066
461,0.3914
462,0.39192
463,0.39207
464,0.39208
465,0.39245
466,0.39284
467,0.39319
468,0.39374
469,0.3941
470,0.39434
471,0.3948
472,0.39548
473,0.39635
474,0.39641
475,0.39685
476,0.39685
477,0.39739
478,0.3979
479,0.39814
480,0.39818
481,0.39822
482,0.39894
483,0.39904
484,0.39938
485,0.39938
486,0.39958
487,0.39982
488,0.40026
489,0.40041
490,0.40045
491,0.40244
492,0.40442
493,0.40442
494,0.40473
495,0.40537
496,0.40562
497,0.40624
498,0.40665
499,0.4067
500,0.40716
501,0.40721
502,0.40783
503,0.40786
504,0.4081
505,0.40944
506,0.40946
507,0.40985
508,0.41001
509,0.41059
510,0.41076
511,0.411
512,0.41126
513,0.41133
514,0.41146
515,0.41198
516,0.41229
517,0.41289
518,0.41317
519,0.41326
520,0.41414
521,0.41437
522,0.41538
523,0.41542
524,0.41565
525,0.417
526,0.41725
527,0.41796
528,0.41817
529,0.4186
530,0.41875
531,0.41932
532,0.41963
533,0.41978
534,0.42
535,0.4204
536,0.42065
537,0.42091
538,0.42126
539,0.42135
540,0.42259
541,0.42267
542,0.42298
543,0.42319
544,0.42342
545,0.42506
546,0.42602
547,0.42614
548,0.42657
549,0.42703
550,0.42795
551,0.42832
552,0.42855
553,0.42945
554,0.4298
555,0.43004
556,0.43017
557,0.43072
558,0.43118
559,0.43126
560,0.43133
561,0.43187
562,0.43189
563,0.43293
564,0.4334
565,0.43357
566,0.43382
567,0.43439
568,0.4345
569,0.43485
570,0.43506
571,0.43518
572,0.4353
573,0.43538
574,0.43553
575,0.43602
576,0.43645
577,0.43706
578,0.43727
579,0.43768
580,0.43781
581,0.43782
582,0.43782
583,0.43791
584,0.43849
585,0.43859
586,0.43859
587,0.43875
588,0.4388
589,0.43906
