rank,score
1,0.34198
2,0.34266
3,0.34327
4,0.34385
5,0.34471
6,0.34538
7,0.3455
8,0.34551
9,0.34563
10,0.34573
11,0.34627
12,0.34672
13,0.34728
14,0.34747
15,0.34759
16,0.34821
17,0.3483
18,0.34836
19,0.34839
20,0.34845
21,0.34848
22,0.34863
23,0.34875
24,0.34879
25,0.34883
26,0.34891
27,0.34891
28,0.34893
29,0.349
30,0.34901
31,0.34951
32,0.34973
33,0.34975
34,0.34986
35,0.35002
36,0.35013
37,0.35016
38,0.35022
39,0.35034
40,0.35036
41,0.35037
42,0.35055
43,0.35055
44,0.35059
45,0.35061
46,0.35069
47,0.35072
48,0.35076
49,0.35088
50,0.35088
51,0.35089
52,0.35092
53,0.35092
54,0.35094
55,0.35095
56,0.35103
57,0.35104
58,0.3511
59,0.35112
60,0.35114
61,0.35118
62,0.35119
63,0.35124
64,0.35127
65,0.35132
66,0.35136
67,0.35138
68,0.35144
69,0.35144
70,0.35148
71,0.35152
72,0.35153
73,0.35157
74,0.35158
75,0.35162
76,0.35165
77,0.35167
78,0.35167
79,0.35173
80,0.35173
81,0.35175
82,0.35178
83,0.3518
84,0.35187
85,0.35187
86,0.35195
87,0.35197
88,0.35205
89,0.35214
90,0.35215
91,0.35223
92,0.35223
93,0.35223
94,0.35226
95,0.3523
96,0.35233
97,0.35237
98,0.35239
99,0.3524
100,0.35241
101,0.35243
102,0.35244
103,0.35247
104,0.35247
105,0.35255
106,0.35258
107,0.35259
108,0.35262
109,0.35264
110,0.35265
111,0.35269
112,0.3527
113,0.3527
114,0.35273
115,0.35275
116,0.35276
117,0.35276
118,0.35277
119,0.35278
120,0.35279
121,0.35282
122,0.35282
123,0.35285
124,0.35285
125,0.35285
126,0.35285
127,0.35286
128,0.35286
129,0.35289
130,0.35294
131,0.35297
132,0.35297
133,0.35297
134,0.35298
135,0.35301
136,0.35301
137,0.35302
138,0.35302
139,0.35302
140,0.35302
141,0.35304
142,0.35305
143,0.35305
144,0.35308
145,0.3531
146,0.35313
147,0.35314
148,0.35314
149,0.35315
150,0.35315
151,0.35316
152,0.3532
153,0.35323
154,0.35324
155,0.35327
156,0.35328
157,0.3533
158,0.3533
159,0.35333
160,0.35335
161,0.35336
162,0.3534
163,0.3534
164,0.3534
165,0.35341
166,0.35342
167,0.35344
168,0.35344
169,0.35347
170,0.3535
171,0.35351
