rank,score
1,0.22756
2,0.22758
3,0.22815
4,0.22848
5,0.22883
6,0.22971
7,0.23009
8,0.23039
9,0.23045
10,0.23046
11,0.23051
12,0.23056
13,0.23056
14,0.23069
15,0.23085
16,0.23106
17,0.23135
18,0.23138
19,0.23154
20,0.23161
21,0.23165
22,0.23235
23,0.23259
24,0.23266
25,0.23268
26,0.23294
27,0.23305
28,0.23323
29,0.23364
30,0.23369
31,0.23376
32,0.23392
33,0.23402
34,0.23421
35,0.2343
36,0.23438
37,0.23445
38,0.23449
39,0.23457
40,0.23457
41,0.23463
42,0.23464
43,0.23467
44,0.23474
45,0.23475
46,0.23476
47,0.2348
48,0.23481
49,0.23487
50,0.23488
51,0.23492
52,0.23496
53,0.23497
54,0.23502
55,0.23503
56,0.23504
57,0.23505
58,0.23506
59,0.23507
60,0.23508
61,0.23511
62,0.23521
63,0.23523
64,0.23523
65,0.23526
66,0.2353
67,0.23535
68,0.23535
69,0.23541
70,0.23542
71,0.23545
72,0.23549
73,0.23558
74,0.23561
75,0.23561
76,0.23563
77,0.23564
78,0.23566
79,0.23566
80,0.23571
81,0.23573
82,0.23581
83,0.23583
84,0.23584
85,0.23584
86,0.23584
87,0.23586
88,0.23587
89,0.23587
90,0.23588
91,0.2359
92,0.23591
93,0.23599
94,0.23599
95,0.23603
96,0.23604
97,0.23605
98,0.23606
99,0.23606
100,0.2361
101,0.23613
102,0.23613
103,0.23615
104,0.23616
105,0.23619
106,0.23619
107,0.23633
108,0.23636
109,0.23642
110,0.23642
111,0.23643
112,0.23644
113,0.23645
114,0.23645
115,0.23646
116,0.23649
117,0.2365
118,0.2365
119,0.23651
120,0.23651
121,0.23652
122,0.23652
123,0.23655
124,0.23657
125,0.23659
126,0.23661
127,0.23661
128,0.23661
129,0.23662
130,0.23662
131,0.23663
132,0.23665
133,0.23666
134,0.23668
135,0.23668
136,0.23669
137,0.23669
138,0.23669
139,0.23673
140,0.23675
141,0.23675
142,0.23677
143,0.23677
144,0.23678
145,0.2368
146,0.2368
147,0.23681
148,0.23683
149,0.23684
150,0.23684
151,0.23684
152,0.23686
153,0.23686
154,0.23688
155,0.2369
156,0.23691
157,0.23691
158,0.23693
159,0.23693
160,0.23696
161,0.23696
162,0.23698
163,0.23698
164,0.23699
165,0.23699
166,0.23701
167,0.23705
168,0.23706
169,0.2371
170,0.23711
171,0.23716
172,0.23718
173,0.23719
174,0.2372
175,0.23723
176,0.23723
177,0.23724
178,0.23724
179,0.23725
180,0.23727
181,0.23727
182,0.23728
183,0.23728
184,0.23728
185,0.23729
186,0.2373
187,0.23731
188,0.23731
189,0.23733
190,0.23733
191,0.23736
192,0.23738
193,0.23739
194,0.23742
195,0.23744
196,0.23744
197,0.23745
198,0.23746
199,0.23746
200,0.23747
201,0.23749
202,0.2375
203,0.2375
204,0.23755
205,0.23755
206,0.23759
207,0.23759
208,0.2376
209,0.23761
210,0.23764
211,0.23765
212,0.23767
213,0.23769
214,0.2377
215,0.23771
216,0.23771
217,0.23774
218,0.23774
219,0.23774
220,0.23776
221,0.23777
222,0.23778
223,0.2378
224,0.2378
225,0.23781
226,0.23782
227,0.23783
228,0.23786
229,0.23786
230,0.23787
231,0.23788
232,0.23788
233,0.23789
234,0.23789
235,0.2379
236,0.23791
237,0.23793
238,0.23793
239,0.23793
240,0.23794
241,0.23795
242,0.23796
243,0.23797
244,0.23798
245,0.23799
246,0.238
247,0.23801
248,0.23801
249,0.23803
250,0.23803
251,0.23804
252,0.23806
253,0.23807
254,0.2381
255,0.23811
256,0.23811
257,0.23814
258,0.23814
259,0.23819
260,0.2382
261,0.23821
262,0.23821
263,0.23827
264,0.23827
265,0.23831
266,0.23831
267,0.23834
268,0.23835
269,0.23838
270,0.2384
271,0.23841
272,0.23843
273,0.23847
274,0.23847
275,0.23847
276,0.23849
277,0.23852
278,0.23856
279,0.23859
280,0.23861
281,0.23862
282,0.23866
283,0.23867
284,0.23868
285,0.23868
286,0.23868
287,0.23869
288,0.23869
289,0.23872
290,0.23874
291,0.23876
292,0.23882
293,0.23882
294,0.23884
295,0.23885
296,0.23886
297,0.23888
298,0.23889
299,0.2389
300,0.2389
301,0.23891
302,0.23891
303,0.23893
304,0.23905
305,0.23906
306,0.2391
307,0.23912
308,0.2392
309,0.23923
310,0.23931
311,0.23933
312,0.23935
313,0.23937
314,0.23937
315,0.23938
316,0.23938
317,0.23943
318,0.23944
319,0.23944
320,0.23948
321,0.2395
322,0.23955
323,0.23964
324,0.23976
325,0.2398
326,0.23981
327,0.23983
328,0.23984
329,0.23984
330,0.23988
331,0.23989
332,0.23991
333,0.23992
334,0.23996
335,0.24001
336,0.24011
337,0.24016
338,0.24024
339,0.24042
340,0.24043
341,0.24048
342,0.24052
343,0.24053
344,0.24058
345,0.24058
346,0.24066
347,0.24068
348,0.24072
349,0.24072
350,0.24075
351,0.24075
352,0.24081
353,0.24081
354,0.24091
355,0.24092
356,0.24094
357,0.241
358,0.24105
359,0.24115
360,0.24118
361,0.2412
362,0.2412
363,0.24123
364,0.24123
365,0.24123
366,0.24124
367,0.24124
368,0.24127
369,0.24129
370,0.2414
371,0.24144
372,0.24146
373,0.24152
374,0.24156
375,0.24158
376,0.2416
377,0.24167
378,0.24167
379,0.2417
380,0.24174
381,0.24175
382,0.24177
383,0.2418
384,0.24182
385,0.24191
386,0.24195
387,0.24201
388,0.24206
389,0.24207
390,0.2421
391,0.24211
392,0.24211
393,0.24215
394,0.24218
395,0.24223
396,0.24227
397,0.24229
398,0.2423
399,0.2423
400,0.2423
401,0.24231
402,0.24239
403,0.24242
404,0.24244
405,0.24244
406,0.24245
407,0.24246
408,0.24249
409,0.24253
410,0.24256
411,0.24257
412,0.24265
413,0.24272
414,0.24272
415,0.24272
416,0.24277
417,0.24292
418,0.24299
419,0.24307
420,0.24316
421,0.24321
422,0.24322
423,0.24325
424,0.24326
425,0.24328
426,0.24329
427,0.24338
428,0.2434
429,0.24343
430,0.24343
431,0.24343
432,0.24343
433,0.24343
434,0.24343
435,0.24343
436,0.24343
437,0.24343
438,0.24343
439,0.24343
440,0.24343
441,0.24343
442,0.24343
443,0.24343
444,0.24343
445,0.24343
446,0.24343
447,0.24343
448,0.24343
449,0.24343
450,0.24343
451,0.24343
452,0.24343
453,0.24343
454,0.24343
455,0.24343
456,0.24343
457,0.24343
458,0.24343
459,0.24343
460,0.24343
461,0.24343
462,0.24343
463,0.24343
464,0.24343
465,0.24343
466,0.24343
467,0.24343
468,0.24343
469,0.24343
470,0.24343
471,0.24343
472,0.24343
473,0.24343
474,0.24343
475,0.24343
476,0.24343
477,0.24343
478,0.24343
479,0.24343
480,0.24343
481,0.24343
482,0.24343
483,0.24343
484,0.24343
485,0.24343
486,0.24343
487,0.24343
488,0.24343
489,0.24343
490,0.24343
491,0.24343
492,0.24343
493,0.24343
494,0.24343
495,0.24344
496,0.24344
497,0.24347
498,0.24347
499,0.2435
500,0.24352
501,0.24352
502,0.24354
503,0.24355
504,0.24355
505,0.24356
506,0.24359
507,0.2436
508,0.24363
509,0.24365
510,0.24367
511,0.2437
512,0.2437
513,0.24374
514,0.24374
515,0.24378
516,0.24379
517,0.2438
518,0.24382
519,0.24384
520,0.24385
521,0.24389
522,0.24389
523,0.24389
524,0.24389
525,0.2439
526,0.24392
527,0.24396
528,0.24396
529,0.24401
530,0.24401
531,0.24402
532,0.24403
533,0.24405
534,0.24405
535,0.24405
536,0.24411
537,0.24412
538,0.24412
539,0.24412
540,0.24414
541,0.24415
542,0.24417
543,0.24417
544,0.24419
545,0.2442
546,0.2442
547,0.24421
548,0.24422
549,0.24426
550,0.24427
551,0.24432
552,0.24435
553,0.24436
554,0.24438
555,0.24438
556,0.24439
557,0.2444
558,0.24441
559,0.24441
560,0.24441
561,0.24441
562,0.24441
563,0.24441
564,0.24441
565,0.24441
566,0.24441
567,0.24441
568,0.24441
569,0.24441
570,0.24441
571,0.24441
572,0.24441
573,0.24441
574,0.24441
575,0.24441
576,0.24441
577,0.24441
578,0.24442
579,0.24443
580,0.24443
581,0.24443
582,0.24443
583,0.24446
584,0.24446
585,0.24448
586,0.24449
587,0.24451
588,0.24452
589,0.24452
590,0.24452
591,0.24456
592,0.2446
593,0.2446
594,0.24461
595,0.24464
596,0.24464
597,0.24465
598,0.24465
599,0.24473
600,0.24477
601,0.24477
602,0.24477
603,0.24479
604,0.24479
605,0.2448
606,0.24481
607,0.24484
608,0.24484
609,0.24486
610,0.24487
611,0.24488
612,0.24488
613,0.2449
614,0.2449
615,0.24491
616,0.24497
617,0.24503
618,0.24503
619,0.24505
620,0.2451
621,0.2451
622,0.2451
623,0.24514
624,0.24516
625,0.24523
626,0.24524
627,0.2453
628,0.24531
629,0.24531
630,0.24535
631,0.24535
632,0.24552
633,0.24552
634,0.24553
635,0.24554
636,0.24555
637,0.24557
638,0.24557
639,0.24557
640,0.24559
641,0.24565
642,0.24566
643,0.24566
644,0.24571
645,0.24581
646,0.24582
647,0.24582
648,0.24582
649,0.24582
650,0.24582
651,0.24582
652,0.24582
653,0.24582
654,0.24584
655,0.24585
656,0.24587
657,0.24588
658,0.2459
659,0.24597
660,0.246
661,0.24601
662,0.24601
663,0.24601
664,0.24609
665,0.24614
666,0.24616
667,0.24619
668,0.2462
669,0.24621
670,0.24621
671,0.24627
672,0.24627
673,0.24627
674,0.24628
675,0.24629
676,0.2463
677,0.24638
678,0.24638
679,0.24642
680,0.24643
681,0.24645
682,0.24646
683,0.24647
684,0.24651
685,0.24651
686,0.24651
687,0.24655
688,0.24656
689,0.24659
690,0.24661
691,0.24664
692,0.24667
693,0.2467
694,0.2467
695,0.24672
696,0.24672
697,0.24674
698,0.24676
699,0.24679
700,0.24679
701,0.24683
702,0.24683
703,0.24683
704,0.24683
705,0.24685
706,0.24688
707,0.24698
708,0.247
709,0.24702
710,0.24706
711,0.24716
712,0.24717
713,0.24718
714,0.24725
715,0.24727
716,0.24731
717,0.24736
718,0.24736
719,0.24738
720,0.24738
721,0.24738
722,0.24738
723,0.24738
724,0.24738
725,0.24738
726,0.24738
727,0.24738
728,0.24738
729,0.24744
730,0.24747
731,0.24749
732,0.24755
733,0.24756
734,0.24757
735,0.24757
736,0.24758
737,0.24758
738,0.2476
739,0.24762
740,0.24762
741,0.24763
742,0.24764
743,0.24766
744,0.24766
745,0.24767
746,0.24767
747,0.24768
748,0.2477
749,0.24772
750,0.24773
751,0.24774
752,0.24776
753,0.24782
754,0.24783
755,0.24784
756,0.24788
757,0.24794
758,0.24796
759,0.24796
760,0.24797
761,0.24802
762,0.24803
763,0.24811
764,0.24813
765,0.24814
766,0.24814
767,0.24817
768,0.2482
769,0.24827
770,0.24829
771,0.24831
772,0.24831
773,0.24831
774,0.24831
775,0.24831
776,0.24831
777,0.24833
778,0.24833
779,0.24835
780,0.24835
781,0.24836
782,0.24838
783,0.2484
784,0.24845
785,0.24847
786,0.24847
