rank,score
1,0.08227
2,0.08555
3,0.08579
4,0.08687
5,0.08883
6,0.09102
7,0.09305
8,0.09817
9,0.10467
10,0.10517
11,0.1075
12,0.10754
13,0.10818
14,0.10821
15,0.10849
16,0.11374
17,0.11524
18,0.11573
19,0.11636
20,0.1167
21,0.11683
22,0.11801
23,0.11822
24,0.11912
25,0.11956
26,0.12049
27,0.12088
28,0.12334
29,0.12353
30,0.12419
31,0.12436
32,0.12442
33,0.12455
34,0.12614
35,0.12624
36,0.12715
37,0.1276
38,0.12788
39,0.12952
40,0.12979
41,0.12989
42,0.13008
43,0.13037
44,0.13044
45,0.1307
46,0.13088
47,0.13091
48,0.13099
49,0.131
50,0.13103
51,0.13111
52,0.13119
53,0.13128
54,0.13146
55,0.13149
56,0.13161
57,0.13179
58,0.13208
59,0.13317
60,0.13331
61,0.13332
62,0.13352
63,0.13406
64,0.13435
65,0.13436
66,0.1346
67,0.13471
68,0.13473
69,0.13496
70,0.13497
71,0.13498
72,0.1351
73,0.13523
74,0.13524
75,0.13528
76,0.13531
77,0.13531
78,0.13532
79,0.13567
80,0.13571
81,0.13587
82,0.13594
83,0.13595
84,0.13599
85,0.13599
86,0.13609
87,0.13616
88,0.13619
89,0.13628
90,0.13631
91,0.13631
92,0.13631
93,0.13634
94,0.13635
95,0.13635
96,0.13635
97,0.13649
98,0.13655
99,0.13657
100,0.13661
101,0.1367
102,0.13675
103,0.13681
104,0.13682
105,0.13687
106,0.13699
107,0.13701
108,0.13703
109,0.13711
110,0.13719
111,0.13722
112,0.13724
113,0.13727
114,0.1373
115,0.13733
116,0.13736
117,0.13745
118,0.13748
119,0.13749
120,0.1375
121,0.13752
122,0.13753
123,0.13753
124,0.13753
125,0.13753
126,0.13753
127,0.13753
128,0.13753
129,0.13753
130,0.13753
131,0.13753
132,0.13753
133,0.13753
134,0.13753
135,0.13753
136,0.13753
137,0.13753
138,0.13753
139,0.13753
140,0.13753
141,0.13753
142,0.13753
143,0.13753
144,0.13753
145,0.13753
146,0.13753
147,0.13753
148,0.13753
149,0.13753
150,0.13753
151,0.13753
152,0.13753
153,0.13753
154,0.13753
155,0.13753
156,0.13753
157,0.13753
158,0.13753
159,0.13753
160,0.13753
161,0.13753
162,0.13753
163,0.13753
164,0.13753
165,0.13753
166,0.13753
167,0.13753
168,0.13753
169,0.13753
170,0.13753
171,0.13753
172,0.13753
173,0.13753
174,0.13753
175,0.13753
176,0.13753
177,0.13753
178,0.13753
179,0.13753
180,0.13753
181,0.13753
182,0.13753
183,0.13753
184,0.13753
185,0.13753
186,0.13753
187,0.13753
188,0.13753
189,0.13753
190,0.13753
191,0.13753
192,0.13753
193,0.13753
194,0.13753
195,0.13753
196,0.13753
197,0.13753
198,0.13753
199,0.13753
200,0.13753
201,0.13753
202,0.13753
203,0.13753
204,0.13753
205,0.13756
206,0.13758
207,0.13759
208,0.13765
209,0.13768
210,0.13774
211,0.13775
212,0.1378
213,0.13787
214,0.13787
215,0.1379
216,0.13799
217,0.13811
218,0.13812
219,0.13818
220,0.13827
221,0.1385
222,0.13856
223,0.13869
224,0.1387
225,0.1387
226,0.13873
227,0.13878
228,0.13879
229,0.13881
230,0.13886
231,0.13887
232,0.13887
233,0.13904
234,0.13923
235,0.13926
236,0.13927
237,0.13929
238,0.13932
239,0.13932
240,0.13932
241,0.13932
242,0.13937
243,0.13938
244,0.13938
245,0.13943
246,0.13946
247,0.13954
248,0.13956
249,0.13956
250,0.13956
251,0.13956
252,0.13956
253,0.13956
254,0.1396
255,0.13961
256,0.13963
257,0.13997
258,0.14001
259,0.14002
260,0.14005
261,0.14017
262,0.14017
263,0.14017
264,0.14017
265,0.14017
266,0.14017
267,0.14017
268,0.14017
269,0.14017
270,0.1402
271,0.1402
272,0.1402
273,0.14028
274,0.14029
275,0.14041
276,0.14047
277,0.14054
278,0.14072
279,0.14075
280,0.14089
281,0.14095
282,0.14097
283,0.14111
284,0.14123
285,0.14124
286,0.14137
287,0.1414
288,0.1414
289,0.14143
290,0.1415
291,0.14206
292,0.14216
293,0.14228
294,0.1423
295,0.14249
296,0.14256
297,0.14259
298,0.14262
299,0.14266
300,0.14285
301,0.14291
302,0.14292
303,0.14295
304,0.14301
305,0.14306
306,0.14306
307,0.1431
308,0.14315
309,0.14315
310,0.14319
311,0.14319
312,0.14329
313,0.14334
314,0.14341
315,0.14348
316,0.14368
317,0.14371
318,0.14372
319,0.14387
320,0.14388
321,0.14389
322,0.14415
323,0.14415
324,0.14434
325,0.14448
326,0.14448
327,0.14465
328,0.14466
329,0.14479
330,0.145
331,0.14514
332,0.14533
333,0.14552
334,0.14583
335,0.14601
336,0.14607
337,0.14612
338,0.14617
339,0.14636
340,0.14637
341,0.14638
342,0.14641
343,0.14667
344,0.14672
345,0.14704
346,0.14705
347,0.14705
348,0.14716
349,0.14723
350,0.14749
351,0.14762
352,0.14766
353,0.1479
354,0.14797
355,0.14804
356,0.14806
357,0.14813
358,0.14814
359,0.14827
360,0.14832
361,0.14842
362,0.14846
363,0.14848
364,0.14869
365,0.14874
366,0.14876
367,0.14881
368,0.14885
369,0.14897
370,0.14904
371,0.14909
372,0.1491
373,0.14911
374,0.14917
375,0.14918
376,0.1492
377,0.14951
378,0.14964
379,0.14984
380,0.15016
381,0.15023
382,0.15029
383,0.15031
384,0.15044
385,0.15044
386,0.15047
387,0.15056
388,0.15059
389,0.15067
390,0.15076
391,0.15085
392,0.15088
393,0.1509
394,0.15093
395,0.15104
396,0.15121
397,0.15122
398,0.15123
399,0.15154
400,0.15159
401,0.15167
402,0.1517
403,0.15172
404,0.15174
405,0.15185
406,0.15212
407,0.15224
408,0.15233
409,0.15233
410,0.15236
411,0.15261
412,0.15264
413,0.15274
414,0.15283
415,0.15288
416,0.15289
417,0.153
418,0.15301
419,0.15305
420,0.15312
421,0.15327
422,0.15331
423,0.15336
424,0.15345
425,0.15345
426,0.15351
427,0.15352
428,0.15356
429,0.15365
430,0.15366
431,0.15369
432,0.15369
433,0.15372
434,0.15376
435,0.15387
436,0.15393
437,0.15418
438,0.1542
439,0.1545
440,0.15452
441,0.15457
442,0.15465
443,0.15476
444,0.15476
445,0.1548
446,0.15488
447,0.15499
448,0.155
449,0.15502
450,0.15503
451,0.15509
452,0.1551
453,0.15523
454,0.15526
455,0.15527
456,0.15536
457,0.15548
458,0.15551
459,0.15551
460,0.15563
461,0.15574
462,0.15577
463,0.1558
464,0.1558
465,0.1558
466,0.1558
467,0.1558
468,0.1558
469,0.1558
470,0.15591
471,0.15596
472,0.156
473,0.15604
474,0.15619
475,0.15619
476,0.15622
477,0.15629
478,0.15635
479,0.15646
480,0.15649
481,0.15651
482,0.15651
483,0.15658
484,0.15659
485,0.15661
486,0.15662
487,0.15667
488,0.15667
489,0.1567
490,0.15677
491,0.15677
492,0.1568
493,0.15686
494,0.1569
495,0.15702
496,0.15707
497,0.15709
498,0.15711
499,0.15716
500,0.15716
501,0.15717
502,0.15737
503,0.15741
504,0.15741
505,0.15757
506,0.15765
507,0.15767
508,0.15777
509,0.1578
510,0.15787
511,0.1579
512,0.15792
513,0.15807
514,0.1581
515,0.15811
516,0.15816
517,0.15821
518,0.15822
519,0.15824
520,0.15825
521,0.15828
522,0.15844
523,0.15844
524,0.15849
525,0.15849
526,0.15853
527,0.15866
528,0.15867
529,0.15869
530,0.15872
531,0.15877
532,0.15877
533,0.15877
534,0.15877
535,0.1588
536,0.15887
537,0.15887
538,0.15887
539,0.15892
540,0.15892
541,0.15892
542,0.15892
543,0.15892
544,0.15892
545,0.15909
546,0.1591
547,0.15912
548,0.15926
549,0.15932
550,0.15936
551,0.15936
552,0.15944
553,0.15944
554,0.15952
555,0.15955
556,0.15956
557,0.15957
558,0.15962
559,0.15964
560,0.15974
561,0.15982
562,0.15989
563,0.15993
564,0.16018
565,0.16019
566,0.16021
567,0.16022
568,0.1603
569,0.16035
570,0.16036
571,0.16038
572,0.16056
573,0.16058
574,0.16065
575,0.16065
576,0.16065
577,0.16065
578,0.16065
579,0.16065
580,0.16065
581,0.16065
582,0.16065
583,0.16065
584,0.16065
585,0.16065
586,0.16065
587,0.16065
588,0.16065
589,0.16065
590,0.16065
591,0.16065
592,0.16065
593,0.16065
594,0.16065
595,0.16065
596,0.16065
597,0.16065
598,0.16065
599,0.16065
600,0.16065
601,0.16066
602,0.16068
603,0.1607
604,0.16076
605,0.16078
606,0.16081
607,0.16084
608,0.16085
609,0.16091
610,0.16097
611,0.16104
612,0.16105
613,0.16108
614,0.16109
615,0.16122
616,0.16123
617,0.16128
618,0.1613
619,0.16131
620,0.16135
621,0.16146
622,0.16148
623,0.16162
624,0.16165
625,0.16166
626,0.16169
627,0.16171
628,0.16172
629,0.16172
630,0.1618
631,0.16184
632,0.16184
633,0.16192
634,0.16194
635,0.16198
636,0.16203
637,0.16217
638,0.16217
639,0.16224
640,0.16224
641,0.16231
642,0.16251
643,0.16254
644,0.16255
645,0.1626
646,0.16265
647,0.16265
648,0.16267
649,0.16272
650,0.16276
651,0.16276
652,0.1628
653,0.16285
654,0.16296
655,0.16297
656,0.16299
657,0.16301
658,0.16303
659,0.1631
660,0.16316
661,0.16316
662,0.16328
663,0.16335
664,0.16337
665,0.16337
666,0.16356
667,0.16358
668,0.16366
669,0.16381
670,0.16382
671,0.16395
672,0.16395
673,0.16395
674,0.16414
675,0.16415
676,0.16416
677,0.16423
678,0.16424
679,0.16425
680,0.16426
681,0.16429
682,0.16456
683,0.16459
684,0.16476
685,0.16477
686,0.16483
687,0.16491
688,0.16495
689,0.16509
690,0.16514
