rank,score
1,0.08018
2,0.08526
3,0.08673
4,0.08779
5,0.08805
6,0.08934
7,0.09213
8,0.09285
9,0.09295
10,0.09299
11,0.09367
12,0.09428
13,0.09497
14,0.0957
15,0.09578
16,0.09589
17,0.09608
18,0.09658
19,0.10156
20,0.10185
21,0.1035
22,0.10438
23,0.10535
24,0.10568
25,0.10587
26,0.10602
27,0.10708
28,0.10724
29,0.10757
30,0.10759
31,0.10763
32,0.10778
33,0.10781
34,0.10866
35,0.10888
36,0.10949
37,0.11182
38,0.11226
39,0.11231
40,0.11297
41,0.113
42,0.11301
43,0.11305
44,0.1131
45,0.1131
46,0.11312
47,0.11321
48,0.1133
49,0.1133
50,0.11343
51,0.11348
52,0.11378
53,0.1144
54,0.11445
55,0.11481
56,0.11486
57,0.11506
58,0.11555
59,0.1158
60,0.11581
61,0.11587
62,0.11604
63,0.11648
64,0.11662
65,0.11667
66,0.11674
67,0.1168
68,0.11682
69,0.11685
70,0.11689
71,0.11719
72,0.1174
73,0.11763
74,0.11771
75,0.11779
76,0.11797
77,0.1181
78,0.11813
79,0.11817
80,0.11827
81,0.1183
82,0.11839
83,0.11841
84,0.11855
85,0.11856
86,0.11856
87,0.11875
88,0.11888
89,0.1189
90,0.11902
91,0.11921
92,0.11927
93,0.11939
94,0.1194
95,0.1194
96,0.11955
97,0.11964
98,0.11969
99,0.1197
100,0.11974
101,0.11978
102,0.11981
103,0.11985
104,0.1199
105,0.1199
106,0.1199
107,0.11991
108,0.12013
109,0.12015
110,0.12016
111,0.12017
112,0.12035
113,0.12051
114,0.12052
115,0.12053
116,0.12056
117,0.12056
118,0.12056
119,0.12058
120,0.12066
121,0.12084
122,0.12086
123,0.12088
124,0.12093
125,0.12108
126,0.1211
127,0.12125
128,0.12138
129,0.12145
130,0.12153
131,0.12154
132,0.12155
133,0.12169
134,0.12169
135,0.1217
136,0.12174
137,0.12179
138,0.1218
139,0.12197
140,0.12201
141,0.12202
142,0.12213
143,0.12221
144,0.12222
145,0.12226
146,0.12247
147,0.1225
148,0.12258
149,0.1226
150,0.12266
151,0.12278
152,0.12284
153,0.12291
154,0.12292
155,0.12304
156,0.12308
157,0.1231
158,0.12321
159,0.12321
160,0.12324
161,0.12329
162,0.12342
163,0.12346
164,0.12347
165,0.12361
166,0.12374
167,0.12376
168,0.12378
169,0.12379
170,0.12391
171,0.12393
172,0.12396
173,0.12405
174,0.12406
175,0.12416
176,0.12417
177,0.12418
178,0.12423
179,0.12424
180,0.12426
181,0.12427
182,0.1243
183,0.12434
184,0.12435
185,0.12447
186,0.12447
187,0.12449
188,0.12458
189,0.12462
190,0.12471
191,0.12472
192,0.12473
193,0.12477
194,0.12487
195,0.12491
196,0.12491
197,0.12491
198,0.12492
199,0.12495
200,0.12502
201,0.12503
202,0.12506
203,0.12509
204,0.12509
205,0.1251
206,0.12512
207,0.12513
208,0.12523
209,0.12524
210,0.12529
211,0.1253
212,0.12536
213,0.1254
214,0.1255
215,0.12552
216,0.12553
217,0.12558
218,0.12558
219,0.12558
220,0.12558
221,0.12558
222,0.12558
223,0.12558
224,0.12558
225,0.12558
226,0.12558
227,0.12558
228,0.12561
229,0.12563
230,0.12565
231,0.12565
232,0.12572
233,0.12574
234,0.12575
235,0.12576
236,0.12577
237,0.12578
238,0.12581
239,0.12582
240,0.12582
241,0.12584
242,0.12585
243,0.12585
244,0.12585
245,0.12585
246,0.12585
247,0.12585
248,0.12585
249,0.12585
250,0.12585
251,0.12585
252,0.12585
253,0.12585
254,0.12585
255,0.12585
256,0.12585
257,0.12585
258,0.12585
259,0.12585
260,0.12585
261,0.12585
262,0.12585
263,0.12585
264,0.12585
265,0.12585
266,0.12585
267,0.12585
268,0.12585
269,0.12585
270,0.12585
271,0.12585
272,0.12585
273,0.12585
274,0.12585
275,0.12585
276,0.12585
277,0.12585
278,0.12585
279,0.12585
280,0.12585
281,0.12585
282,0.12585
283,0.12585
284,0.12585
285,0.12585
286,0.12585
287,0.12585
288,0.12585
289,0.12585
290,0.12585
291,0.12585
292,0.12585
293,0.12585
294,0.12585
295,0.12585
296,0.12585
297,0.12585
298,0.12585
299,0.12585
300,0.12585
301,0.12585
302,0.12585
303,0.12585
304,0.12585
305,0.12585
306,0.12585
307,0.12585
308,0.12585
309,0.12585
310,0.12585
311,0.12585
312,0.12585
313,0.12585
314,0.12585
315,0.12585
316,0.12585
317,0.12585
318,0.12585
319,0.12585
320,0.12585
321,0.12585
322,0.12585
323,0.12585
324,0.12585
325,0.12585
326,0.12585
327,0.12585
328,0.12585
329,0.12593
330,0.12596
331,0.126
332,0.12602
333,0.12611
334,0.12614
335,0.12617
336,0.12618
337,0.12622
338,0.12676
339,0.12676
340,0.12679
341,0.12681
342,0.12682
343,0.12684
344,0.12685
345,0.1269
346,0.12691
347,0.12692
348,0.12692
349,0.12697
350,0.12699
351,0.12711
352,0.12719
353,0.12719
354,0.12722
355,0.12739
356,0.1275
357,0.12774
358,0.12777
359,0.12782
360,0.12789
361,0.12793
362,0.12793
363,0.12798
364,0.12825
365,0.12827
366,0.1284
367,0.12858
368,0.12864
369,0.12866
370,0.12877
371,0.12882
372,0.12888
373,0.12891
374,0.12898
375,0.12898
376,0.12906
377,0.12923
378,0.12931
379,0.12932
380,0.12937
381,0.12946
382,0.12951
383,0.12956
384,0.12956
385,0.12957
386,0.1296
387,0.12963
388,0.12967
389,0.12997
390,0.13003
391,0.13007
392,0.13008
393,0.13014
394,0.13015
395,0.13017
396,0.13018
397,0.13021
398,0.13043
399,0.13056
400,0.1306
401,0.13066
402,0.13082
403,0.13086
404,0.13089
405,0.13094
406,0.13107
407,0.13109
408,0.13121
409,0.13122
410,0.13124
411,0.13134
412,0.13134
413,0.13136
414,0.13136
415,0.13146
416,0.1315
417,0.13151
418,0.13152
419,0.13152
420,0.13168
421,0.13171
422,0.13171
423,0.13173
424,0.13176
425,0.13179
426,0.13183
427,0.13184
428,0.13184
429,0.13186
430,0.13191
431,0.13202
432,0.13221
433,0.13222
434,0.13231
435,0.13244
436,0.13252
437,0.13253
438,0.13256
439,0.13257
440,0.13258
441,0.13262
442,0.13263
443,0.13264
444,0.13264
445,0.13266
446,0.13271
447,0.13272
448,0.13272
449,0.13272
450,0.13272
451,0.13272
452,0.13272
453,0.13272
454,0.13272
455,0.13272
456,0.13272
457,0.13272
458,0.13272
459,0.13272
460,0.13272
461,0.13272
462,0.13272
463,0.13272
464,0.13272
465,0.13272
466,0.13272
467,0.13272
468,0.13272
469,0.13272
470,0.13272
471,0.13272
472,0.13272
473,0.13272
474,0.13272
475,0.13272
476,0.13272
477,0.13272
478,0.13272
479,0.13272
480,0.13272
481,0.13272
482,0.13272
483,0.13272
484,0.13272
485,0.13272
486,0.13272
487,0.13272
488,0.13272
489,0.13272
490,0.13272
491,0.13272
492,0.13272
493,0.13272
494,0.13272
495,0.13272
496,0.13272
497,0.13272
498,0.13272
499,0.13272
500,0.13272
501,0.13272
502,0.13272
503,0.13272
504,0.13272
505,0.13272
506,0.13272
507,0.13272
508,0.13272
509,0.13272
510,0.13272
511,0.13272
512,0.13272
513,0.13272
514,0.13272
515,0.13272
516,0.13272
517,0.13272
518,0.13272
519,0.13272
520,0.13272
521,0.13272
522,0.13272
523,0.13272
524,0.13272
525,0.13272
526,0.13272
527,0.13272
528,0.13272
529,0.13272
530,0.13272
531,0.13272
532,0.13272
533,0.13273
534,0.13273
535,0.13275
536,0.13287
537,0.13291
538,0.13297
539,0.133
540,0.133
541,0.13308
542,0.13312
543,0.13338
544,0.13341
545,0.13349
546,0.13356
547,0.13366
548,0.13373
549,0.13378
550,0.13385
551,0.13386
552,0.13398
553,0.13404
554,0.13414
555,0.13417
556,0.13423
557,0.13436
558,0.13439
559,0.13446
560,0.13501
561,0.13534
562,0.13575
563,0.13575
564,0.13575
565,0.13575
566,0.13575
567,0.13575
568,0.13575
569,0.13575
570,0.13575
571,0.13575
572,0.13575
573,0.13575
574,0.13575
575,0.13575
576,0.13575
577,0.13575
578,0.13575
579,0.13575
580,0.13575
581,0.13575
582,0.1358
583,0.13582
584,0.13585
585,0.13587
586,0.13587
587,0.1359
588,0.13594
589,0.13598
590,0.13599
591,0.13613
592,0.13623
593,0.13639
594,0.13643
595,0.13643
596,0.13655
597,0.13659
598,0.1366
599,0.13669
600,0.13676
601,0.13678
602,0.13696
603,0.13702
604,0.13738
605,0.13745
606,0.13767
607,0.1378
608,0.1379
609,0.138
610,0.13802
611,0.13817
612,0.13825
613,0.13829
614,0.13829
615,0.1383
616,0.1383
617,0.13845
618,0.13847
619,0.13849
620,0.13849
621,0.13872
622,0.13894
623,0.13904
624,0.13916
625,0.13938
626,0.13943
627,0.13957
628,0.1396
629,0.13962
630,0.13967
631,0.13989
632,0.13992
633,0.13995
634,0.14005
635,0.14005
636,0.14005
637,0.14005
638,0.14005
639,0.14015
640,0.14017
641,0.14029
642,0.14057
643,0.14065
644,0.14066
645,0.14074
646,0.14077
647,0.14077
648,0.14077
649,0.14077
650,0.14077
651,0.14077
652,0.14077
653,0.14077
654,0.14082
655,0.14085
656,0.14114
657,0.14114
658,0.14114
659,0.14114
660,0.14114
661,0.14127
662,0.14134
663,0.14139
664,0.14147
665,0.14157
666,0.14161
667,0.14161
668,0.14161
669,0.14161
670,0.1417
671,0.14172
672,0.14179
673,0.14186
674,0.14203
675,0.14208
676,0.14212
677,0.14243
678,0.14257
679,0.14258
680,0.14262
681,0.14269
682,0.1427
683,0.14279
684,0.1428
685,0.14286
686,0.14296
687,0.14309
688,0.14311
689,0.14311
690,0.14312
691,0.14329
692,0.1433
693,0.14339
694,0.14344
