rank,score
1,0.88905
2,0.88817
3,0.88791
4,0.88764
5,0.88761
6,0.8876
7,0.88715
8,0.8871
9,0.88689
10,0.88675
11,0.88661
12,0.88588
13,0.88585
14,0.88579
15,0.88565
16,0.88562
17,0.88561
18,0.88561
19,0.88558
20,0.88557
21,0.88531
22,0.88494
23,0.88486
24,0.88482
25,0.88481
26,0.88472
27,0.88471
28,0.88458
29,0.88447
30,0.88442
31,0.88418
32,0.88406
33,0.88406
34,0.88403
35,0.88398
36,0.88396
37,0.88393
38,0.88386
39,0.88367
40,0.88352
41,0.88344
42,0.88343
43,0.88341
44,0.88319
45,0.88313
46,0.88311
47,0.88311
48,0.88306
49,0.88295
50,0.88294
51,0.88292
52,0.88283
53,0.88282
54,0.88266
55,0.88266
56,0.88263
57,0.88261
58,0.88261
59,0.88261
60,0.88256
61,0.88253
62,0.88252
63,0.88252
64,0.88252
65,0.88252
66,0.88252
67,0.88252
68,0.88251
69,0.8825
70,0.8825
71,0.88247
72,0.88246
73,0.88245
74,0.88244
75,0.88243
76,0.88239
77,0.88238
78,0.88238
79,0.88237
80,0.88236
81,0.88235
82,0.88232
83,0.88231
84,0.88231
85,0.8823
86,0.8823
87,0.8823
88,0.8823
89,0.88228
90,0.88228
91,0.88228
92,0.88226
93,0.88224
94,0.88224
95,0.88222
96,0.88218
97,0.88218
98,0.88217
99,0.88217
100,0.88217
101,0.88217
102,0.88217
103,0.88217
104,0.88217
105,0.88217
106,0.88217
107,0.88217
108,0.88217
109,0.88217
110,0.88217
111,0.88217
112,0.88217
113,0.88217
114,0.88217
115,0.88217
116,0.88217
117,0.88217
118,0.88217
119,0.88217
120,0.88217
121,0.88217
122,0.88217
123,0.88217
124,0.88217
125,0.88217
126,0.88217
127,0.88217
128,0.88217
129,0.88217
130,0.88217
131,0.88217
132,0.88217
133,0.88217
134,0.88217
135,0.88217
136,0.88217
137,0.88217
138,0.88217
139,0.88217
140,0.88217
141,0.88217
142,0.88217
143,0.88217
144,0.88217
145,0.88217
146,0.88217
147,0.88217
148,0.88217
149,0.88217
150,0.88217
151,0.88217
152,0.88217
153,0.88217
154,0.88217
155,0.88217
156,0.88217
157,0.88217
158,0.88217
159,0.88217
160,0.88217
161,0.88217
162,0.88217
163,0.88217
164,0.88217
165,0.88217
166,0.88217
167,0.88217
168,0.88217
169,0.88217
170,0.88217
171,0.88217
172,0.88217
173,0.88217
174,0.88217
175,0.88217
176,0.88217
177,0.88217
178,0.88217
179,0.88212
180,0.8821
181,0.8821
182,0.88209
183,0.88207
184,0.88207
185,0.88205
186,0.88205
187,0.88205
188,0.88205
189,0.88205
190,0.88203
191,0.88203
192,0.88201
193,0.88201
194,0.88201
195,0.882
196,0.88198
197,0.88196
198,0.88195
199,0.88195
200,0.88193
201,0.88192
202,0.88192
203,0.88191
204,0.8819
205,0.8819
206,0.88188
207,0.88188
208,0.88186
209,0.8818
210,0.88172
211,0.88171
212,0.8817
213,0.8817
214,0.88169
215,0.88165
216,0.88163
217,0.88163
218,0.88163
219,0.88161
220,0.88157
221,0.88156
222,0.88152
223,0.88147
224,0.88147
225,0.88145
226,0.88145
227,0.88145
228,0.88144
229,0.88139
230,0.88137
231,0.88131
232,0.8813
233,0.88122
234,0.88119
235,0.88115
236,0.88115
237,0.88114
238,0.88103
239,0.88102
240,0.88097
241,0.88092
242,0.88091
243,0.88089
244,0.88088
245,0.88086
246,0.88085
247,0.88085
248,0.88083
249,0.88081
250,0.88079
251,0.88078
252,0.88075
253,0.88072
254,0.88063
255,0.88062
256,0.8806
257,0.88057
258,0.88051
259,0.88048
260,0.88047
261,0.88046
262,0.88036
263,0.88028
264,0.88027
265,0.88026
266,0.88025
267,0.88022
268,0.8801
269,0.88008
270,0.88003
271,0.87997
272,0.87997
273,0.87997
274,0.87987
275,0.87987
276,0.87987
277,0.87983
278,0.8798
279,0.87978
280,0.87968
281,0.87968
282,0.87966
283,0.8796
284,0.87957
285,0.87956
286,0.87944
287,0.87944
288,0.87938
289,0.87927
290,0.87911
291,0.87904
292,0.87903
293,0.87902
294,0.87898
295,0.87893
296,0.8789
297,0.87886
298,0.87884
299,0.87873
300,0.87872
301,0.87865
302,0.87854
303,0.87844
304,0.87842
305,0.87836
306,0.87825
307,0.87818
308,0.87813
309,0.87792
310,0.87791
311,0.87783
312,0.87761
313,0.87749
314,0.87743
315,0.87694
316,0.87691
317,0.87683
318,0.87664
319,0.87662
320,0.8766
321,0.87652
322,0.87652
323,0.87649
324,0.87625
325,0.87619
326,0.87553
327,0.87549
328,0.87473
329,0.87427
330,0.87383
331,0.87329
332,0.87283
333,0.87271
334,0.87241
335,0.87229
336,0.87204
337,0.87184
338,0.87176
339,0.8716
340,0.8715
341,0.87124
342,0.87122
343,0.87112
344,0.87109
345,0.87092
346,0.87089
347,0.87089
348,0.87056
349,0.87031
350,0.87004
351,0.86872
352,0.86861
353,0.86852
354,0.86841
355,0.86835
356,0.86834
357,0.86725
358,0.86702
359,0.86696
360,0.86695
361,0.86691
362,0.86661
363,0.86606
364,0.86565
365,0.86524
366,0.86455
367,0.86434
368,0.86354
369,0.86324
370,0.86298
371,0.86292
372,0.86256
373,0.86235
374,0.86197
375,0.86183
376,0.86183
377,0.86173
378,0.86166
379,0.86135
380,0.86004
381,0.85981
382,0.85976
383,0.85933
384,0.85928
385,0.859
386,0.85884
387,0.85703
388,0.85666
389,0.85646
390,0.85593
391,0.85533
392,0.85509
393,0.85501
394,0.85484
395,0.85484
396,0.85445
397,0.85353
398,0.85246
399,0.85156
400,0.85145
401,0.85025
402,0.84934
403,0.8493
404,0.84884
405,0.84853
406,0.84836
407,0.8474
408,0.84668
409,0.84647
410,0.84647
411,0.84647
412,0.8462
413,0.84606
414,0.84575
415,0.84502
