rank,score
1,0.89775
2,0.89648
3,0.89467
4,0.89446
5,0.89377
6,0.89376
7,0.89304
8,0.89271
9,0.89229
10,0.8922
11,0.89205
12,0.89194
13,0.89186
14,0.89128
15,0.89125
16,0.89091
17,0.89082
18,0.89082
19,0.8904
20,0.89008
21,0.88969
22,0.88956
23,0.88952
24,0.88952
25,0.88944
26,0.88925
27,0.88858
28,0.88855
29,0.88849
30,0.8883
31,0.88801
32,0.88795
33,0.88772
34,0.88767
35,0.88766
36,0.88764
37,0.88758
38,0.88754
39,0.88752
40,0.88747
41,0.88738
42,0.88684
43,0.88665
44,0.88665
45,0.88663
46,0.88658
47,0.8865
48,0.8865
49,0.88636
50,0.88626
51,0.88598
52,0.88595
53,0.8858
54,0.88556
55,0.88552
56,0.8854
57,0.88516
58,0.88515
59,0.88484
60,0.88468
61,0.88466
62,0.88458
63,0.88443
64,0.88436
65,0.88394
66,0.88386
67,0.88377
68,0.88376
69,0.88366
70,0.88364
71,0.88346
72,0.88332
73,0.8833
74,0.88324
75,0.88314
76,0.88309
77,0.88301
78,0.883
79,0.88292
80,0.88291
81,0.88281
82,0.8828
83,0.88277
84,0.88266
85,0.88266
86,0.88239
87,0.88238
88,0.88223
89,0.88221
90,0.88219
91,0.88217
92,0.88212
93,0.88203
94,0.882
95,0.88196
96,0.88192
97,0.88192
98,0.8819
99,0.88189
100,0.88176
101,0.88173
102,0.88168
103,0.88167
104,0.88158
105,0.88155
106,0.88154
107,0.88152
108,0.88149
109,0.88145
110,0.88143
111,0.88139
112,0.88138
113,0.88131
114,0.88128
115,0.88117
116,0.88115
117,0.88114
118,0.8811
119,0.88104
120,0.88101
121,0.881
122,0.88099
123,0.88099
124,0.88099
125,0.88099
126,0.88099
127,0.88099
128,0.88099
129,0.88099
130,0.88099
131,0.88099
132,0.88098
133,0.88087
134,0.88079
135,0.88078
136,0.88072
137,0.88066
138,0.88061
139,0.8804
140,0.88038
141,0.88037
142,0.88036
143,0.88031
144,0.88022
145,0.88021
146,0.88019
147,0.88016
148,0.88013
149,0.8801
150,0.88007
151,0.88005
152,0.87996
153,0.87996
154,0.87994
155,0.87994
156,0.87991
157,0.87984
158,0.87984
159,0.87982
160,0.8798
161,0.8798
162,0.87979
163,0.87979
164,0.87979
165,0.87975
166,0.87958
167,0.87951
168,0.87949
169,0.87943
170,0.8794
171,0.87939
172,0.87936
173,0.87935
174,0.87934
175,0.87933
176,0.87933
177,0.87925
178,0.87924
179,0.87922
180,0.87919
181,0.87914
182,0.87912
183,0.87902
184,0.87902
185,0.87902
186,0.87902
187,0.879
188,0.879
189,0.879
190,0.87898
191,0.87895
192,0.87886
193,0.87877
194,0.87874
195,0.87871
196,0.8787
197,0.87869
198,0.87869
199,0.87866
200,0.87865
201,0.87858
202,0.87856
203,0.87855
204,0.87855
205,0.87851
206,0.87849
207,0.87849
208,0.87849
209,0.87848
210,0.87848
211,0.87847
212,0.87841
213,0.87841
214,0.87839
215,0.87836
216,0.87836
217,0.87836
218,0.87835
219,0.87835
220,0.87835
221,0.87835
222,0.87835
223,0.87835
224,0.87835
225,0.87835
226,0.87835
227,0.87835
228,0.87835
229,0.87835
230,0.87835
231,0.87835
232,0.87835
233,0.87835
234,0.87835
235,0.87835
236,0.87835
237,0.87835
238,0.87835
239,0.87835
240,0.87835
241,0.87835
242,0.87835
243,0.87835
244,0.87835
245,0.87835
246,0.87835
247,0.87835
248,0.87835
249,0.87835
250,0.87835
251,0.87835
252,0.87835
253,0.87835
254,0.87835
255,0.87835
256,0.87835
257,0.87835
258,0.87835
259,0.87835
260,0.87835
261,0.87835
262,0.87835
263,0.87835
264,0.87835
265,0.87835
266,0.87835
267,0.87835
268,0.87835
269,0.87835
270,0.87835
271,0.87835
272,0.87835
273,0.87835
274,0.87835
275,0.87835
276,0.87835
277,0.87835
278,0.87835
279,0.87835
280,0.87835
281,0.87835
282,0.87835
283,0.87835
284,0.87835
285,0.87835
286,0.87835
287,0.87835
288,0.87825
289,0.87825
290,0.87824
291,0.87819
292,0.87815
293,0.87808
294,0.87797
295,0.87796
296,0.87784
297,0.87776
298,0.87771
299,0.87769
300,0.87768
301,0.87766
302,0.87764
303,0.87755
304,0.87749
305,0.87734
306,0.87734
307,0.87732
308,0.87728
309,0.87717
310,0.87691
311,0.87658
312,0.87656
313,0.87631
314,0.876
315,0.87567
316,0.87566
317,0.87531
318,0.87531
319,0.8745
320,0.87448
321,0.87422
322,0.87336
323,0.87281
324,0.87238
325,0.87152
326,0.87144
327,0.87074
328,0.87018
329,0.8696
330,0.86944
331,0.86911
332,0.86836
333,0.8679
334,0.86748
335,0.86729
336,0.86725
337,0.86723
338,0.86689
339,0.86685
340,0.8666
341,0.86657
342,0.8657
343,0.86563
344,0.86561
345,0.86531
346,0.86469
347,0.86447
348,0.86415
349,0.86337
350,0.86312
351,0.8626
352,0.86248
