rank,score
1,0.81328
2,0.81328
3,0.8132
4,0.81317
5,0.81316
6,0.81314
7,0.81313
8,0.81313
9,0.81313
10,0.81312
11,0.81312
12,0.8131
13,0.8131
14,0.8131
15,0.81309
16,0.81309
17,0.81308
18,0.81308
19,0.81308
20,0.81308
21,0.81306
22,0.81306
23,0.81305
24,0.81305
25,0.81305
26,0.81305
27,0.81304
28,0.81304
29,0.81304
30,0.81304
31,0.81304
32,0.81304
33,0.81304
34,0.81304
35,0.81304
36,0.81304
37,0.81304
38,0.81304
39,0.81304
40,0.81304
41,0.81304
42,0.81304
43,0.81304
44,0.81304
45,0.81304
46,0.81304
47,0.81304
48,0.81304
49,0.81304
50,0.81304
51,0.81303
52,0.81303
53,0.81303
54,0.81301
55,0.81301
56,0.81301
57,0.813
58,0.813
59,0.813
60,0.813
61,0.813
62,0.813
63,0.813
64,0.813
65,0.813
66,0.813
67,0.813
68,0.813
69,0.813
70,0.813
71,0.813
72,0.813
73,0.813
74,0.813
75,0.813
76,0.813
77,0.81299
78,0.81299
79,0.81299
80,0.81299
81,0.81299
82,0.81299
83,0.81299
84,0.81297
85,0.81297
86,0.81297
87,0.81297
88,0.81297
89,0.81297
90,0.81297
91,0.81297
92,0.81297
93,0.81296
94,0.81296
95,0.81296
96,0.81296
97,0.81296
98,0.81296
99,0.81296
100,0.81296
101,0.81296
102,0.81296
103,0.81296
104,0.81296
105,0.81296
106,0.81295
107,0.81295
108,0.81295
109,0.81295
110,0.81295
111,0.81295
112,0.81295
113,0.81295
114,0.81292
115,0.81292
116,0.81292
117,0.81291
118,0.81289
119,0.81289
120,0.81289
121,0.81289
122,0.81289
123,0.81289
124,0.81287
125,0.81287
126,0.81287
127,0.81287
128,0.81285
129,0.81285
130,0.81284
131,0.81284
132,0.81284
133,0.81284
134,0.81284
135,0.81284
136,0.81284
137,0.81284
138,0.81284
139,0.81284
140,0.81284
141,0.81281
142,0.81281
143,0.8128
144,0.81277
145,0.81277
146,0.81277
147,0.81277
148,0.81276
149,0.81276
150,0.81275
151,0.81273
152,0.81273
153,0.81272
154,0.81269
155,0.81269
156,0.81269
157,0.81268
158,0.81268
159,0.81268
160,0.81263
161,0.81263
162,0.81263
163,0.81261
164,0.81259
165,0.81253
166,0.81253
167,0.81251
168,0.81249
169,0.81245
170,0.81245
171,0.81245
172,0.81245
173,0.81237
174,0.81231
175,0.81228
176,0.81227
177,0.81221
178,0.8122
179,0.81209
180,0.81207
181,0.81207
182,0.81205
183,0.81201
184,0.81197
185,0.81194
186,0.81184
187,0.81184
188,0.81179
189,0.8116
190,0.81144
191,0.81139
192,0.81139
193,0.81138
194,0.81135
195,0.81134
196,0.81134
197,0.8113
198,0.81124
199,0.81122
200,0.81119
201,0.81114
202,0.81112
203,0.81111
204,0.81111
205,0.8111
206,0.8111
207,0.8111
208,0.81108
209,0.81107
210,0.81107
211,0.81107
212,0.81107
213,0.81107
214,0.81107
215,0.81107
216,0.81107
217,0.81107
218,0.81106
219,0.81106
220,0.81103
221,0.81103
222,0.81102
223,0.811
224,0.811
225,0.81098
226,0.81096
227,0.81096
228,0.81095
229,0.81092
230,0.81091
231,0.81091
232,0.81084
233,0.81081
234,0.81075
235,0.81073
236,0.81073
237,0.81055
238,0.81049
239,0.81041
240,0.81037
241,0.81037
242,0.81033
243,0.8101
244,0.80998
245,0.80993
246,0.80965
247,0.80964
248,0.80958
249,0.80892
250,0.80884
251,0.8084
252,0.80796
253,0.80755
254,0.80718
255,0.80691
256,0.80663
257,0.80659
258,0.80651
259,0.80648
260,0.80599
261,0.80586
262,0.80579
263,0.80575
264,0.80574
265,0.80569
266,0.80566
267,0.80566
268,0.80561
269,0.80547
270,0.80538
271,0.80535
272,0.80531
273,0.8053
274,0.8053
275,0.8053
276,0.80529
277,0.80526
278,0.80525
279,0.80508
280,0.80505
281,0.8048
282,0.8047
283,0.80468
284,0.80452
285,0.80438
286,0.80433
287,0.80421
288,0.80397
289,0.80385
290,0.80381
291,0.80379
292,0.80376
293,0.80369
294,0.80367
295,0.80347
296,0.80344
297,0.80337
298,0.80337
299,0.80332
300,0.80331
301,0.80331
302,0.80325
303,0.80324
304,0.80323
305,0.80313
306,0.80311
307,0.80304
308,0.80303
309,0.80298
310,0.80288
311,0.80286
312,0.80283
313,0.80283
314,0.80274
315,0.80272
316,0.8027
317,0.80268
318,0.80258
319,0.80254
320,0.80252
321,0.8025
322,0.80248
323,0.80248
324,0.80246
325,0.80232
326,0.80231
327,0.80226
328,0.80222
329,0.80216
330,0.8021
331,0.8021
332,0.8021
333,0.80207
334,0.80202
335,0.80198
336,0.80197
337,0.80182
338,0.80182
339,0.80182
340,0.80182
341,0.80179
342,0.80177
343,0.80151
344,0.80145
345,0.80145
346,0.80141
347,0.80135
348,0.80135
349,0.80133
350,0.80133
351,0.8013
352,0.80119
353,0.80118
354,0.80105
355,0.80098
356,0.80085
357,0.80082
358,0.80081
359,0.80077
360,0.80074
361,0.80068
362,0.80068
363,0.80065
364,0.80062
365,0.8006
366,0.80057
367,0.80054
368,0.8005
369,0.80049
370,0.80037
371,0.80036
372,0.80036
373,0.80032
374,0.80028
375,0.80021
376,0.80021
377,0.80016
378,0.80014
379,0.80013
380,0.80004
381,0.79998
382,0.79998
383,0.79994
384,0.7999
385,0.7999
386,0.79988
387,0.79986
388,0.79986
389,0.79986
390,0.79985
391,0.79976
392,0.79969
393,0.79964
394,0.79961
395,0.79957
396,0.79955
397,0.79955
398,0.79955
399,0.79943
400,0.79937
401,0.79937
402,0.79936
403,0.79935
404,0.79935
405,0.79912
406,0.79912
407,0.79899
408,0.79896
409,0.79892
410,0.79888
411,0.79883
412,0.7988
413,0.79871
414,0.79856
415,0.79852
416,0.79851
417,0.79851
418,0.79847
419,0.79846
420,0.79842
421,0.79836
422,0.79834
423,0.79822
424,0.79812
425,0.79803
426,0.79795
427,0.79794
428,0.79791
429,0.79782
430,0.79774
431,0.79774
432,0.79774
433,0.79772
434,0.79772
435,0.79771
436,0.7977
437,0.79767
438,0.79764
439,0.79764
440,0.79759
441,0.79745
442,0.79741
443,0.79741
444,0.79739
