rank,score
1,0.81823
2,0.81823
3,0.81823
4,0.81823
5,0.81823
6,0.81819
7,0.81819
8,0.81803
9,0.81799
10,0.81799
11,0.81795
12,0.81791
13,0.81791
14,0.81787
15,0.81787
16,0.81783
17,0.81783
18,0.81783
19,0.81783
20,0.81779
21,0.81779
22,0.81779
23,0.81779
24,0.81779
25,0.81779
26,0.81779
27,0.81779
28,0.81779
29,0.81779
30,0.81779
31,0.81779
32,0.81779
33,0.81779
34,0.81779
35,0.81779
36,0.81779
37,0.81779
38,0.81779
39,0.81779
40,0.81779
41,0.81775
42,0.81775
43,0.81775
44,0.81771
45,0.81771
46,0.81767
47,0.81763
48,0.81763
49,0.81763
50,0.81763
51,0.81759
52,0.81759
53,0.81759
54,0.81755
55,0.81755
56,0.81755
57,0.81755
58,0.81755
59,0.81755
60,0.81755
61,0.81755
62,0.81755
63,0.81755
64,0.81755
65,0.81755
66,0.81755
67,0.81755
68,0.81751
69,0.81746
70,0.81746
71,0.81746
72,0.81746
73,0.81746
74,0.81746
75,0.81746
76,0.81746
77,0.81746
78,0.81746
79,0.81746
80,0.81742
81,0.81742
82,0.81742
83,0.81738
84,0.81738
85,0.81738
86,0.81738
87,0.81734
88,0.81734
89,0.81734
90,0.81734
91,0.81734
92,0.81734
93,0.81734
94,0.81734
95,0.81734
96,0.81734
97,0.81734
98,0.81734
99,0.81734
100,0.81734
101,0.81734
102,0.81734
103,0.81734
104,0.81734
105,0.81734
106,0.81734
107,0.81734
108,0.81734
109,0.81734
110,0.81734
111,0.81734
112,0.81734
113,0.81734
114,0.81734
115,0.81734
116,0.81734
117,0.81734
118,0.81734
119,0.81734
120,0.8173
121,0.8173
122,0.8173
123,0.8173
124,0.8173
125,0.8173
126,0.8173
127,0.8173
128,0.8173
129,0.8173
130,0.8173
131,0.8173
132,0.81726
133,0.81722
134,0.81722
135,0.81722
136,0.81722
137,0.81722
138,0.81722
139,0.81722
140,0.81722
141,0.81722
142,0.81722
143,0.81722
144,0.81722
145,0.81722
146,0.81722
147,0.81722
148,0.81722
149,0.81722
150,0.81722
151,0.81722
152,0.81718
153,0.81718
154,0.81714
155,0.81714
156,0.81714
157,0.81714
158,0.81714
159,0.8171
160,0.81706
161,0.81702
162,0.8169
163,0.8169
164,0.8169
165,0.8169
166,0.81682
167,0.81678
168,0.81678
169,0.81678
170,0.81678
171,0.81678
172,0.81678
173,0.81674
174,0.81674
175,0.8167
176,0.81658
177,0.81646
178,0.81646
179,0.81629
180,0.81625
181,0.81625
182,0.81613
183,0.81613
184,0.81609
185,0.81601
186,0.81601
187,0.81569
188,0.81569
189,0.81553
190,0.81549
191,0.81549
192,0.81549
193,0.81545
194,0.81545
195,0.81529
196,0.81516
197,0.81504
198,0.815
199,0.815
200,0.815
201,0.81496
202,0.81496
203,0.81492
204,0.81488
205,0.81488
206,0.81488
207,0.81488
208,0.81488
209,0.81488
210,0.81484
211,0.81484
212,0.8148
213,0.8148
214,0.8148
215,0.81476
216,0.81476
217,0.81476
218,0.81472
219,0.81472
220,0.81472
221,0.81468
222,0.81468
223,0.81468
224,0.81468
225,0.81456
226,0.81456
227,0.81456
228,0.81452
229,0.81452
230,0.81448
231,0.81448
232,0.81444
233,0.81436
234,0.8142
235,0.8142
236,0.8142
237,0.81411
238,0.81407
239,0.81407
240,0.81395
241,0.81387
242,0.81375
243,0.81371
244,0.81347
245,0.81347
246,0.81335
247,0.81335
248,0.81311
249,0.81262
250,0.81262
251,0.81222
252,0.81153
253,0.81149
254,0.81141
255,0.81101
256,0.81093
257,0.81068
258,0.8106
259,0.81048
260,0.81
261,0.80939
262,0.80935
263,0.80931
264,0.80927
265,0.80927
266,0.80919
267,0.80915
268,0.80915
269,0.80915
270,0.80883
271,0.80871
272,0.80871
273,0.80858
274,0.8085
275,0.8081
276,0.8081
277,0.80794
278,0.8079
279,0.80786
280,0.80782
281,0.80778
282,0.80774
283,0.80766
284,0.80762
285,0.80754
286,0.80745
287,0.80741
288,0.80741
289,0.80733
290,0.80729
291,0.80721
292,0.80717
293,0.80709
294,0.80693
295,0.80689
296,0.80649
297,0.8064
298,0.80636
299,0.80624
300,0.80624
301,0.8062
302,0.8062
303,0.80616
304,0.80612
305,0.80608
306,0.806
307,0.806
308,0.80596
309,0.80588
310,0.8058
311,0.8058
312,0.80576
313,0.80572
314,0.80572
315,0.80572
316,0.80568
317,0.8056
318,0.80556
319,0.80552
320,0.80548
321,0.80548
322,0.80536
323,0.80536
324,0.80532
325,0.80532
326,0.80523
327,0.80519
328,0.80515
329,0.80515
330,0.80515
331,0.80495
332,0.80495
333,0.80491
334,0.80483
335,0.80479
336,0.80479
337,0.80475
338,0.80459
339,0.80451
340,0.80451
341,0.80451
342,0.80447
343,0.80439
344,0.80435
345,0.80431
346,0.80423
347,0.80418
348,0.80418
349,0.8041
350,0.80406
351,0.80386
352,0.80386
353,0.80374
354,0.80374
355,0.80366
356,0.80366
357,0.80358
358,0.80338
359,0.80338
360,0.80338
361,0.80338
362,0.80338
363,0.80338
364,0.8033
365,0.8033
366,0.80326
367,0.80322
368,0.80322
369,0.80314
370,0.80301
371,0.80297
372,0.80297
373,0.80293
374,0.80289
375,0.80285
376,0.80285
377,0.80281
378,0.80281
379,0.80269
380,0.80261
381,0.80257
382,0.80253
383,0.80249
384,0.80249
385,0.80245
386,0.80245
387,0.80241
388,0.80233
389,0.80225
390,0.80225
391,0.80221
392,0.80217
393,0.80213
394,0.80209
395,0.80209
396,0.80201
397,0.80201
398,0.80188
399,0.80188
400,0.80184
401,0.80184
402,0.80184
403,0.8018
404,0.8018
405,0.80176
406,0.80176
407,0.80172
408,0.80168
409,0.80164
410,0.80148
411,0.8014
412,0.80128
413,0.8012
414,0.8012
415,0.8012
416,0.80116
417,0.80116
418,0.80116
419,0.80116
420,0.80116
421,0.80112
422,0.80108
423,0.80108
424,0.801
425,0.80096
426,0.80092
427,0.80087
428,0.80087
429,0.80087
430,0.80083
431,0.80079
432,0.80071
433,0.80071
434,0.80059
435,0.80059
436,0.80055
437,0.80043
438,0.80043
439,0.80043
440,0.80043
441,0.80043
442,0.80035
443,0.80031
444,0.80031
445,0.80027
446,0.80027
447,0.80027
448,0.80023
449,0.80019
450,0.80019
451,0.80019
452,0.80011
453,0.80011
454,0.80011
455,0.80011
456,0.80011
457,0.80003
458,0.79999
459,0.79999
460,0.79999
461,0.79995
462,0.79991
463,0.79979
464,0.7997
465,0.79966
466,0.79958
467,0.7995
468,0.79946
469,0.79946
470,0.79934
471,0.79934
472,0.7993
473,0.7993
474,0.79926
475,0.79926
476,0.79906
477,0.79902
478,0.79902
479,0.79902
480,0.79898
481,0.79898
482,0.79894
483,0.7989
484,0.7989
485,0.79886
486,0.79882
487,0.79878
488,0.79874
489,0.79874
490,0.7987
491,0.79861
492,0.79861
493,0.79857
494,0.79853
495,0.79829
496,0.79829
497,0.79829
498,0.79817
499,0.79817
500,0.79813
501,0.79805
502,0.79805
503,0.79805
504,0.79797
505,0.79793
506,0.79793
507,0.79789
508,0.79777
509,0.79773
510,0.79769
511,0.79769
512,0.79769
513,0.79769
514,0.79765
515,0.79761
516,0.79761
517,0.79761
518,0.79752
519,0.79748
520,0.79748
521,0.79744
522,0.7974
523,0.79732
524,0.79732
525,0.79728
526,0.79728
527,0.7972
528,0.79712
529,0.79704
530,0.79704
531,0.797
532,0.79688
533,0.79684
534,0.79676
535,0.79676
536,0.79676
537,0.79676
538,0.79672
539,0.79664
540,0.79664
541,0.79664
542,0.79656
543,0.79652
544,0.79652
545,0.79648
546,0.79643
547,0.79643
548,0.79643
549,0.79639
550,0.79635
551,0.79631
552,0.79627
553,0.79627
554,0.79627
555,0.79627
556,0.79623
557,0.79615
558,0.79615
559,0.79611
560,0.79611
561,0.79603
562,0.79595
563,0.79591
564,0.79587
565,0.79583
566,0.79583
567,0.79575
568,0.79575
569,0.79575
570,0.79567
571,0.79567
572,0.79563
573,0.79555
574,0.79555
575,0.79551
576,0.79551
577,0.79551
578,0.79547
579,0.79547
580,0.79547
581,0.79547
582,0.79539
583,0.79539
584,0.7953
585,0.7953
586,0.79526
587,0.79526
588,0.79522
589,0.79518
590,0.79518
591,0.79518
592,0.79506
593,0.79506
594,0.79506
595,0.79502
596,0.79502
597,0.79502
598,0.79502
599,0.79502
600,0.79498
601,0.79494
602,0.7949
603,0.7949
604,0.7949
605,0.79482
606,0.79478
607,0.79478
608,0.79478
609,0.79478
610,0.79478
611,0.79474
612,0.7947
613,0.79466
614,0.79466
615,0.79466
616,0.79466
617,0.79458
618,0.79454
619,0.79454
620,0.79454
621,0.7945
622,0.7945
623,0.79446
624,0.79446
625,0.79446
626,0.79442
627,0.79442
628,0.79442
629,0.79438
630,0.79434
631,0.79434
632,0.79434
633,0.79434
634,0.79434
635,0.79434
636,0.7943
637,0.7943
638,0.7943
639,0.7943
640,0.79426
641,0.79426
642,0.79426
643,0.79417
644,0.79417
645,0.79417
646,0.79409
647,0.79409
648,0.79409
649,0.79409
650,0.79405
651,0.79401
652,0.79401
653,0.79393
654,0.79393
655,0.79393
656,0.79393
657,0.79389
658,0.79389
659,0.79389
660,0.79389
661,0.79389
662,0.79385
663,0.79385
664,0.79385
665,0.79381
666,0.79381
667,0.79377
668,0.79377
669,0.79373
670,0.79373
671,0.79373
672,0.79369
673,0.79365
674,0.79361
675,0.79361
676,0.79361
677,0.79353
678,0.79349
679,0.79341
680,0.79341
681,0.79341
682,0.79337
683,0.79333
684,0.79333
685,0.79329
686,0.79325
687,0.79325
688,0.79321
689,0.79321
690,0.79321
691,0.79317
692,0.79312
693,0.79312
694,0.79308
695,0.79304
696,0.793
697,0.793
698,0.79296
699,0.79296
700,0.79296
701,0.79292
702,0.79292
703,0.79292
704,0.79284
705,0.79284
706,0.79284
707,0.7928
708,0.79276
709,0.79272
710,0.79272
711,0.79272
712,0.79268
713,0.79268
714,0.79268
715,0.79264
716,0.79264
717,0.7926
718,0.79256
719,0.79256
720,0.79248
721,0.79248
722,0.79244
723,0.79244
724,0.7924
725,0.79236
726,0.79236
727,0.79236
728,0.79232
729,0.79232
730,0.79228
731,0.79228
732,0.79224
733,0.79224
734,0.79216
735,0.79216
736,0.79216
737,0.79212
738,0.79212
739,0.79212
740,0.79212
741,0.79199
742,0.79195
743,0.79195
744,0.79191
745,0.79191
746,0.79187
747,0.79183
748,0.79183
749,0.79179
750,0.79179
751,0.79179
752,0.79175
753,0.79171
754,0.79171
755,0.79167
756,0.79163
757,0.79159
758,0.79159
759,0.79159
760,0.79155
761,0.79151
762,0.79151
763,0.79151
764,0.79147
765,0.79147
766,0.79147
767,0.79147
768,0.79147
769,0.79147
770,0.79147
771,0.79147
772,0.79147
773,0.79147
774,0.79143
775,0.79139
776,0.79135
777,0.79131
778,0.79123
779,0.79123
780,0.79123
781,0.79119
782,0.79119
783,0.79119
784,0.79115
785,0.79111
786,0.79111
787,0.79103
788,0.79103
789,0.79099
790,0.79095
791,0.7909
792,0.7909
793,0.7909
794,0.79082
795,0.79074
796,0.79066
797,0.79066
798,0.79062
799,0.79062
800,0.79062
801,0.79062
802,0.79054
803,0.79046
804,0.79046
805,0.79046
806,0.79046
807,0.79042
808,0.79042
809,0.79042
810,0.79038
811,0.79038
812,0.7903
813,0.7903
814,0.7903
815,0.79026
816,0.79022
817,0.79022
818,0.79022
819,0.79018
820,0.79018
821,0.79014
822,0.79014
823,0.79014
824,0.7901
825,0.79006
826,0.79006
827,0.78994
828,0.78994
829,0.7899
830,0.78981
831,0.78977
832,0.78969
833,0.78969
834,0.78965
835,0.78965
836,0.78961
837,0.78957
838,0.78957
839,0.78953
840,0.78949
841,0.78945
842,0.78941
843,0.78937
844,0.78933
845,0.78929
846,0.78925
847,0.78925
848,0.78917
849,0.78917
850,0.78913
851,0.78909
852,0.78905
853,0.78901
854,0.78897
855,0.78889
856,0.78881
857,0.78877
858,0.78873
859,0.78868
860,0.78868
861,0.78864
862,0.78864
863,0.7886
864,0.78856
865,0.78852
866,0.78852
867,0.78852
868,0.78848
869,0.7884
870,0.78836
871,0.78828
872,0.78824
873,0.78824
874,0.7882
875,0.78812
876,0.78812
877,0.78808
878,0.78808
879,0.78804
880,0.78804
881,0.78796
882,0.78796
883,0.78792
884,0.78792
885,0.78792
886,0.78792
887,0.78788
888,0.78784
889,0.78784
890,0.7878
891,0.7878
892,0.7878
893,0.78776
894,0.78776
895,0.78772
896,0.78772
897,0.78768
898,0.78764
899,0.78764
900,0.78764
901,0.78764
902,0.78764
903,0.78755
904,0.78755
905,0.78751
906,0.78751
907,0.78739
908,0.78735
909,0.78735
910,0.78731
911,0.78731
912,0.78727
913,0.78727
914,0.78719
915,0.78715
916,0.78715
917,0.78711
918,0.78707
919,0.78703
920,0.78703
921,0.78699
922,0.78699
923,0.78699
924,0.78695
925,0.78687
926,0.78683
927,0.78671
928,0.78667
929,0.78667
930,0.78663
931,0.78663
932,0.78663
933,0.78663
934,0.78659
935,0.78655
936,0.78655
937,0.78642
938,0.78642
939,0.78634
940,0.78634
941,0.7863
942,0.7863
943,0.7863
944,0.78626
945,0.78622
946,0.78618
947,0.78614
948,0.78614
949,0.78614
950,0.7861
951,0.78606
952,0.78606
953,0.78606
954,0.78602
955,0.78602
956,0.78598
957,0.78598
958,0.78594
959,0.7859
960,0.7859
961,0.7859
962,0.7859
963,0.78586
964,0.78582
965,0.78582
966,0.78582
967,0.78582
968,0.7857
969,0.7857
970,0.7857
971,0.78566
972,0.78566
973,0.78562
974,0.78546
975,0.78546
976,0.78546
977,0.78546
978,0.78542
979,0.78537
980,0.78537
981,0.78533
982,0.78533
983,0.78529
984,0.78529
985,0.78525
986,0.78521
987,0.78521
988,0.78509
989,0.78509
990,0.78505
991,0.78505
992,0.78505
993,0.78505
994,0.78505
995,0.78505
996,0.78505
997,0.78505
998,0.78505
999,0.78505
1000,0.78505
1001,0.78505
1002,0.78505
1003,0.78505
1004,0.78505
1005,0.78505
1006,0.78505
1007,0.78505
1008,0.78505
1009,0.78505
1010,0.78505
1011,0.78501
1012,0.78497
1013,0.78497
1014,0.78497
1015,0.78493
1016,0.78493
1017,0.78489
1018,0.78485
1019,0.78485
1020,0.78481
1021,0.78477
1022,0.78477
1023,0.78473
1024,0.78473
1025,0.78465
1026,0.78457
1027,0.78457
1028,0.78457
1029,0.78453
1030,0.78453
1031,0.78449
1032,0.78449
1033,0.78441
1034,0.78441
1035,0.78424
1036,0.7842
1037,0.78416
1038,0.78416
1039,0.78416
1040,0.78412
1041,0.78408
1042,0.78408
1043,0.78404
1044,0.78396
1045,0.78388
1046,0.78388
1047,0.78384
1048,0.78384
1049,0.78384
1050,0.7838
1051,0.78376
1052,0.78368
1053,0.78356
1054,0.78344
1055,0.7834
1056,0.78332
1057,0.78328
1058,0.78324
1059,0.7832
1060,0.78315
1061,0.78315
1062,0.78315
1063,0.78307
1064,0.78307
1065,0.78307
1066,0.78299
1067,0.78299
1068,0.78291
1069,0.78291
1070,0.78279
1071,0.78275
1072,0.78275
1073,0.78263
1074,0.78263
1075,0.78251
1076,0.78235
1077,0.78231
1078,0.78227
1079,0.78223
1080,0.78206
1081,0.78198
1082,0.78178
1083,0.78178
1084,0.78166
1085,0.78162
1086,0.78146
1087,0.78146
1088,0.78134
1089,0.7813
1090,0.7813
1091,0.7813
1092,0.78102
1093,0.78089
1094,0.78057
1095,0.78041
1096,0.78025
1097,0.78013
1098,0.78005
1099,0.78005
1100,0.78001
1101,0.77989
1102,0.77984
1103,0.77976
1104,0.77972
1105,0.7792
1106,0.77912
1107,0.77908
1108,0.77904
1109,0.779
1110,0.77896
1111,0.77835
1112,0.77807
1113,0.77807
1114,0.77775
1115,0.77762
1116,0.77754
1117,0.77754
1118,0.77738
1119,0.77734
1120,0.77734
1121,0.7771
1122,0.77682
1123,0.77678
1124,0.77662
1125,0.77653
1126,0.77633
1127,0.77512
1128,0.77512
1129,0.77496
1130,0.77492
1131,0.7748
1132,0.77472
1133,0.77456
1134,0.77444
1135,0.77419
1136,0.77399
1137,0.77379
1138,0.77347
1139,0.77322
1140,0.77286
1141,0.77246
1142,0.77201
1143,0.77185
1144,0.77161
1145,0.77153
1146,0.77129
1147,0.77121
1148,0.77105
1149,0.77056
1150,0.77048
1151,0.7704
1152,0.76866
1153,0.76798
1154,0.76753
1155,0.76725
1156,0.76515
1157,0.76451
1158,0.76439
1159,0.76398
1160,0.76342
1161,0.76083
1162,0.76011
1163,0.75994
1164,0.75926
1165,0.75881
1166,0.75813
1167,0.75772
1168,0.75752
1169,0.75748
1170,0.75555
1171,0.7551
1172,0.75478
1173,0.75353
1174,0.75304
1175,0.75256
1176,0.75248
1177,0.75179
1178,0.74856
1179,0.74719
1180,0.74574
1181,0.74465
1182,0.74444
1183,0.74218
1184,0.7392
1185,0.73702
1186,0.73669
1187,0.72886
1188,0.72814
1189,0.72208
1190,0.72124
1191,0.71934
1192,0.71906
1193,0.71655
1194,0.71365
1195,0.709
1196,0.70335
1197,0.69916
1198,0.6979
1199,0.69589
1200,0.6954
1201,0.69177
1202,0.69116
1203,0.6793
1204,0.66864
1205,0.66743
1206,0.66004
1207,0.65088
1208,0.65088
1209,0.63485
1210,0.62928
1211,0.56046
1212,0.52643
1213,0.52417
1214,0.52224
1215,0.51985
1216,0.51735
1217,0.51711
1218,0.50339
1219,0.49725
1220,0.39545
1221,0.35246
1222,0.34923
1223,0.34911
1224,0.34911
1225,0.34911
1226,0.34911
1227,0.34911
1228,0.34911
1229,0.34911
1230,0.34911
1231,0.34911
1232,0.34911
1233,0.34911
1234,0.34911
1235,0.34911
1236,0.34911
1237,0.34911
1238,0.34911
1239,0.34911
1240,0.34911
1241,0.34911
1242,0.32768
1243,0.0
1244,0.0
