rank,score
1,7.79559
2,7.79568
3,7.79607
4,7.79609
5,7.79797
6,7.79819
7,7.79819
8,7.7982
9,7.7982
10,7.79821
11,7.79821
12,7.79823
13,7.79823
14,7.79823
15,7.79823
16,7.79823
17,7.79824
18,7.79824
19,7.79824
20,7.79825
21,7.79825
22,7.79826
23,7.79827
24,7.79827
25,7.79827
26,7.79827
27,7.79827
28,7.79827
29,7.79827
30,7.79827
31,7.79827
32,7.79828
33,7.79828
34,7.79828
35,7.79828
36,7.79828
37,7.79828
38,7.79828
39,7.79828
40,7.79828
41,7.79828
42,7.79828
43,7.79828
44,7.79828
45,7.79828
46,7.79828
47,7.79828
48,7.79829
49,7.79829
50,7.79829
51,7.79829
52,7.79829
53,7.79829
54,7.79829
55,7.7983
56,7.7983
57,7.7983
58,7.7983
59,7.7983
60,7.7983
61,7.7983
62,7.79831
63,7.79831
64,7.79831
65,7.79831
66,7.79832
67,7.79832
68,7.79832
69,7.79832
70,7.79832
71,7.79832
72,7.79832
73,7.79832
74,7.79832
75,7.79832
76,7.79832
77,7.79832
78,7.79832
79,7.79832
80,7.79832
81,7.79833
82,7.79833
83,7.79833
84,7.79833
85,7.79833
86,7.79833
87,7.79834
88,7.79834
89,7.79834
90,7.79834
91,7.79834
92,7.79834
93,7.79834
94,7.79834
95,7.79834
96,7.79835
97,7.79835
98,7.79835
99,7.79835
100,7.79835
101,7.79835
102,7.79835
103,7.79835
104,7.79835
105,7.79835
106,7.79836
107,7.79836
108,7.79836
109,7.79836
110,7.79836
111,7.79836
112,7.79837
113,7.79837
114,7.79837
115,7.79837
116,7.79837
117,7.79838
118,7.79839
119,7.79839
120,7.79839
121,7.79839
122,7.79839
123,7.79839
124,7.79839
125,7.79839
126,7.79839
127,7.79839
128,7.79839
129,7.79839
130,7.7984
131,7.7984
132,7.79841
133,7.79841
134,7.79841
135,7.79842
136,7.79842
137,7.79843
138,7.79843
139,7.79843
140,7.79843
141,7.79843
142,7.79844
143,7.79844
144,7.79844
145,7.79844
146,7.79844
147,7.79844
148,7.79844
149,7.79844
150,7.79844
151,7.79844
152,7.79844
153,7.79845
154,7.79845
155,7.79846
156,7.79846
157,7.79849
158,7.79849
159,7.7985
160,7.79852
161,7.79853
162,7.7986
163,7.79863
164,7.79877
165,7.79879
166,7.79879
167,7.79879
168,7.79879
169,7.79879
170,7.79884
171,7.79887
172,7.79892
173,7.79893
174,7.79893
175,7.79893
176,7.79893
177,7.79894
178,7.79894
179,7.79896
180,7.79899
181,7.79907
182,7.7991
183,7.79917
184,7.79917
185,7.79917
186,7.79918
187,7.79918
