rank,score
1,0.60252
2,0.59914
3,0.59602
4,0.5956
5,0.59482
6,0.59463
7,0.59461
8,0.59461
9,0.59461
10,0.59434
11,0.59433
12,0.59432
13,0.59431
14,0.59424
15,0.59423
16,0.59423
17,0.59423
18,0.59415
19,0.5941
20,0.59406
21,0.59405
22,0.59398
23,0.59398
24,0.59398
25,0.59398
26,0.59397
27,0.59397
28,0.59397
29,0.59397
30,0.59397
31,0.59397
32,0.59397
33,0.59397
34,0.59397
35,0.59397
36,0.59397
37,0.59397
38,0.59397
39,0.59397
40,0.59397
41,0.59397
42,0.59397
43,0.59397
44,0.59397
45,0.59397
46,0.59397
47,0.59397
48,0.59397
49,0.59397
50,0.59396
51,0.59396
52,0.59396
53,0.59396
54,0.59396
55,0.59396
56,0.59396
57,0.59396
58,0.59396
59,0.59396
60,0.59396
61,0.59395
62,0.59395
63,0.59395
64,0.59395
65,0.59394
66,0.59394
67,0.59394
68,0.59394
69,0.59394
70,0.59394
71,0.59394
72,0.59394
73,0.59393
74,0.59393
75,0.59393
76,0.59392
77,0.59392
78,0.59392
79,0.59392
80,0.59392
81,0.59392
82,0.59392
83,0.59391
84,0.5939
85,0.59389
86,0.59388
87,0.59386
88,0.59386
89,0.59386
90,0.59385
91,0.59385
92,0.59385
93,0.59384
94,0.59383
95,0.59383
96,0.59383
97,0.59383
98,0.59383
99,0.59383
100,0.59383
101,0.59383
102,0.59383
103,0.59383
104,0.59383
105,0.59381
106,0.59381
107,0.59381
108,0.59381
109,0.59381
110,0.59381
111,0.59381
112,0.59381
113,0.59381
114,0.59381
115,0.59381
116,0.59381
117,0.59381
118,0.59379
119,0.59379
120,0.59379
121,0.59378
122,0.59375
123,0.59369
124,0.59366
125,0.59366
126,0.59365
127,0.59352
128,0.59345
129,0.59345
130,0.59345
131,0.59345
132,0.59345
133,0.59345
134,0.59345
135,0.59345
136,0.59345
137,0.59345
138,0.59344
139,0.5934
140,0.59335
141,0.59334
142,0.59333
143,0.59326
144,0.59325
145,0.59321
146,0.59319
147,0.59315
148,0.59314
149,0.59312
150,0.59312
151,0.59302
152,0.59287
153,0.5928
154,0.5926
155,0.59256
156,0.59247
157,0.59247
158,0.59244
159,0.59232
160,0.5923
161,0.5923
162,0.59229
163,0.59219
164,0.59216
165,0.59213
166,0.59213
167,0.59209
168,0.59209
169,0.59203
170,0.59201
171,0.59197
172,0.59197
173,0.59196
174,0.5919
175,0.59186
176,0.59178
177,0.59177
178,0.59174
179,0.59174
180,0.59173
181,0.59172
182,0.59172
183,0.59172
184,0.59172
185,0.59172
186,0.59172
187,0.59172
188,0.59172
189,0.59172
190,0.59172
191,0.59172
192,0.59172
193,0.59171
194,0.59171
195,0.5917
196,0.59165
197,0.59165
198,0.59164
199,0.59164
200,0.5916
201,0.5916
202,0.59155
203,0.59149
204,0.5914
205,0.59136
206,0.59134
207,0.59132
208,0.5913
209,0.5913
210,0.5913
211,0.5913
212,0.59125
213,0.59125
214,0.59124
215,0.59124
216,0.59123
217,0.59119
218,0.59119
