rank,score
1,0.95672
2,0.95668
3,0.95668
4,0.95665
5,0.95664
6,0.95664
7,0.95661
8,0.95661
9,0.9566
10,0.9566
11,0.9566
12,0.9566
13,0.9566
14,0.9566
15,0.9566
16,0.95659
17,0.95659
18,0.95659
19,0.95659
20,0.95659
21,0.95659
22,0.95659
23,0.95659
24,0.95659
25,0.95659
26,0.95659
27,0.95659
28,0.95659
29,0.95659
30,0.95659
31,0.95659
32,0.95659
33,0.95659
34,0.95659
35,0.95658
36,0.95658
37,0.95658
38,0.95658
39,0.95658
40,0.95658
41,0.95658
42,0.95658
43,0.95658
44,0.95658
45,0.95658
46,0.95658
47,0.95658
48,0.95658
49,0.95658
50,0.95658
51,0.95658
52,0.95658
53,0.95658
54,0.95658
55,0.95658
56,0.95658
57,0.95658
58,0.95658
59,0.95658
60,0.95658
61,0.95658
62,0.95658
63,0.95658
64,0.95658
65,0.95658
66,0.95658
67,0.95658
68,0.95658
69,0.95658
70,0.95658
71,0.95658
72,0.95658
73,0.95658
74,0.95658
75,0.95658
76,0.95658
77,0.95658
78,0.95658
79,0.95658
80,0.95658
81,0.95658
82,0.95658
83,0.95658
84,0.95658
85,0.95658
86,0.95658
87,0.95658
88,0.95658
89,0.95658
90,0.95658
91,0.95658
92,0.95658
93,0.95658
94,0.95658
95,0.95658
96,0.95658
97,0.95658
98,0.95658
99,0.95658
100,0.95658
101,0.95658
102,0.95658
103,0.95658
104,0.95658
105,0.95658
106,0.95658
107,0.95658
108,0.95658
109,0.95658
110,0.95658
111,0.95658
112,0.95658
113,0.95658
114,0.95658
115,0.95658
116,0.95658
117,0.95658
118,0.95658
119,0.95658
120,0.95658
121,0.95658
122,0.95658
123,0.95657
124,0.95657
125,0.95657
126,0.95657
127,0.95657
128,0.95657
129,0.95657
130,0.95656
131,0.95656
132,0.95656
133,0.95656
134,0.95656
135,0.95656
136,0.95656
137,0.95655
138,0.95655
139,0.95655
140,0.95655
141,0.95655
142,0.95655
143,0.95655
144,0.95654
145,0.95654
146,0.95654
147,0.95654
148,0.95654
149,0.95653
150,0.95653
151,0.95653
152,0.95652
153,0.95652
154,0.95652
155,0.95652
156,0.95651
157,0.95651
158,0.95651
159,0.95651
160,0.9565
161,0.9565
162,0.95649
163,0.95649
164,0.95648
165,0.95648
166,0.95647
167,0.95647
168,0.95646
169,0.95646
170,0.95646
171,0.95646
172,0.95646
173,0.95646
174,0.95646
175,0.95645
176,0.95645
177,0.95645
178,0.95645
179,0.95644
180,0.95644
181,0.95644
182,0.95644
183,0.95644
184,0.95644
185,0.95643
186,0.95643
187,0.95643
188,0.95643
189,0.95642
190,0.95642
191,0.95642
192,0.95642
193,0.95642
194,0.95642
195,0.95642
196,0.95641
197,0.95641
198,0.95641
199,0.95641
200,0.95641
201,0.9564
202,0.9564
203,0.95639
204,0.95639
205,0.95639
206,0.95639
207,0.95638
208,0.95637
209,0.95637
210,0.95637
211,0.95637
212,0.95636
213,0.95636
214,0.95636
215,0.95635
216,0.95635
217,0.95635
218,0.95635
219,0.95635
220,0.95634
221,0.95634
222,0.95634
223,0.95634
224,0.95633
225,0.95633
226,0.95633
227,0.95633
228,0.95633
229,0.95633
230,0.95632
231,0.95632
232,0.95631
233,0.95631
234,0.95631
235,0.9563
236,0.9563
237,0.9563
238,0.95629
239,0.95629
240,0.95629
241,0.95629
242,0.95629
243,0.95629
244,0.95629
245,0.95629
246,0.95629
247,0.95628
248,0.95628
249,0.95628
250,0.95628
251,0.95628
252,0.95628
253,0.95628
254,0.95627
255,0.95626
256,0.95626
257,0.95626
258,0.95626
259,0.95626
260,0.95626
261,0.95625
262,0.95625
263,0.95625
264,0.95625
265,0.95625
266,0.95625
267,0.95624
268,0.95624
269,0.95624
270,0.95623
271,0.95623
272,0.95623
273,0.95622
274,0.95621
275,0.95619
276,0.95619
277,0.95619
278,0.95619
279,0.95618
280,0.95618
281,0.95618
282,0.95617
283,0.95617
284,0.95617
285,0.95616
286,0.95614
287,0.95614
288,0.95614
289,0.95614
290,0.95611
291,0.95611
292,0.95609
293,0.95609
294,0.95608
295,0.95605
296,0.95604
297,0.95604
298,0.95603
299,0.95603
300,0.95601
301,0.95601
302,0.95599
303,0.95599
304,0.95598
305,0.95597
306,0.95595
307,0.95595
308,0.95593
309,0.95593
310,0.95592
311,0.95592
312,0.95591
313,0.95591
314,0.95589
315,0.95588
316,0.95587
317,0.95586
318,0.95586
319,0.95585
320,0.95584
321,0.95578
322,0.95578
323,0.95577
324,0.95577
325,0.95576
326,0.95575
327,0.95574
328,0.95573
329,0.95572
330,0.95569
331,0.95568
332,0.95566
333,0.95564
334,0.95563
335,0.95563
336,0.95562
337,0.95562
338,0.95562
339,0.95561
340,0.95561
341,0.95559
342,0.95559
343,0.95558
344,0.95558
345,0.95557
346,0.95555
347,0.95554
348,0.95553
349,0.95553
350,0.95552
351,0.95548
352,0.95548
353,0.95548
354,0.95547
355,0.95546
356,0.95545
357,0.95544
358,0.95544
359,0.95543
360,0.95542
361,0.95535
362,0.95535
363,0.95535
364,0.95535
365,0.95534
366,0.95533
367,0.95533
368,0.95533
369,0.95533
370,0.95531
371,0.95531
372,0.95527
373,0.95524
374,0.95523
375,0.95523
376,0.95523
377,0.9552
378,0.95519
379,0.95519
380,0.95519
381,0.95515
382,0.95515
383,0.95512
384,0.95512
385,0.95512
386,0.95511
387,0.9551
388,0.9551
389,0.9551
390,0.9551
391,0.95509
392,0.95509
393,0.95508
394,0.95507
395,0.95507
396,0.95506
397,0.95506
398,0.95506
399,0.95506
400,0.95505
401,0.95505
402,0.95504
403,0.95503
404,0.95502
405,0.95502
406,0.95501
407,0.955
408,0.95499
409,0.95499
410,0.95498
411,0.95498
412,0.95498
413,0.95497
414,0.95497
415,0.95496
416,0.95494
417,0.95493
418,0.95493
419,0.95492
420,0.95492
421,0.95492
422,0.95491
423,0.95491
424,0.95488
425,0.95488
426,0.95485
427,0.95485
428,0.95485
429,0.95484
430,0.95484
431,0.95482
432,0.95478
433,0.95477
434,0.95477
435,0.95477
436,0.95475
437,0.95475
438,0.95474
439,0.95473
440,0.95473
441,0.95472
442,0.95471
443,0.95471
444,0.95469
445,0.95469
446,0.95467
447,0.95467
448,0.95467
449,0.95465
450,0.95464
451,0.95464
452,0.95462
453,0.95461
454,0.9546
455,0.9546
456,0.95459
457,0.95459
458,0.95459
459,0.95455
460,0.95455
461,0.95454
462,0.95454
463,0.95452
464,0.95452
465,0.95451
466,0.9545
467,0.95449
468,0.95449
469,0.95448
470,0.95447
471,0.95447
472,0.95446
473,0.95445
474,0.95444
475,0.95444
476,0.95443
477,0.95443
478,0.95442
479,0.95442
480,0.95441
481,0.95441
482,0.9544
483,0.9544
484,0.95439
485,0.95437
486,0.95437
487,0.95437
488,0.95437
489,0.95436
490,0.95436
491,0.95435
492,0.95433
493,0.95433
494,0.95433
495,0.95433
496,0.95432
497,0.95432
498,0.95431
499,0.9543
500,0.9543
501,0.95429
502,0.95429
503,0.95428
504,0.95428
505,0.95428
506,0.95427
507,0.95426
508,0.95426
509,0.95424
510,0.95424
511,0.95422
512,0.95421
513,0.95419
514,0.95418
515,0.95417
516,0.95417
517,0.95417
518,0.95416
519,0.95416
520,0.95416
521,0.95415
522,0.95415
523,0.95414
524,0.95414
525,0.95413
526,0.95412
527,0.9541
528,0.9541
529,0.95408
530,0.95408
531,0.95407
532,0.95406
533,0.95406
534,0.95406
535,0.95406
536,0.95403
537,0.95401
538,0.95399
539,0.95399
540,0.95398
541,0.95398
542,0.95398
543,0.95397
544,0.95397
545,0.95397
546,0.95396
547,0.95396
548,0.95396
549,0.95396
550,0.95395
551,0.95395
552,0.95393
553,0.95392
554,0.95392
555,0.95391
556,0.95389
557,0.95387
558,0.95385
559,0.95385
560,0.95383
561,0.95382
562,0.95381
563,0.95381
564,0.9538
565,0.9538
566,0.95379
567,0.95378
568,0.95377
569,0.95376
570,0.95376
571,0.95374
572,0.9537
573,0.95369
574,0.95368
575,0.95368
576,0.95368
577,0.95368
578,0.95365
579,0.95359
580,0.95359
581,0.95358
582,0.95356
583,0.95355
584,0.95355
585,0.95353
586,0.95353
587,0.95353
588,0.95352
589,0.95352
590,0.95351
591,0.95349
592,0.95347
593,0.95345
594,0.95343
595,0.95342
596,0.95342
597,0.95339
598,0.95338
599,0.95338
600,0.95337
601,0.95337
602,0.95337
603,0.95337
604,0.95335
605,0.95333
606,0.95331
607,0.95331
608,0.9533
609,0.95329
610,0.95328
611,0.95326
612,0.95326
613,0.95325
614,0.95325
615,0.95325
616,0.95324
617,0.95322
618,0.95318
619,0.95318
620,0.95317
621,0.95317
622,0.95316
623,0.95314
624,0.95314
625,0.95314
626,0.95312
627,0.95306
628,0.95305
629,0.95304
630,0.95301
631,0.953
632,0.95298
633,0.95298
634,0.95296
635,0.95293
636,0.95289
637,0.95285
638,0.95283
639,0.95281
640,0.95281
641,0.95278
642,0.95278
643,0.95276
644,0.95273
645,0.95272
646,0.9527
647,0.9527
648,0.95265
649,0.95264
650,0.95263
651,0.95263
652,0.95258
653,0.95257
654,0.95257
655,0.95256
656,0.95255
657,0.95255
658,0.95254
659,0.95252
660,0.95251
661,0.95248
