rank,score
1,0.95726
2,0.95724
3,0.95724
4,0.95723
5,0.95723
6,0.95723
7,0.95719
8,0.95717
9,0.95717
10,0.95717
11,0.95717
12,0.95717
13,0.95717
14,0.95716
15,0.95713
16,0.95713
17,0.95713
18,0.95713
19,0.95712
20,0.95712
21,0.95712
22,0.95712
23,0.95712
24,0.95712
25,0.95711
26,0.95711
27,0.95711
28,0.95711
29,0.95711
30,0.95711
31,0.95711
32,0.95711
33,0.95711
34,0.95711
35,0.95711
36,0.95711
37,0.95711
38,0.95711
39,0.95711
40,0.95711
41,0.95711
42,0.95711
43,0.95711
44,0.95711
45,0.95711
46,0.95711
47,0.95711
48,0.95711
49,0.95711
50,0.95711
51,0.95711
52,0.95711
53,0.95711
54,0.95711
55,0.95711
56,0.95711
57,0.95711
58,0.95711
59,0.95711
60,0.95711
61,0.95711
62,0.95711
63,0.95711
64,0.95711
65,0.95711
66,0.95711
67,0.95711
68,0.95711
69,0.95711
70,0.95711
71,0.95711
72,0.95711
73,0.95711
74,0.95711
75,0.95711
76,0.95711
77,0.95711
78,0.95711
79,0.95711
80,0.95711
81,0.95711
82,0.95711
83,0.95711
84,0.95711
85,0.95711
86,0.95711
87,0.95711
88,0.95711
89,0.95711
90,0.95711
91,0.95711
92,0.95711
93,0.95711
94,0.95711
95,0.95711
96,0.95711
97,0.95711
98,0.95711
99,0.95711
100,0.9571
101,0.9571
102,0.9571
103,0.9571
104,0.9571
105,0.9571
106,0.9571
107,0.9571
108,0.9571
109,0.9571
110,0.9571
111,0.9571
112,0.9571
113,0.9571
114,0.9571
115,0.9571
116,0.9571
117,0.9571
118,0.9571
119,0.9571
120,0.95709
121,0.95709
122,0.95709
123,0.95709
124,0.95709
125,0.95709
126,0.95709
127,0.95709
128,0.95709
129,0.95709
130,0.95709
131,0.95709
132,0.95709
133,0.95707
134,0.95707
135,0.95707
136,0.95707
137,0.95706
138,0.95705
139,0.95705
140,0.95705
141,0.95704
142,0.95704
143,0.95704
144,0.95704
145,0.95703
146,0.95702
147,0.95701
148,0.95701
149,0.95701
150,0.95701
151,0.95701
152,0.957
153,0.957
154,0.95698
155,0.95698
156,0.95697
157,0.95697
158,0.95696
159,0.95696
160,0.95695
161,0.95695
162,0.95695
163,0.95694
164,0.95694
165,0.95694
166,0.95693
167,0.95693
168,0.95692
169,0.95692
170,0.95692
171,0.95692
172,0.95691
173,0.95691
174,0.95691
175,0.95691
176,0.9569
177,0.9569
178,0.95689
179,0.95689
180,0.95688
181,0.95688
182,0.95688
183,0.95688
184,0.95687
185,0.95687
186,0.95687
187,0.95684
188,0.95684
189,0.95684
190,0.95684
191,0.95683
192,0.95682
193,0.95682
194,0.95682
195,0.95681
196,0.95679
197,0.95679
198,0.95678
199,0.95678
200,0.95677
201,0.95676
202,0.95675
203,0.95674
204,0.95674
205,0.95673
206,0.95673
207,0.95672
208,0.95671
209,0.95669
210,0.95669
211,0.95669
212,0.95669
213,0.95669
214,0.95667
215,0.95667
216,0.95667
217,0.95667
218,0.95667
219,0.95666
220,0.95665
221,0.95664
222,0.95664
223,0.95664
224,0.95663
225,0.95663
226,0.95663
227,0.95662
228,0.95662
229,0.95662
230,0.95661
231,0.95661
232,0.95661
233,0.95661
234,0.95661
235,0.95661
236,0.95661
237,0.95661
238,0.95661
239,0.9566
240,0.9566
241,0.9566
242,0.95659
243,0.95659
244,0.95659
245,0.95659
246,0.95659
247,0.95659
248,0.95658
249,0.95658
250,0.95658
251,0.95657
252,0.95656
253,0.95656
254,0.95653
255,0.95653
256,0.95653
257,0.95653
258,0.95653
259,0.95652
260,0.95652
261,0.95651
262,0.9565
263,0.9565
264,0.95648
265,0.95648
266,0.95647
267,0.95647
268,0.95647
269,0.95646
270,0.95642
271,0.95642
272,0.9564
273,0.95637
274,0.95637
275,0.95636
276,0.95635
277,0.95635
278,0.95635
279,0.95635
280,0.95634
281,0.95633
