rank,score
1,0.84115
2,0.84228
3,0.84241
4,0.84245
5,0.84248
6,0.84249
7,0.8425
8,0.84251
9,0.84251
10,0.84251
11,0.84251
12,0.84252
13,0.84252
14,0.84252
15,0.84252
16,0.84252
17,0.84253
18,0.84253
19,0.84254
20,0.84254
21,0.84254
22,0.84254
23,0.84255
24,0.84255
25,0.84255
26,0.84256
27,0.84256
28,0.84256
29,0.84256
30,0.84256
31,0.84257
32,0.84257
33,0.84257
34,0.84257
35,0.84257
36,0.84257
37,0.84257
38,0.84257
39,0.84258
40,0.84258
41,0.84258
42,0.84258
43,0.84258
44,0.84258
45,0.84259
46,0.84259
47,0.84259
48,0.84259
49,0.84259
50,0.84259
51,0.84259
52,0.84259
53,0.84259
54,0.84259
55,0.84259
56,0.84259
57,0.8426
58,0.8426
59,0.8426
60,0.8426
61,0.8426
62,0.8426
63,0.8426
64,0.8426
65,0.8426
66,0.8426
67,0.8426
68,0.8426
69,0.8426
70,0.8426
71,0.8426
72,0.8426
73,0.8426
74,0.8426
75,0.8426
76,0.8426
77,0.8426
78,0.8426
79,0.8426
80,0.8426
81,0.8426
82,0.8426
83,0.84261
84,0.84261
85,0.84261
86,0.84261
87,0.84261
88,0.84261
89,0.84261
90,0.84261
91,0.84261
92,0.84261
93,0.84261
94,0.84261
95,0.84261
96,0.84261
97,0.84261
98,0.84261
99,0.84261
100,0.84261
101,0.84261
102,0.84261
103,0.84261
104,0.84261
105,0.84261
106,0.84261
107,0.84261
108,0.84261
109,0.84261
110,0.84261
111,0.84261
112,0.84261
113,0.84261
114,0.84261
115,0.84261
116,0.84261
117,0.84261
118,0.84261
119,0.84261
120,0.84261
121,0.84261
122,0.84261
123,0.84261
124,0.84261
125,0.84261
126,0.84262
127,0.84262
128,0.84262
129,0.84262
130,0.84262
131,0.84262
132,0.84262
133,0.84262
134,0.84262
135,0.84262
136,0.84262
137,0.84262
138,0.84263
139,0.84263
140,0.84263
141,0.84263
142,0.84263
143,0.84263
144,0.84263
145,0.84263
146,0.84263
147,0.84263
148,0.84263
149,0.84263
150,0.84263
151,0.84263
152,0.84263
153,0.84263
154,0.84263
155,0.84263
156,0.84263
157,0.84263
158,0.84263
159,0.84263
160,0.84263
161,0.84263
162,0.84263
163,0.84263
164,0.84263
165,0.84263
166,0.84263
167,0.84263
168,0.84263
169,0.84263
170,0.84264
171,0.84264
172,0.84264
173,0.84264
174,0.84264
175,0.84264
176,0.84264
177,0.84264
178,0.84264
179,0.84264
180,0.84265
181,0.84265
182,0.84265
183,0.84265
184,0.84265
185,0.84265
186,0.84265
187,0.84265
188,0.84265
189,0.84265
190,0.84265
191,0.84265
192,0.84265
193,0.84265
194,0.84265
195,0.84265
196,0.84265
197,0.84265
198,0.84265
199,0.84265
200,0.84266
201,0.84266
202,0.84266
203,0.84266
204,0.84267
205,0.84267
206,0.84267
207,0.84267
208,0.84268
209,0.84268
210,0.84268
211,0.84268
212,0.84268
213,0.84269
214,0.84269
215,0.84269
216,0.84269
217,0.84269
218,0.8427
219,0.8427
220,0.8427
221,0.8427
222,0.8427
223,0.84271
224,0.84271
