rank,score
1,0.99201
2,0.99176
3,0.99171
4,0.99096
5,0.99086
6,0.99041
7,0.99036
8,0.99036
9,0.99031
10,0.99031
11,0.99031
12,0.99031
13,0.99031
14,0.99031
15,0.99031
16,0.99031
17,0.99031
18,0.99026
19,0.99026
20,0.99026
21,0.99026
22,0.99026
23,0.99026
24,0.99026
25,0.99026
26,0.99026
27,0.99026
28,0.99026
29,0.99026
30,0.99026
31,0.99026
32,0.99026
33,0.99026
34,0.99026
35,0.99026
36,0.99026
37,0.99026
38,0.99026
39,0.99026
40,0.99026
41,0.99026
42,0.99026
43,0.99026
44,0.99026
45,0.99026
46,0.99021
47,0.99021
48,0.99021
49,0.99021
50,0.99021
51,0.99021
52,0.99021
53,0.99021
54,0.99021
55,0.99021
56,0.99021
57,0.99021
58,0.99021
59,0.99021
60,0.99021
61,0.99021
62,0.99021
63,0.99021
64,0.99021
65,0.99021
66,0.99021
67,0.99021
68,0.99021
69,0.99021
70,0.99021
71,0.99021
72,0.99021
73,0.99021
74,0.99021
75,0.99021
76,0.99021
77,0.99021
78,0.99021
79,0.99021
80,0.99021
81,0.99021
82,0.99021
83,0.99021
84,0.99021
85,0.99021
86,0.99021
87,0.99021
88,0.99021
89,0.99021
90,0.99021
91,0.99021
92,0.99021
93,0.99021
94,0.99021
95,0.99021
96,0.99021
97,0.99021
98,0.99021
99,0.99021
100,0.99021
101,0.99021
102,0.99021
103,0.99021
104,0.99021
105,0.99021
106,0.99021
107,0.99021
108,0.99021
109,0.99021
110,0.99021
111,0.99021
112,0.99021
113,0.99021
114,0.99021
115,0.99021
116,0.99021
117,0.99021
118,0.99021
119,0.99021
120,0.99021
121,0.99021
122,0.99021
123,0.99021
124,0.99021
125,0.99021
126,0.99021
127,0.99021
128,0.99021
129,0.99021
130,0.99021
131,0.99021
132,0.99021
133,0.99021
134,0.99021
135,0.99021
136,0.99021
137,0.99021
138,0.99016
139,0.99016
140,0.99016
141,0.99016
142,0.99016
143,0.99016
144,0.99016
145,0.99016
146,0.99016
147,0.99016
148,0.99016
149,0.99016
150,0.99016
151,0.99016
152,0.99016
153,0.99016
154,0.99016
155,0.99016
156,0.99016
157,0.99016
158,0.99016
159,0.99016
160,0.99016
161,0.99016
162,0.99016
163,0.99016
164,0.99011
165,0.99011
166,0.99011
167,0.99011
168,0.99006
169,0.99006
170,0.99006
171,0.99006
172,0.99001
173,0.99001
174,0.99001
175,0.99001
176,0.99001
177,0.99001
178,0.99001
179,0.99001
180,0.99001
181,0.99001
182,0.99001
183,0.99001
184,0.99001
185,0.99001
186,0.99001
187,0.99001
188,0.98996
189,0.98996
190,0.98996
191,0.98991
192,0.98991
193,0.9897
194,0.9897
195,0.9897
196,0.98965
197,0.98965
198,0.98945
199,0.9894
200,0.98935
201,0.98935
202,0.98935
203,0.98935
204,0.98935
205,0.98925
206,0.98915
207,0.98915
208,0.9891
209,0.989
210,0.98895
211,0.98895
212,0.9889
213,0.9889
214,0.98885
215,0.9888
216,0.9887
217,0.9887
218,0.9887
219,0.9887
220,0.98865
221,0.98865
222,0.98865
223,0.98865
224,0.98865
225,0.98865
226,0.98855
227,0.98855
228,0.9885
229,0.9885
230,0.9885
231,0.9884
232,0.9884
233,0.98835
234,0.9883
235,0.9883
236,0.9883
237,0.98825
238,0.98815
239,0.98815
240,0.98815
241,0.9881
242,0.9881
243,0.98805
244,0.98805
245,0.98805
246,0.98805
247,0.98795
248,0.98795
249,0.9879
250,0.9879
251,0.9879
252,0.9879
253,0.98785
254,0.98785
255,0.98785
256,0.98785
257,0.9878
258,0.9878
259,0.9878
260,0.9878
261,0.9878
262,0.98775
263,0.98775
264,0.98775
265,0.98775
266,0.98775
267,0.98775
268,0.9877
269,0.9877
270,0.98765
271,0.9876
272,0.9876
273,0.9876
274,0.98755
275,0.98755
276,0.98755
277,0.9875
278,0.9875
279,0.9875
280,0.98745
281,0.98745
282,0.98735
283,0.98735
284,0.98735
285,0.98735
286,0.98729
287,0.98729
288,0.98729
289,0.98724
290,0.98724
291,0.98724
292,0.98724
293,0.98719
294,0.98719
295,0.98714
296,0.98709
297,0.98709
298,0.98704
299,0.98699
300,0.98699
301,0.98689
302,0.98689
303,0.98689
304,0.98684
305,0.98684
306,0.98684
307,0.98684
308,0.98684
309,0.98684
310,0.98684
311,0.98684
312,0.98684
313,0.98684
314,0.98684
315,0.98679
316,0.98674
317,0.98674
318,0.98674
319,0.98669
320,0.98659
321,0.98659
322,0.98654
323,0.98654
324,0.98649
325,0.98644
326,0.98639
327,0.98634
328,0.98634
329,0.98629
330,0.98624
331,0.98624
332,0.98624
333,0.98619
334,0.98609
335,0.98604
336,0.98599
337,0.98594
338,0.98589
339,0.98589
340,0.98589
341,0.98564
342,0.98554
343,0.98549
344,0.98534
345,0.98514
346,0.98484
347,0.98473
348,0.98463
349,0.98463
350,0.98423
351,0.98413
352,0.98383
353,0.98373
354,0.98323
355,0.98273
356,0.98258
357,0.98253
358,0.98243
359,0.98217
360,0.98217
361,0.98207
362,0.98207
363,0.98207
364,0.98207
365,0.98182
366,0.98072
367,0.98017
368,0.97977
369,0.97961
370,0.97961
371,0.97946
372,0.97936
373,0.97906
374,0.97901
375,0.97901
376,0.97901
377,0.97886
378,0.97876
379,0.97876
380,0.97871
381,0.97866
382,0.97866
383,0.97856
384,0.97851
385,0.97846
386,0.97841
387,0.97841
388,0.97841
389,0.97836
390,0.97831
391,0.97831
392,0.97831
393,0.97831
394,0.97826
395,0.97821
396,0.97821
397,0.97816
398,0.97811
399,0.97806
400,0.97796
401,0.97786
402,0.97781
403,0.97781
404,0.97776
405,0.97771
406,0.97766
407,0.97756
408,0.97751
409,0.97741
410,0.97736
411,0.97736
412,0.97731
413,0.9772
414,0.97715
415,0.9771
416,0.97705
417,0.977
418,0.977
419,0.97695
420,0.97695
421,0.9769
422,0.9768
423,0.97675
424,0.97675
425,0.97675
426,0.97675
427,0.97665
428,0.97665
429,0.97665
430,0.9766
