rank,score
1,4.58941
2,4.63253
3,4.63648
4,4.64279
5,4.66955
6,4.6874
7,4.73763
8,4.74631
9,4.75792
10,4.7817
11,4.79556
12,4.81958
13,4.82022
14,4.82045
15,4.83504
16,4.83801
17,4.83801
18,4.83905
19,4.84306
20,4.84717
21,4.85629
22,4.86046
23,4.86086
24,4.86086
25,4.86086
26,4.86086
27,4.86086
28,4.86086
29,4.86255
30,4.86323
31,4.86543
32,4.86584
33,4.86606
34,4.86607
35,4.867
36,4.86749
37,4.86757
38,4.86759
39,4.86798
40,4.86798
41,4.86798
42,4.86799
43,4.86807
44,4.86808
45,4.86808
46,4.86808
47,4.86808
48,4.86808
49,4.86808
50,4.86808
51,4.86808
52,4.86808
53,4.86808
54,4.8683
55,4.86853
56,4.86866
57,4.8687
58,4.86888
59,4.86891
60,4.869
61,4.86901
62,4.86901
63,4.86901
64,4.86901
65,4.86901
66,4.86901
67,4.86901
68,4.86901
69,4.86901
70,4.86901
71,4.86901
72,4.86901
73,4.86903
74,4.86921
75,4.8697
76,4.87005
77,4.87035
78,4.87059
79,4.87063
80,4.87074
81,4.87094
82,4.87151
83,4.87177
84,4.87179
85,4.87179
86,4.87179
87,4.87179
88,4.87179
89,4.87179
90,4.87179
91,4.87179
92,4.87179
93,4.87179
94,4.87179
95,4.87179
96,4.87179
97,4.87179
98,4.87179
99,4.87185
100,4.8719
101,4.87239
102,4.87264
103,4.87305
104,4.87377
105,4.87429
106,4.87443
107,4.87508
108,4.87711
109,4.87738
110,4.87818
111,4.88114
112,4.88379
113,4.88489
114,4.88547
115,4.89016
116,4.89351
117,4.89765
118,4.8993
119,4.8994
120,4.89982
121,4.90066
122,4.90557
123,4.90829
124,4.91761
125,4.92311
126,4.92715
127,4.92715
128,4.92715
129,4.9289
130,4.92918
131,4.92918
132,4.93068
133,4.93355
134,4.9363
135,4.93898
136,4.94029
137,4.94055
138,4.9415
139,4.94295
140,4.94331
141,4.94513
142,4.94548
143,4.94666
144,4.94916
145,4.9497
146,4.95224
147,4.95248
148,4.95591
149,4.95761
150,4.9632
151,4.96368
152,4.96939
153,4.97001
154,4.97001
155,4.97586
156,4.97586
157,4.97586
158,4.97649
159,4.98466
160,4.98466
161,4.98466
162,4.98466
163,4.98466
164,4.98466
165,4.98466
166,4.98466
167,4.98466
168,4.98466
169,4.98466
170,4.98466
171,4.98466
172,4.98466
173,4.98466
174,4.98466
175,4.98466
176,4.98466
177,4.98466
178,4.98466
179,4.98466
180,4.98531
181,4.98646
182,4.98717
183,4.98717
184,4.98736
185,4.98749
186,4.98778
187,4.98951
188,4.98963
189,4.99021
190,4.99021
191,4.99021
192,4.99274
193,4.99356
194,4.99416
195,4.99436
196,4.99519
197,4.99785
198,4.99789
199,4.99821
200,4.99821
201,4.99821
202,4.99988
203,5.00336
204,5.00805
205,5.00805
206,5.00855
207,5.00965
208,5.00987
209,5.01033
210,5.01054
211,5.01256
212,5.01443
213,5.01471
214,5.01568
215,5.01614
216,5.01695
217,5.01924
218,5.01932
219,5.02032
220,5.02315
221,5.02459
222,5.02529
223,5.02532
224,5.02925
225,5.03186
226,5.0335
227,5.03975
228,5.04028
229,5.04161
230,5.04396
231,5.04421
232,5.04616
233,5.05334
234,5.05516
235,5.06844
236,5.06844
237,5.06844
238,5.06845
239,5.0685
240,5.06857
241,5.06857
242,5.06857
243,5.06857
244,5.06857
245,5.06857
246,5.06857
247,5.07053
248,5.07107
249,5.07239
250,5.07256
251,5.07466
252,5.07476
253,5.07773
254,5.07872
255,5.08115
256,5.08159
257,5.0835
258,5.08371
259,5.08423
260,5.08893
261,5.08896
262,5.0918
263,5.0951
264,5.09607
265,5.09842
266,5.09842
267,5.09842
268,5.09842
269,5.09842
270,5.09842
271,5.09842
272,5.09842
273,5.09842
274,5.09842
275,5.09842
276,5.09842
277,5.09842
278,5.09842
279,5.09844
280,5.1001
281,5.10471
282,5.11442
283,5.1188
284,5.12128
285,5.12269
286,5.13074
287,5.13403
288,5.13444
289,5.13444
290,5.13828
291,5.1481
292,5.1575
293,5.16816
294,5.16816
295,5.16816
296,5.16816
297,5.16816
298,5.16816
299,5.16816
300,5.16816
301,5.16816
302,5.16816
303,5.16816
304,5.16816
305,5.16816
306,5.16816
307,5.16816
308,5.16816
309,5.16822
310,5.17642
311,5.17672
312,5.17842
313,5.18882
314,5.19232
315,5.19651
316,5.20213
317,5.20659
318,5.20722
319,5.20813
320,5.20843
321,5.20843
322,5.20843
323,5.2181
324,5.21837
325,5.22151
326,5.23184
327,5.23475
328,5.23562
329,5.2394
330,5.2394
331,5.24323
332,5.26264
333,5.26264
334,5.26264
335,5.26528
336,5.26662
337,5.26853
338,5.27481
339,5.27481
340,5.27501
341,5.27632
342,5.28506
343,5.29371
344,5.30684
345,5.30823
346,5.32343
347,5.3436
348,5.3551
349,5.36103
350,5.39388
351,5.39945
352,5.40947
353,5.41943
354,5.43886
355,5.4536
356,5.47095
357,5.4762
358,5.49694
359,5.51249
360,5.52774
361,5.57849
362,5.58157
363,5.60567
364,5.61596
365,5.63006
366,5.63594
367,5.64416
368,5.64778
369,5.65193
370,5.65406
371,5.66962
372,5.68021
373,5.71114
374,5.77501
375,5.7979
376,5.85077
377,5.85497
378,5.86791
379,5.87534
380,5.88994
381,5.89112
382,5.90044
383,5.90722
384,5.91595
385,5.9184
386,5.92046
387,5.95308
388,5.99422
389,6.00083
390,6.04288
391,6.04288
392,6.06365
393,6.10672
394,6.10831
395,6.12346
396,6.14122
397,6.16463
398,6.19062
399,6.23161
400,6.23652
401,6.25408
402,6.2975
403,6.31593
404,6.35857
405,6.37195
406,6.39278
407,6.40132
408,6.50538
409,6.51253
410,6.53888
411,6.55358
412,6.56605
413,6.57769
414,6.58045
415,6.59025
416,6.5921
417,6.60233
418,6.61283
419,6.62523
420,6.62523
421,6.63808
422,6.65251
423,6.66978
424,6.67781
425,6.67851
426,6.69366
427,6.69729
428,6.69861
429,6.72516
430,6.74832
431,6.76013
432,6.77977
433,6.78382
434,6.81342
435,6.81621
436,6.83091
437,6.85162
438,6.855
439,6.85557
440,6.86803
441,6.86803
442,6.86803
443,6.87336
444,6.8878
445,6.89298
446,6.90737
447,6.91135
448,6.9247
449,6.9247
450,6.94435
451,6.94694
452,6.95082
453,6.95276
454,6.95977
455,6.96991
456,6.98911
457,6.99249
458,6.9992
459,7.00257
460,7.01659
461,7.01908
462,7.02105
463,7.02719
464,7.03265
465,7.04318
466,7.04636
467,7.04821
468,7.05579
469,7.06254
470,7.06614
471,7.06833
472,7.08
473,7.08749
474,7.09022
475,7.09223
476,7.09341
477,7.0968
478,7.09804
479,7.10039
480,7.10647
481,7.11121
482,7.11476
483,7.11729
484,7.11804
485,7.12029
486,7.12878
487,7.1301
488,7.13114
489,7.13338
490,7.14026
491,7.14422
492,7.14639
493,7.14783
494,7.15173
495,7.15397
496,7.16004
497,7.16121
498,7.16195
499,7.16702
500,7.16866
501,7.17302
502,7.17402
503,7.18498
504,7.18498
505,7.18728
506,7.18826
507,7.19443
508,7.20163
509,7.20184
510,7.20187
511,7.20467
512,7.20642
513,7.20921
514,7.20921
515,7.21172
516,7.21598
517,7.2234
518,7.22761
519,7.23348
520,7.24092
521,7.24145
522,7.2419
523,7.2429
524,7.24486
525,7.25027
526,7.25769
527,7.25919
528,7.26178
529,7.26489
530,7.26522
531,7.27105
532,7.27292
533,7.27409
534,7.27524
535,7.27852
536,7.28774
537,7.28951
538,7.29597
539,7.29755
540,7.30542
541,7.31076
542,7.31507
543,7.32479
544,7.32796
545,7.33244
546,7.34153
547,7.34226
548,7.34473
549,7.35546
550,7.36009
551,7.3735
552,7.37538
553,7.38569
554,7.38574
555,7.39073
556,7.39441
557,7.39697
558,7.41689
559,7.42163
560,7.42642
561,7.42658
562,7.43337
563,7.43421
564,7.43678
565,7.44616
566,7.44635
567,7.46172
568,7.46291
569,7.46483
570,7.46665
571,7.46825
572,7.47008
573,7.47549
574,7.4814
575,7.48207
576,7.48785
577,7.49141
578,7.5057
579,7.50881
580,7.5112
581,7.51171
582,7.51171
583,7.51171
584,7.51234
585,7.51301
586,7.51612
587,7.51612
588,7.5165
589,7.51701
590,7.51872
591,7.52147
592,7.52392
593,7.52393
594,7.5296
595,7.53284
596,7.53821
597,7.54102
598,7.54131
599,7.54573
600,7.55418
601,7.56244
602,7.5661
603,7.57
604,7.57301
605,7.57497
606,7.58265
607,7.5874
608,7.5961
609,7.60241
610,7.60356
611,7.60369
612,7.61609
613,7.61609
614,7.62031
615,7.62188
616,7.62817
617,7.63019
618,7.63113
619,7.64021
620,7.64074
621,7.64748
622,7.64866
623,7.65236
624,7.65653
625,7.66066
626,7.66401
627,7.66555
628,7.66768
629,7.68082
630,7.68774
631,7.68867
632,7.69838
633,7.69989
634,7.70134
635,7.70761
636,7.70982
637,7.71025
638,7.71544
639,7.71795
640,7.71936
641,7.73809
642,7.74978
643,7.76753
644,7.77269
645,7.77457
646,7.78128
647,7.78212
648,7.78698
649,7.79147
650,7.79482
651,7.79746
652,7.79884
653,7.80833
654,7.8173
655,7.81777
656,7.8188
657,7.82725
658,7.84109
659,7.8456
660,7.84653
661,7.84911
662,7.85258
663,7.85463
664,7.85671
665,7.86763
666,7.8677
667,7.87526
668,7.8798
669,7.88169
670,7.89386
671,7.89785
672,7.89863
673,7.90475
674,7.90636
675,7.91216
676,7.91378
677,7.91746
678,7.92199
679,7.92351
680,7.92834
681,7.92929
682,7.95532
683,7.95662
684,7.97021
685,7.97132
686,7.9731
687,7.9755
688,7.9956
689,7.99663
690,8.0064
691,8.00923
692,8.01415
693,8.01795
694,8.01966
695,8.03684
696,8.04143
697,8.04592
698,8.07273
