rank,score
1,3.97238
2,3.99063
3,3.99187
4,3.99543
5,3.99734
6,3.99738
7,3.99775
8,3.99949
9,3.9995
10,3.99968
11,4.00128
12,4.00158
13,4.00191
14,4.00213
15,4.00218
16,4.00237
17,4.00241
18,4.00253
19,4.00254
20,4.00261
21,4.00267
22,4.0027
23,4.00273
24,4.00277
25,4.00278
26,4.00284
27,4.00284
28,4.00284
29,4.00284
30,4.00284
31,4.00284
32,4.00284
33,4.00284
34,4.00284
35,4.00284
36,4.00285
37,4.00285
38,4.00286
39,4.00286
40,4.00286
41,4.00286
42,4.00286
43,4.00286
44,4.00286
45,4.00286
46,4.00286
47,4.00286
48,4.00286
49,4.00286
50,4.00286
51,4.00286
52,4.00286
53,4.00286
54,4.00286
55,4.00286
56,4.00286
57,4.00286
58,4.00286
59,4.00286
60,4.00286
61,4.00286
62,4.00286
63,4.00286
64,4.00286
65,4.00286
66,4.00286
67,4.00286
68,4.00286
69,4.00286
70,4.00286
71,4.00286
72,4.00286
73,4.00286
74,4.00286
75,4.00286
76,4.00286
77,4.00286
78,4.00288
79,4.00288
80,4.00289
81,4.00289
82,4.00292
83,4.00292
84,4.00292
85,4.00292
86,4.00292
87,4.00292
88,4.00292
89,4.00292
90,4.00292
91,4.00292
92,4.00292
93,4.00292
94,4.00292
95,4.00292
96,4.00292
97,4.00293
98,4.00293
99,4.00293
100,4.00293
101,4.00293
102,4.00293
103,4.00294
104,4.00294
105,4.00294
106,4.00294
107,4.00294
108,4.00294
109,4.00294
110,4.00294
111,4.00294
112,4.00294
113,4.00294
114,4.00294
115,4.00294
116,4.00295
117,4.00311
118,4.00314
119,4.0032
120,4.00321
121,4.0037
122,4.00371
123,4.00393
124,4.00393
125,4.00393
126,4.00393
127,4.00393
128,4.00393
129,4.00481
130,4.00486
131,4.00508
132,4.00516
133,4.00579
134,4.00595
135,4.00605
136,4.00629
137,4.00653
138,4.00681
139,4.00681
140,4.00681
141,4.00681
142,4.00681
143,4.00681
144,4.00681
145,4.00728
146,4.00983
147,4.01187
148,4.01205
149,4.01308
150,4.0141
151,4.01546
152,4.01574
153,4.01768
154,4.01768
155,4.01768
156,4.01768
157,4.01768
158,4.01768
159,4.01768
160,4.01768
161,4.01768
162,4.01768
163,4.01768
164,4.01768
165,4.01768
166,4.01768
167,4.01768
168,4.01768
169,4.01776
170,4.01843
171,4.01843
172,4.01912
173,4.0194
174,4.01971
175,4.02049
176,4.02049
177,4.02049
178,4.02075
179,4.0215
180,4.0226
181,4.02261
182,4.02289
183,4.02427
184,4.02473
185,4.02683
186,4.02696
187,4.02724
188,4.02944
189,4.02949
190,4.02979
191,4.03004
192,4.03014
193,4.03067
194,4.03088
195,4.03098
196,4.03137
197,4.03228
198,4.03326
199,4.03462
200,4.03568
201,4.036
202,4.03772
203,4.0383
204,4.03898
205,4.04116
206,4.04127
207,4.0414
208,4.04335
209,4.0434
210,4.04626
211,4.04631
212,4.04686
213,4.04898
214,4.04942
215,4.04986
216,4.05138
217,4.05206
218,4.05227
219,4.05236
220,4.05482
221,4.05616
222,4.05818
223,4.06254
224,4.06647
