rank,score
1,0.03527
2,0.03534
3,0.0357
4,0.03595
5,0.03655
6,0.03665
7,0.03666
8,0.03667
9,0.03667
10,0.03669
11,0.0367
12,0.0368
13,0.0368
14,0.03682
15,0.03685
16,0.03685
17,0.03685
18,0.03685
19,0.03685
20,0.03685
21,0.03686
22,0.03687
23,0.03687
24,0.03688
25,0.03692
26,0.03696
27,0.03698
28,0.03698
29,0.03698
30,0.03699
31,0.03699
32,0.037
33,0.03705
34,0.03709
35,0.03712
36,0.03712
37,0.03712
38,0.03712
39,0.03712
40,0.03712
41,0.03712
42,0.03712
43,0.03712
44,0.03712
45,0.03712
46,0.03712
47,0.03712
48,0.03712
49,0.03712
50,0.03712
51,0.03712
52,0.03712
53,0.03712
54,0.03712
55,0.03712
56,0.03712
57,0.03712
58,0.03712
59,0.03712
60,0.03712
61,0.03713
62,0.03714
63,0.03717
64,0.03719
65,0.03726
66,0.03733
67,0.03733
68,0.03737
69,0.03744
70,0.03755
71,0.03762
72,0.03763
73,0.03768
74,0.03769
75,0.03774
76,0.03775
77,0.03775
78,0.03775
79,0.03775
80,0.03775
81,0.03775
82,0.03775
83,0.03775
84,0.03778
85,0.03779
86,0.03779
87,0.0378
88,0.03781
89,0.03781
90,0.03782
91,0.03782
92,0.03786
93,0.03789
94,0.038
95,0.03802
96,0.03817
97,0.03821
98,0.03829
99,0.03852
100,0.03856
101,0.03859
102,0.0386
103,0.03862
104,0.03871
105,0.03871
106,0.03871
107,0.03873
108,0.03877
109,0.03879
110,0.03883
111,0.0396
112,0.03995
113,0.04012
114,0.04012
115,0.04012
116,0.04012
117,0.04012
118,0.04012
119,0.04036
120,0.04057
121,0.04552
122,0.04722
123,0.04989
124,0.05315
125,0.05315
126,0.05453
127,0.05592
128,0.05909
129,0.06192
130,0.06293
131,0.0644
132,0.06953
133,0.07479
134,0.0783
135,0.0783
136,0.07897
137,0.08082
138,0.09878
139,0.10138
140,0.10341
141,0.10881
142,0.11097
143,0.11761
144,0.12408
145,0.12567
146,0.12643
147,0.13759
148,0.13871
149,0.13916
150,0.14104
151,0.14612
152,0.14678
153,0.14687
154,0.14841
155,0.14925
156,0.14951
157,0.15008
158,0.15031
159,0.15042
160,0.15077
161,0.15091
162,0.15114
163,0.15115
164,0.15115
165,0.15115
166,0.152
167,0.152
168,0.15215
169,0.15219
170,0.15249
171,0.15252
172,0.15267
173,0.1527
174,0.15275
175,0.15283
176,0.15314
177,0.15352
178,0.15381
179,0.15381
180,0.15397
181,0.15453
182,0.15459
183,0.1546
184,0.15472
185,0.15476
186,0.15492
187,0.15507
188,0.15507
189,0.15509
190,0.15516
191,0.15522
192,0.15529
193,0.15547
194,0.15561
195,0.15561
196,0.1558
197,0.15588
198,0.15604
199,0.15604
200,0.15604
201,0.15604
202,0.15604
203,0.15609
204,0.15628
205,0.15636
206,0.15652
207,0.15658
208,0.15696
209,0.15699
210,0.15702
211,0.15712
212,0.15713
213,0.15749
214,0.15754
215,0.15758
216,0.15779
217,0.15779
218,0.15779
219,0.15779
220,0.15783
221,0.15801
222,0.15811
223,0.15838
224,0.15842
225,0.15874
226,0.15967
227,0.15972
228,0.15987
229,0.16019
230,0.16022
231,0.16028
232,0.16061
233,0.16068
234,0.16133
235,0.16133
236,0.16139
237,0.1622
238,0.1622
239,0.16228
240,0.1623
241,0.16232
242,0.16232
243,0.1625
244,0.16264
245,0.16275
246,0.16277
247,0.16287
248,0.16288
249,0.16291
250,0.16294
251,0.1631
252,0.16318
253,0.16347
254,0.16347
255,0.16347
256,0.16347
257,0.16351
258,0.16359
259,0.16359
260,0.16378
261,0.16382
262,0.16462
263,0.16488
264,0.16519
265,0.16522
266,0.16536
267,0.16536
268,0.16542
269,0.16601
270,0.16601
271,0.16631
272,0.16637
273,0.16649
274,0.16677
275,0.16686
276,0.16707
277,0.16745
278,0.16752
279,0.16794
280,0.16854
281,0.1686
282,0.1687
283,0.16888
284,0.16899
285,0.16903
286,0.16912
287,0.16924
288,0.16929
289,0.16976
290,0.1699
291,0.17023
292,0.17023
293,0.17027
294,0.17027
295,0.17028
296,0.17062
297,0.17066
298,0.17066
299,0.17084
300,0.17118
301,0.17143
302,0.17187
303,0.17193
304,0.17199
305,0.17206
306,0.17238
307,0.1726
308,0.17302
309,0.17306
310,0.17314
311,0.17319
312,0.17323
313,0.17327
314,0.17328
315,0.17333
316,0.17336
317,0.17355
318,0.17358
319,0.17359
320,0.17403
321,0.17407
322,0.17413
323,0.1742
324,0.17443
325,0.1747
326,0.17484
327,0.17519
328,0.17532
329,0.17535
330,0.17539
331,0.1754
332,0.17541
333,0.17545
334,0.17571
335,0.17572
336,0.17579
337,0.17593
338,0.176
339,0.17629
340,0.17641
341,0.17645
342,0.17698
343,0.17711
344,0.17714
345,0.17737
346,0.17753
347,0.17765
348,0.17778
349,0.17786
350,0.17804
351,0.17813
352,0.17817
353,0.17824
354,0.17829
355,0.17846
356,0.17846
357,0.17869
358,0.17898
359,0.17918
360,0.17921
361,0.17921
362,0.17935
363,0.17938
364,0.17951
365,0.17963
366,0.17964
367,0.17971
368,0.18006
369,0.1801
370,0.1801
371,0.18012
372,0.18018
