rank,score
1,0.03795
2,0.03801
3,0.03873
4,0.03904
5,0.03904
6,0.03905
7,0.03932
8,0.03933
9,0.03935
10,0.03939
11,0.0394
12,0.03947
13,0.0395
14,0.03952
15,0.03953
16,0.03953
17,0.03954
18,0.03958
19,0.03967
20,0.03968
21,0.03968
22,0.03969
23,0.0397
24,0.0397
25,0.0397
26,0.0397
27,0.0397
28,0.0397
29,0.0397
30,0.0397
31,0.0397
32,0.0397
33,0.0397
34,0.0397
35,0.0397
36,0.0397
37,0.0397
38,0.0397
39,0.0397
40,0.0397
41,0.0397
42,0.0397
43,0.0397
44,0.0397
45,0.0397
46,0.0397
47,0.0397
48,0.0397
49,0.0397
50,0.0397
51,0.0397
52,0.0397
53,0.03972
54,0.03973
55,0.03976
56,0.03979
57,0.03979
58,0.03981
59,0.03982
60,0.03983
61,0.03983
62,0.03987
63,0.0399
64,0.03994
65,0.03994
66,0.03997
67,0.0401
68,0.04017
69,0.04021
70,0.04022
71,0.04029
72,0.04041
73,0.04045
74,0.04058
75,0.04067
76,0.04093
77,0.04093
78,0.04093
79,0.04093
80,0.04107
81,0.0411
82,0.04113
83,0.04114
84,0.04114
85,0.04114
86,0.04114
87,0.04114
88,0.04114
89,0.0412
90,0.04127
91,0.04129
92,0.04134
93,0.04141
94,0.04149
95,0.04183
96,0.04277
97,0.04284
98,0.04319
99,0.04441
100,0.0451
101,0.04529
102,0.04546
103,0.04554
104,0.04587
105,0.04622
106,0.04648
107,0.04679
108,0.04688
109,0.04689
110,0.04689
111,0.04692
112,0.04699
113,0.04706
114,0.04719
115,0.04742
116,0.04832
117,0.05017
118,0.05017
119,0.05017
120,0.05017
121,0.05017
122,0.05017
123,0.05118
124,0.05153
125,0.05277
126,0.05277
127,0.05365
128,0.05627
129,0.06352
130,0.0686
131,0.07242
132,0.08016
133,0.08689
134,0.08689
135,0.08689
136,0.08801
137,0.08801
138,0.08801
139,0.09233
140,0.09354
141,0.09633
142,0.10597
143,0.10605
144,0.12243
145,0.12925
146,0.12956
147,0.13288
148,0.13309
149,0.13752
150,0.13878
151,0.15208
152,0.15384
153,0.16448
154,0.16448
155,0.17805
156,0.18021
157,0.18243
158,0.1825
159,0.18251
160,0.18265
161,0.18265
162,0.18278
163,0.18302
164,0.18302
165,0.18302
166,0.18304
167,0.18305
168,0.18322
169,0.18322
170,0.1836
171,0.18382
172,0.18406
173,0.18461
174,0.18536
175,0.18543
176,0.18556
177,0.18558
178,0.18589
179,0.18608
180,0.18608
181,0.18609
182,0.18609
183,0.18613
184,0.18617
185,0.18619
186,0.18633
187,0.18648
188,0.18672
189,0.18699
190,0.18725
191,0.18778
192,0.18789
193,0.18789
194,0.18789
195,0.1881
196,0.1882
197,0.18825
198,0.18831
199,0.18843
200,0.18852
201,0.18862
202,0.18863
203,0.18868
204,0.18871
205,0.18874
206,0.18885
207,0.18893
208,0.1891
209,0.18922
210,0.1895
211,0.18967
212,0.18969
213,0.1897
214,0.1897
215,0.18971
216,0.18978
217,0.18981
218,0.19009
219,0.19016
220,0.19052
221,0.19054
222,0.19061
223,0.19064
224,0.19067
225,0.19067
226,0.19094
227,0.19099
228,0.19106
229,0.19107
230,0.19122
231,0.19136
232,0.19157
233,0.19157
234,0.19164
235,0.19173
236,0.19189
237,0.19207
238,0.19258
239,0.19268
240,0.19284
241,0.19296
242,0.19314
