rank,score
1,0.90057
2,0.90053
3,0.89986
4,0.89981
5,0.89977
6,0.89969
7,0.89969
8,0.89964
9,0.89958
10,0.89954
11,0.89951
12,0.8995
13,0.89949
14,0.89949
15,0.89948
16,0.89948
17,0.89945
18,0.89944
19,0.89942
20,0.89941
21,0.8994
22,0.89939
23,0.89939
24,0.89939
25,0.89939
26,0.89939
27,0.89939
28,0.89939
29,0.89939
30,0.89939
31,0.89939
32,0.89939
33,0.89939
34,0.89939
35,0.89939
36,0.89939
37,0.89939
38,0.89939
39,0.89939
40,0.89939
41,0.89939
42,0.89939
43,0.89939
44,0.89939
45,0.89939
46,0.89939
47,0.89939
48,0.89939
49,0.89939
50,0.89939
51,0.89939
52,0.89939
53,0.89939
54,0.89939
55,0.89938
56,0.89938
57,0.89938
58,0.89938
59,0.89938
60,0.89938
61,0.89937
62,0.89937
63,0.89937
64,0.89937
65,0.89937
66,0.89937
67,0.89937
68,0.89937
69,0.89937
70,0.89937
71,0.89937
72,0.89937
73,0.89937
74,0.89937
75,0.89937
76,0.89937
77,0.89937
78,0.89937
79,0.89937
80,0.89937
81,0.89937
82,0.89937
83,0.89937
84,0.89937
85,0.89937
86,0.89937
87,0.89937
88,0.89937
89,0.89937
90,0.89936
91,0.89936
92,0.89936
93,0.89936
94,0.89936
95,0.89936
96,0.89936
97,0.89936
98,0.89936
99,0.89936
100,0.89936
101,0.89936
102,0.89936
103,0.89936
104,0.89936
105,0.89935
106,0.89935
107,0.89934
108,0.89927
109,0.89927
110,0.89926
111,0.8992
112,0.89919
113,0.89918
114,0.89917
115,0.89916
116,0.89911
117,0.89909
118,0.89896
119,0.89894
120,0.89892
121,0.89888
122,0.89887
123,0.89887
124,0.89884
125,0.89883
126,0.89876
127,0.89873
128,0.8987
129,0.8987
130,0.8987
131,0.8987
132,0.8987
133,0.8987
134,0.8987
135,0.8987
136,0.8987
137,0.8987
138,0.8987
139,0.8987
140,0.8987
141,0.8987
142,0.8987
143,0.8987
144,0.8987
145,0.8987
146,0.8987
147,0.89869
148,0.89861
149,0.89859
150,0.89856
151,0.89833
152,0.89823
153,0.8982
154,0.89817
155,0.89816
156,0.89802
157,0.89791
158,0.89791
159,0.89791
160,0.89791
161,0.89791
162,0.89789
163,0.89789
164,0.89779
165,0.89779
166,0.89775
167,0.89774
168,0.89773
169,0.89772
170,0.89769
171,0.89769
172,0.89768
