rank,score
1,0.89599
2,0.89587
3,0.89549
4,0.89518
5,0.89504
6,0.895
7,0.89492
8,0.89491
9,0.8949
10,0.89488
11,0.89484
12,0.89482
13,0.89481
14,0.89478
15,0.89477
16,0.89477
17,0.89477
18,0.89476
19,0.89476
20,0.89475
21,0.89475
22,0.89475
23,0.89474
24,0.89474
25,0.89474
26,0.89474
27,0.89474
28,0.89473
29,0.89473
30,0.89473
31,0.89473
32,0.89473
33,0.89473
34,0.89473
35,0.89473
36,0.89473
37,0.89473
38,0.89473
39,0.89473
40,0.89473
41,0.89473
42,0.89473
43,0.89473
44,0.89473
45,0.89473
46,0.89473
47,0.89473
48,0.89473
49,0.89473
50,0.89473
51,0.89473
52,0.89473
53,0.89473
54,0.89473
55,0.89473
56,0.89473
57,0.89473
58,0.89473
59,0.89473
60,0.89472
61,0.89472
62,0.89472
63,0.89472
64,0.89472
65,0.89472
66,0.89472
67,0.89472
68,0.89472
69,0.89472
70,0.89472
71,0.89472
72,0.89472
73,0.89472
74,0.89472
75,0.89472
76,0.89472
77,0.89472
78,0.89472
79,0.89472
80,0.89472
81,0.89472
82,0.89472
83,0.89472
84,0.89472
85,0.89472
86,0.89471
87,0.89471
88,0.89471
89,0.89471
90,0.89471
91,0.89471
92,0.89471
93,0.89471
94,0.89471
95,0.89471
96,0.89471
97,0.89471
98,0.89471
99,0.89471
100,0.89471
101,0.89471
102,0.89471
103,0.89471
104,0.89471
105,0.8947
106,0.8947
107,0.8947
108,0.8947
109,0.89468
110,0.89467
111,0.89466
112,0.89466
113,0.89465
114,0.89462
115,0.89459
116,0.89458
117,0.89457
118,0.89455
119,0.89447
120,0.89447
121,0.89442
122,0.8943
123,0.89428
124,0.89424
125,0.8942
126,0.89413
127,0.89412
128,0.89412
129,0.89412
130,0.89411
131,0.89408
132,0.89407
133,0.89403
134,0.89399
135,0.89399
136,0.89399
137,0.89399
138,0.89399
139,0.89399
140,0.89399
141,0.89399
142,0.89399
143,0.89399
144,0.89399
145,0.89399
146,0.89399
147,0.89399
148,0.89399
149,0.89399
150,0.89399
151,0.89399
152,0.89399
153,0.89387
154,0.89385
155,0.89345
156,0.89344
157,0.8933
158,0.89329
159,0.89324
160,0.89323
161,0.89323
162,0.89323
163,0.89323
164,0.89323
165,0.89323
166,0.89316
167,0.89307
168,0.89304
169,0.89302
170,0.893
171,0.89299
172,0.89299
173,0.89299
174,0.89298
175,0.89296
176,0.89293
177,0.89291
178,0.8929
179,0.8929
180,0.89289
181,0.89288
182,0.89288
183,0.89288
184,0.89287
185,0.89287
186,0.89287
187,0.89286
188,0.89285
189,0.89285
190,0.89283
191,0.89282
192,0.89281
193,0.89281
194,0.89281
195,0.8928
196,0.89279
197,0.89279
198,0.89278
199,0.89278
200,0.89278
201,0.89275
202,0.89274
203,0.89274
204,0.89274
205,0.89273
206,0.89272
207,0.89272
208,0.89272
209,0.89271
210,0.8927
211,0.89269
212,0.89269
213,0.89269
214,0.89269
215,0.89269
216,0.89269
217,0.89268
218,0.89268
219,0.89268
220,0.89268
221,0.89268
222,0.89268
223,0.89268
224,0.89268
225,0.89268
226,0.89268
227,0.89268
228,0.89268
229,0.89267
230,0.89267
231,0.89267
232,0.89266
233,0.89266
234,0.89266
235,0.89265
236,0.89265
237,0.89264
238,0.89262
239,0.89262
240,0.89262
241,0.8926
242,0.8926
243,0.8926
244,0.8926
245,0.8926
246,0.89259
247,0.89259
248,0.89259
249,0.89258
250,0.89258
251,0.89254
252,0.89253
253,0.89253
254,0.89253
255,0.89252
256,0.89251
257,0.89249
258,0.89249
259,0.89248
260,0.89248
261,0.89248
262,0.89247
263,0.89247
264,0.89246
265,0.89245
266,0.89245
267,0.89245
268,0.89244
269,0.89243
270,0.89243
271,0.89243
272,0.89243
273,0.89243
274,0.8924
275,0.89239
276,0.89237
277,0.89236
278,0.89236
279,0.89232
280,0.89231
281,0.89231
282,0.8923
283,0.8923
284,0.8923
285,0.89229
286,0.89226
287,0.89226
288,0.89226
289,0.89225
290,0.89225
291,0.89225
292,0.89223
293,0.89223
294,0.8922
295,0.8922
296,0.8922
297,0.8922
298,0.89219
299,0.89216
300,0.89216
301,0.89215
302,0.89214
303,0.89213
304,0.89213
305,0.89212
306,0.89212
307,0.89211
308,0.89211
309,0.8921
310,0.8921
311,0.89208
312,0.89207
313,0.89205
314,0.89205
315,0.89205
316,0.89205
317,0.89205
318,0.89205
319,0.89205
320,0.89204
321,0.89202
322,0.89202
323,0.89202
324,0.89201
325,0.892
326,0.892
327,0.892
328,0.892
329,0.89199
330,0.89198
331,0.89196
332,0.89195
333,0.89193
334,0.89192
335,0.89191
336,0.8919
337,0.89189
338,0.89189
339,0.89189
340,0.89189
341,0.89189
342,0.89188
343,0.89187
344,0.89187
345,0.89185
346,0.89185
347,0.89183
348,0.89181
349,0.8918
350,0.89179
351,0.89179
352,0.89178
353,0.89178
354,0.89175
355,0.89174
356,0.89174
357,0.89174
358,0.89172
359,0.89171
360,0.89171
361,0.89171
362,0.89169
363,0.89169
364,0.89169
365,0.89168
366,0.89168
367,0.89168
368,0.89166
369,0.89166
370,0.89165
371,0.89165
372,0.89164
373,0.89164
374,0.89164
375,0.89163
376,0.89163
377,0.89162
378,0.8916
379,0.8916
380,0.89159
381,0.89157
382,0.89157
383,0.89157
384,0.89156
385,0.89153
386,0.89153
387,0.89151
388,0.89151
389,0.8915
390,0.89149
391,0.89148
392,0.89146
393,0.89146
394,0.89145
395,0.89145
396,0.89142
397,0.89142
398,0.89141
399,0.89141
400,0.89139
401,0.89138
402,0.89138
403,0.89137
404,0.89137
405,0.89135
406,0.89132
407,0.89132
408,0.89132
409,0.89128
410,0.89126
