rank,score
1,0.99833
2,0.99826
3,0.99826
4,0.99825
5,0.99824
6,0.99824
7,0.99824
8,0.99824
9,0.99824
10,0.99824
11,0.99823
12,0.99823
13,0.99823
14,0.99823
15,0.99823
16,0.99823
17,0.99823
18,0.99823
19,0.99823
20,0.99822
21,0.99822
22,0.99822
23,0.99822
24,0.99822
25,0.99822
26,0.99822
27,0.99822
28,0.99822
29,0.99822
30,0.99822
31,0.99822
32,0.99822
33,0.99822
34,0.99822
35,0.99822
36,0.99822
37,0.99822
38,0.99822
39,0.99822
40,0.99822
41,0.99822
42,0.99822
43,0.99822
44,0.99822
45,0.99822
46,0.99822
47,0.99822
48,0.99822
49,0.99822
50,0.99822
51,0.99822
52,0.99822
53,0.99822
54,0.99822
55,0.99822
56,0.99822
57,0.99822
58,0.99822
59,0.99822
60,0.99822
61,0.99822
62,0.99822
63,0.99822
64,0.99822
65,0.99821
66,0.99821
67,0.99821
68,0.99821
69,0.99821
70,0.99821
71,0.99821
72,0.99821
73,0.99821
74,0.9982
75,0.9982
76,0.9982
77,0.9982
78,0.9982
79,0.9982
80,0.9982
81,0.9982
82,0.9982
83,0.9982
84,0.9982
85,0.9982
86,0.9982
87,0.9982
88,0.9982
89,0.9982
90,0.9982
91,0.9982
92,0.9982
93,0.9982
94,0.99819
95,0.99819
96,0.99819
97,0.99819
98,0.99819
99,0.99819
100,0.99819
101,0.99819
102,0.99819
103,0.99819
104,0.99819
105,0.99819
106,0.99819
107,0.99818
108,0.99818
109,0.99818
110,0.99818
111,0.99818
112,0.99818
113,0.99818
114,0.99818
115,0.99818
116,0.99818
117,0.99817
118,0.99817
119,0.99817
120,0.99817
121,0.99817
122,0.99817
123,0.99817
124,0.99817
125,0.99817
126,0.99817
127,0.99817
128,0.99817
129,0.99817
130,0.99817
131,0.99817
132,0.99817
133,0.99817
134,0.99817
135,0.99817
136,0.99817
137,0.99816
138,0.99816
139,0.99816
140,0.99816
141,0.99816
142,0.99816
143,0.99816
144,0.99816
145,0.99815
146,0.99814
147,0.99814
148,0.99814
149,0.99814
150,0.99814
151,0.99814
152,0.99813
153,0.99813
154,0.99813
155,0.99811
156,0.99811
157,0.9981
158,0.99809
159,0.99807
160,0.99807
161,0.99807
162,0.99806
163,0.99805
164,0.99805
165,0.99804
166,0.99804
167,0.99804
168,0.99802
169,0.99802
170,0.99802
171,0.99802
172,0.99801
173,0.99799
174,0.99798
175,0.99797
176,0.99797
177,0.99797
178,0.99796
179,0.99796
180,0.99796
181,0.99795
182,0.99795
183,0.99794
184,0.99794
185,0.99794
186,0.99791
187,0.9979
188,0.9979
189,0.9979
190,0.9979
191,0.9979
192,0.9979
193,0.9979
194,0.9979
195,0.99789
196,0.99788
197,0.99788
198,0.99788
199,0.99788
200,0.99788
201,0.99787
202,0.99787
203,0.99786
204,0.99786
205,0.99785
206,0.99785
207,0.99784
208,0.99783
209,0.99783
210,0.99783
211,0.9978
212,0.9978
213,0.99779
214,0.99778
215,0.99777
216,0.99777
217,0.99776
218,0.99776
219,0.99775
220,0.99774
221,0.99773
222,0.99771
223,0.9977
224,0.9977
225,0.99768
226,0.99768
227,0.99768
228,0.99764
229,0.99762
230,0.99759
231,0.99757
232,0.99754
233,0.99751
234,0.99749
235,0.99748
236,0.99746
237,0.99743
238,0.99741
239,0.99739
240,0.99731
241,0.9973
242,0.99727
243,0.99727
244,0.99727
245,0.99726
246,0.99726
247,0.99725
248,0.99724
249,0.99724
250,0.99723
251,0.99722
252,0.99722
253,0.99722
254,0.99721
255,0.9972
256,0.99718
257,0.99718
258,0.99717
