rank,score
1,0.99836
2,0.9983
3,0.9983
4,0.9983
5,0.99829
6,0.99829
7,0.99829
8,0.99829
9,0.99829
10,0.99829
11,0.99828
12,0.99828
13,0.99828
14,0.99828
15,0.99828
16,0.99827
17,0.99827
18,0.99827
19,0.99827
20,0.99827
21,0.99827
22,0.99827
23,0.99827
24,0.99827
25,0.99827
26,0.99827
27,0.99827
28,0.99827
29,0.99827
30,0.99827
31,0.99827
32,0.99827
33,0.99827
34,0.99827
35,0.99827
36,0.99827
37,0.99827
38,0.99827
39,0.99827
40,0.99827
41,0.99827
42,0.99827
43,0.99827
44,0.99827
45,0.99827
46,0.99827
47,0.99827
48,0.99827
49,0.99827
50,0.99827
51,0.99827
52,0.99827
53,0.99827
54,0.99827
55,0.99827
56,0.99827
57,0.99827
58,0.99827
59,0.99827
60,0.99827
61,0.99827
62,0.99827
63,0.99827
64,0.99827
65,0.99827
66,0.99826
67,0.99826
68,0.99826
69,0.99826
70,0.99826
71,0.99826
72,0.99826
73,0.99826
74,0.99826
75,0.99826
76,0.99825
77,0.99825
78,0.99825
79,0.99825
80,0.99825
81,0.99825
82,0.99825
83,0.99825
84,0.99825
85,0.99825
86,0.99825
87,0.99825
88,0.99825
89,0.99825
90,0.99825
91,0.99825
92,0.99825
93,0.99825
94,0.99825
95,0.99825
96,0.99825
97,0.99825
98,0.99825
99,0.99825
100,0.99825
101,0.99824
102,0.99824
103,0.99824
104,0.99824
105,0.99824
106,0.99824
107,0.99824
108,0.99824
109,0.99824
110,0.99824
111,0.99823
112,0.99823
113,0.99823
114,0.99823
115,0.99823
116,0.99823
117,0.99823
118,0.99823
119,0.99823
120,0.99823
121,0.99822
122,0.99822
123,0.99822
124,0.99822
125,0.99822
126,0.99822
127,0.99822
128,0.99822
129,0.99822
130,0.99822
131,0.99822
132,0.99822
133,0.99822
134,0.99822
135,0.99822
136,0.99822
137,0.99822
138,0.99822
139,0.99822
140,0.99822
141,0.99822
142,0.99821
143,0.99821
144,0.99821
145,0.99821
146,0.99821
147,0.99821
148,0.9982
149,0.99819
150,0.99819
151,0.99819
152,0.99819
153,0.99818
154,0.99818
155,0.99818
156,0.99818
157,0.99818
158,0.99816
159,0.99815
160,0.99815
161,0.99814
162,0.99814
163,0.99813
164,0.99812
165,0.99811
166,0.9981
167,0.9981
168,0.99809
169,0.99808
170,0.99808
171,0.99807
172,0.99807
173,0.99807
174,0.99806
175,0.99805
176,0.99803
177,0.99803
178,0.99802
179,0.99801
180,0.99801
181,0.99801
182,0.998
183,0.998
184,0.998
185,0.998
186,0.99799
187,0.99799
188,0.99796
189,0.99795
190,0.99795
191,0.99795
192,0.99795
193,0.99795
194,0.99795
195,0.99795
196,0.99795
197,0.99794
198,0.99794
199,0.99794
200,0.99794
201,0.99793
202,0.99793
203,0.99793
204,0.99793
205,0.99792
206,0.99791
207,0.9979
208,0.9979
209,0.9979
210,0.9979
211,0.99788
212,0.99787
213,0.99787
214,0.99786
215,0.99785
216,0.99785
217,0.99784
218,0.99783
219,0.99782
220,0.99782
221,0.99782
222,0.99781
223,0.99781
224,0.99779
225,0.99777
226,0.99777
227,0.99776
228,0.99775
229,0.99774
230,0.99773
231,0.99772
232,0.99772
233,0.99766
234,0.99763
235,0.99761
236,0.99759
237,0.99758
238,0.99755
239,0.99752
240,0.99752
241,0.99751
242,0.99748
243,0.99746
244,0.99737
245,0.99737
246,0.99736
247,0.99735
248,0.99735
249,0.99735
250,0.99734
251,0.99734
252,0.99732
253,0.99732
254,0.99731
255,0.99729
256,0.99729
257,0.99728
258,0.99727
259,0.99727
260,0.99724
261,0.99724
262,0.99723
263,0.99722
264,0.99722
265,0.99721
266,0.9972
267,0.9972
268,0.9972
269,0.9972
270,0.99719
271,0.99716
272,0.99712
273,0.99712
274,0.99711
275,0.9971
276,0.99708
277,0.99706
278,0.99705
279,0.99704
280,0.99702
281,0.997
282,0.99699
283,0.99698
284,0.99698
285,0.99696
286,0.99696
287,0.99695
288,0.99695
289,0.99693
290,0.99692
291,0.99692
292,0.99692
293,0.99692
294,0.99692
295,0.99691
296,0.9969
297,0.99689
298,0.99687
299,0.99687
300,0.99687
301,0.99687
302,0.99685
303,0.99685
304,0.99685
305,0.99683
306,0.9968
307,0.99678
308,0.99677
309,0.99676
310,0.99675
311,0.99671
312,0.99668
313,0.99664
314,0.99664
315,0.99664
316,0.99662
317,0.99662
318,0.99661
319,0.99661
320,0.99661
321,0.99659
322,0.99657
323,0.99657
324,0.99657
325,0.99656
326,0.99656
327,0.99654
328,0.99649
329,0.99648
330,0.99648
331,0.99648
332,0.99648
333,0.99646
334,0.99645
335,0.99643
336,0.99642
337,0.99634
338,0.99633
339,0.99627
340,0.99626
341,0.99625
342,0.99624
343,0.99614
344,0.99612
345,0.99611
346,0.99609
347,0.99604
348,0.99603
349,0.99589
350,0.99588
351,0.99584
352,0.99575
353,0.99572
354,0.99568
355,0.99567
356,0.99566
357,0.99566
358,0.99563
359,0.99562
360,0.99558
361,0.99558
362,0.99546
363,0.99545
364,0.99544
365,0.9954
366,0.99533
367,0.99532
368,0.99531
369,0.99527
370,0.99525
371,0.99525
372,0.99518
373,0.99514
374,0.99512
375,0.99507
376,0.99496
377,0.99494
378,0.99486
379,0.99474
380,0.99474
381,0.9947
382,0.99437
383,0.99433
384,0.99431
385,0.99431
386,0.99426
387,0.99425
388,0.99425
389,0.99424
390,0.9942
391,0.99405
392,0.99386
393,0.99385
394,0.99383
395,0.99382
396,0.99372
397,0.99371
398,0.99365
399,0.99344
400,0.99344
401,0.99336
402,0.99335
403,0.99329
404,0.99314
405,0.99313
406,0.99308
407,0.993
408,0.99296
409,0.99292
410,0.99286
411,0.99284
412,0.99283
413,0.99276
414,0.99275
415,0.99269
416,0.99268
417,0.99255
418,0.9925
419,0.99246
420,0.99246
421,0.99245
422,0.99243
423,0.99226
424,0.99226
425,0.9922
426,0.99217
427,0.99212
428,0.99201
429,0.99196
430,0.99196
431,0.99195
432,0.9919
433,0.99189
434,0.99188
435,0.99187
436,0.9918
437,0.99178
438,0.99177
439,0.99169
440,0.99166
441,0.99146
442,0.9914
443,0.99133
444,0.99125
445,0.99117
446,0.99115
447,0.99107
448,0.99104
449,0.99098
450,0.99098
451,0.99096
452,0.99095
453,0.99094
454,0.99094
455,0.99094
456,0.99094
