rank,score
1,0.75318
2,0.75263
3,0.75251
4,0.75249
5,0.75243
6,0.75243
7,0.75242
8,0.75241
9,0.75239
10,0.75236
11,0.75235
12,0.75218
13,0.75217
14,0.7521
15,0.75203
16,0.75198
17,0.75193
18,0.75181
19,0.75178
20,0.75176
21,0.75176
22,0.75168
23,0.75165
24,0.75165
25,0.75164
26,0.75164
27,0.75164
28,0.75163
29,0.75163
30,0.75162
31,0.75162
32,0.75158
33,0.75157
34,0.75156
35,0.75156
36,0.75156
37,0.75154
38,0.75154
39,0.75153
40,0.75153
41,0.75153
42,0.75152
43,0.75152
44,0.75152
45,0.75152
46,0.75152
47,0.75151
48,0.75149
49,0.75149
50,0.75148
51,0.75148
52,0.75148
53,0.75148
54,0.75148
55,0.75148
56,0.75148
57,0.75148
58,0.75148
59,0.75148
60,0.75148
61,0.75148
62,0.75148
63,0.75148
64,0.75148
65,0.75148
66,0.75148
67,0.75148
68,0.75148
69,0.75148
70,0.75148
71,0.75148
72,0.75148
73,0.75148
74,0.75148
75,0.75148
76,0.75148
77,0.75148
78,0.75148
79,0.75148
80,0.75148
81,0.75148
82,0.75148
83,0.75148
84,0.75148
85,0.75148
86,0.75148
87,0.75148
88,0.75148
89,0.75147
90,0.75147
91,0.75147
92,0.75147
93,0.75147
94,0.75147
95,0.75147
96,0.75147
97,0.75147
98,0.75147
99,0.75147
100,0.75147
101,0.75147
102,0.75146
103,0.75146
104,0.75146
105,0.75146
106,0.75146
107,0.75146
108,0.75146
109,0.75145
110,0.75145
111,0.75144
112,0.75144
113,0.75144
114,0.75143
115,0.75143
116,0.75142
117,0.75142
118,0.75142
119,0.75142
120,0.75142
121,0.75142
122,0.75142
123,0.75141
124,0.75141
125,0.75141
126,0.7514
127,0.7514
128,0.7514
129,0.7514
130,0.7514
131,0.7514
132,0.75139
133,0.75138
134,0.75138
135,0.75138
136,0.75138
137,0.75138
138,0.75138
139,0.75138
140,0.75138
141,0.75136
142,0.75136
143,0.75136
144,0.75136
145,0.75136
146,0.75136
147,0.75136
148,0.75136
149,0.75136
150,0.75136
151,0.75136
152,0.75136
