rank,score
1,0.75243
2,0.75239
3,0.75224
4,0.75223
5,0.75216
6,0.75215
7,0.75214
8,0.7521
9,0.7521
10,0.75188
11,0.75186
12,0.75176
13,0.75139
14,0.75134
15,0.75134
16,0.75118
17,0.75116
18,0.75092
19,0.75092
20,0.75092
21,0.75091
22,0.75088
23,0.75088
24,0.75086
25,0.75086
26,0.75085
27,0.75085
28,0.75081
29,0.75077
30,0.75077
31,0.75075
32,0.75074
33,0.75068
34,0.75068
35,0.75067
36,0.75067
37,0.75067
38,0.75067
39,0.75067
40,0.75067
41,0.75067
42,0.75067
43,0.75067
44,0.75067
45,0.75067
46,0.75067
47,0.75067
48,0.75067
49,0.75067
50,0.75067
51,0.75067
52,0.75067
53,0.75067
54,0.75067
55,0.75067
56,0.75067
57,0.75067
58,0.75067
59,0.75067
60,0.75067
61,0.75067
62,0.75067
63,0.75067
64,0.75067
65,0.75067
66,0.75067
67,0.75067
68,0.75067
69,0.75067
70,0.75067
71,0.75067
72,0.75067
73,0.75067
74,0.75066
75,0.75066
76,0.75066
77,0.75066
78,0.75066
79,0.75066
80,0.75066
81,0.75066
82,0.75066
83,0.75066
84,0.75066
85,0.75065
86,0.75065
87,0.75062
88,0.75061
89,0.75057
90,0.75056
91,0.75053
92,0.75052
93,0.75051
94,0.75048
95,0.75046
96,0.75037
97,0.75036
98,0.75035
99,0.75035
100,0.75035
101,0.75035
102,0.75035
103,0.75035
104,0.75035
105,0.75035
106,0.75035
107,0.75035
108,0.75035
109,0.75034
110,0.75034
111,0.75034
112,0.75034
113,0.75034
114,0.75032
115,0.75032
116,0.75032
117,0.75032
118,0.75032
119,0.75032
120,0.75032
121,0.75032
122,0.75032
123,0.75032
124,0.75032
125,0.75032
126,0.75032
127,0.75032
128,0.75032
129,0.75032
130,0.75032
131,0.75032
132,0.75032
133,0.75032
134,0.75032
135,0.75032
136,0.75032
137,0.75032
138,0.75032
139,0.75032
140,0.75032
141,0.75031
142,0.7503
143,0.7503
144,0.75028
145,0.75027
146,0.75026
147,0.75026
148,0.75022
149,0.75022
150,0.75022
151,0.75022
152,0.7502
153,0.75013
154,0.7501
155,0.75008
156,0.75006
157,0.75005
158,0.75004
159,0.75003
160,0.75002
161,0.74999
162,0.74998
163,0.74996
164,0.74996
165,0.74992
166,0.74989
167,0.74989
168,0.74988
169,0.74988
170,0.74988
171,0.74988
172,0.74988
173,0.74988
174,0.74988
175,0.74988
176,0.74987
177,0.74987
178,0.74987
179,0.74987
180,0.74986
181,0.74986
182,0.74986
183,0.74982
184,0.74978
185,0.74977
186,0.74975
187,0.74974
188,0.74974
189,0.74974
190,0.74969
191,0.74969
192,0.74969
193,0.74968
194,0.74967
195,0.74967
196,0.74961
197,0.74958
198,0.74953
199,0.74951
200,0.74951
201,0.74951
202,0.74951
203,0.74951
204,0.74951
205,0.74951
206,0.74951
207,0.7495
208,0.74949
209,0.74947
210,0.74947
211,0.74946
212,0.74945
213,0.74942
214,0.7494
215,0.74937
216,0.74935
217,0.74932
218,0.74932
219,0.74931
220,0.74931
221,0.74931
222,0.7493
223,0.7493
224,0.74929
225,0.74929
226,0.74928
227,0.74926
228,0.74925
229,0.74925
230,0.74925
231,0.74924
232,0.7492
233,0.74919
234,0.74918
235,0.74918
236,0.74917
237,0.74917
238,0.74917
239,0.74914
240,0.74911
