rank,score
1,0.85675
2,0.85673
3,0.85662
4,0.85661
5,0.8566
6,0.8566
7,0.85658
8,0.85657
9,0.85653
10,0.85653
11,0.85653
12,0.85652
13,0.85651
14,0.85651
15,0.8565
16,0.85649
17,0.85648
18,0.85648
19,0.85648
20,0.85648
21,0.85647
22,0.85647
23,0.85647
24,0.85647
25,0.85646
26,0.85646
27,0.85646
28,0.85645
29,0.85645
30,0.85645
31,0.85645
32,0.85645
33,0.85645
34,0.85645
35,0.85645
36,0.85645
37,0.85645
38,0.85645
39,0.85645
40,0.85645
41,0.85645
42,0.85645
43,0.85645
44,0.85645
45,0.85645
46,0.85645
47,0.85644
48,0.85644
49,0.85644
50,0.85644
51,0.85644
52,0.85644
53,0.85644
54,0.85644
55,0.85644
56,0.85644
57,0.85644
58,0.85644
59,0.85644
60,0.85644
61,0.85644
62,0.85644
63,0.85644
64,0.85644
65,0.85644
66,0.85644
67,0.85644
68,0.85644
69,0.85644
70,0.85644
71,0.85644
72,0.85644
73,0.85644
74,0.85644
75,0.85644
76,0.85644
77,0.85644
78,0.85644
79,0.85644
80,0.85644
81,0.85644
82,0.85644
83,0.85644
84,0.85644
85,0.85644
86,0.85644
87,0.85643
88,0.85643
89,0.85643
90,0.85643
91,0.85643
92,0.85643
93,0.85643
94,0.85643
95,0.85643
96,0.85643
97,0.85643
98,0.85643
99,0.85643
100,0.85643
101,0.85643
102,0.85643
103,0.85643
104,0.85643
105,0.85643
106,0.85643
107,0.85643
108,0.85643
109,0.85643
110,0.85643
111,0.85643
112,0.85643
113,0.85642
114,0.85642
115,0.85642
116,0.85642
117,0.85642
118,0.85642
119,0.85642
120,0.85642
121,0.85642
122,0.85642
123,0.85642
124,0.85642
125,0.85642
126,0.85642
127,0.85642
128,0.85642
129,0.85642
130,0.85642
131,0.85642
132,0.85642
133,0.85642
134,0.85642
135,0.85642
136,0.85642
137,0.85642
138,0.85642
139,0.85642
140,0.85642
141,0.85641
142,0.85641
143,0.85641
144,0.85641
145,0.8564
146,0.8564
147,0.8564
148,0.8564
149,0.8564
150,0.85639
151,0.85639
152,0.85639
153,0.85639
154,0.85639
155,0.85639
156,0.85639
157,0.85639
158,0.85639
159,0.85639
160,0.85639
161,0.85639
162,0.85639
163,0.85639
164,0.85638
165,0.85638
166,0.85638
167,0.85638
168,0.85638
169,0.85638
170,0.85638
171,0.85638
172,0.85638
173,0.85638
174,0.85638
175,0.85637
176,0.85637
177,0.85637
178,0.85637
179,0.85637
180,0.85637
181,0.85637
182,0.85637
183,0.85637
184,0.85636
185,0.85636
186,0.85636
187,0.85636
188,0.85636
189,0.85636
190,0.85635
191,0.85635
192,0.85635
193,0.85635
194,0.85635
195,0.85635
196,0.85635
197,0.85635
198,0.85635
199,0.85635
200,0.85635
201,0.85635
202,0.85635
203,0.85635
204,0.85635
205,0.85635
206,0.85635
207,0.85635
208,0.85635
209,0.85634
210,0.85634
211,0.85634
212,0.85634
213,0.85634
214,0.85634
215,0.85633
216,0.85633
217,0.85633
218,0.85633
219,0.85633
220,0.85633
221,0.85633
222,0.85633
223,0.85633
224,0.85633
225,0.85633
226,0.85633
