rank,score
1,0.85687
2,0.85684
3,0.85683
4,0.85678
5,0.85678
6,0.85677
7,0.85675
8,0.85673
9,0.85672
10,0.85672
11,0.85669
12,0.85669
13,0.85668
14,0.85668
15,0.85668
16,0.85668
17,0.85667
18,0.85666
19,0.85666
20,0.85666
21,0.85666
22,0.85666
23,0.85665
24,0.85664
25,0.85663
26,0.85663
27,0.85663
28,0.85663
29,0.85663
30,0.85663
31,0.85663
32,0.85661
33,0.85661
34,0.8566
35,0.8566
36,0.8566
37,0.85659
38,0.85659
39,0.85659
40,0.85658
41,0.85658
42,0.85658
43,0.85658
44,0.85658
45,0.85658
46,0.85658
47,0.85658
48,0.85658
49,0.85658
50,0.85658
51,0.85658
52,0.85658
53,0.85658
54,0.85658
55,0.85658
56,0.85658
57,0.85658
58,0.85658
59,0.85658
60,0.85658
61,0.85658
62,0.85658
63,0.85658
64,0.85658
65,0.85658
66,0.85658
67,0.85658
68,0.85658
69,0.85658
70,0.85658
71,0.85658
72,0.85658
73,0.85658
74,0.85658
75,0.85658
76,0.85658
77,0.85658
78,0.85658
79,0.85658
80,0.85658
81,0.85658
82,0.85658
83,0.85658
84,0.85658
85,0.85658
86,0.85658
87,0.85658
88,0.85658
89,0.85658
90,0.85658
91,0.85658
92,0.85658
93,0.85658
94,0.85658
95,0.85658
96,0.85658
97,0.85658
98,0.85658
99,0.85658
100,0.85658
101,0.85658
102,0.85658
103,0.85658
104,0.85658
105,0.85658
106,0.85658
107,0.85658
108,0.85658
109,0.85658
110,0.85658
111,0.85658
112,0.85658
113,0.85658
114,0.85658
115,0.85657
116,0.85657
117,0.85657
118,0.85657
119,0.85657
120,0.85657
121,0.85657
122,0.85657
123,0.85657
124,0.85656
125,0.85656
126,0.85656
127,0.85656
128,0.85655
129,0.85655
130,0.85655
131,0.85655
132,0.85655
133,0.85655
134,0.85655
135,0.85655
136,0.85654
137,0.85654
138,0.85654
139,0.85654
140,0.85654
141,0.85654
142,0.85654
143,0.85654
144,0.85654
145,0.85654
146,0.85654
147,0.85654
148,0.85653
149,0.85653
150,0.85653
151,0.85653
152,0.85653
153,0.85653
154,0.85653
155,0.85653
156,0.85653
157,0.85652
158,0.85652
159,0.85652
160,0.85652
161,0.85652
162,0.85652
163,0.85652
164,0.85651
165,0.85651
166,0.85651
167,0.85651
168,0.85651
169,0.85651
170,0.8565
171,0.8565
172,0.8565
173,0.8565
174,0.8565
175,0.8565
176,0.8565
177,0.8565
178,0.8565
179,0.8565
180,0.8565
181,0.8565
182,0.8565
183,0.8565
184,0.8565
185,0.8565
186,0.8565
187,0.8565
188,0.8565
189,0.8565
190,0.85649
191,0.85649
192,0.85649
193,0.85649
194,0.85649
195,0.85649
196,0.85649
197,0.85648
198,0.85648
199,0.85648
200,0.85648
201,0.85648
202,0.85648
203,0.85648
204,0.85648
205,0.85648
206,0.85648
207,0.85648
208,0.85648
209,0.85648
210,0.85648
211,0.85648
212,0.85648
213,0.85648
214,0.85648
215,0.85648
216,0.85647
217,0.85647
218,0.85647
219,0.85647
220,0.85647
221,0.85646
222,0.85646
223,0.85646
224,0.85646
225,0.85646
226,0.85646
227,0.85646
228,0.85646
229,0.85645
230,0.85645
231,0.85645
232,0.85645
233,0.85645
234,0.85645
235,0.85645
236,0.85644
237,0.85644
238,0.85644
239,0.85644
240,0.85644
241,0.85644
242,0.85644
243,0.85643
244,0.85643
245,0.85643
246,0.85643
247,0.85643
248,0.85643
249,0.85643
250,0.85643
251,0.85643
252,0.85643
253,0.85643
254,0.85642
255,0.85642
256,0.85642
257,0.85642
258,0.85642
259,0.85642
260,0.85641
261,0.85641
262,0.85641
263,0.85641
264,0.85641
265,0.85641
266,0.85641
267,0.8564
268,0.8564
269,0.8564
270,0.8564
271,0.85639
272,0.85639
273,0.85639
274,0.85639
275,0.85639
276,0.85639
277,0.85639
278,0.85639
279,0.85639
280,0.85639
281,0.85638
282,0.85638
283,0.85638
284,0.85638
285,0.85638
286,0.85638
287,0.85638
288,0.85638
289,0.85637
290,0.85637
291,0.85637
292,0.85637
293,0.85637
294,0.85637
295,0.85637
296,0.85637
297,0.85637
298,0.85636
299,0.85636
300,0.85636
301,0.85635
302,0.85635
303,0.85635
304,0.85634
305,0.85634
306,0.85634
307,0.85634
308,0.85633
309,0.85633
310,0.85633
311,0.85633
312,0.85632
313,0.85632
314,0.85632
315,0.85632
316,0.85632
317,0.85631
318,0.85631
319,0.8563
320,0.8563
321,0.8563
322,0.8563
323,0.8563
324,0.8563
325,0.8563
326,0.8563
327,0.8563
328,0.8563
329,0.85629
330,0.85629
331,0.85629
332,0.85629
333,0.85629
334,0.85629
335,0.85629
336,0.85629
337,0.85628
338,0.85628
339,0.85628
340,0.85628
341,0.85628
342,0.85628
343,0.85628
344,0.85628
345,0.85628
346,0.85628
347,0.85627
348,0.85627
349,0.85627
350,0.85627
351,0.85627
352,0.85627
353,0.85626
354,0.85626
355,0.85626
356,0.85626
357,0.85626
358,0.85626
359,0.85626
360,0.85626
361,0.85626
362,0.85625
363,0.85625
364,0.85625
365,0.85624
366,0.85622
367,0.85622
368,0.85621
369,0.85621
370,0.85621
371,0.8562
372,0.85619
373,0.85619
374,0.85619
375,0.85618
376,0.85618
377,0.85618
378,0.85618
379,0.85618
380,0.85618
381,0.85617
382,0.85617
383,0.85617
384,0.85616
385,0.85616
386,0.85616
387,0.85616
388,0.85614
389,0.85614
390,0.85614
391,0.85613
392,0.85613
393,0.85613
394,0.85613
395,0.85613
396,0.85613
397,0.85613
398,0.85612
399,0.85612
400,0.85611
401,0.85611
402,0.85611
403,0.8561
404,0.8561
405,0.8561
406,0.85609
407,0.85609
408,0.85609
409,0.85609
410,0.85609
411,0.85608
412,0.85608
413,0.85607
414,0.85607
415,0.85607
416,0.85606
417,0.85606
418,0.85606
419,0.85606
420,0.85605
421,0.85605
422,0.85605
423,0.85604
424,0.85603
425,0.85603
426,0.85601
427,0.85601
428,0.85601
429,0.856
430,0.856
431,0.856
432,0.856
433,0.85599
434,0.85599
435,0.85599
436,0.85599
437,0.85598
438,0.85598
439,0.85597
440,0.85597
441,0.85596
442,0.85596
443,0.85596
444,0.85595
445,0.85595
446,0.85595
447,0.85595
448,0.85595
449,0.85595
450,0.85593
451,0.85593
452,0.85592
453,0.8559
454,0.8559
455,0.8559
456,0.85589
457,0.85588
458,0.85588
459,0.85587
460,0.85586
461,0.85585
462,0.85585
463,0.85585
464,0.85584
465,0.85584
466,0.85584
467,0.85583
468,0.85583
469,0.85583
470,0.85583
471,0.85581
472,0.85581
473,0.8558
474,0.85579
475,0.85577
476,0.85577
477,0.85576
478,0.85575
479,0.85574
480,0.85573
481,0.85573
482,0.85573
483,0.85573
484,0.85572
485,0.85572
486,0.8557
487,0.85568
488,0.85568
489,0.85568
490,0.85566
491,0.85565
492,0.85564
493,0.85563
494,0.85563
495,0.85561
496,0.85561
497,0.8556
498,0.85559
499,0.85559
500,0.85557
501,0.85557
502,0.85556
503,0.85556
504,0.85556
505,0.85556
506,0.85556
507,0.85555
508,0.85554
509,0.85554
510,0.85554
511,0.85554
512,0.85553
513,0.85552
514,0.85552
515,0.85551
516,0.85551
517,0.85549
518,0.85547
519,0.85546
520,0.85545
521,0.85545
522,0.85545
523,0.85545
524,0.85543
525,0.85543
526,0.85541
527,0.8554
528,0.8554
529,0.85539
530,0.85539
531,0.85538
532,0.85535
533,0.85535
534,0.85534
535,0.85534
536,0.85534
537,0.8553
538,0.85529
539,0.85529
540,0.85527
541,0.85526
542,0.85524
543,0.85522
544,0.85521
545,0.85519
546,0.85519
547,0.85519
548,0.85519
549,0.85517
550,0.85516
551,0.85515
552,0.85514
553,0.85513
554,0.85512
555,0.85509
556,0.85509
557,0.85507
558,0.85505
559,0.85505
560,0.85505
561,0.85504
562,0.85503
563,0.85502
564,0.855
565,0.855
566,0.85498
567,0.85495
568,0.85495
569,0.85495
570,0.85495
571,0.85494
572,0.85492
573,0.85488
574,0.85484
575,0.85483
576,0.85481
577,0.85476
578,0.85472
579,0.85472
580,0.8547
581,0.85469
582,0.85464
583,0.85462
584,0.8546
585,0.85459
586,0.85458
587,0.85455
588,0.85454
589,0.85454
590,0.85453
591,0.85452
592,0.85451
593,0.8545
594,0.85449
595,0.85449
596,0.85448
597,0.85447
598,0.85445
599,0.85443
600,0.85442
601,0.85441
602,0.85441
603,0.8544
604,0.85439
605,0.85438
606,0.85437
607,0.85435
608,0.85435
609,0.85435
610,0.8543
611,0.85429
612,0.85427
613,0.85425
614,0.85421
615,0.8542
616,0.85418
617,0.85415
618,0.85414
619,0.85414
620,0.85412
621,0.85411
622,0.85409
623,0.85409
624,0.85404
625,0.85401
626,0.85401
627,0.85398
628,0.85397
629,0.85396
630,0.85392
631,0.85388
632,0.85384
633,0.85381
634,0.8538
635,0.85379
636,0.85376
637,0.85369
638,0.85367
639,0.85365
640,0.85364
641,0.85361
642,0.85361
643,0.85358
644,0.85354
645,0.85352
646,0.85345
647,0.85343
648,0.85334
649,0.85332
650,0.85328
651,0.85328
652,0.85327
653,0.85326
654,0.85322
655,0.85315
656,0.85301
657,0.85299
658,0.8529
659,0.85288
660,0.85287
661,0.85286
662,0.85258
663,0.85254
664,0.85251
665,0.85249
666,0.85246
667,0.85237
668,0.85234
669,0.85234
670,0.85233
671,0.8522
672,0.85218
673,0.85218
674,0.85216
675,0.85212
676,0.85207
677,0.852
678,0.852
679,0.85198
680,0.85176
681,0.8517
682,0.85157
683,0.8515
684,0.85147
685,0.85131
686,0.85127
687,0.85125
688,0.85115
689,0.85115
690,0.85109
691,0.85106
692,0.851
693,0.851
694,0.85087
