rank,score
1,4.28129
2,4.32829
3,4.33339
4,4.35953
5,4.35953
6,4.35953
7,4.35953
8,4.40507
9,4.54975
10,4.60999
11,4.64155
12,4.88208
13,4.89021
14,4.92191
15,4.92291
16,4.93772
17,4.95478
18,4.95569
19,4.96388
20,5.0204
21,5.0218
22,5.02392
23,5.02417
24,5.02684
25,5.03824
26,5.04005
27,5.043
28,5.04468
29,5.05201
30,5.05885
31,5.06626
32,5.07304
33,5.08014
34,5.08229
35,5.088
36,5.09206
37,5.09268
38,5.09282
39,5.09282
40,5.09282
41,5.09282
42,5.09282
43,5.09282
44,5.09295
45,5.09626
46,5.09626
47,5.09626
48,5.10095
49,5.10619
50,5.11141
51,5.12027
52,5.12049
53,5.1285
54,5.1285
55,5.12915
56,5.13136
57,5.13626
58,5.13707
59,5.14519
60,5.14924
61,5.15067
62,5.1578
63,5.1592
64,5.16174
65,5.16174
66,5.16174
67,5.16174
68,5.16498
69,5.16737
70,5.17587
71,5.17668
72,5.17745
73,5.1775
74,5.1775
75,5.1775
76,5.1775
77,5.1775
78,5.1775
79,5.1775
80,5.1775
81,5.1775
82,5.1775
83,5.1775
84,5.1775
85,5.1775
86,5.1775
87,5.1775
88,5.17786
89,5.17805
90,5.18153
91,5.18719
92,5.18728
93,5.18818
94,5.18838
95,5.18871
96,5.18877
97,5.18877
98,5.18877
99,5.18877
100,5.18877
101,5.18877
102,5.18877
103,5.18878
104,5.18899
105,5.18971
106,5.18971
107,5.18971
108,5.18971
109,5.18971
110,5.18971
111,5.18971
112,5.18971
113,5.18971
114,5.18971
115,5.18971
116,5.18971
117,5.18971
118,5.18971
119,5.18971
120,5.18971
121,5.18971
122,5.18971
123,5.18971
124,5.18971
125,5.18971
126,5.18971
127,5.18971
128,5.18971
129,5.18971
130,5.19353
131,5.19423
132,5.19932
133,5.20135
134,5.20248
135,5.2037
136,5.20796
137,5.21274
138,5.21479
139,5.21671
140,5.22535
141,5.22981
142,5.23903
143,5.23976
144,5.23976
145,5.23976
146,5.2421
147,5.24321
148,5.24893
149,5.24944
150,5.25699
151,5.26323
152,5.26323
153,5.26323
154,5.26332
155,5.26693
156,5.27142
157,5.2774
158,5.28775
159,5.28775
160,5.28775
161,5.28775
162,5.28775
163,5.28775
164,5.28775
165,5.29013
166,5.29074
167,5.29103
168,5.29111
169,5.29239
170,5.29606
171,5.3048
172,5.31308
173,5.32235
174,5.32393
175,5.32393
176,5.33665
177,5.3388
178,5.34848
179,5.36325
180,5.36325
181,5.36325
182,5.36325
183,5.36325
184,5.36325
185,5.36325
186,5.36325
187,5.36325
188,5.36325
189,5.36325
190,5.36325
191,5.36325
192,5.36325
193,5.36325
194,5.36325
195,5.36325
196,5.36388
197,5.36593
198,5.36637
199,5.36913
200,5.37161
201,5.3726
202,5.3726
203,5.3726
204,5.374
205,5.37934
206,5.39514
207,5.40402
208,5.40921
209,5.41202
210,5.42481
211,5.43664
212,5.438
213,5.44034
214,5.44192
215,5.44192
216,5.44192
217,5.44428
218,5.44982
219,5.45427
220,5.46107
221,5.46291
222,5.47436
223,5.47526
224,5.47528
225,5.47805
226,5.48351
227,5.48351
228,5.48351
229,5.48351
230,5.48351
231,5.48351
232,5.48351
233,5.48351
234,5.48351
235,5.48351
236,5.48351
237,5.48351
238,5.48351
239,5.48351
240,5.48351
241,5.48351
242,5.48351
243,5.48351
244,5.48351
245,5.48351
246,5.48351
247,5.48351
248,5.48351
249,5.48351
250,5.48351
251,5.48351
252,5.48351
253,5.48351
254,5.48351
255,5.48351
256,5.48351
257,5.48351
258,5.48351
259,5.48351
260,5.48351
261,5.48351
262,5.48351
263,5.48351
264,5.48351
265,5.48351
266,5.48351
267,5.48351
268,5.48351
269,5.48351
270,5.48351
271,5.48351
272,5.48351
273,5.48504
274,5.48652
275,5.49146
276,5.49323
277,5.49323
278,5.49323
279,5.49323
280,5.49323
281,5.49323
282,5.49323
283,5.49323
284,5.49323
285,5.49323
286,5.49323
287,5.49323
288,5.49323
289,5.49323
290,5.49323
291,5.49323
292,5.49633
293,5.5016
294,5.5031
295,5.51327
296,5.52054
297,5.52551
298,5.52944
299,5.53285
300,5.53749
301,5.54778
302,5.5512
303,5.55918
304,5.56375
305,5.57591
306,5.58555
