rank,score
1,4.07075
2,4.07608
3,4.13207
4,4.13208
5,4.13304
6,4.139
7,4.15022
8,4.1685
9,4.18299
10,4.19672
11,4.20557
12,4.24224
13,4.26685
14,4.28455
15,4.29291
16,4.29801
17,4.30389
18,4.3039
19,4.30506
20,4.30624
21,4.30757
22,4.30764
23,4.31224
24,4.31272
25,4.31478
26,4.3149
27,4.31611
28,4.31698
29,4.31795
30,4.31875
31,4.31974
32,4.31988
33,4.32221
34,4.32248
35,4.32263
36,4.32296
37,4.32339
38,4.32339
39,4.32437
40,4.32486
41,4.32521
42,4.32534
43,4.32553
44,4.32553
45,4.32553
46,4.32553
47,4.32553
48,4.32553
49,4.32553
50,4.32553
51,4.32553
52,4.32553
53,4.32553
54,4.32553
55,4.32553
56,4.32553
57,4.32553
58,4.32553
59,4.32553
60,4.32553
61,4.32553
62,4.32553
63,4.32553
64,4.32553
65,4.32553
66,4.32553
67,4.32553
68,4.32553
69,4.32553
70,4.32553
71,4.32553
72,4.32553
73,4.32553
74,4.32553
75,4.32553
76,4.32553
77,4.32553
78,4.32553
79,4.33308
80,4.33328
81,4.33665
82,4.34251
83,4.34608
84,4.34608
85,4.34608
86,4.34608
87,4.34608
88,4.34608
89,4.34608
90,4.34608
91,4.34608
92,4.34608
93,4.34608
94,4.34608
95,4.34608
96,4.34608
97,4.34608
98,4.34608
99,4.34608
100,4.34608
101,4.34608
102,4.34608
103,4.34859
104,4.35197
105,4.35245
106,4.35442
107,4.35739
108,4.37348
109,4.37674
110,4.37887
111,4.37898
112,4.3804
113,4.38054
114,4.39085
115,4.39411
116,4.40461
117,4.40566
118,4.41239
119,4.4179
120,4.41806
121,4.41922
122,4.41922
123,4.41922
124,4.41922
125,4.41932
126,4.42232
127,4.42232
128,4.42232
129,4.42431
130,4.42431
131,4.42519
132,4.42548
133,4.43187
134,4.43943
135,4.43949
136,4.44446
137,4.4466
138,4.44843
139,4.44927
140,4.45673
141,4.45673
142,4.45673
143,4.45856
144,4.46525
145,4.46918
146,4.47134
147,4.47134
148,4.47134
149,4.47134
150,4.4725
151,4.47306
152,4.47344
153,4.47344
154,4.47344
155,4.47344
156,4.47643
157,4.47927
158,4.48334
159,4.48414
160,4.48442
161,4.48475
162,4.48556
163,4.48766
164,4.48957
165,4.48999
166,4.48999
167,4.48999
168,4.48999
169,4.48999
170,4.48999
171,4.48999
172,4.48999
173,4.48999
174,4.48999
175,4.49121
176,4.49168
177,4.49312
178,4.49312
179,4.49312
180,4.49312
181,4.49312
182,4.49312
183,4.49425
184,4.49497
185,4.49507
186,4.49631
187,4.49631
188,4.49631
189,4.49631
190,4.49631
191,4.49631
192,4.49631
193,4.49631
194,4.49631
195,4.49631
196,4.49631
197,4.49631
198,4.49631
199,4.49631
200,4.49631
201,4.49631
202,4.49631
203,4.49631
204,4.49631
205,4.49636
206,4.49967
207,4.49984
208,4.49984
209,4.49984
210,4.49995
211,4.49995
212,4.49995
213,4.50066
214,4.50086
215,4.50383
216,4.51
217,4.51768
218,4.51826
219,4.51962
220,4.52164
221,4.52164
222,4.52346
223,4.54408
224,4.54973
225,4.55791
226,4.56593
227,4.56872
228,4.57104
229,4.58184
230,4.58259
231,4.59567
232,4.59726
233,4.59812
234,4.61285
235,4.62198
236,4.62713
237,4.62944
238,4.63587
239,4.6386
240,4.6386
241,4.6414
242,4.64354
243,4.64738
244,4.64738
245,4.65556
246,4.6672
247,4.66731
248,4.66731
249,4.66864
250,4.66995
251,4.67193
252,4.67901
253,4.70128
254,4.70639
255,4.716
256,4.73644
257,4.74335
258,4.74335
259,4.75855
260,4.7706
261,4.77173
262,4.77458
263,4.77458
264,4.77458
265,4.77458
266,4.77458
267,4.77458
268,4.77458
269,4.77458
270,4.77458
271,4.77458
272,4.77458
273,4.77458
274,4.77458
275,4.77458
276,4.77458
277,4.77458
278,4.77458
279,4.77458
280,4.77458
281,4.77458
282,4.77458
283,4.77458
284,4.77458
