rank,score
1,0.99822
2,0.99805
3,0.99786
4,0.99776
5,0.99769
6,0.99753
7,0.99749
8,0.99746
9,0.99739
10,0.99724
11,0.99669
12,0.99488
13,0.99378
14,0.9937
15,0.9937
16,0.99361
17,0.99357
18,0.9933
19,0.99327
20,0.99326
21,0.99321
22,0.99305
23,0.99296
24,0.99282
25,0.99264
26,0.99253
27,0.99252
28,0.9925
29,0.99244
30,0.99239
31,0.99236
32,0.99234
33,0.99233
34,0.99231
35,0.99207
36,0.99206
37,0.99205
38,0.99204
39,0.99195
40,0.99194
41,0.99172
42,0.99164
43,0.9916
44,0.99155
45,0.99151
46,0.9914
47,0.9914
48,0.99138
49,0.99136
50,0.99135
51,0.99123
52,0.99119
53,0.99116
54,0.99109
55,0.99107
56,0.99099
57,0.9909
58,0.99089
59,0.99088
60,0.99087
61,0.99087
62,0.99085
63,0.99085
64,0.99084
65,0.9908
66,0.99079
67,0.99069
68,0.99068
69,0.99067
70,0.99067
71,0.9906
72,0.9906
73,0.9905
74,0.99047
75,0.99046
76,0.99046
77,0.99043
78,0.9904
79,0.99039
80,0.99039
81,0.99039
82,0.99038
83,0.99038
84,0.99038
85,0.99038
86,0.99038
87,0.99038
88,0.99038
89,0.99038
90,0.99038
91,0.99038
92,0.99038
93,0.99038
94,0.99038
95,0.99038
96,0.99038
97,0.99038
98,0.99038
99,0.99038
100,0.99038
101,0.99038
102,0.99038
103,0.99038
104,0.99038
105,0.99038
106,0.99038
107,0.99038
108,0.99038
109,0.99038
110,0.99038
111,0.99038
112,0.99038
113,0.99038
114,0.99038
115,0.99038
116,0.99038
117,0.99038
118,0.99038
119,0.99038
120,0.99038
121,0.99038
122,0.99038
123,0.99038
124,0.99038
125,0.99038
126,0.99038
127,0.99038
128,0.99038
129,0.99038
130,0.99037
131,0.99037
132,0.99037
133,0.99036
134,0.99036
135,0.99036
136,0.99036
137,0.99036
138,0.99033
139,0.99029
140,0.99023
141,0.99023
142,0.99009
143,0.98999
144,0.98994
145,0.98992
146,0.9899
147,0.98988
148,0.98985
149,0.98984
150,0.9898
151,0.9897
152,0.98966
153,0.98964
154,0.98963
155,0.98957
156,0.98957
157,0.98955
158,0.98953
159,0.98951
160,0.98944
161,0.98943
162,0.98941
163,0.98939
164,0.98935
165,0.98935
166,0.98933
167,0.98929
168,0.98923
169,0.98918
170,0.98915
171,0.98915
172,0.98915
173,0.98909
174,0.98903
175,0.98902
176,0.98901
177,0.98897
178,0.98897
179,0.98897
180,0.98897
181,0.98897
182,0.98897
183,0.98897
184,0.98897
185,0.98897
186,0.98897
187,0.98897
188,0.98897
189,0.98897
190,0.98897
191,0.98897
192,0.98897
193,0.98896
194,0.98881
195,0.98881
196,0.98873
197,0.98869
198,0.98864
199,0.98818
200,0.98803
201,0.98797
202,0.98793
203,0.98772
204,0.98771
205,0.98769
206,0.98758
207,0.98758
208,0.98758
209,0.98758
210,0.98758
211,0.98758
212,0.98758
213,0.98758
214,0.98758
215,0.98758
216,0.98758
217,0.98758
218,0.98738
219,0.98664
220,0.98644
221,0.9862
222,0.98606
223,0.98522
224,0.98522
225,0.98522
226,0.98423
227,0.98414
228,0.98331
229,0.98185
230,0.98183
231,0.98166
232,0.98121
233,0.98086
234,0.98086
235,0.98065
236,0.98065
237,0.98065
238,0.98022
239,0.98004
240,0.9793
241,0.9775
242,0.97674
243,0.97545
244,0.97085
245,0.96668
246,0.96395
247,0.95547
248,0.95471
249,0.95215
250,0.95082
251,0.94151
252,0.9405
253,0.94028
254,0.92594
255,0.92301
256,0.92301
257,0.92301
258,0.92301
259,0.91396
260,0.87927
