rank,score
1,0.99821
2,0.99821
3,0.99821
4,0.99779
5,0.99779
6,0.99768
7,0.99768
8,0.99737
9,0.99726
10,0.99653
11,0.99642
12,0.99621
13,0.99558
14,0.99527
15,0.99506
16,0.99495
17,0.99464
18,0.99453
19,0.99443
20,0.99443
21,0.99432
22,0.99411
23,0.99411
24,0.99401
25,0.9939
26,0.9939
27,0.9938
28,0.9938
29,0.99369
30,0.99369
31,0.99369
32,0.99359
33,0.99359
34,0.99348
35,0.99338
36,0.99338
37,0.99338
38,0.99327
39,0.99327
40,0.99327
41,0.99317
42,0.99317
43,0.99317
44,0.99317
45,0.99306
46,0.99306
47,0.99296
48,0.99296
49,0.99296
50,0.99296
51,0.99285
52,0.99285
53,0.99275
54,0.99243
55,0.99243
56,0.99233
57,0.99233
58,0.99233
59,0.99222
60,0.99222
61,0.99222
62,0.99222
63,0.99222
64,0.99212
65,0.99212
66,0.99212
67,0.99201
68,0.99201
69,0.99201
70,0.99201
71,0.99201
72,0.99191
73,0.99191
74,0.99191
75,0.99191
76,0.99191
77,0.99191
78,0.9918
79,0.9918
80,0.9918
81,0.9918
82,0.9918
83,0.9918
84,0.9918
85,0.9918
86,0.9918
87,0.9917
88,0.9917
89,0.9917
90,0.9917
91,0.9917
92,0.9917
93,0.9917
94,0.9917
95,0.9917
96,0.9917
97,0.99159
98,0.99159
99,0.99159
100,0.99159
101,0.99159
102,0.99159
103,0.99159
104,0.99159
105,0.99159
106,0.99159
107,0.99159
108,0.99159
109,0.99159
110,0.99159
111,0.99159
112,0.99159
113,0.99159
114,0.99159
115,0.99159
116,0.99159
117,0.99159
118,0.99159
119,0.99159
120,0.99159
121,0.99159
122,0.99159
123,0.99159
124,0.99159
125,0.99159
126,0.99159
127,0.99159
128,0.99159
129,0.99159
130,0.99159
131,0.99159
132,0.99159
133,0.99159
134,0.99159
135,0.99159
136,0.99159
137,0.99159
138,0.99159
139,0.99159
140,0.99159
141,0.99159
142,0.99159
143,0.99159
144,0.99159
145,0.99159
146,0.99159
147,0.99159
148,0.99159
149,0.99159
150,0.99159
151,0.99159
152,0.99159
153,0.99159
154,0.99159
155,0.99159
156,0.99159
157,0.99159
158,0.99149
159,0.99149
160,0.99138
161,0.99138
162,0.99138
163,0.99138
164,0.99128
165,0.99128
166,0.99128
167,0.99117
168,0.99107
169,0.99107
170,0.99107
171,0.99096
172,0.99096
173,0.99096
174,0.99096
175,0.99096
176,0.99096
177,0.99096
178,0.99096
179,0.99096
180,0.99096
181,0.99096
182,0.99096
183,0.99096
184,0.99096
185,0.99096
186,0.99096
187,0.99096
188,0.99096
189,0.99096
190,0.99096
191,0.99096
192,0.99086
193,0.99075
194,0.99075
195,0.99075
196,0.99065
197,0.99044
198,0.99012
199,0.9896
200,0.98939
201,0.98939
202,0.98939
203,0.98939
204,0.98939
205,0.98939
206,0.98939
207,0.98939
208,0.98939
209,0.98939
210,0.98939
211,0.98939
212,0.98928
213,0.98928
214,0.98907
215,0.98907
216,0.98886
217,0.98792
218,0.98781
219,0.98781
220,0.98781
221,0.98781
222,0.9875
223,0.98686
224,0.98686
225,0.98686
226,0.98655
227,0.98592
228,0.98529
229,0.98413
230,0.98392
231,0.98319
232,0.98287
233,0.98277
234,0.98277
235,0.98277
236,0.98277
237,0.98277
238,0.98245
239,0.98224
240,0.98077
241,0.97909
242,0.97804
243,0.97783
244,0.97436
245,0.96964
246,0.96575
247,0.95966
248,0.9584
249,0.95493
250,0.95399
251,0.94632
252,0.94495
253,0.94453
254,0.93151
255,0.92605
256,0.92605
257,0.92605
258,0.92605
259,0.91848
260,0.88308
