rank,score
1,0.99464
2,0.99282
3,0.99269
4,0.9924
5,0.99212
6,0.99212
7,0.9917
8,0.99082
9,0.99029
10,0.99012
11,0.98961
12,0.98955
13,0.98951
14,0.98951
15,0.98832
16,0.98831
17,0.98669
18,0.98636
19,0.98631
20,0.9859
21,0.98529
22,0.98514
23,0.9851
24,0.98507
25,0.98505
26,0.98505
27,0.98502
28,0.98473
29,0.9842
30,0.984
31,0.98368
32,0.98232
33,0.98197
34,0.98172
35,0.9816
36,0.98152
37,0.98101
38,0.98058
39,0.9805
40,0.98019
41,0.97905
42,0.97897
43,0.97893
44,0.97885
45,0.97872
46,0.97837
47,0.97827
48,0.97784
49,0.97764
50,0.97737
51,0.97712
52,0.97679
53,0.97665
54,0.97664
55,0.97658
56,0.97631
57,0.97595
58,0.97593
59,0.97593
60,0.97592
61,0.97592
62,0.97592
63,0.97592
64,0.97592
65,0.97592
66,0.97592
67,0.97591
68,0.97591
69,0.97591
70,0.97591
71,0.97591
72,0.97591
73,0.97591
74,0.97591
75,0.97591
76,0.97591
77,0.97591
78,0.97591
79,0.97591
80,0.97591
81,0.97591
82,0.97591
83,0.97591
84,0.97591
85,0.97591
86,0.97591
87,0.97591
88,0.97586
89,0.97581
90,0.9758
91,0.97578
92,0.97569
93,0.97569
94,0.97569
95,0.97568
96,0.97568
97,0.97568
98,0.97568
99,0.97567
100,0.97567
101,0.97567
102,0.97567
103,0.97566
104,0.97566
105,0.97566
106,0.97566
107,0.97566
108,0.97566
109,0.97566
110,0.97566
111,0.97566
112,0.97566
113,0.97566
114,0.97566
115,0.97565
116,0.97565
117,0.97565
118,0.97565
119,0.97565
120,0.97565
121,0.97543
122,0.97368
123,0.97201
124,0.97102
125,0.96996
126,0.96956
127,0.96938
128,0.96938
129,0.96938
130,0.96938
131,0.96938
132,0.96938
133,0.96938
134,0.96938
135,0.96938
136,0.96938
137,0.96938
138,0.96929
139,0.96913
140,0.96882
141,0.96641
142,0.96625
143,0.96543
144,0.96543
145,0.9654
146,0.96539
147,0.96539
148,0.96539
149,0.96539
150,0.96539
151,0.96093
152,0.91542
153,0.89934
154,0.88994
155,0.88518
156,0.8485
157,0.84006
158,0.84006
159,0.84006
160,0.84006
161,0.79546
162,0.67803
