rank,score
1,0.99573
2,0.99512
3,0.99349
4,0.99329
5,0.99268
6,0.99237
7,0.99196
8,0.99196
9,0.99105
10,0.99064
11,0.99014
12,0.99014
13,0.98922
14,0.98922
15,0.98871
16,0.98749
17,0.98729
18,0.98658
19,0.98607
20,0.98566
21,0.98515
22,0.98505
23,0.98505
24,0.98505
25,0.98434
26,0.98414
27,0.98404
28,0.98383
29,0.98312
30,0.98292
31,0.98272
32,0.98211
33,0.98139
34,0.98129
35,0.98089
36,0.98068
37,0.98007
38,0.98007
39,0.97977
40,0.97967
41,0.97865
42,0.97845
43,0.97845
44,0.97834
45,0.97824
46,0.97824
47,0.97794
48,0.97753
49,0.97733
50,0.97692
51,0.97672
52,0.97641
53,0.97621
54,0.9759
55,0.9759
56,0.9758
57,0.97529
58,0.97529
59,0.97519
60,0.97519
61,0.97519
62,0.97519
63,0.97519
64,0.97519
65,0.97519
66,0.97519
67,0.97519
68,0.97519
69,0.97519
70,0.97519
71,0.97519
72,0.97519
73,0.97519
74,0.97519
75,0.97519
76,0.97519
77,0.97519
78,0.97519
79,0.97519
80,0.97519
81,0.97519
82,0.97519
83,0.97519
84,0.97519
85,0.97519
86,0.97519
87,0.97519
88,0.97519
89,0.97519
90,0.97509
91,0.97509
92,0.97509
93,0.97509
94,0.97509
95,0.97509
96,0.97509
97,0.97509
98,0.97509
99,0.97509
100,0.97509
101,0.97509
102,0.97509
103,0.97499
104,0.97499
105,0.97499
106,0.97499
107,0.97499
108,0.97499
109,0.97499
110,0.97499
111,0.97489
112,0.97489
113,0.97489
114,0.97489
115,0.97489
116,0.97489
117,0.97489
118,0.97489
119,0.97489
120,0.97489
121,0.97468
122,0.97306
123,0.97174
124,0.9697
125,0.9696
126,0.9696
127,0.9696
128,0.9696
129,0.9696
130,0.9696
131,0.9696
132,0.9696
133,0.9696
134,0.9696
135,0.9696
136,0.9696
137,0.9695
138,0.96869
139,0.96859
140,0.96818
141,0.96574
142,0.96452
143,0.96442
144,0.96442
145,0.96442
146,0.96442
147,0.96442
148,0.96442
149,0.96442
150,0.96422
151,0.96015
152,0.91197
153,0.89703
154,0.89144
155,0.8767
156,0.84458
157,0.83777
158,0.83777
159,0.83777
160,0.83777
161,0.78908
162,0.67523
