rank,score
1,0.89646
2,0.8959
3,0.89545
4,0.89543
5,0.89475
6,0.89473
7,0.89446
8,0.89238
9,0.89224
10,0.89156
11,0.89151
12,0.89137
13,0.89119
14,0.89106
15,0.89105
16,0.89097
17,0.89083
18,0.8899
19,0.88985
20,0.88971
21,0.88906
22,0.8886
23,0.88842
24,0.8884
25,0.88835
26,0.88827
27,0.88803
28,0.88786
29,0.88781
30,0.88761
31,0.88754
32,0.88751
33,0.88742
34,0.88732
35,0.8871
36,0.88707
37,0.88702
38,0.88667
39,0.88656
40,0.88647
41,0.8864
42,0.88631
43,0.88614
44,0.88553
45,0.88551
46,0.88507
47,0.88501
48,0.8847
49,0.88469
50,0.8845
51,0.88443
52,0.88439
53,0.88432
54,0.88421
55,0.88418
56,0.884
57,0.88397
58,0.88379
59,0.88372
60,0.88367
61,0.88285
62,0.88269
63,0.88252
64,0.88244
65,0.88243
66,0.88189
67,0.88178
68,0.88127
69,0.88084
70,0.88073
71,0.8807
72,0.88057
73,0.88055
74,0.88029
75,0.88028
76,0.88024
77,0.88018
78,0.88006
79,0.87984
80,0.87983
81,0.87954
82,0.8794
83,0.87922
84,0.87888
85,0.87858
86,0.87852
87,0.87842
88,0.87829
89,0.87828
90,0.87826
91,0.87826
92,0.87824
93,0.87805
94,0.87802
95,0.87801
96,0.87796
97,0.87785
98,0.87781
99,0.87758
100,0.87751
101,0.87717
102,0.87708
103,0.87703
104,0.87695
105,0.87694
106,0.87692
107,0.87691
108,0.87689
109,0.87645
110,0.87627
111,0.87627
112,0.87617
113,0.87588
114,0.87586
115,0.87567
116,0.87565
117,0.87561
118,0.87551
119,0.87533
120,0.87517
121,0.87511
122,0.8751
123,0.87509
124,0.87508
125,0.87505
126,0.87498
127,0.87479
128,0.87471
129,0.87459
130,0.87459
131,0.87446
132,0.87446
133,0.87444
134,0.87442
135,0.87441
136,0.87427
137,0.87421
138,0.87414
139,0.87407
140,0.874
141,0.874
142,0.87395
143,0.87388
144,0.87373
145,0.87352
146,0.87335
147,0.8733
148,0.87316
149,0.87311
150,0.87304
151,0.87303
152,0.87295
153,0.87293
154,0.87274
155,0.87261
156,0.8726
157,0.87231
158,0.87217
159,0.87202
160,0.87163
161,0.87162
162,0.87146
163,0.87135
164,0.87127
165,0.87125
166,0.87103
167,0.87098
168,0.87087
169,0.87057
170,0.87048
171,0.87027
172,0.87012
173,0.8701
174,0.86983
175,0.86983
176,0.86981
177,0.8698
178,0.86973
179,0.86972
180,0.86972
181,0.86964
182,0.86959
183,0.86958
184,0.86953
185,0.86951
186,0.86934
187,0.86903
188,0.86903
189,0.86895
190,0.86893
191,0.86885
192,0.8688
193,0.86877
194,0.86876
195,0.86866
196,0.86858
197,0.86853
198,0.86842
199,0.86842
200,0.86817
201,0.8681
202,0.86795
203,0.86784
204,0.86764
205,0.86759
206,0.86755
207,0.86731
208,0.86717
209,0.86717
210,0.86716
211,0.86714
212,0.86714
213,0.86713
214,0.86696
215,0.86693
216,0.8668
217,0.86675
218,0.86662
219,0.86657
220,0.86655
221,0.86655
222,0.86654
223,0.86653
224,0.86649
225,0.86646
226,0.86618
227,0.86603
228,0.86599
229,0.86598
230,0.86595
231,0.8655
232,0.86532
233,0.86532
234,0.86531
235,0.86522
236,0.86519
237,0.86501
238,0.86495
239,0.86492
240,0.86469
241,0.86457
242,0.86453
243,0.86452
244,0.86452
245,0.86451
246,0.86428
247,0.86413
248,0.86404
249,0.86404
250,0.86403
251,0.86403
252,0.864
253,0.86389
254,0.86368
255,0.86358
256,0.86353
257,0.86348
258,0.86347
259,0.86336
260,0.86325
261,0.86308
262,0.86279
263,0.86272
264,0.86255
265,0.86253
266,0.8625
267,0.86249
268,0.8624
269,0.86235
270,0.86234
271,0.86234
272,0.86227
273,0.86221
274,0.8622
275,0.8621
276,0.86205
277,0.86198
278,0.86186
279,0.86181
280,0.86181
281,0.86181
282,0.86177
283,0.86174
284,0.86161
285,0.86161
286,0.86154
287,0.86151
288,0.86141
289,0.86138
290,0.86135
291,0.86132
292,0.86129
293,0.86122
294,0.86099
295,0.86089
296,0.86073
297,0.86069
298,0.86063
299,0.86051
300,0.86033
301,0.86032
302,0.86027
303,0.86025
304,0.86023
305,0.86021
306,0.86015
307,0.86008
308,0.86005
309,0.86
310,0.8599
311,0.85988
312,0.85976
313,0.85973
314,0.85969
315,0.85959
316,0.85959
317,0.85938
318,0.85935
319,0.85935
320,0.85924
321,0.85918
322,0.85918
323,0.85911
324,0.85897
325,0.85884
326,0.85871
327,0.85861
328,0.85861
329,0.85855
330,0.85855
331,0.85842
332,0.85842
333,0.8584
334,0.85831
335,0.8583
336,0.8582
337,0.85817
338,0.85817
339,0.85816
340,0.85811
341,0.85807
342,0.85804
343,0.85802
344,0.85794
345,0.85794
346,0.85788
347,0.85787
348,0.85787
349,0.85786
350,0.85784
351,0.85781
352,0.85781
353,0.85752
354,0.85741
355,0.85736
356,0.85735
357,0.85724
358,0.85705
359,0.85684
360,0.85681
361,0.8567
362,0.85668
363,0.85663
364,0.85659
365,0.85656
366,0.85648
367,0.85637
368,0.85636
369,0.85634
370,0.85631
371,0.85629
372,0.85619
373,0.85618
374,0.85617
375,0.85613
376,0.85612
377,0.85601
378,0.8559
379,0.8559
380,0.85578
381,0.85577
382,0.85553
383,0.85548
384,0.85546
385,0.85543
386,0.85536
387,0.85525
388,0.85524
389,0.85523
390,0.85522
391,0.8552
392,0.85517
393,0.85513
394,0.85506
395,0.85504
396,0.855
397,0.85498
398,0.85483
399,0.85481
400,0.85479
401,0.85462
402,0.8546
403,0.85459
404,0.85457
405,0.85455
406,0.85446
407,0.85433
408,0.85431
409,0.85429
410,0.85427
411,0.85427
412,0.85424
413,0.8542
414,0.8542
415,0.85414
416,0.85411
417,0.85404
418,0.85398
419,0.85387
420,0.8538
421,0.85378
422,0.85371
423,0.8537
424,0.85367
425,0.85363
426,0.85362
427,0.8534
428,0.8533
429,0.8531
430,0.85294
431,0.85291
432,0.85291
433,0.85291
434,0.85286
435,0.8528
436,0.85276
437,0.85272
438,0.85271
439,0.85266
440,0.85265
441,0.85261
442,0.8526
443,0.85248
444,0.85246
445,0.85241
446,0.85239
447,0.85232
448,0.85232
449,0.85229
450,0.85227
451,0.85221
452,0.85221
453,0.85219
