rank,score
1,0.88833
2,0.88721
3,0.88644
4,0.88586
5,0.88584
6,0.88468
7,0.88424
8,0.88421
9,0.88373
10,0.88366
11,0.88291
12,0.88184
13,0.88146
14,0.87969
15,0.87881
16,0.87844
17,0.87826
18,0.87826
19,0.87796
20,0.87793
21,0.87754
22,0.87663
23,0.87618
24,0.87549
25,0.87516
26,0.87434
27,0.87406
28,0.87398
29,0.87294
30,0.87271
31,0.87231
32,0.87229
33,0.87198
34,0.87174
35,0.87134
36,0.87133
37,0.87109
38,0.87083
39,0.87054
40,0.87018
41,0.87016
42,0.87016
43,0.86978
44,0.86949
45,0.86949
46,0.86928
47,0.86913
48,0.86901
49,0.86899
50,0.86776
51,0.86729
52,0.86724
53,0.86689
54,0.86689
55,0.86683
56,0.86648
57,0.86633
58,0.86614
59,0.86559
60,0.86548
61,0.86538
62,0.86484
63,0.86479
64,0.86478
65,0.86398
66,0.86351
67,0.86348
68,0.86336
69,0.86299
70,0.86284
71,0.86274
72,0.86259
73,0.86204
74,0.86201
75,0.86178
76,0.86169
77,0.86163
78,0.86151
79,0.86139
80,0.86128
81,0.86121
82,0.86111
83,0.86088
84,0.86081
85,0.86074
86,0.86073
87,0.86059
88,0.86046
89,0.86039
90,0.86029
91,0.86023
92,0.86006
93,0.86004
94,0.85993
95,0.85989
96,0.85978
97,0.85939
98,0.85906
99,0.85879
100,0.85879
101,0.85878
102,0.85858
103,0.85856
104,0.85838
105,0.85836
106,0.85809
107,0.85794
108,0.85784
109,0.85761
110,0.85743
111,0.85741
112,0.85721
113,0.85719
114,0.85718
115,0.85716
116,0.85713
117,0.85673
118,0.85669
119,0.85616
120,0.85603
121,0.85581
122,0.85578
123,0.85571
124,0.85561
125,0.85556
126,0.85554
127,0.85539
128,0.85526
129,0.85526
130,0.85519
131,0.85506
132,0.85498
133,0.85481
134,0.85481
135,0.85476
136,0.85461
137,0.85461
138,0.85453
139,0.85446
140,0.85434
141,0.85419
142,0.85418
143,0.85414
144,0.85409
145,0.85393
146,0.85386
147,0.85379
148,0.85361
149,0.85321
150,0.85321
151,0.85298
152,0.85294
153,0.85293
154,0.85281
155,0.85281
156,0.85274
157,0.85266
158,0.85251
159,0.85246
160,0.85239
161,0.85236
162,0.85221
163,0.85191
164,0.85179
165,0.85178
166,0.85169
167,0.85169
168,0.85164
169,0.85159
170,0.85129
171,0.85126
172,0.85109
173,0.85079
174,0.85079
175,0.85074
176,0.85053
177,0.85043
178,0.85034
179,0.85033
180,0.85028
181,0.84981
182,0.84971
183,0.84959
184,0.84959
185,0.84944
186,0.84929
187,0.84923
188,0.84923
189,0.84919
190,0.84901
191,0.84896
192,0.84891
193,0.84886
194,0.84886
195,0.84886
196,0.84873
197,0.84871
198,0.84863
199,0.84861
200,0.84853
201,0.84841
202,0.84834
203,0.84824
204,0.84821
205,0.84818
206,0.84814
207,0.84799
208,0.84799
209,0.84796
210,0.84768
211,0.84763
212,0.84754
213,0.84744
214,0.84743
215,0.84743
216,0.84736
217,0.84733
218,0.84721
219,0.84703
220,0.84673
221,0.84669
222,0.84661
223,0.84658
224,0.84654
225,0.84648
226,0.84646
227,0.84646
228,0.84644
229,0.84634
230,0.84633
231,0.84621
232,0.84583
233,0.84583
234,0.84564
235,0.84549
236,0.84544
237,0.84529
238,0.84519
239,0.84518
240,0.84499
241,0.84498
242,0.84494
243,0.84494
244,0.84478
245,0.84466
246,0.84428
247,0.84419
248,0.84418
249,0.84411
250,0.84398
251,0.84398
252,0.84388
253,0.84384
254,0.84366
255,0.84356
256,0.84333
257,0.84326
258,0.84324
259,0.84311
260,0.84298
261,0.84288
262,0.84284
263,0.84251
264,0.84246
265,0.84243
266,0.84238
267,0.84234
268,0.84231
269,0.84229
270,0.84226
271,0.84226
272,0.84223
273,0.84221
274,0.84218
275,0.84213
276,0.84201
277,0.84201
278,0.84193
279,0.84188
280,0.84184
281,0.84183
282,0.84179
283,0.84179
284,0.84166
285,0.84163
286,0.84156
287,0.84146
288,0.84143
289,0.84143
290,0.84133
291,0.84119
292,0.84114
293,0.84113
294,0.84109
295,0.84108
296,0.84103
297,0.84099
298,0.84096
299,0.84081
300,0.84079
301,0.84078
302,0.84078
303,0.84071
304,0.84061
305,0.84061
306,0.84059
307,0.84051
308,0.84044
309,0.84043
310,0.84041
311,0.84038
312,0.84031
313,0.84031
314,0.84021
315,0.84021
316,0.84009
317,0.84006
318,0.84004
319,0.84001
320,0.83994
321,0.83971
322,0.83969
323,0.83961
324,0.83959
325,0.83951
326,0.83951
327,0.83948
328,0.83948
329,0.83944
330,0.83943
331,0.83939
332,0.83931
333,0.83919
334,0.83914
335,0.83914
336,0.83911
337,0.83899
338,0.83896
339,0.83894
340,0.83889
341,0.83883
342,0.83869
