rank,score
1,0.99379
2,0.99302
3,0.99189
4,0.99187
5,0.99153
6,0.99118
7,0.99106
8,0.99056
9,0.99021
10,0.98961
11,0.98955
12,0.98867
13,0.98393
14,0.98248
15,0.98108
16,0.97965
17,0.97947
18,0.97483
19,0.97419
20,0.97364
21,0.9654
22,0.95501
23,0.9511
24,0.95019
25,0.95017
26,0.94961
27,0.94947
28,0.94918
29,0.94881
30,0.94621
31,0.94606
32,0.94579
33,0.94578
34,0.94354
35,0.94332
36,0.94105
37,0.93908
38,0.93874
39,0.93841
40,0.93773
41,0.93727
42,0.93531
43,0.93524
44,0.92578
45,0.92042
46,0.91969
47,0.91832
48,0.91742
49,0.9166
50,0.91546
51,0.90521
52,0.90515
53,0.89964
54,0.89913
55,0.89013
56,0.883
57,0.87727
58,0.87288
59,0.87144
60,0.87096
61,0.86994
62,0.86722
63,0.8671
64,0.86677
65,0.86521
66,0.85952
67,0.85929
68,0.85528
69,0.85311
70,0.84731
71,0.84428
72,0.83973
73,0.83741
74,0.83595
75,0.8322
76,0.82418
77,0.82376
78,0.80851
79,0.80697
80,0.80375
81,0.79824
82,0.79688
83,0.79059
84,0.78793
85,0.78554
86,0.78554
87,0.77288
88,0.76753
89,0.76722
90,0.7591
91,0.75486
92,0.74258
93,0.7326
94,0.71082
95,0.70296
96,0.69339
97,0.68518
98,0.68194
99,0.68194
100,0.6552
101,0.62358
102,0.62099
103,0.61631
104,0.61194
105,0.6098
106,0.56579
107,0.55056
108,0.54621
109,0.54348
110,0.51716
111,0.51658
112,0.51103
113,0.50408
114,0.50404
115,0.50392
116,0.5021
117,0.50173
118,0.50026
119,0.5
120,0.5
121,0.5
122,0.5
123,0.5
124,0.5
125,0.5
126,0.5
127,0.5
128,0.49975
129,0.49906
