rank,score
1,0.99366
2,0.99266
3,0.99239
4,0.99233
5,0.99189
6,0.99109
7,0.99046
8,0.99034
9,0.98982
10,0.98934
11,0.98809
12,0.986
13,0.98474
14,0.98165
15,0.98002
16,0.97756
17,0.97664
18,0.9758
19,0.97248
20,0.97031
21,0.96423
22,0.95609
23,0.95098
24,0.9509
25,0.95069
26,0.95003
27,0.94995
28,0.94962
29,0.94951
30,0.94892
31,0.94859
32,0.94664
33,0.94436
34,0.94427
35,0.94346
36,0.94339
37,0.93843
38,0.93714
39,0.93692
40,0.93658
41,0.93574
42,0.93564
43,0.93486
44,0.9328
45,0.92191
46,0.91961
47,0.91947
48,0.91942
49,0.91882
50,0.91664
51,0.90312
52,0.90307
53,0.89864
54,0.8955
55,0.89228
56,0.89011
57,0.8853
58,0.87813
59,0.87812
60,0.87642
61,0.87489
62,0.87237
63,0.87182
64,0.8704
65,0.86881
66,0.86574
67,0.8639
68,0.8635
69,0.85875
70,0.85388
71,0.84203
72,0.8411
73,0.83915
74,0.83871
75,0.83125
76,0.82873
77,0.82312
78,0.82024
79,0.81176
80,0.80575
81,0.8025
82,0.79179
83,0.78165
84,0.78148
85,0.777
86,0.77542
87,0.77507
88,0.77318
89,0.7687
90,0.75716
91,0.74646
92,0.72966
93,0.72885
94,0.71327
95,0.7101
96,0.70576
97,0.69235
98,0.68583
99,0.68583
100,0.64448
101,0.63853
102,0.6288
103,0.62454
104,0.6211
105,0.59951
106,0.57617
107,0.57401
108,0.54447
109,0.54247
110,0.53096
111,0.51434
112,0.51432
113,0.51238
114,0.50953
115,0.50436
116,0.5036
117,0.50326
118,0.50252
119,0.50025
120,0.5001
121,0.5
122,0.5
123,0.5
124,0.5
125,0.5
126,0.5
127,0.5
128,0.5
129,0.5
