rank,score
1,1.06234
2,1.08991
3,1.13906
4,1.18817
5,1.23099
6,1.23572
7,1.24218
8,1.24416
9,1.29643
10,1.31994
11,1.32065
12,1.33082
13,1.34658
14,1.34986
15,1.36174
16,1.38682
17,1.38976
18,1.40796
19,1.42545
20,1.47762
21,1.49756
22,1.52017
23,1.53024
24,1.53677
25,1.54552
26,1.56125
27,1.56407
28,1.57948
29,1.58157
30,1.58576
31,1.60399
32,1.60501
33,1.6121
34,1.61429
35,1.61497
36,1.62498
37,1.63309
38,1.64089
39,1.65032
40,1.65163
41,1.6548
42,1.66976
43,1.67873
44,1.68162
45,1.68276
46,1.68584
47,1.68704
48,1.68824
49,1.68824
50,1.68824
51,1.68824
52,1.68824
53,1.68824
54,1.68824
55,1.68824
56,1.68824
57,1.68824
58,1.68824
59,1.68824
60,1.68824
61,1.68824
62,1.68824
63,1.68824
64,1.68824
65,1.68824
66,1.68824
67,1.68824
68,1.68824
69,1.68824
70,1.68824
71,1.68824
72,1.68824
73,1.68824
74,1.68824
75,1.68824
76,1.68824
77,1.68824
78,1.69457
79,1.69789
80,1.70237
81,1.70318
82,1.70832
83,1.70965
84,1.70988
85,1.71266
86,1.71813
87,1.71974
88,1.72657
89,1.7272
90,1.73423
91,1.73452
92,1.73712
93,1.74336
94,1.74968
95,1.75635
96,1.75779
97,1.75968
98,1.76062
99,1.76068
100,1.77296
101,1.77556
102,1.78143
103,1.78317
104,1.784
105,1.78509
106,1.78546
107,1.78973
108,1.79422
109,1.79599
110,1.7976
111,1.79978
112,1.80046
113,1.8008
114,1.80783
115,1.81081
116,1.81599
117,1.81896
118,1.81935
119,1.81977
120,1.82604
121,1.82957
122,1.83227
123,1.83325
124,1.8352
125,1.83783
126,1.84079
127,1.8446
128,1.84482
129,1.84568
130,1.84761
131,1.84948
132,1.85129
133,1.85526
134,1.85533
135,1.85695
136,1.85871
137,1.86206
138,1.86371
139,1.86553
140,1.8671
141,1.86724
142,1.86873
143,1.87224
144,1.87473
145,1.8752
146,1.87799
147,1.8802
148,1.88339
149,1.88384
150,1.88684
151,1.88686
152,1.89354
153,1.89549
154,1.89564
155,1.89927
156,1.90007
157,1.90241
158,1.90502
159,1.90799
160,1.90823
161,1.9096
162,1.91018
163,1.91071
164,1.91197
165,1.91225
166,1.91247
167,1.91339
168,1.91561
169,1.91626
170,1.91854
171,1.91914
172,1.92026
173,1.9214
174,1.92457
175,1.9269
176,1.92734
177,1.92978
178,1.93189
179,1.93751
180,1.94432
181,1.94571
182,1.94818
183,1.95573
184,1.95837
185,1.95902
186,1.96004
187,1.96192
188,1.96311
189,1.96467
190,1.96496
191,1.96583
192,1.96759
193,1.97293
194,1.97326
195,1.97423
196,1.97424
197,1.97468
198,1.97492
199,1.97687
200,1.97691
201,1.97697
202,1.98324
203,1.98469
204,1.98554
205,1.98617
206,1.99046
207,1.99049
208,1.99391
209,1.99852
210,1.99925
211,2.00085
212,2.00092
213,2.00109
214,2.00404
215,2.00662
216,2.00778
217,2.01093
218,2.01094
219,2.01195
220,2.01312
221,2.01369
222,2.01393
223,2.01428
224,2.0146
225,2.01557
226,2.01558
227,2.01668
228,2.01989
229,2.02025
230,2.02179
231,2.0238
232,2.02901
233,2.03116
234,2.03132
235,2.0349
236,2.03816
237,2.03958
238,2.03974
239,2.04061
240,2.04209
241,2.04827
242,2.05016
243,2.0504
244,2.05303
245,2.0536
246,2.05477
247,2.05563
248,2.05728
249,2.05816
250,2.06078
251,2.06343
252,2.06642
253,2.06868
254,2.07152
255,2.07179
256,2.0727
257,2.07398
258,2.07459
259,2.07655
260,2.07944
261,2.07944
262,2.08613
263,2.08651
264,2.08703
265,2.09253
266,2.09439
267,2.09721
268,2.098
269,2.09847
270,2.10329
271,2.10815
272,2.10922
273,2.10966
274,2.10989
275,2.1105
276,2.11128
277,2.12109
278,2.12287
279,2.12574
280,2.1274
281,2.12748
282,2.12822
283,2.13135
284,2.13527
285,2.13769
286,2.14086
287,2.14253
288,2.14292
289,2.14475
290,2.14796
291,2.15341
292,2.15393
293,2.15974
294,2.1616
295,2.17063
296,2.17539
297,2.17723
298,2.1805
299,2.18727
300,2.18966
301,2.19227
302,2.19996
303,2.20039
304,2.21014
305,2.21032
306,2.21132
307,2.21435
308,2.21522
309,2.21594
310,2.21691
311,2.21702
312,2.22737
313,2.2351
314,2.23586
315,2.23609
316,2.24376
317,2.24394
318,2.25236
319,2.26277
320,2.2702
321,2.28717
322,2.29228
323,2.29421
324,2.29456
325,2.30495
326,2.31128
327,2.32799
328,2.33396
329,2.33464
330,2.34942
331,2.35189
332,2.36335
333,2.36355
334,2.38911
335,2.40135
336,2.43461
337,2.44693
338,2.46243
339,2.4637
340,2.48355
341,2.48438
342,2.49925
343,2.5032
344,2.54391
345,2.56517
346,2.57884
347,2.59178
348,2.60815
349,2.63935
350,2.64682
351,2.68513
352,2.70675
353,2.70685
354,2.72277
355,2.72514
356,2.73694
357,2.80903
358,2.9029
359,2.93388
360,2.96575
361,2.99897
362,3.14647
363,3.27894
364,3.40971
365,3.43236
366,3.55095
367,3.60984
368,3.87173
369,4.11136
370,4.22523
371,4.26739
372,4.44023
373,4.7819
374,4.93505
375,5.23563
376,5.33228
377,5.40642
378,7.19143
379,7.49314
380,8.4575
381,10.51511
382,12.36922
383,12.65949
384,12.91807
385,13.87999
386,14.08718
387,17.45481
388,18.04951
