rank,score
1,0.29535
2,0.33408
3,0.42922
4,0.43011
5,0.49798
6,0.50684
7,0.51089
8,0.51474
9,0.52341
10,0.52808
11,0.53261
12,0.54288
13,0.55933
14,0.56529
15,0.57225
16,0.57693
17,0.57779
18,0.5871
19,0.59484
20,0.6017
21,0.60184
22,0.60858
23,0.61014
24,0.61105
25,0.65194
26,0.66128
27,0.66666
28,0.66812
29,0.67554
30,0.68331
31,0.6893
32,0.68968
33,0.69492
34,0.70721
35,0.70812
36,0.71863
37,0.72304
38,0.72668
39,0.72888
40,0.73318
41,0.73788
42,0.74034
43,0.7498
44,0.75224
45,0.75387
46,0.76066
47,0.7644
48,0.76857
49,0.76885
50,0.77071
51,0.77205
52,0.77225
53,0.77425
54,0.78079
55,0.78642
56,0.79061
57,0.79141
58,0.7941
59,0.79527
60,0.79708
61,0.79863
62,0.80763
63,0.80944
64,0.81081
65,0.81095
66,0.81227
67,0.81503
68,0.81997
69,0.82046
70,0.82873
71,0.83015
72,0.83291
73,0.83523
74,0.83674
75,0.84137
76,0.84196
77,0.84237
78,0.84518
79,0.84651
80,0.84653
81,0.84732
82,0.84738
83,0.84999
84,0.8533
85,0.85584
86,0.8566
87,0.85668
88,0.86131
89,0.86239
90,0.86279
91,0.86339
92,0.86537
93,0.86799
94,0.86936
95,0.87196
96,0.87231
97,0.87252
98,0.87388
99,0.87611
100,0.87654
101,0.87704
102,0.87777
103,0.87976
104,0.87987
105,0.8829
106,0.88344
107,0.88484
108,0.88628
109,0.88757
110,0.8894
111,0.89058
112,0.89206
113,0.89326
114,0.89618
115,0.89704
116,0.898
117,0.90349
118,0.90437
119,0.90536
120,0.90715
121,0.90837
122,0.91169
123,0.91386
124,0.91403
125,0.91595
126,0.91636
127,0.91727
128,0.91828
129,0.91945
130,0.92168
131,0.92496
132,0.92585
133,0.92878
134,0.92984
135,0.93001
136,0.93356
137,0.93372
138,0.93425
139,0.94061
140,0.94964
141,0.9505
142,0.95279
143,0.95412
144,0.95621
145,0.95701
146,0.96045
147,0.96375
148,0.96525
149,0.96581
150,0.96931
151,0.97131
152,0.97162
153,0.97444
154,0.97552
155,0.98511
156,0.98613
157,0.98647
158,0.9869
159,0.98698
160,0.98785
161,0.98961
162,0.99875
163,1.00484
164,1.00499
165,1.00532
166,1.00541
167,1.00894
168,1.01531
169,1.02252
170,1.02273
171,1.02351
172,1.02773
173,1.02855
174,1.02875
175,1.03286
176,1.0347
177,1.03492
178,1.03524
179,1.03581
180,1.03731
181,1.03741
182,1.03833
183,1.04092
184,1.04293
185,1.04338
186,1.0443
187,1.04574
188,1.04606
189,1.04635
190,1.04782
191,1.0481
192,1.04851
193,1.04957
194,1.04959
195,1.05273
196,1.0533
197,1.05742
198,1.06227
199,1.06276
200,1.06507
201,1.06515
202,1.06934
203,1.07121
204,1.07622
205,1.07637
206,1.07977
207,1.08477
208,1.08554
209,1.08581
210,1.09378
211,1.09553
212,1.09709
213,1.09844
214,1.09895
215,1.10146
216,1.10276
217,1.10318
218,1.10401
219,1.10537
220,1.108
221,1.11348
222,1.11407
223,1.11444
224,1.11581
225,1.12047
226,1.12097
227,1.12198
228,1.12238
229,1.12286
230,1.12302
231,1.12369
232,1.12605
233,1.12624
234,1.12738
235,1.12893
236,1.12949
237,1.13085
238,1.13105
239,1.13278
240,1.1439
241,1.1466
242,1.1521
243,1.1555
244,1.15736
245,1.16046
246,1.1605
247,1.1615
248,1.16358
249,1.16633
250,1.16745
251,1.17591
252,1.17995
253,1.18069
254,1.18102
255,1.18181
256,1.18192
257,1.18915
258,1.19108
259,1.1936
260,1.19478
261,1.19954
262,1.19974
263,1.20436
264,1.20688
265,1.20785
266,1.21134
267,1.21185
268,1.21214
269,1.21292
270,1.22193
271,1.22551
272,1.23638
273,1.23714
274,1.24068
275,1.24249
276,1.24292
277,1.25544
278,1.25944
279,1.26088
280,1.26606
281,1.2671
282,1.26891
283,1.27185
284,1.27267
285,1.27411
286,1.28924
287,1.2933
288,1.29953
289,1.30338
290,1.30619
291,1.31161
292,1.31673
293,1.32217
294,1.33243
295,1.3407
296,1.34545
297,1.36291
298,1.36712
299,1.36795
300,1.37094
301,1.37116
302,1.37592
303,1.38187
304,1.38335
305,1.39547
306,1.40729
307,1.41298
308,1.42884
309,1.43071
310,1.4413
311,1.45874
312,1.46023
313,1.46446
314,1.46511
315,1.46525
316,1.46677
317,1.4712
318,1.47207
319,1.47345
320,1.50362
321,1.50459
322,1.5148
323,1.57324
324,1.58298
325,1.63823
326,1.64142
327,1.64354
328,1.6461
329,1.6461
330,1.6461
331,1.6461
332,1.6461
333,1.6461
334,1.6461
335,1.6461
336,1.6461
337,1.6461
338,1.6461
339,1.6461
340,1.6461
341,1.6461
342,1.6461
343,1.6461
344,1.6461
345,1.6461
346,1.6461
347,1.6461
348,1.6461
349,1.6461
350,1.6461
351,1.6461
352,1.6461
353,1.6461
354,1.6461
355,1.64688
356,1.65017
357,1.67144
358,1.71284
359,1.72885
360,1.75646
361,1.77444
362,1.80698
363,1.83075
364,1.93589
365,1.94543
366,1.97342
367,1.98787
368,2.03869
369,2.19063
370,2.59085
371,2.6156
372,2.84778
373,2.97177
374,3.08354
375,3.39342
376,3.87509
377,3.95273
378,4.95403
379,5.15047
380,5.25755
381,6.94357
382,7.0095
383,8.01841
384,8.69437
385,8.81864
386,13.49918
387,13.98917
388,18.37462
