rank,score
1,1727.53575
2,1727.73785
3,1727.81187
4,1727.91537
5,1727.9492
6,1727.97114
7,1727.98564
8,1728.00041
9,1728.03885
10,1728.0424
11,1728.05905
12,1728.06304
13,1728.0746
14,1728.08135
15,1728.08591
16,1728.09798
17,1728.101
18,1728.10212
19,1728.1031
20,1728.10583
21,1728.10967
22,1728.12545
23,1728.13697
24,1728.13772
25,1728.15893
26,1728.16337
27,1728.1636
28,1728.17629
29,1728.17835
30,1728.18318
31,1728.1848
32,1728.18483
33,1728.18755
34,1728.19023
35,1728.1965
36,1728.19859
37,1728.20972
38,1728.2117
39,1728.21629
40,1728.21879
41,1728.22338
42,1728.22485
43,1728.22763
44,1728.22768
45,1728.22787
46,1728.22794
47,1728.23486
48,1728.2398
49,1728.24345
50,1728.24442
51,1728.24538
52,1728.24545
53,1728.24641
54,1728.24672
55,1728.24692
56,1728.24717
57,1728.2473
58,1728.24789
59,1728.24821
60,1728.24877
61,1728.24961
62,1728.25089
63,1728.25105
64,1728.2512
65,1728.25156
66,1728.25269
67,1728.25288
68,1728.25312
69,1728.25312
70,1728.25313
71,1728.25313
72,1728.25313
73,1728.25396
74,1728.25438
75,1728.25439
76,1728.25609
77,1728.25715
78,1728.25717
79,1728.2572
80,1728.25861
81,1728.25909
82,1728.25962
83,1728.25977
84,1728.25977
85,1728.25982
86,1728.25982
87,1728.25982
88,1728.25982
89,1728.25982
90,1728.25982
91,1728.25982
92,1728.25982
93,1728.25982
94,1728.25982
95,1728.25982
96,1728.25982
97,1728.25999
98,1728.26005
99,1728.26005
100,1728.26016
101,1728.26018
102,1728.26018
103,1728.2605
104,1728.26079
105,1728.261
106,1728.26136
107,1728.26178
108,1728.26256
109,1728.26307
110,1728.26403
111,1728.26433
112,1728.26492
113,1728.26516
114,1728.26537
115,1728.26542
116,1728.26559
117,1728.26627
118,1728.26692
119,1728.26721
120,1728.26721
121,1728.26735
122,1728.26736
123,1728.26736
124,1728.26737
125,1728.26738
126,1728.26738
127,1728.26738
