rank,score
1,1698.23399
2,1751.04565
3,1752.90755
4,1765.03778
5,1766.18986
6,1767.73954
7,1768.20161
8,1768.30849
9,1768.72974
10,1768.87438
11,1769.04384
12,1769.10806
13,1769.25081
14,1769.27801
15,1769.37356
16,1769.37385
17,1769.37576
18,1769.39218
19,1769.40042
20,1769.41405
21,1769.41728
22,1769.42612
23,1769.4416
24,1769.4672
25,1769.47284
26,1769.47413
27,1769.49764
28,1769.50636
29,1769.51435
30,1769.53138
31,1769.54923
32,1769.56374
33,1769.5651
34,1769.56803
35,1769.57616
36,1769.57793
37,1769.58908
38,1769.59337
39,1769.59546
40,1769.60279
41,1769.62866
42,1769.62892
43,1769.6292
44,1769.63955
45,1769.63956
46,1769.65064
47,1769.65167
48,1769.65291
49,1769.66795
50,1769.6712
51,1769.67625
52,1769.67991
53,1769.68244
54,1769.68382
55,1769.69842
56,1769.69845
57,1769.69907
58,1769.70388
59,1769.71684
60,1769.71769
61,1769.71777
62,1769.73261
63,1769.73551
64,1769.73755
65,1769.74141
66,1769.7426
67,1769.74288
68,1769.74807
69,1769.74929
70,1769.75284
71,1769.75706
72,1769.76084
73,1769.76511
74,1769.7664
75,1769.77108
76,1769.77356
77,1769.77446
78,1769.77492
79,1769.77811
80,1769.77891
81,1769.78601
82,1769.78925
83,1769.79066
84,1769.79665
85,1769.80436
86,1769.80871
87,1769.81196
88,1769.81295
89,1769.81456
90,1769.81856
91,1769.82242
92,1769.82444
93,1769.82649
94,1769.83102
95,1769.83139
96,1769.83435
97,1769.83796
98,1769.84284
99,1769.84486
100,1769.8494
101,1769.85433
102,1769.85546
103,1769.85599
104,1769.8631
105,1769.86547
106,1769.86644
107,1769.86652
108,1769.86863
109,1769.86871
110,1769.87007
111,1769.87085
112,1769.87198
113,1769.87259
114,1769.87814
115,1769.88023
116,1769.88046
117,1769.88161
118,1769.88256
119,1769.88357
120,1769.88443
121,1769.88884
122,1769.89477
123,1769.89772
124,1769.89791
125,1769.89811
126,1769.89841
127,1769.89892
128,1769.89937
129,1769.89995
130,1769.90189
131,1769.90314
132,1769.90333
133,1769.90447
134,1769.9046
135,1769.90464
136,1769.90492
137,1769.90553
138,1769.90592
139,1769.90672
140,1769.90694
141,1769.90703
142,1769.90716
143,1769.90735
144,1769.90746
145,1769.9075
146,1769.9075
147,1769.90751
148,1769.90751
149,1769.90752
150,1769.90756
151,1769.90758
152,1769.90759
153,1769.9076
154,1769.9076
155,1769.90761
156,1769.90761
157,1769.90761
158,1769.90762
159,1769.90774
160,1769.90776
161,1769.90784
162,1769.90784
163,1769.90786
164,1769.90787
165,1769.90787
166,1769.90787
167,1769.90787
168,1769.90787
169,1769.90787
170,1769.90787
171,1769.90787
172,1769.90787
173,1769.90787
174,1769.90787
175,1769.90787
176,1769.90787
177,1769.90787
178,1769.90787
179,1769.90788
180,1769.90798
181,1769.90809
182,1769.90821
183,1769.90879
184,1769.909
185,1769.90917
186,1769.90942
187,1769.90945
188,1769.91138
189,1769.91187
190,1769.91209
191,1769.91219
192,1769.91219
193,1769.91264
194,1769.91348
195,1769.91452
196,1769.91455
197,1769.91488
198,1769.91488
199,1769.91488
200,1769.91488
201,1769.91488
202,1769.91488
203,1769.91488
204,1769.91498
205,1769.91504
206,1769.91505
207,1769.9152
208,1769.9153
209,1769.9155
210,1769.91578
211,1769.91598
212,1769.91654
213,1769.9166
214,1769.91665
215,1769.91686
216,1769.91686
