rank,score
1,0.73615
2,0.73471
3,0.73332
4,0.73208
5,0.73152
6,0.73132
7,0.73053
8,0.72939
9,0.72886
10,0.72877
11,0.72829
12,0.72704
13,0.72695
14,0.72689
15,0.7268
16,0.72595
17,0.72576
18,0.72468
19,0.72464
20,0.72453
21,0.72381
22,0.72366
23,0.72346
24,0.72338
25,0.72328
26,0.72308
27,0.72293
28,0.72273
29,0.72267
30,0.72266
31,0.72252
32,0.72213
33,0.72204
34,0.72107
35,0.72097
36,0.72095
37,0.72021
38,0.72018
39,0.72003
40,0.71986
41,0.71968
42,0.71959
43,0.71951
44,0.71951
45,0.71947
46,0.7194
47,0.71939
48,0.71932
49,0.7192
50,0.7192
51,0.71912
52,0.71908
53,0.71903
54,0.71903
55,0.71899
56,0.71891
57,0.71891
58,0.71877
59,0.71867
60,0.71866
61,0.71865
62,0.71858
63,0.71849
64,0.71841
65,0.71841
66,0.71841
67,0.71841
68,0.7184
69,0.71836
70,0.71831
71,0.71829
72,0.71828
73,0.71824
74,0.71821
75,0.7182
76,0.71819
77,0.71817
78,0.71816
79,0.71812
80,0.71808
81,0.71806
82,0.71802
83,0.71797
84,0.71796
85,0.71791
86,0.7179
87,0.71782
88,0.71782
89,0.71782
90,0.71778
91,0.71776
92,0.71775
93,0.71772
94,0.71772
95,0.71771
96,0.71771
97,0.71771
98,0.71767
99,0.71767
100,0.71767
101,0.71765
102,0.71764
103,0.71763
104,0.7176
105,0.71754
106,0.71753
107,0.71753
108,0.71753
109,0.71752
110,0.71752
111,0.71752
112,0.71751
113,0.71751
114,0.7175
115,0.7175
116,0.71748
117,0.71748
118,0.71748
119,0.71746
120,0.71745
121,0.71743
122,0.71742
123,0.71742
124,0.71741
125,0.71741
126,0.71741
127,0.7174
128,0.7174
129,0.71739
130,0.71738
131,0.71735
132,0.71735
133,0.71734
134,0.71732
135,0.71731
136,0.7173
137,0.71728
138,0.71725
139,0.71725
140,0.71724
141,0.71724
142,0.71723
143,0.71723
144,0.71717
145,0.71717
146,0.71717
147,0.71715
148,0.71714
149,0.71713
150,0.71712
151,0.71712
152,0.71711
153,0.71711
154,0.7171
155,0.71709
156,0.71708
157,0.71707
158,0.71707
159,0.71705
160,0.71705
161,0.71705
162,0.71705
163,0.71705
164,0.71705
165,0.71705
166,0.71705
167,0.71705
168,0.71705
169,0.71705
170,0.71705
171,0.71705
172,0.71705
173,0.71705
174,0.71705
175,0.71705
176,0.71705
177,0.71705
178,0.71705
179,0.71705
180,0.71705
181,0.71705
182,0.71705
183,0.71705
184,0.71705
185,0.71705
186,0.71705
187,0.71705
188,0.71705
189,0.71705
190,0.71705
191,0.71705
192,0.71705
193,0.71705
194,0.71705
195,0.71705
196,0.71705
197,0.71705
198,0.71705
199,0.71705
200,0.71705
201,0.71705
202,0.71705
203,0.71705
204,0.71705
205,0.71705
206,0.71705
207,0.71705
208,0.71705
209,0.71705
210,0.71705
211,0.71705
212,0.71705
213,0.71705
214,0.71705
215,0.71705
216,0.71705
217,0.71705
218,0.71705
219,0.71705
220,0.71705
221,0.71705
222,0.71705
223,0.71705
224,0.71705
225,0.71705
226,0.71705
227,0.71705
228,0.71705
229,0.71705
230,0.71705
231,0.71705
232,0.71705
233,0.71705
234,0.71705
235,0.71705
236,0.71705
237,0.71705
238,0.71705
239,0.71705
240,0.71705
241,0.71705
242,0.71705
243,0.71704
244,0.717
245,0.71699
246,0.71699
247,0.71699
248,0.71698
249,0.71698
250,0.71698
251,0.71698
252,0.71698
253,0.71697
254,0.71697
255,0.71695
256,0.71695
257,0.71695
258,0.71694
259,0.71694
260,0.71694
261,0.71692
262,0.71691
263,0.71691
264,0.71691
265,0.7169
266,0.7169
267,0.71688
268,0.71688
269,0.71688
270,0.71687
271,0.71685
272,0.71685
273,0.71685
274,0.71684
275,0.71683
276,0.71683
277,0.71682
278,0.71682
279,0.71681
280,0.71681
281,0.71681
282,0.7168
283,0.7168
284,0.7168
285,0.71679
286,0.71679
287,0.71678
288,0.71675
289,0.71675
290,0.71675
291,0.71674
292,0.71672
293,0.71672
294,0.71671
295,0.71671
296,0.7167
297,0.7167
298,0.71669
299,0.71668
300,0.71668
301,0.71667
302,0.71666
303,0.71665
304,0.71664
305,0.71664
306,0.71663
307,0.71663
308,0.71662
309,0.71662
310,0.71662
311,0.71661
312,0.71661
313,0.71661
314,0.7166
315,0.7166
316,0.7166
317,0.7166
318,0.71659
319,0.71659
320,0.71659
321,0.71658
322,0.71658
323,0.71658
324,0.71658
325,0.71657
326,0.71656
327,0.71655
328,0.71655
329,0.71654
330,0.71654
331,0.71653
332,0.71652
333,0.71652
334,0.71651
335,0.71651
336,0.71651
337,0.71651
338,0.71651
339,0.71651
340,0.71651
341,0.71649
342,0.71649
343,0.71648
344,0.71648
345,0.71648
346,0.71647
347,0.71647
348,0.71647
349,0.71646
350,0.71646
351,0.71646
352,0.71645
353,0.71644
354,0.71644
355,0.71644
356,0.71644
357,0.71644
358,0.71644
359,0.71642
360,0.71642
361,0.71642
362,0.71641
363,0.71641
364,0.71641
365,0.71641
366,0.7164
367,0.7164
368,0.71639
369,0.71639
370,0.71638
371,0.71637
372,0.71637
373,0.71637
374,0.71636
375,0.71636
376,0.71635
377,0.71635
378,0.71633
379,0.71633
380,0.71632
381,0.71632
382,0.7163
383,0.7163
384,0.7163
385,0.71629
386,0.71629
387,0.71628
388,0.71628
389,0.71628
390,0.71628
391,0.71627
392,0.71627
393,0.71626
394,0.71626
395,0.71626
396,0.71626
397,0.71625
398,0.71625
399,0.71623
400,0.71623
401,0.71623
402,0.71622
403,0.71622
404,0.71622
405,0.71622
406,0.71621
407,0.71621
408,0.71621
409,0.71621
410,0.7162
411,0.7162
412,0.7162
413,0.7162
414,0.7162
415,0.7162
416,0.71619
417,0.71619
418,0.71618
419,0.71618
420,0.71618
421,0.71617
422,0.71617
423,0.71616
424,0.71616
425,0.71616
426,0.71616
427,0.71615
428,0.71615
429,0.71614
430,0.71614
431,0.71614
432,0.71613
433,0.71613
434,0.71613
435,0.71612
436,0.71612
437,0.71612
438,0.71611
439,0.71611
440,0.71611
441,0.71611
442,0.71611
443,0.7161
444,0.7161
445,0.71609
446,0.71609
447,0.71608
448,0.71608
449,0.71608
450,0.71608
451,0.71608
452,0.71607
453,0.71606
454,0.71606
455,0.71605
456,0.71605
457,0.71604
458,0.71603
459,0.71603
460,0.71603
461,0.71603
462,0.71603
463,0.71602
464,0.71602
465,0.716
466,0.716
467,0.716
468,0.71599
469,0.71598
470,0.71598
471,0.71598
472,0.71598
473,0.71598
474,0.71598
475,0.71597
476,0.71597
477,0.71597
478,0.71596
479,0.71596
480,0.71596
481,0.71596
482,0.71595
483,0.71595
484,0.71595
485,0.71595
486,0.71595
487,0.71594
488,0.71594
489,0.71594
490,0.71594
491,0.71593
492,0.71593
493,0.71593
494,0.71592
495,0.71591
496,0.71591
497,0.71591
498,0.7159
499,0.7159
500,0.7159
501,0.71589
502,0.71589
503,0.71588
504,0.71587
505,0.71587
506,0.71587
507,0.71587
508,0.71586
509,0.71586
510,0.71586
511,0.71586
512,0.71586
513,0.71586
514,0.71586
515,0.71585
516,0.71585
517,0.71585
518,0.71585
519,0.71585
520,0.71584
521,0.71584
522,0.71584
523,0.71583
524,0.71583
525,0.71582
526,0.71582
527,0.71581
528,0.71581
529,0.71581
530,0.71581
531,0.7158
532,0.7158
533,0.7158
534,0.7158
535,0.71579
536,0.71579
537,0.71578
538,0.71577
