rank,score
1,0.73648
2,0.73632
3,0.73566
4,0.73275
5,0.73191
6,0.73177
7,0.73133
8,0.73128
9,0.73119
10,0.73106
11,0.72994
12,0.72948
13,0.72927
14,0.72858
15,0.72754
16,0.72736
17,0.7272
18,0.72664
19,0.72646
20,0.72563
21,0.72558
22,0.72418
23,0.72398
24,0.72384
25,0.72355
26,0.72334
27,0.72332
28,0.7231
29,0.72301
30,0.72268
31,0.72244
32,0.72226
33,0.72209
34,0.72209
35,0.72199
36,0.72186
37,0.72181
38,0.72135
39,0.72121
40,0.72105
41,0.72102
42,0.72101
43,0.7208
44,0.72072
45,0.72069
46,0.72063
47,0.72028
48,0.72026
49,0.72021
50,0.72014
51,0.71989
52,0.71981
53,0.71973
54,0.71964
55,0.71955
56,0.71953
57,0.71951
58,0.71951
59,0.71949
60,0.71941
61,0.71927
62,0.71913
63,0.71902
64,0.71892
65,0.71892
66,0.71876
67,0.71875
68,0.7187
69,0.71868
70,0.71866
71,0.71866
72,0.71865
73,0.71865
74,0.71865
75,0.71864
76,0.71856
77,0.71851
78,0.71842
79,0.71835
80,0.71829
81,0.71828
82,0.71828
83,0.71825
84,0.71825
85,0.71824
86,0.71822
87,0.71821
88,0.71816
89,0.71816
90,0.71814
91,0.71804
92,0.718
93,0.718
94,0.71797
95,0.71796
96,0.71796
97,0.7179
98,0.7179
99,0.71788
100,0.71787
101,0.71787
102,0.71784
103,0.71783
104,0.7178
105,0.71774
106,0.71772
107,0.7177
108,0.71768
109,0.71766
110,0.71766
111,0.71762
112,0.7176
113,0.71742
114,0.7174
115,0.7174
116,0.71739
117,0.71739
118,0.71733
119,0.71731
120,0.71727
121,0.71725
122,0.71724
123,0.71723
124,0.71723
125,0.71722
126,0.71721
127,0.71721
128,0.71718
129,0.71718
130,0.71716
131,0.71713
132,0.71713
133,0.71711
134,0.7171
135,0.7171
136,0.71705
137,0.71704
138,0.71701
139,0.71701
140,0.71698
141,0.71696
142,0.71694
143,0.71691
144,0.71691
145,0.7169
146,0.71687
147,0.71686
148,0.71685
149,0.71682
150,0.71682
151,0.7168
152,0.71679
153,0.71678
154,0.71676
155,0.7167
156,0.7167
157,0.71669
158,0.71669
159,0.71666
160,0.71665
161,0.71665
162,0.71663
163,0.71662
164,0.71659
165,0.71658
166,0.71658
167,0.71657
168,0.71657
169,0.71653
170,0.71653
171,0.71653
172,0.71653
173,0.7165
174,0.71649
175,0.71648
176,0.71647
177,0.71646
178,0.71644
179,0.71644
180,0.71644
181,0.71643
182,0.71641
183,0.7164
184,0.71639
185,0.71638
186,0.71638
187,0.71637
188,0.71637
189,0.71632
190,0.71632
191,0.71631
192,0.71628
193,0.71628
194,0.71627
195,0.71626
196,0.71625
197,0.71624
198,0.71622
199,0.71622
200,0.71619
201,0.71619
202,0.71616
203,0.71616
204,0.71616
205,0.71614
206,0.71612
207,0.71611
208,0.71609
209,0.71608
210,0.71607
211,0.71606
212,0.71606
213,0.71606
214,0.71605
215,0.71605
216,0.71605
217,0.71604
218,0.71604
219,0.71604
220,0.71604
221,0.71603
222,0.71603
223,0.71602
224,0.71601
225,0.71601
226,0.716
227,0.71599
228,0.71598
229,0.71598
230,0.71598
231,0.71594
232,0.71594
233,0.71593
234,0.71592
235,0.71592
236,0.71591
237,0.7159
238,0.71589
239,0.71588
240,0.71587
241,0.71587
242,0.71586
243,0.71586
244,0.71586
245,0.71585
246,0.71585
247,0.71583
248,0.71581
249,0.71581
250,0.71579
251,0.71578
252,0.71578
253,0.71577
254,0.71577
255,0.71576
256,0.71576
257,0.71574
258,0.71574
259,0.71573
260,0.71573
261,0.71572
262,0.7157
263,0.71569
264,0.71569
265,0.71568
266,0.71567
267,0.71567
268,0.71566
269,0.71565
270,0.71564
271,0.71564
272,0.71563
273,0.71563
274,0.71563
275,0.71563
276,0.71562
277,0.71562
278,0.71561
279,0.7156
280,0.71557
281,0.71557
282,0.71555
283,0.71555
284,0.71554
285,0.71554
286,0.71553
