rank,score
1,0.96859
2,0.96111
3,0.96105
4,0.96085
5,0.95989
6,0.95975
7,0.95971
8,0.95749
9,0.957
10,0.95675
11,0.95448
12,0.95419
13,0.95278
14,0.95214
15,0.95165
16,0.95006
17,0.94946
18,0.94394
19,0.94348
20,0.94343
21,0.94336
22,0.94301
23,0.94294
24,0.94253
25,0.9396
26,0.93918
27,0.93874
28,0.93788
29,0.93755
30,0.93727
31,0.93691
32,0.93634
33,0.93621
34,0.93594
35,0.93578
36,0.93357
37,0.93357
38,0.93313
39,0.93303
40,0.93303
41,0.9327
42,0.93206
43,0.93204
44,0.93182
45,0.93182
46,0.93048
47,0.93041
48,0.93035
49,0.92928
50,0.92758
51,0.92722
52,0.92701
53,0.92659
54,0.92625
55,0.92587
56,0.92587
57,0.92556
58,0.92521
59,0.92517
60,0.92481
61,0.92463
62,0.92337
63,0.92312
64,0.92307
65,0.92291
66,0.92251
67,0.92199
68,0.92047
69,0.9199
70,0.91922
71,0.91769
72,0.91746
73,0.91725
74,0.91692
75,0.91617
76,0.9158
77,0.91437
78,0.9138
79,0.91363
80,0.91249
81,0.91167
82,0.91124
83,0.91111
84,0.90988
85,0.90916
86,0.90808
87,0.90612
88,0.90504
89,0.90471
90,0.90307
91,0.90292
92,0.89994
93,0.89963
94,0.89945
95,0.8992
96,0.89741
97,0.89341
98,0.89174
99,0.89
100,0.88584
101,0.88483
102,0.88342
103,0.88207
104,0.88153
105,0.88057
106,0.87702
107,0.87603
108,0.87603
109,0.8755
110,0.87066
111,0.87019
112,0.86675
113,0.86632
114,0.86404
115,0.86381
116,0.86378
117,0.8603
118,0.85774
119,0.85641
120,0.85641
121,0.85518
122,0.85361
123,0.85145
124,0.84234
125,0.84176
126,0.84134
127,0.84042
128,0.8343
129,0.82743
130,0.82466
131,0.82466
132,0.82466
133,0.81794
134,0.80814
135,0.80112
136,0.79774
137,0.79512
138,0.78759
139,0.78534
140,0.77792
141,0.77487
142,0.77272
143,0.76493
144,0.75885
145,0.75429
146,0.74765
147,0.7282
148,0.71878
149,0.71077
150,0.71077
151,0.71071
152,0.70304
153,0.69286
154,0.6888
155,0.68817
156,0.68804
157,0.68366
158,0.68309
159,0.68106
160,0.68073
161,0.68073
162,0.67516
163,0.63856
164,0.6348
165,0.62291
166,0.59899
167,0.57409
168,0.56642
169,0.55728
170,0.5293
171,0.5293
172,0.52722
173,0.52041
174,0.51757
175,0.50593
176,0.5
177,0.5
178,0.48357
179,0.48339
180,0.48339
181,0.48339
182,0.48339
183,0.48339
184,0.47277
185,0.28137
186,0.23327
187,0.21096
188,0.19852
189,0.19768
190,0.13098
191,0.11666
192,0.10604
193,0.09875
194,0.09357
195,0.07985
196,0.07141
197,0.06321
198,0.05411
199,0.04932
200,0.04896
201,0.04883
202,0.04694
203,0.04568
