rank,score
1,0.97214
2,0.95991
3,0.95958
4,0.95897
5,0.95805
6,0.957
7,0.9569
8,0.95613
9,0.9556
10,0.95555
11,0.95515
12,0.95456
13,0.95441
14,0.95285
15,0.95255
16,0.95229
17,0.95201
18,0.95138
19,0.95074
20,0.9495
21,0.94927
22,0.94912
23,0.94871
24,0.94854
25,0.9477
26,0.94502
27,0.93975
28,0.93886
29,0.93843
30,0.93709
31,0.93644
32,0.93608
33,0.93599
34,0.93588
35,0.93498
36,0.9327
37,0.93131
38,0.93131
39,0.93112
40,0.93094
41,0.9308
42,0.93009
43,0.92922
44,0.92916
45,0.92912
46,0.92911
47,0.9288
48,0.92812
49,0.92812
50,0.92794
51,0.92771
52,0.92745
53,0.92712
54,0.92659
55,0.92639
56,0.92586
57,0.92585
58,0.92579
59,0.92559
60,0.92473
61,0.92463
62,0.92412
63,0.92348
64,0.92305
65,0.91899
66,0.91867
67,0.91771
68,0.91753
69,0.91734
70,0.91726
71,0.91672
72,0.91579
73,0.91565
74,0.91479
75,0.91473
76,0.91429
77,0.91426
78,0.91368
79,0.91328
80,0.91266
81,0.91235
82,0.91169
83,0.91106
84,0.9104
85,0.90989
86,0.90949
87,0.90876
88,0.90743
89,0.907
90,0.90276
91,0.89988
92,0.89894
93,0.89815
94,0.89754
95,0.89738
96,0.89674
97,0.89556
98,0.8892
99,0.88874
100,0.88872
101,0.88808
102,0.88796
103,0.88648
104,0.88648
105,0.88647
106,0.88241
107,0.88135
108,0.88046
109,0.87919
110,0.87809
111,0.87809
112,0.87792
113,0.87762
114,0.87731
115,0.87731
116,0.8738
117,0.8687
118,0.86764
119,0.86278
120,0.85745
121,0.85454
122,0.85418
123,0.8528
124,0.84771
125,0.8428
126,0.83625
127,0.83399
128,0.82926
129,0.82826
130,0.82762
131,0.82589
132,0.81772
133,0.81647
134,0.81614
135,0.81614
136,0.81614
137,0.80172
138,0.79866
139,0.79369
140,0.79325
141,0.79256
142,0.79129
143,0.78592
144,0.78449
145,0.7824
146,0.77167
147,0.75033
148,0.73582
149,0.73277
150,0.72986
151,0.72703
152,0.72553
153,0.72258
154,0.72014
155,0.70318
156,0.68597
157,0.67871
158,0.67753
159,0.66223
160,0.65624
161,0.65233
162,0.65199
163,0.64041
164,0.6385
165,0.63093
166,0.63093
167,0.6305
168,0.62795
169,0.60931
170,0.5835
171,0.57651
172,0.56106
173,0.54771
174,0.53774
175,0.52966
176,0.52966
177,0.5
178,0.5
179,0.49879
180,0.4979
181,0.4979
182,0.4979
183,0.4979
184,0.4979
185,0.4979
186,0.48256
187,0.46761
188,0.4551
189,0.35119
190,0.27275
191,0.22527
192,0.19108
193,0.13871
194,0.12606
195,0.10013
196,0.09314
197,0.07752
198,0.05937
199,0.05635
200,0.05092
201,0.04984
202,0.04958
203,0.04811
