rank,score
1,0.8782
2,0.8775
3,0.8772
4,0.8771
5,0.8766
6,0.8765
7,0.8761
8,0.8757
9,0.8753
10,0.875
11,0.8744
12,0.8702
13,0.87
14,0.8692
15,0.8691
16,0.8687
17,0.8685
18,0.8683
19,0.8683
20,0.8675
21,0.8671
22,0.8666
23,0.8663
24,0.8662
25,0.8656
26,0.8655
27,0.8655
28,0.8654
29,0.8654
30,0.8653
31,0.8652
32,0.865
33,0.8648
34,0.8647
35,0.8647
36,0.8647
37,0.8646
38,0.8646
39,0.8646
40,0.8646
41,0.8644
42,0.8644
43,0.8644
44,0.8644
45,0.8643
46,0.8643
47,0.8643
48,0.8643
49,0.8642
50,0.8641
51,0.8641
52,0.8641
53,0.8641
54,0.8641
55,0.864
56,0.8639
57,0.8638
58,0.8638
59,0.8638
60,0.8638
61,0.8637
62,0.8637
63,0.8637
64,0.8636
65,0.8636
66,0.8636
67,0.8636
68,0.8636
69,0.8635
70,0.8635
71,0.8635
72,0.8635
73,0.8635
74,0.8634
75,0.8634
76,0.8634
77,0.8634
78,0.8633
79,0.8633
80,0.8632
81,0.8632
82,0.8632
83,0.8632
84,0.8632
85,0.8631
86,0.8631
87,0.8631
88,0.8631
89,0.8631
90,0.863
91,0.863
92,0.863
93,0.863
94,0.863
95,0.863
96,0.8629
97,0.8629
98,0.8629
99,0.8629
100,0.8629
101,0.8629
102,0.8629
103,0.8629
104,0.8629
105,0.8628
106,0.8628
107,0.8628
108,0.8627
109,0.8627
110,0.8627
111,0.8627
112,0.8627
113,0.8627
114,0.8627
115,0.8627
116,0.8627
117,0.8627
118,0.8627
119,0.8627
120,0.8626
121,0.8626
122,0.8625
123,0.8625
124,0.8625
125,0.8625
126,0.8625
127,0.8625
128,0.8625
129,0.8625
130,0.8625
131,0.8625
132,0.8624
133,0.8624
134,0.8624
135,0.8624
136,0.8624
137,0.8624
138,0.8624
139,0.8624
140,0.8623
141,0.8623
142,0.8623
143,0.8623
144,0.8623
145,0.8623
146,0.8623
147,0.8623
148,0.8623
149,0.8623
150,0.8623
151,0.8622
152,0.8622
153,0.8622
154,0.8622
155,0.8622
156,0.8622
157,0.8622
158,0.8622
159,0.8622
160,0.8622
161,0.8621
162,0.8621
163,0.8621
164,0.8621
165,0.8621
166,0.862
167,0.862
168,0.862
169,0.862
170,0.862
171,0.8619
172,0.8619
173,0.8619
174,0.8619
175,0.8619
176,0.8619
177,0.8619
178,0.8619
179,0.8619
180,0.8619
181,0.8619
182,0.8617
183,0.8617
184,0.8617
185,0.8616
186,0.8616
187,0.8616
188,0.8616
189,0.8616
190,0.8615
191,0.8615
192,0.8615
193,0.8615
194,0.8615
195,0.8615
196,0.8615
197,0.8615
198,0.8615
199,0.8614
200,0.8614
201,0.8614
202,0.8613
203,0.8613
204,0.8613
205,0.8613
206,0.8613
207,0.8613
208,0.8613
209,0.8613
210,0.8612
211,0.8612
212,0.8612
213,0.8612
214,0.8612
215,0.8612
216,0.8612
217,0.8612
218,0.8611
219,0.8611
220,0.8611
221,0.8611
222,0.861
223,0.861
224,0.861
225,0.861
226,0.861
227,0.8609
228,0.8609
229,0.8609
230,0.8609
231,0.8609
232,0.8608
233,0.8608
234,0.8608
235,0.8608
