rank,score
1,0.8645
2,0.864
3,0.8634
4,0.8628
5,0.8626
6,0.8614
7,0.861
8,0.8608
9,0.8604
10,0.8597
11,0.858
12,0.8573
13,0.8559
14,0.8558
15,0.8556
16,0.8552
17,0.8549
18,0.8549
19,0.8548
20,0.8546
21,0.8544
22,0.8544
23,0.8543
24,0.8543
25,0.8543
26,0.8542
27,0.8541
28,0.854
29,0.8538
30,0.8536
31,0.8535
32,0.8535
33,0.8533
34,0.8533
35,0.8532
36,0.8529
37,0.8527
38,0.8527
39,0.8527
40,0.8526
41,0.8525
42,0.8525
43,0.8524
44,0.8524
45,0.8524
46,0.8523
47,0.8523
48,0.8523
49,0.8523
50,0.8522
51,0.852
52,0.852
53,0.8519
54,0.8519
55,0.8519
56,0.8518
57,0.8518
58,0.8517
59,0.8517
60,0.8517
61,0.8517
62,0.8516
63,0.8516
64,0.8516
65,0.8516
66,0.8516
67,0.8516
68,0.8516
69,0.8515
70,0.8515
71,0.8514
72,0.8514
73,0.8514
74,0.8514
75,0.8513
76,0.8513
77,0.8513
78,0.8513
79,0.8513
80,0.8513
81,0.8512
82,0.8511
83,0.8511
84,0.851
85,0.851
86,0.851
87,0.8509
88,0.8509
89,0.8509
90,0.8509
91,0.8509
92,0.8509
93,0.8509
94,0.8509
95,0.8508
96,0.8508
97,0.8508
98,0.8508
99,0.8507
100,0.8507
101,0.8507
102,0.8506
103,0.8506
104,0.8506
105,0.8506
106,0.8505
107,0.8505
108,0.8505
109,0.8505
110,0.8505
111,0.8505
112,0.8505
113,0.8504
114,0.8504
115,0.8504
116,0.8504
117,0.8504
118,0.8503
119,0.8503
120,0.8503
121,0.8503
122,0.8503
123,0.8503
124,0.8503
125,0.8503
126,0.8502
127,0.8502
128,0.8502
129,0.8502
130,0.8501
131,0.8501
132,0.8501
133,0.8501
134,0.8501
135,0.85
136,0.85
137,0.85
138,0.85
139,0.85
140,0.85
141,0.85
142,0.8499
143,0.8499
144,0.8499
145,0.8499
146,0.8499
147,0.8499
148,0.8498
149,0.8498
150,0.8498
151,0.8498
152,0.8497
153,0.8497
154,0.8497
155,0.8497
156,0.8496
157,0.8496
158,0.8496
159,0.8496
160,0.8496
161,0.8495
162,0.8495
163,0.8495
164,0.8495
165,0.8495
166,0.8495
167,0.8495
168,0.8495
169,0.8495
170,0.8495
171,0.8495
172,0.8494
173,0.8494
174,0.8494
175,0.8494
176,0.8494
177,0.8494
178,0.8494
179,0.8494
180,0.8494
181,0.8494
182,0.8494
183,0.8494
184,0.8493
185,0.8493
186,0.8493
187,0.8493
188,0.8493
189,0.8493
190,0.8492
191,0.8492
192,0.8492
193,0.8492
194,0.8491
195,0.8491
196,0.8491
197,0.8491
198,0.8491
199,0.8491
200,0.8491
201,0.8491
202,0.8491
203,0.849
204,0.849
205,0.849
206,0.849
207,0.8489
208,0.8489
209,0.8489
210,0.8489
211,0.8489
212,0.8488
213,0.8488
214,0.8488
215,0.8488
216,0.8487
217,0.8487
218,0.8487
219,0.8487
220,0.8486
221,0.8486
222,0.8486
223,0.8486
224,0.8486
225,0.8486
226,0.8485
227,0.8485
228,0.8485
229,0.8485
230,0.8484
231,0.8484
232,0.8484
233,0.8484
234,0.8484
235,0.8483
236,0.8483
237,0.8483
238,0.8483
239,0.8483
240,0.8482
241,0.8482
242,0.8482
243,0.8482
244,0.8482
245,0.8482
246,0.8481
247,0.8481
248,0.8481
249,0.848
250,0.848
251,0.848
252,0.848
253,0.848
254,0.8479
255,0.8479
256,0.8479
257,0.8479
258,0.8479
259,0.8479
260,0.8479
261,0.8479
262,0.8479
263,0.8478
264,0.8478
265,0.8478
266,0.8477
267,0.8477
268,0.8477
269,0.8477
270,0.8477
271,0.8476
272,0.8476
273,0.8476
274,0.8476
275,0.8476
276,0.8476
277,0.8475
278,0.8475
279,0.8475
280,0.8475
281,0.8475
282,0.8475
283,0.8475
284,0.8474
285,0.8474
286,0.8474
287,0.8474
288,0.8474
289,0.8473
290,0.8473
291,0.8473
292,0.8473
293,0.8473
294,0.8472
295,0.8472
296,0.8472
297,0.8472
298,0.8471
299,0.847
300,0.847
301,0.847
302,0.847
303,0.847
304,0.847
305,0.847
306,0.847
307,0.8469
308,0.8469
309,0.8469
310,0.8468
311,0.8467
312,0.8467
313,0.8467
314,0.8467
315,0.8467
316,0.8466
317,0.8465
318,0.8465
319,0.8465
320,0.8465
321,0.8465
322,0.8465
323,0.8464
324,0.8464
325,0.8464
326,0.8464
327,0.8464
328,0.8464
329,0.8464
330,0.8464
331,0.8464
332,0.8464
333,0.8462
334,0.8461
335,0.8461
336,0.8461
337,0.8461
338,0.8461
339,0.8461
340,0.8461
341,0.8461
342,0.8461
343,0.8461
344,0.8461
345,0.8461
346,0.846
347,0.846
348,0.846
349,0.846
350,0.846
351,0.846
352,0.846
353,0.846
354,0.846
355,0.846
356,0.846
357,0.846
358,0.846
359,0.846
360,0.846
361,0.846
362,0.846
363,0.846
364,0.846
365,0.8459
366,0.8459
367,0.8459
368,0.8459
369,0.8459
370,0.8459
371,0.8459
372,0.8459
373,0.8459
374,0.8459
375,0.8459
376,0.8458
377,0.8458
378,0.8458
379,0.8458
380,0.8458
381,0.8458
382,0.8458
