rank,score
1,0.88593
2,0.8836
3,0.88255
4,0.88233
5,0.88106
6,0.88095
7,0.88085
8,0.88043
9,0.88021
10,0.87953
11,0.87946
12,0.87941
13,0.87917
14,0.8788
15,0.8786
16,0.87837
17,0.87825
18,0.87814
19,0.87807
20,0.87802
21,0.87758
22,0.87756
23,0.87748
24,0.87744
25,0.87741
26,0.87729
27,0.87701
28,0.87662
29,0.87658
30,0.87645
31,0.87626
32,0.8757
33,0.8756
34,0.87556
35,0.87556
36,0.87542
37,0.87538
38,0.87533
39,0.87526
40,0.87504
41,0.87486
42,0.87482
43,0.87451
44,0.87449
45,0.87403
46,0.87388
47,0.87356
48,0.87353
49,0.87349
50,0.87344
51,0.87343
52,0.87338
53,0.87333
54,0.87333
55,0.8733
56,0.87328
57,0.87318
58,0.87311
59,0.87305
60,0.87293
61,0.87292
62,0.8729
63,0.8729
64,0.87288
65,0.87265
66,0.87263
67,0.87253
68,0.87253
69,0.87236
70,0.8723
71,0.87229
72,0.87209
73,0.87199
74,0.87173
75,0.87169
76,0.87143
77,0.87139
78,0.87139
79,0.87138
80,0.87131
81,0.87118
82,0.87113
83,0.87112
84,0.87112
85,0.87105
86,0.87088
87,0.87072
88,0.87071
89,0.87068
90,0.87063
91,0.87046
92,0.87045
93,0.87027
94,0.87025
95,0.87021
96,0.87011
97,0.86996
98,0.86977
99,0.86969
100,0.86968
101,0.86968
102,0.86959
103,0.86955
104,0.86953
105,0.86953
106,0.86951
107,0.8695
108,0.86943
109,0.8694
110,0.86938
111,0.86937
112,0.86935
113,0.86906
114,0.86895
115,0.86891
116,0.86887
117,0.86887
118,0.86877
119,0.86876
120,0.86874
121,0.86873
122,0.86869
123,0.86861
124,0.86859
125,0.86858
126,0.86856
127,0.86854
128,0.86853
129,0.86853
130,0.86842
131,0.86836
132,0.86835
133,0.86833
134,0.86829
135,0.86827
136,0.86822
137,0.86814
138,0.86812
139,0.868
140,0.86798
141,0.86795
142,0.86783
143,0.86776
144,0.86776
145,0.86775
146,0.86756
147,0.86754
148,0.8675
149,0.86747
150,0.86739
151,0.86722
152,0.8672
153,0.86719
154,0.86699
155,0.86699
156,0.86697
157,0.86696
158,0.86693
159,0.8668
160,0.86679
161,0.86668
162,0.86663
163,0.86653
164,0.86647
165,0.86619
166,0.86617
167,0.86617
168,0.8661
169,0.8659
170,0.86577
171,0.86571
172,0.86568
173,0.86567
174,0.86559
175,0.86556
176,0.86552
177,0.86551
178,0.86551
179,0.86549
180,0.86547
181,0.86546
182,0.86545
183,0.86544
184,0.86539
185,0.86539
186,0.86533
187,0.86533
188,0.86533
189,0.86533
190,0.8653
191,0.8653
192,0.86526
193,0.86526
194,0.86526
195,0.86522
196,0.8652
197,0.8652
198,0.8652
199,0.8652
200,0.8652
201,0.8652
202,0.8652
203,0.8652
204,0.8652
205,0.8652
206,0.8652
207,0.8652
208,0.8652
209,0.8652
210,0.8652
211,0.8652
212,0.8652
213,0.8652
214,0.8652
215,0.8652
216,0.8652
217,0.8652
218,0.8652
219,0.8652
220,0.8652
221,0.8652
222,0.8652
223,0.8652
224,0.8652
225,0.8652
226,0.8652
227,0.8652
228,0.8652
229,0.8652
230,0.8652
231,0.8652
232,0.8652
233,0.8652
234,0.8652
235,0.8652
236,0.8652
237,0.8652
238,0.8652
239,0.8652
240,0.8652
241,0.8652
242,0.8652
243,0.8652
244,0.8652
245,0.8652
246,0.8652
247,0.8652
248,0.8652
249,0.8652
250,0.8652
251,0.8652
252,0.8652
253,0.8652
254,0.8652
255,0.8652
256,0.8652
257,0.8652
258,0.8652
259,0.8652
260,0.8652
261,0.8652
262,0.8652
263,0.8652
264,0.8652
265,0.8652
266,0.8652
267,0.8652
268,0.8652
269,0.8652
270,0.8652
271,0.8652
272,0.8652
273,0.8652
274,0.8652
275,0.8652
276,0.8652
277,0.8652
278,0.8652
279,0.8652
280,0.8652
281,0.8652
282,0.8652
283,0.8652
284,0.8652
285,0.8652
286,0.8652
287,0.8652
288,0.8652
289,0.8652
290,0.8652
291,0.8652
292,0.8652
293,0.8652
294,0.8652
295,0.8652
296,0.86519
297,0.86519
298,0.86518
299,0.86513
300,0.86512
301,0.86512
302,0.86511
303,0.86507
304,0.86504
305,0.86504
306,0.86503
307,0.86498
308,0.86497
309,0.86497
310,0.86497
311,0.86493
312,0.86491
313,0.86491
314,0.86491
315,0.86491
316,0.86491
317,0.86489
318,0.86487
319,0.86483
320,0.86478
321,0.86477
322,0.86476
323,0.86447
324,0.86444
325,0.86439
326,0.86437
327,0.86432
328,0.86421
329,0.8642
330,0.86416
331,0.8641
332,0.8639
333,0.86389
334,0.86374
335,0.86364
336,0.86363
337,0.86361
338,0.8636
339,0.86358
340,0.86358
341,0.86358
342,0.86358
343,0.86358
344,0.86358
345,0.86358
346,0.86358
347,0.86358
348,0.86358
349,0.86358
350,0.86358
351,0.86358
352,0.86358
353,0.86358
354,0.86358
355,0.86358
356,0.86358
357,0.86358
358,0.86358
359,0.86358
360,0.86358
361,0.86358
362,0.86358
363,0.86358
364,0.86358
365,0.86358
366,0.86358
367,0.86358
368,0.86358
369,0.86358
370,0.86358
371,0.86358
372,0.86358
373,0.86358
374,0.86358
375,0.86358
376,0.86358
377,0.86358
378,0.86358
379,0.86358
380,0.86358
381,0.86358
382,0.86358
383,0.86358
384,0.86358
385,0.86358
386,0.86358
387,0.86358
388,0.86358
389,0.86358
390,0.86358
391,0.86358
392,0.86358
393,0.86358
394,0.86358
395,0.86358
396,0.86358
397,0.86358
398,0.86358
399,0.86358
400,0.86358
401,0.86358
402,0.86358
403,0.86358
404,0.86358
405,0.86358
406,0.86358
407,0.86358
408,0.86358
409,0.86358
410,0.86358
411,0.86358
412,0.86358
413,0.86358
414,0.86358
415,0.86358
416,0.86358
417,0.86358
418,0.86358
