rank,score
1,0.89371
2,0.8924
3,0.89238
4,0.89206
5,0.89194
6,0.89162
7,0.89086
8,0.89059
9,0.89054
10,0.89003
11,0.88993
12,0.8899
13,0.8897
14,0.88968
15,0.8894
16,0.88913
17,0.8891
18,0.8889
19,0.88876
20,0.88871
21,0.88866
22,0.8884
23,0.88819
24,0.88809
25,0.88778
26,0.8877
27,0.88748
28,0.88738
29,0.88732
30,0.8873
31,0.88727
32,0.88694
33,0.88692
34,0.88649
35,0.88647
36,0.88624
37,0.8862
38,0.88605
39,0.88603
40,0.8859
41,0.88589
42,0.88584
43,0.88576
44,0.88536
45,0.88525
46,0.8851
47,0.88503
48,0.88494
49,0.88491
50,0.88487
51,0.88487
52,0.8848
53,0.88474
54,0.88471
55,0.88467
56,0.88447
57,0.88431
58,0.8843
59,0.88428
60,0.88416
61,0.8839
62,0.88379
63,0.88378
64,0.88374
65,0.88351
66,0.88341
67,0.8834
68,0.88336
69,0.88333
70,0.88279
71,0.88268
72,0.88265
73,0.8825
74,0.88228
75,0.88227
76,0.88223
77,0.88212
78,0.88205
79,0.88195
80,0.88192
81,0.88183
82,0.88182
83,0.88182
84,0.88169
85,0.88163
86,0.88132
87,0.8813
88,0.88127
89,0.88125
90,0.88118
91,0.88117
92,0.88105
93,0.88093
94,0.88072
95,0.8806
96,0.8806
97,0.8805
98,0.88041
99,0.88032
100,0.88021
101,0.88017
102,0.88015
103,0.88004
104,0.87997
105,0.87997
106,0.87989
107,0.87986
108,0.87955
109,0.8794
110,0.87939
111,0.87938
112,0.87911
113,0.87898
114,0.8789
115,0.87886
116,0.87881
117,0.87877
118,0.87872
119,0.87871
120,0.87866
121,0.87845
122,0.87842
123,0.87835
124,0.87831
125,0.87829
126,0.87814
127,0.87812
128,0.87801
129,0.87795
130,0.87792
131,0.87792
132,0.87788
133,0.87776
134,0.87772
135,0.8777
136,0.87763
137,0.87758
138,0.87756
139,0.87754
140,0.87747
141,0.87747
142,0.87739
143,0.87734
144,0.87734
145,0.87731
146,0.87728
147,0.87723
148,0.87716
149,0.8771
150,0.87704
151,0.87703
152,0.87702
153,0.87702
154,0.87683
155,0.87681
156,0.87672
157,0.87668
158,0.87666
159,0.87664
160,0.87662
161,0.87657
162,0.87654
163,0.87639
164,0.87626
165,0.87618
166,0.87601
167,0.87601
168,0.87598
169,0.87594
170,0.87589
171,0.87585
172,0.8757
173,0.87565
174,0.87562
175,0.87556
176,0.87554
177,0.8755
178,0.87544
179,0.87527
180,0.87526
181,0.87522
182,0.8752
183,0.87512
184,0.87508
185,0.87482
186,0.87477
187,0.87467
188,0.87458
189,0.87458
190,0.87456
191,0.87453
192,0.87451
193,0.87449
194,0.87441
195,0.87426
196,0.8742
197,0.87418
198,0.87409
199,0.87406
200,0.874
201,0.874
202,0.8739
203,0.87377
204,0.87367
205,0.87366
206,0.87361
207,0.8736
208,0.87357
209,0.8735
210,0.87346
211,0.87345
212,0.87339
213,0.8733
214,0.87304
215,0.87292
216,0.8728
217,0.87279
218,0.87278
219,0.87272
220,0.8727
221,0.87256
222,0.87248
223,0.87246
224,0.87241
225,0.87237
226,0.87236
227,0.87235
228,0.87235
229,0.87235
230,0.87231
231,0.87227
232,0.87226
233,0.87225
234,0.87224
235,0.87223
236,0.87218
237,0.87215
238,0.87214
239,0.87213
240,0.8721
241,0.87204
242,0.87201
243,0.87196
244,0.87194
245,0.87191
246,0.8719
247,0.8719
248,0.87184
249,0.87182
250,0.87177
251,0.87176
252,0.87176
253,0.87176
254,0.87175
255,0.87175
256,0.87175
257,0.87175
258,0.87175
259,0.87175
260,0.87175
261,0.87175
262,0.87175
263,0.87175
264,0.87175
265,0.87175
266,0.87175
267,0.87175
268,0.87175
269,0.87175
270,0.87175
271,0.87175
272,0.87175
273,0.87175
274,0.87175
275,0.87175
276,0.87175
277,0.87175
278,0.87175
279,0.87175
280,0.87175
281,0.87175
282,0.87175
283,0.87175
284,0.87175
285,0.87175
286,0.87175
287,0.87175
288,0.87175
289,0.87175
290,0.87175
291,0.87175
292,0.87175
293,0.87175
294,0.87175
295,0.87175
296,0.87175
297,0.87175
298,0.87175
299,0.87175
300,0.87175
301,0.87175
302,0.87175
303,0.87175
304,0.87175
305,0.87175
306,0.87175
307,0.87175
308,0.87175
309,0.87175
310,0.87175
311,0.87175
312,0.87175
313,0.87175
314,0.87175
315,0.87175
316,0.87175
317,0.87175
318,0.87175
319,0.87175
320,0.87175
321,0.87175
322,0.87175
323,0.87175
324,0.87175
325,0.87175
326,0.87175
327,0.87175
328,0.87175
329,0.87175
330,0.87175
331,0.87175
332,0.87175
333,0.87175
334,0.87175
335,0.87175
336,0.87175
337,0.87175
338,0.87175
339,0.87175
340,0.87175
341,0.87175
342,0.87175
343,0.87175
344,0.87175
345,0.87175
346,0.87175
347,0.87175
348,0.87175
349,0.87175
350,0.87175
351,0.87175
352,0.87175
353,0.87175
354,0.87175
355,0.87175
356,0.87175
357,0.87175
358,0.87175
359,0.87175
360,0.87175
361,0.87175
362,0.87175
363,0.87175
364,0.87175
365,0.87174
366,0.87174
367,0.87174
368,0.87174
369,0.87173
370,0.87171
371,0.87171
372,0.8717
373,0.8717
374,0.87169
375,0.87167
376,0.87166
377,0.87164
378,0.87164
379,0.87159
380,0.87158
381,0.87158
382,0.87158
383,0.87158
384,0.87158
385,0.87158
386,0.87157
387,0.87156
388,0.87156
389,0.87154
390,0.87154
391,0.87154
392,0.87153
393,0.87153
394,0.87152
395,0.87152
396,0.87152
397,0.87152
398,0.87152
399,0.87152
400,0.87152
401,0.87152
402,0.87152
403,0.87152
404,0.87152
405,0.87152
406,0.87152
407,0.87152
408,0.87152
409,0.87152
410,0.87152
411,0.87152
412,0.87152
413,0.87152
414,0.87152
415,0.87152
416,0.87152
417,0.87152
418,0.87152
419,0.87152
420,0.87152
421,0.87152
422,0.87152
423,0.87152
424,0.87152
425,0.87152
426,0.87152
427,0.87152
428,0.87152
429,0.87152
430,0.87152
431,0.87152
432,0.87152
433,0.87152
434,0.87152
435,0.87152
436,0.87152
437,0.87152
438,0.87152
439,0.87152
440,0.87152
441,0.87152
442,0.87152
443,0.87152
444,0.87152
445,0.87152
446,0.87152
447,0.87152
448,0.87152
449,0.87152
450,0.87152
451,0.87152
452,0.87152
453,0.87152
454,0.87152
455,0.87152
456,0.87152
457,0.87152
458,0.87152
459,0.87152
460,0.87152
461,0.87152
462,0.87152
463,0.87152
464,0.87152
465,0.87152
466,0.87152
467,0.87152
468,0.87152
469,0.87152
470,0.87152
471,0.87152
472,0.87152
473,0.87152
474,0.87152
475,0.87152
476,0.87152
477,0.87152
478,0.87152
479,0.87152
480,0.87152
481,0.87152
482,0.87152
483,0.87152
484,0.87152
485,0.87152
486,0.87152
487,0.87152
488,0.87152
489,0.87152
490,0.87152
491,0.87152
492,0.87152
493,0.87152
494,0.87152
495,0.87152
496,0.87152
497,0.87152
498,0.87152
499,0.87152
500,0.87152
501,0.87152
502,0.87152
503,0.87152
504,0.87152
505,0.87152
506,0.87152
507,0.87147
508,0.87145
509,0.87143
