rank,score
1,0.682693
2,0.682443
3,0.681137
4,0.674544
5,0.668019
6,0.661339
7,0.66096
8,0.655514
9,0.654354
10,0.651524
11,0.645577
12,0.644966
13,0.641814
14,0.641794
15,0.640944
16,0.64083
17,0.637037
18,0.633754
19,0.633662
20,0.633522
21,0.632248
22,0.631173
23,0.631125
24,0.630869
25,0.629388
26,0.629126
27,0.628385
28,0.626936
29,0.625893
30,0.625643
31,0.625463
32,0.624576
33,0.624492
34,0.62381
35,0.623349
36,0.6222
37,0.620446
38,0.62029
39,0.619642
40,0.618827
41,0.617792
42,0.61647
43,0.614652
44,0.614564
45,0.61341
46,0.611829
47,0.609995
48,0.609233
49,0.608593
50,0.60833
51,0.608267
52,0.607482
53,0.60605
54,0.605408
55,0.604443
56,0.603086
57,0.601055
58,0.600181
59,0.599342
60,0.599163
61,0.599001
62,0.598417
63,0.597288
64,0.596765
65,0.59611
66,0.595487
67,0.594068
68,0.59353
69,0.593041
70,0.592403
71,0.591752
72,0.591539
73,0.590681
74,0.588829
75,0.58881
76,0.587978
77,0.5872
78,0.586717
79,0.586348
80,0.585277
81,0.585227
82,0.584111
83,0.583189
84,0.582041
85,0.581701
86,0.581408
87,0.580321
88,0.579702
89,0.579599
90,0.579053
91,0.57844
92,0.578259
93,0.577589
94,0.577388
95,0.576506
96,0.576424
97,0.576361
98,0.576358
99,0.576173
100,0.574845
101,0.574158
102,0.574072
103,0.57387
104,0.573491
105,0.572173
106,0.572173
107,0.572173
108,0.572173
109,0.572173
110,0.572173
111,0.572155
112,0.572051
113,0.572041
114,0.572041
115,0.572041
116,0.571971
117,0.571934
118,0.571934
119,0.571887
120,0.571887
121,0.571883
122,0.571862
123,0.57185
124,0.571833
125,0.571833
126,0.571801
127,0.571472
128,0.571392
129,0.571392
130,0.571392
131,0.571392
132,0.571392
133,0.571385
134,0.571385
135,0.571385
136,0.571385
137,0.571385
138,0.571385
139,0.571385
140,0.571385
141,0.57135
142,0.571121
143,0.570115
144,0.570088
145,0.569544
146,0.569004
147,0.568972
148,0.568738
149,0.568701
150,0.568241
151,0.568229
152,0.568229
153,0.568229
154,0.568229
155,0.568229
156,0.568229
157,0.568229
158,0.568229
159,0.568229
160,0.568229
161,0.568229
162,0.568229
163,0.568229
164,0.568229
165,0.568229
166,0.568229
167,0.568229
168,0.568229
169,0.568229
170,0.568229
171,0.568229
172,0.568229
173,0.568229
174,0.568229
175,0.568229
176,0.568229
177,0.568229
178,0.568229
179,0.568229
180,0.568229
181,0.568229
182,0.568229
183,0.568229
184,0.568229
185,0.568229
186,0.568229
187,0.568229
188,0.568229
189,0.568229
190,0.568229
191,0.568229
192,0.568229
193,0.568229
194,0.568229
195,0.568229
196,0.568229
197,0.568229
198,0.568229
199,0.568229
200,0.568229
201,0.568229
202,0.568229
203,0.568229
204,0.568229
205,0.568229
206,0.568229
207,0.568229
208,0.568229
209,0.568229
210,0.568229
211,0.568229
212,0.568229
213,0.568229
214,0.568229
215,0.568229
216,0.568229
217,0.568229
218,0.568229
219,0.568229
220,0.568229
221,0.568229
222,0.568229
223,0.568229
224,0.568229
225,0.568229
226,0.568229
227,0.568229
228,0.568229
229,0.568229
230,0.568229
231,0.568229
232,0.568229
233,0.568229
234,0.568229
235,0.568229
236,0.568229
237,0.568229
238,0.568229
239,0.568229
240,0.568229
241,0.568229
242,0.568229
243,0.568229
244,0.568229
245,0.568229
246,0.568229
247,0.568229
248,0.568229
249,0.568229
250,0.568229
251,0.568229
252,0.568229
253,0.568229
254,0.568229
255,0.568229
256,0.568229
257,0.568229
258,0.568229
259,0.568229
260,0.568229
261,0.568229
262,0.568229
263,0.568229
264,0.568229
265,0.568229
266,0.568229
267,0.568229
268,0.568229
269,0.568229
270,0.568229
271,0.568229
272,0.568229
273,0.568229
274,0.568229
275,0.568229
276,0.568229
277,0.568229
278,0.568229
279,0.568229
280,0.568229
281,0.568229
282,0.568229
283,0.568229
284,0.568229
285,0.568229
286,0.568229
287,0.568229
288,0.568229
289,0.568229
290,0.568229
291,0.568229
292,0.568229
293,0.568229
294,0.568229
295,0.568229
296,0.568229
297,0.568229
298,0.568229
299,0.568229
300,0.568229
301,0.568229
302,0.568229
303,0.568229
304,0.568229
305,0.568229
306,0.568229
307,0.568229
308,0.568229
309,0.568229
310,0.568229
311,0.568229
312,0.568229
313,0.568229
314,0.568229
315,0.568229
316,0.568229
317,0.568229
318,0.568229
319,0.568229
320,0.568229
321,0.568229
322,0.568229
323,0.568229
324,0.568229
325,0.568229
326,0.568229
327,0.568229
328,0.568229
329,0.568229
330,0.568229
331,0.568229
332,0.568229
333,0.568229
334,0.568229
335,0.568229
336,0.568229
337,0.568229
338,0.568229
339,0.568229
340,0.568229
341,0.568229
342,0.568229
343,0.568229
344,0.568229
345,0.568229
346,0.568195
347,0.568026
348,0.567698
349,0.566902
350,0.566431
351,0.565088
352,0.565073
353,0.564535
354,0.564487
355,0.564159
356,0.563501
357,0.563359
358,0.56274
359,0.560113
360,0.559894
361,0.559451
362,0.559032
363,0.556574
364,0.556528
365,0.556528
366,0.556364
367,0.555734
368,0.554482
369,0.553987
370,0.553817
371,0.55145
372,0.55099
373,0.54984
374,0.549089
375,0.548677
376,0.548097
377,0.545339
378,0.544607
379,0.544378
380,0.543877
381,0.539803
382,0.538254
383,0.536112
384,0.535334
385,0.531998
386,0.528865
387,0.528629
388,0.527854
389,0.526138
390,0.525309
391,0.524109
392,0.523015
393,0.520462
394,0.519652
395,0.519645
396,0.517754
397,0.517577
398,0.515573
399,0.514845
400,0.51254
401,0.50881
402,0.508204
403,0.507057
404,0.50071
405,0.499612
406,0.498342
407,0.496325
408,0.489998
409,0.487425
410,0.485662
411,0.48056
412,0.479275
413,0.479231
414,0.478796
415,0.478728
416,0.478157
417,0.478157
418,0.476899
419,0.475976
420,0.475562
421,0.474246
422,0.471333
423,0.47129
424,0.471178
425,0.471131
426,0.470703
427,0.469992
428,0.467891
429,0.46661
430,0.46594
431,0.465168
432,0.461235
433,0.460325
434,0.459684
435,0.458667
436,0.458649
437,0.457592
438,0.457263
439,0.456856
440,0.455376
441,0.451073
442,0.44677
443,0.446244
444,0.445524
445,0.445314
446,0.444722
447,0.442929
448,0.441444
449,0.441158
450,0.440172
451,0.437742
452,0.437712
453,0.437636
454,0.4376
455,0.436282
456,0.434903
457,0.434392
458,0.43355
459,0.430349
460,0.430259
461,0.429157
462,0.426329
463,0.425831
464,0.423966
465,0.423867
466,0.423846
467,0.421558
468,0.420183
469,0.419837
470,0.419257
471,0.419257
472,0.419257
473,0.418266
474,0.418266
475,0.418266
476,0.418266
477,0.418266
478,0.418266
479,0.418266
480,0.418266
481,0.418266
482,0.418266
483,0.418266
484,0.418266
485,0.418266
486,0.418266
487,0.418266
488,0.418266
489,0.418266
490,0.418266
491,0.418266
492,0.418266
493,0.418266
494,0.418266
495,0.418266
496,0.418266
497,0.418266
498,0.418266
499,0.418266
500,0.418266
501,0.418266
502,0.418266
503,0.418266
504,0.418266
505,0.418266
506,0.418266
507,0.418266
508,0.418266
509,0.418266
510,0.418266
511,0.418266
512,0.418266
513,0.418266
514,0.418266
515,0.418266
516,0.418266
517,0.418266
518,0.418266
519,0.418266
520,0.418266
521,0.418266
522,0.418266
523,0.418266
524,0.418266
525,0.418266
526,0.418266
527,0.418266
528,0.418266
529,0.418266
530,0.418266
531,0.418266
532,0.418266
533,0.418266
534,0.418266
535,0.415004
536,0.41486
537,0.412742
538,0.412742
539,0.411526
540,0.40936
541,0.40924
542,0.409146
543,0.408511
544,0.407912
545,0.407893
546,0.407084
547,0.407084
548,0.407084
549,0.407084
550,0.407084
551,0.407084
552,0.407084
553,0.407084
554,0.407084
555,0.407084
556,0.407084
557,0.406246
558,0.404959
559,0.404959
560,0.404959
561,0.403936
562,0.403409
563,0.400912
564,0.400664
565,0.398556
566,0.398095
567,0.39736
568,0.393514
569,0.39309
570,0.389139
571,0.388236
572,0.383301
573,0.379716
574,0.377669
575,0.37631
576,0.37579
577,0.375227
578,0.374899
579,0.374548
580,0.374128
581,0.372491
582,0.372491
583,0.372491
584,0.372491
585,0.372491
586,0.372491
587,0.372491
588,0.372491
589,0.372491
590,0.372491
591,0.372491
592,0.372491
593,0.372491
594,0.372491
595,0.372491
596,0.372491
597,0.372491
598,0.372491
599,0.372491
600,0.372491
601,0.372491
602,0.372491
603,0.372491
604,0.372491
605,0.372491
606,0.372491
607,0.372491
608,0.372491
609,0.372491
610,0.372491
611,0.372491
612,0.372491
613,0.372491
614,0.372491
615,0.372491
616,0.372491
617,0.372491
618,0.372491
619,0.372491
620,0.372491
621,0.372491
622,0.372491
623,0.372491
624,0.372491
625,0.372491
626,0.372491
627,0.372491
628,0.372491
629,0.372491
630,0.372491
631,0.372491
632,0.372491
633,0.372491
634,0.372491
635,0.372491
636,0.372491
637,0.372491
638,0.372491
639,0.372491
640,0.372491
641,0.372491
642,0.372491
643,0.372491
644,0.372491
645,0.372491
646,0.372491
647,0.372491
648,0.372491
649,0.372491
650,0.372491
651,0.372491
652,0.372491
653,0.372491
654,0.372491
655,0.372491
656,0.372491
657,0.372491
658,0.372491
659,0.372491
660,0.372491
661,0.372491
662,0.372491
663,0.372491
664,0.372491
665,0.372491
666,0.372491
667,0.372491
668,0.372491
669,0.372491
670,0.372491
671,0.372491
672,0.372491
673,0.372491
674,0.372491
675,0.372491
676,0.372491
677,0.372491
678,0.372491
679,0.372491
680,0.372491
681,0.372491
682,0.372491
683,0.372491
684,0.372491
685,0.372491
686,0.372491
687,0.372491
688,0.372491
689,0.372491
690,0.372491
691,0.372491
692,0.372491
693,0.372491
694,0.372491
695,0.372491
696,0.372491
697,0.372491
698,0.372491
699,0.372491
700,0.372491
701,0.372491
702,0.372491
703,0.372491
704,0.372491
705,0.372491
706,0.372491
707,0.372491
708,0.372491
709,0.372491
710,0.372491
711,0.372491
712,0.372491
713,0.372491
714,0.371155
715,0.371063
716,0.370622
717,0.37015
718,0.369628
719,0.368328
720,0.365962
721,0.365961
722,0.36531
723,0.363914
724,0.363472
725,0.358312
726,0.35607
727,0.35412
728,0.352886
729,0.350855
730,0.350512
731,0.349093
732,0.348032
733,0.345289
734,0.343269
735,0.342453
736,0.339798
737,0.338728
738,0.33865
739,0.336111
740,0.334512
741,0.334512
742,0.334354
743,0.333182
744,0.332036
745,0.327998
746,0.327722
747,0.323182
748,0.322832
749,0.322744
750,0.321893
751,0.321735
752,0.321416
753,0.320599
754,0.318399
755,0.315615
756,0.313778
757,0.309538
758,0.308328
759,0.306984
760,0.300872
761,0.297555
762,0.294223
763,0.294162
764,0.293859
765,0.291865
766,0.289938
767,0.287453
768,0.282103
769,0.277844
770,0.277457
771,0.27405
772,0.27066
773,0.270106
774,0.269093
775,0.266212
776,0.266108
777,0.265478
778,0.265344
779,0.264057
780,0.263341
781,0.263099
782,0.262182
783,0.261043
784,0.260994
785,0.259655
786,0.259567
787,0.258767
788,0.258272
789,0.258174
790,0.255219
791,0.255109
792,0.254909
793,0.253931
794,0.252526
795,0.252036
796,0.251887
797,0.251397
798,0.251372
799,0.249144
800,0.249132
801,0.247992
802,0.247137
803,0.244545
804,0.243561
805,0.242376
806,0.240722
807,0.236287
808,0.236213
809,0.230062
810,0.229772
811,0.229494
812,0.229451
813,0.228841
814,0.228363
815,0.226926
816,0.224989
817,0.224506
818,0.22078
819,0.220566
820,0.220514
821,0.22033
822,0.216896
823,0.215585
824,0.215057
825,0.214001
826,0.213344
827,0.212941
828,0.2125
829,0.210909
830,0.209316
831,0.208272
832,0.208078
833,0.207087
834,0.207004
835,0.206081
836,0.205549
837,0.205246
838,0.20255
839,0.199941
840,0.197559
841,0.196631
842,0.196264
843,0.196137
844,0.194693
845,0.194254
846,0.191722
847,0.18516
848,0.184797
849,0.182341
850,0.180242
851,0.180192
852,0.179752
853,0.178172
854,0.177014
855,0.176526
856,0.176319
857,0.175768
858,0.175329
859,0.174355
860,0.170295
861,0.170211
862,0.169718
863,0.169505
864,0.16934
865,0.16791
866,0.166364
867,0.166323
868,0.166186
869,0.162101
870,0.162023
871,0.161041
872,0.160858
873,0.16051
874,0.1571
875,0.156459
876,0.155397
877,0.153679
878,0.153094
879,0.152457
880,0.151278
881,0.151236
882,0.148888
883,0.147301
884,0.144132
885,0.143334
886,0.14275
887,0.142748
888,0.142748
889,0.140095
890,0.139583
891,0.138783
892,0.138384
893,0.136627
894,0.134642
895,0.134508
896,0.134295
897,0.134295
898,0.134028
899,0.133818
900,0.133319
901,0.131954
902,0.131234
903,0.131205
904,0.13093
905,0.130365
906,0.130283
907,0.130283
908,0.130283
909,0.130283
910,0.130283
911,0.130283
912,0.130283
913,0.130283
914,0.130283
915,0.130283
916,0.130283
917,0.130283
918,0.130283
919,0.130283
920,0.130283
921,0.130283
922,0.130283
923,0.130283
924,0.130283
925,0.130283
926,0.130283
927,0.130283
928,0.130283
929,0.130283
930,0.130283
931,0.130283
932,0.130143
933,0.12938
934,0.129117
935,0.129072
936,0.129015
937,0.128917
938,0.128917
939,0.128913
940,0.128913
941,0.128913
942,0.128913
943,0.128913
944,0.128913
945,0.128913
946,0.128913
947,0.128913
948,0.128913
949,0.128913
950,0.128901
951,0.127544
952,0.127425
953,0.126137
954,0.125601
955,0.125089
956,0.124664
957,0.123709
958,0.12362
959,0.123589
960,0.1235
961,0.123165
962,0.12286
963,0.122736
964,0.122654
965,0.122027
966,0.122022
967,0.122017
968,0.122006
969,0.121995
970,0.121827
971,0.121797
972,0.121577
973,0.121577
974,0.121248
975,0.121071
976,0.120919
977,0.120744
978,0.120709
979,0.120599
980,0.120419
981,0.120393
982,0.120378
983,0.120191
984,0.120116
985,0.120033
986,0.119992
987,0.119844
988,0.119738
989,0.118892
990,0.118796
991,0.118534
992,0.117739
993,0.11753
994,0.11603
995,0.115945
996,0.115931
997,0.115923
998,0.115358
999,0.115072
1000,0.114858
