rank,score
1,0.831399
2,0.813254
3,0.803933
4,0.799908
5,0.799657
6,0.796228
7,0.793309
8,0.79243
9,0.788386
10,0.786903
11,0.78362
12,0.779927
13,0.778053
14,0.777368
15,0.775092
16,0.774134
17,0.773966
18,0.771268
19,0.770239
20,0.767837
21,0.766732
22,0.763967
23,0.760595
24,0.759427
25,0.757509
26,0.756339
27,0.755361
28,0.754819
29,0.753367
30,0.752552
31,0.752259
32,0.750848
33,0.750742
34,0.749903
35,0.748243
36,0.746862
37,0.74613
38,0.745157
39,0.744059
40,0.7436
41,0.740993
42,0.739645
43,0.738896
44,0.73884
45,0.737405
46,0.737116
47,0.736939
48,0.734839
49,0.734318
50,0.734238
51,0.734032
52,0.732113
53,0.731045
54,0.729341
55,0.728548
56,0.728345
57,0.728129
58,0.727941
59,0.727092
60,0.726359
61,0.726091
62,0.725248
63,0.724402
64,0.724163
65,0.723345
66,0.720257
67,0.71815
68,0.717457
69,0.716772
70,0.71649
71,0.715284
72,0.713805
73,0.71262
74,0.712618
75,0.711906
76,0.711901
77,0.710919
78,0.708997
79,0.708865
80,0.708206
81,0.706632
82,0.706115
83,0.704849
84,0.704791
85,0.704711
86,0.704263
87,0.704203
88,0.703532
89,0.700594
90,0.700555
91,0.700433
92,0.698279
93,0.698005
94,0.697899
95,0.694177
96,0.693562
97,0.691545
98,0.691272
99,0.689634
100,0.688606
101,0.685825
102,0.68509
103,0.684586
104,0.684566
105,0.684559
106,0.681091
107,0.679265
108,0.678624
109,0.677598
110,0.67563
111,0.674192
112,0.674145
113,0.674033
114,0.673348
115,0.672599
116,0.671663
117,0.67109
118,0.66924
119,0.667631
120,0.667329
121,0.666336
122,0.666189
123,0.664559
124,0.664411
125,0.660027
126,0.660003
127,0.658818
128,0.657029
129,0.655907
130,0.654854
131,0.654094
132,0.652611
133,0.652234
134,0.650238
135,0.649768
136,0.648833
137,0.648352
138,0.646369
139,0.646003
140,0.645947
141,0.645922
142,0.645843
143,0.643245
144,0.642973
145,0.642493
146,0.642485
147,0.640985
148,0.640752
149,0.639803
150,0.639326
151,0.639057
152,0.638501
153,0.637144
154,0.635443
155,0.634773
156,0.634511
157,0.63302
158,0.632967
159,0.632457
160,0.631709
161,0.631195
162,0.629493
163,0.628836
164,0.628677
165,0.627885
166,0.626244
167,0.626235
168,0.626235
169,0.626232
170,0.626232
171,0.626223
172,0.626218
173,0.626204
174,0.626203
175,0.6262
176,0.626191
177,0.626191
178,0.626191
179,0.626067
180,0.626024
181,0.626013
182,0.626013
183,0.626013
184,0.626013
185,0.626013
186,0.626013
187,0.626013
188,0.626013
189,0.626013
190,0.626013
191,0.626013
192,0.626013
193,0.626013
194,0.626013
195,0.626013
196,0.625987
197,0.625686
198,0.625686
199,0.625686
200,0.625339
201,0.625104
202,0.62497
203,0.624685
204,0.624195
205,0.624195
206,0.623906
207,0.623672
208,0.622523
209,0.62212
210,0.620846
211,0.620816
212,0.620813
213,0.620813
214,0.620813
215,0.620813
216,0.620813
217,0.620813
218,0.620813
219,0.620813
220,0.620813
221,0.620813
222,0.620813
223,0.620813
224,0.620813
225,0.620813
226,0.620813
227,0.620813
228,0.620813
229,0.620813
230,0.620813
231,0.620813
232,0.620813
233,0.620813
234,0.620813
235,0.620813
236,0.620813
237,0.620813
238,0.620813
239,0.620813
240,0.620813
241,0.620813
242,0.620813
243,0.620813
244,0.620813
245,0.620813
246,0.620813
247,0.620813
248,0.620813
249,0.620813
250,0.620813
251,0.620813
252,0.620813
253,0.620813
254,0.620813
255,0.620813
256,0.620813
257,0.620813
258,0.620813
259,0.620813
260,0.620813
261,0.620813
262,0.620813
263,0.620813
264,0.620813
265,0.620813
266,0.620813
267,0.620813
268,0.620813
269,0.620813
270,0.620813
271,0.620813
272,0.620813
273,0.620813
274,0.620813
275,0.620813
276,0.620813
277,0.620813
278,0.620813
279,0.620813
280,0.620813
281,0.620813
282,0.620813
283,0.620813
284,0.620813
285,0.620813
286,0.620813
287,0.620813
288,0.620813
289,0.620813
290,0.620813
291,0.620813
