rank,score
1,0.314
2,0.307
3,0.305
4,0.303
5,0.299
6,0.297
7,0.296
8,0.295
9,0.294
10,0.293
11,0.292
12,0.289
13,0.288
14,0.286
15,0.286
16,0.285
17,0.284
18,0.283
19,0.283
20,0.283
21,0.282
22,0.28
23,0.28
24,0.278
25,0.278
26,0.277
27,0.277
28,0.273
29,0.272
30,0.272
31,0.272
32,0.272
33,0.272
34,0.271
35,0.27
36,0.27
37,0.27
38,0.268
39,0.268
40,0.268
41,0.267
42,0.266
43,0.266
44,0.266
45,0.266
46,0.265
47,0.265
48,0.264
49,0.264
50,0.263
51,0.262
52,0.262
53,0.262
54,0.261
55,0.261
56,0.261
57,0.261
58,0.26
59,0.26
60,0.258
61,0.258
62,0.257
63,0.257
64,0.256
65,0.256
66,0.256
67,0.255
68,0.254
69,0.254
70,0.254
71,0.254
72,0.254
73,0.254
74,0.253
75,0.253
76,0.253
77,0.253
78,0.253
79,0.253
80,0.252
81,0.252
82,0.252
83,0.252
84,0.252
85,0.251
86,0.251
87,0.251
88,0.251
89,0.25
90,0.25
91,0.25
92,0.25
93,0.249
94,0.249
95,0.249
96,0.249
97,0.249
98,0.249
99,0.248
100,0.248
101,0.248
102,0.247
103,0.247
104,0.247
105,0.247
106,0.247
107,0.246
108,0.246
109,0.246
110,0.245
111,0.245
112,0.245
113,0.245
114,0.244
115,0.244
116,0.244
117,0.244
118,0.243
119,0.243
120,0.243
121,0.243
122,0.243
123,0.243
124,0.243
125,0.243
126,0.243
127,0.243
128,0.243
129,0.243
130,0.243
131,0.243
132,0.243
133,0.243
134,0.243
135,0.243
136,0.242
137,0.242
138,0.242
139,0.242
140,0.242
141,0.242
142,0.242
143,0.241
144,0.241
145,0.241
146,0.241
147,0.241
148,0.241
149,0.241
150,0.241
151,0.24
152,0.24
153,0.24
154,0.24
155,0.239
156,0.239
157,0.239
158,0.239
159,0.239
160,0.239
161,0.239
162,0.239
163,0.238
164,0.238
165,0.238
166,0.238
167,0.238
168,0.238
169,0.238
170,0.238
171,0.237
172,0.237
173,0.237
174,0.236
175,0.236
176,0.236
177,0.236
178,0.236
179,0.235
180,0.235
181,0.235
182,0.235
183,0.235
184,0.234
185,0.234
186,0.234
187,0.234
188,0.234
189,0.233
190,0.233
191,0.233
192,0.233
193,0.233
194,0.232
195,0.232
196,0.232
197,0.232
198,0.231
199,0.231
200,0.231
201,0.231
202,0.231
203,0.231
204,0.231
205,0.23
206,0.23
207,0.23
208,0.23
209,0.229
210,0.229
211,0.229
212,0.229
213,0.229
214,0.229
215,0.229
216,0.229
217,0.229
218,0.229
219,0.229
220,0.229
221,0.229
222,0.229
223,0.229
224,0.229
225,0.229
226,0.229
227,0.229
228,0.229
229,0.229
230,0.229
231,0.229
232,0.229
233,0.229
234,0.229
235,0.229
236,0.229
237,0.229
238,0.229
239,0.229
240,0.229
241,0.229
242,0.229
243,0.229
244,0.229
245,0.229
246,0.229
247,0.229
248,0.229
249,0.229
250,0.229
251,0.229
252,0.229
253,0.229
254,0.229
255,0.229
256,0.229
257,0.229
258,0.229
259,0.229
260,0.229
261,0.229
262,0.229
263,0.229
264,0.229
265,0.229
266,0.229
267,0.229
268,0.229
269,0.229
270,0.229
271,0.229
272,0.229
273,0.229
274,0.229
275,0.229
276,0.229
277,0.229
278,0.229
279,0.229
280,0.229
281,0.229
282,0.229
283,0.229
284,0.229
285,0.229
286,0.229
287,0.229
288,0.229
289,0.229
290,0.229
291,0.229
292,0.229
293,0.229
294,0.229
295,0.229
296,0.229
297,0.229
298,0.229
299,0.229
300,0.229
301,0.229
302,0.229
303,0.229
304,0.229
305,0.229
306,0.229
307,0.229
308,0.229
309,0.229
310,0.229
311,0.229
312,0.229
313,0.229
314,0.229
315,0.229
316,0.229
317,0.229
318,0.229
319,0.229
320,0.229
321,0.229
322,0.229
323,0.229
324,0.229
325,0.229
326,0.229
327,0.229
328,0.229
329,0.229
330,0.228
331,0.228
332,0.228
333,0.228
334,0.228
335,0.228
336,0.228
337,0.228
338,0.228
339,0.228
340,0.228
341,0.228
342,0.228
343,0.228
344,0.228
345,0.228
346,0.228
347,0.228
348,0.228
349,0.228
350,0.228
351,0.228
352,0.228
353,0.228
354,0.228
355,0.228
356,0.228
357,0.228
358,0.228
359,0.228
360,0.228
361,0.228
362,0.228
363,0.228
364,0.228
365,0.228
366,0.228
367,0.228
368,0.228
369,0.228
370,0.227
371,0.227
372,0.227
373,0.227
374,0.227
375,0.227
376,0.227
377,0.227
378,0.227
379,0.227
380,0.227
381,0.227
382,0.227
383,0.227
384,0.227
385,0.227
386,0.227
387,0.227
388,0.227
389,0.227
390,0.227
391,0.227
392,0.227
393,0.226
394,0.226
395,0.226
396,0.226
397,0.226
398,0.226
399,0.226
400,0.226
401,0.226
402,0.226
403,0.226
404,0.226
405,0.226
406,0.226
407,0.226
408,0.226
409,0.226
410,0.226
411,0.226
412,0.226
413,0.226
414,0.226
415,0.226
416,0.226
417,0.226
418,0.226
419,0.226
420,0.226
421,0.226
422,0.226
423,0.226
424,0.226
425,0.226
426,0.226
427,0.226
428,0.226
429,0.226
430,0.226
431,0.226
432,0.226
433,0.226
434,0.226
435,0.226
436,0.226
437,0.226
438,0.226
439,0.226
440,0.226
441,0.226
442,0.226
443,0.226
444,0.226
445,0.226
446,0.226
447,0.226
448,0.226
449,0.226
450,0.226
451,0.226
452,0.226
453,0.226
454,0.226
455,0.226
456,0.226
457,0.226
458,0.226
459,0.226
460,0.226
461,0.226
462,0.226
463,0.226
464,0.226
465,0.226
466,0.226
467,0.226
468,0.226
469,0.226
470,0.226
471,0.226
472,0.226
473,0.226
474,0.226
475,0.226
476,0.226
477,0.226
478,0.226
479,0.226
480,0.226
481,0.226
482,0.226
483,0.226
484,0.226
485,0.226
486,0.226
487,0.226
488,0.226
489,0.226
490,0.226
491,0.226
492,0.226
493,0.226
494,0.226
495,0.226
496,0.226
497,0.226
498,0.226
499,0.226
500,0.226
501,0.226
502,0.226
503,0.226
504,0.226
505,0.226
506,0.226
507,0.226
508,0.226
509,0.226
510,0.226
511,0.226
512,0.226
513,0.226
514,0.226
515,0.226
516,0.226
517,0.226
518,0.226
519,0.226
520,0.226
521,0.226
522,0.226
523,0.226
524,0.226
525,0.226
526,0.226
527,0.226
528,0.226
529,0.226
530,0.226
531,0.226
532,0.226
533,0.226
534,0.226
535,0.226
536,0.226
537,0.226
538,0.226
539,0.226
540,0.226
541,0.226
542,0.226
543,0.226
544,0.226
545,0.226
546,0.226
547,0.226
548,0.226
549,0.226
550,0.226
551,0.226
552,0.226
553,0.226
554,0.226
555,0.226
556,0.226
557,0.226
558,0.226
559,0.226
560,0.226
561,0.226
562,0.226
563,0.226
564,0.226
565,0.226
566,0.226
567,0.226
568,0.226
569,0.226
570,0.226
571,0.226
572,0.226
573,0.226
574,0.226
575,0.226
576,0.226
577,0.226
578,0.226
579,0.226
580,0.226
581,0.226
582,0.226
583,0.226
584,0.226
585,0.226
586,0.226
587,0.226
588,0.226
589,0.226
590,0.226
591,0.226
592,0.226
593,0.226
594,0.226
595,0.226
596,0.226
597,0.226
598,0.226
599,0.226
600,0.226
601,0.226
602,0.226
603,0.226
604,0.226
605,0.226
606,0.226
607,0.226
608,0.226
609,0.226
610,0.226
611,0.225
612,0.225
613,0.225
614,0.224
615,0.224
616,0.224
617,0.224
618,0.224
619,0.224
620,0.224
621,0.224
622,0.224
623,0.224
624,0.224
625,0.224
626,0.224
627,0.224
628,0.224
629,0.224
630,0.224
631,0.224
632,0.224
633,0.224
634,0.223
635,0.223
636,0.223
637,0.223
638,0.223
639,0.223
640,0.221
641,0.221
642,0.221
643,0.221
644,0.221
645,0.221
646,0.22
647,0.22
648,0.22
649,0.22
650,0.22
651,0.22
652,0.22
653,0.22
654,0.22
655,0.22
656,0.22
657,0.22
658,0.22
659,0.22
660,0.22
661,0.22
662,0.22
663,0.22
664,0.22
665,0.22
666,0.22
667,0.22
668,0.219
669,0.219
670,0.219
671,0.219
672,0.219
673,0.219
674,0.219
675,0.219
676,0.219
677,0.219
678,0.219
679,0.219
680,0.219
681,0.219
682,0.219
683,0.219
684,0.219
685,0.219
686,0.219
687,0.219
688,0.219
689,0.219
690,0.219
691,0.219
692,0.219
693,0.219
694,0.219
695,0.219
696,0.219
697,0.219
698,0.219
699,0.219
700,0.219
701,0.219
702,0.219
703,0.219
704,0.219
705,0.219
706,0.218
707,0.218
708,0.217
709,0.216
710,0.216
711,0.216
712,0.216
713,0.216
714,0.215
715,0.215
716,0.214
717,0.214
718,0.214
719,0.214
720,0.214
721,0.213
722,0.213
723,0.213
724,0.213
725,0.213
726,0.212
727,0.212
728,0.211
729,0.21
730,0.21
731,0.21
732,0.21
733,0.21
734,0.21
735,0.21
736,0.21
737,0.21
738,0.21
739,0.209
740,0.209
741,0.209
742,0.209
743,0.209
744,0.208
745,0.208
746,0.208
747,0.208
748,0.208
749,0.208
750,0.207
751,0.207
752,0.207
753,0.207
754,0.207
755,0.207
756,0.207
757,0.206
758,0.206
759,0.205
760,0.204
761,0.204
762,0.204
763,0.204
764,0.204
765,0.204
766,0.204
767,0.204
768,0.204
769,0.203
770,0.203
771,0.203
772,0.203
773,0.203
774,0.203
775,0.203
776,0.203
777,0.203
778,0.203
779,0.203
780,0.203
781,0.203
782,0.203
783,0.203
784,0.203
785,0.203
786,0.203
787,0.203
788,0.203
789,0.203
790,0.203
791,0.203
792,0.203
793,0.203
794,0.203
795,0.203
796,0.203
797,0.203
798,0.203
799,0.203
800,0.202
801,0.202
802,0.202
803,0.201
804,0.201
805,0.201
806,0.2
807,0.2
808,0.2
809,0.199
810,0.199
811,0.199
812,0.198
813,0.198
814,0.197
815,0.197
816,0.196
817,0.194
818,0.194
819,0.194
820,0.193
821,0.193
822,0.193
823,0.192
824,0.191
825,0.19
826,0.19
827,0.19
828,0.189
829,0.188
830,0.188
831,0.187
832,0.187
833,0.187
834,0.187
835,0.186
836,0.186
837,0.186
838,0.185
839,0.185
840,0.184
841,0.183
842,0.182
843,0.182
844,0.182
845,0.181
846,0.181
847,0.18
848,0.179
849,0.179
850,0.178
851,0.178
852,0.178
853,0.178
854,0.177
855,0.175
856,0.174
857,0.174
858,0.174
859,0.174
860,0.174
861,0.174
862,0.174
863,0.174
864,0.174
865,0.174
866,0.174
867,0.174
868,0.174
869,0.174
870,0.174
871,0.172
872,0.172
873,0.171
874,0.171
875,0.171
876,0.171
877,0.17
878,0.17
879,0.169
880,0.169
881,0.168
882,0.168
883,0.168
884,0.167
885,0.167
886,0.167
887,0.167
888,0.167
889,0.166
890,0.166
891,0.166
892,0.165
893,0.165
894,0.165
895,0.165
896,0.165
897,0.165
898,0.165
899,0.165
900,0.165
901,0.165
902,0.165
903,0.165
904,0.165
905,0.164
906,0.164
907,0.164
908,0.164
909,0.164
910,0.164
911,0.164
912,0.164
913,0.163
914,0.162
915,0.162
916,0.162
917,0.162
918,0.161
919,0.161
920,0.161
921,0.16
922,0.16
923,0.16
924,0.16
925,0.16
926,0.16
927,0.16
928,0.159
929,0.159
930,0.159
931,0.158
932,0.158
933,0.158
934,0.158
935,0.158
936,0.157
937,0.157
938,0.157
939,0.157
940,0.157
941,0.157
942,0.156
943,0.156
944,0.155
945,0.155
946,0.155
947,0.154
948,0.153
949,0.153
950,0.153
951,0.152
952,0.152
953,0.152
954,0.152
955,0.152
956,0.152
957,0.151
958,0.151
959,0.151
960,0.15
961,0.149
962,0.149
963,0.148
964,0.148
965,0.148
966,0.148
967,0.148
968,0.148
969,0.148
970,0.148
971,0.148
972,0.148
973,0.148
974,0.148
975,0.147
976,0.147
977,0.147
978,0.147
979,0.147
980,0.147
981,0.146
982,0.146
983,0.146
984,0.145
985,0.145
986,0.144
987,0.143
988,0.143
989,0.142
990,0.142
991,0.142
992,0.142
993,0.142
994,0.141
995,0.141
996,0.141
997,0.141
998,0.14
999,0.139
1000,0.139
1001,0.139
1002,0.138
1003,0.138
1004,0.137
1005,0.137
1006,0.135
1007,0.134
1008,0.133
1009,0.132
1010,0.132
1011,0.129
1012,0.127
1013,0.127
1014,0.125
1015,0.122
1016,0.122
1017,0.119
1018,0.119
1019,0.119
1020,0.118
1021,0.117
1022,0.115
1023,0.114
1024,0.113
1025,0.112
1026,0.112
1027,0.111
1028,0.11
1029,0.109
1030,0.108
1031,0.107
1032,0.107
1033,0.106
1034,0.106
1035,0.105
1036,0.104
1037,0.103
1038,0.102
1039,0.102
1040,0.101
1041,0.099
1042,0.097
1043,0.096
1044,0.095
1045,0.095
1046,0.095
1047,0.094
1048,0.094
1049,0.094
1050,0.094
1051,0.094
1052,0.094
1053,0.094
1054,0.094
1055,0.093
1056,0.093
1057,0.092
1058,0.091
1059,0.09
1060,0.09
1061,0.09
1062,0.09
1063,0.089
1064,0.089
1065,0.088
1066,0.087
1067,0.086
1068,0.085
1069,0.085
1070,0.085
1071,0.084
1072,0.084
1073,0.084
1074,0.083
1075,0.082
1076,0.082
1077,0.082
1078,0.081
1079,0.081
1080,0.081
1081,0.08
1082,0.079
1083,0.077
1084,0.076
1085,0.076
1086,0.075
1087,0.073
1088,0.072
1089,0.072
1090,0.071
1091,0.071
1092,0.07
1093,0.068
1094,0.068
1095,0.067
1096,0.066
1097,0.066
1098,0.064
1099,0.064
1100,0.062
1101,0.062
1102,0.061
1103,0.061
1104,0.06
1105,0.06
1106,0.06
1107,0.059
1108,0.059
1109,0.059
1110,0.058
1111,0.058
1112,0.058
1113,0.057
1114,0.056
1115,0.056
1116,0.056
1117,0.056
1118,0.056
1119,0.055
1120,0.055
1121,0.054
1122,0.052
1123,0.051
1124,0.051
1125,0.051
1126,0.051
1127,0.05
1128,0.05
1129,0.05
1130,0.05
1131,0.05
1132,0.049
1133,0.048
1134,0.048
1135,0.048
1136,0.048
1137,0.048
1138,0.048
1139,0.047
1140,0.047
1141,0.047
1142,0.046
1143,0.046
1144,0.046
1145,0.046
1146,0.046
1147,0.046
1148,0.046
1149,0.045
1150,0.045
1151,0.045
1152,0.045
1153,0.045
1154,0.045
