rank,score
1,2301.48792
2,2371.42364
3,2394.70198
4,2424.24309
5,2427.05483
6,2430.87231
7,2452.24129
8,2457.78514
9,2498.07272
10,2516.71475
11,2535.41993
12,2541.63289
13,2546.39066
14,2555.25976
15,2556.24993
16,2561.94596
17,2582.69167
18,2583.39714
19,2593.91463
20,2638.33225
21,2643.4775
22,2645.72216
23,2660.24139
24,2669.05589
25,2684.63575
26,2693.78785
27,2699.86212
28,2706.05793
29,2712.34652
30,2712.46025
31,2716.9715
32,2717.80046
33,2720.00329
34,2724.24926
35,2728.29323
36,2746.75947
37,2749.57402
38,2754.48693
39,2756.84509
40,2760.78108
41,2764.21952
42,2764.89828
43,2767.28648
44,2773.00962
45,2773.59872
46,2782.40694
47,2794.73224
48,2795.44299
49,2795.75676
50,2798.04979
51,2801.32941
52,2801.89434
53,2803.95254
54,2806.68682
55,2810.81815
56,2818.81286
57,2822.66348
58,2824.01845
59,2824.26826
60,2825.65998
61,2826.19392
62,2826.90822
63,2836.2745
64,2837.471
65,2839.58432
66,2845.29574
67,2847.86742
68,2850.18319
69,2851.51508
70,2851.60326
71,2852.75806
72,2855.61329
73,2859.20597
74,2863.44445
75,2863.79936
76,2866.59893
77,2867.49847
78,2868.58488
79,2868.89539
80,2869.35956
81,2873.0795
82,2873.30705
83,2873.88044
84,2877.74184
85,2882.10718
86,2885.40139
87,2890.68268
88,2893.26161
89,2894.42886
90,2898.0736
91,2898.70025
92,2907.1682
93,2907.29334
94,2907.76172
95,2908.74234
96,2910.48911
97,2910.65246
98,2913.40584
99,2913.44232
100,2914.25913
101,2916.1837
102,2918.10478
103,2921.74722
104,2922.05104
105,2926.46717
106,2929.02449
107,2933.04573
108,2937.99017
109,2939.69422
110,2941.10279
111,2942.31693
112,2942.33245
113,2948.38949
114,2957.17678
115,2960.85707
116,2968.03282
117,2968.87973
118,2970.1362
119,2970.21822
120,2970.53286
121,2972.61037
122,2985.95313
123,2988.50597
124,2990.18797
125,2994.4718
126,2996.75
127,2997.25708
128,2998.03476
129,2999.03744
130,3000.58384
131,3001.36808
132,3001.37084
133,3002.90097
134,3003.86987
135,3006.09811
136,3006.73329
137,3006.92298
138,3007.15256
139,3008.30916
140,3011.99523
141,3012.47501
142,3012.51016
143,3018.83057
144,3019.53537
145,3019.79502
146,3020.46341
147,3021.90129
148,3022.00334
149,3022.39001
150,3025.05238
151,3025.38426
152,3025.5311
153,3025.63499
154,3025.64083
155,3025.71415
156,3025.71415
157,3025.82748
158,3025.89629
159,3025.89776
160,3025.89776
161,3025.89776
162,3025.89776
163,3025.89776
164,3025.89776
165,3025.89776
166,3025.89776
167,3025.89776
168,3025.90152
169,3026.11997
170,3027.07398
171,3027.51036
172,3027.53712
173,3028.98414
174,3029.41577
175,3031.35799
176,3031.57722
177,3032.46696
178,3033.74695
179,3035.89049
180,3037.35632
181,3041.83722
182,3042.25051
183,3042.81253
184,3048.88648
185,3053.03861
186,3054.00927
187,3060.23131
188,3062.61249
189,3062.71716
190,3067.08508
191,3070.38909
192,3074.12833
193,3076.74455
194,3077.47547
195,3079.13585
196,3079.28923
197,3087.31957
198,3087.88775
199,3088.01041
200,3090.64646
201,3092.76734
202,3095.03474
203,3098.66049
204,3100.14568
205,3104.03193
206,3107.11005
207,3111.37929
208,3116.87202
209,3128.18625
210,3134.38617
211,3137.54494
212,3138.50544
213,3140.34799
214,3150.67752
215,3151.00356
216,3158.79464
217,3158.89416
218,3165.17441
219,3168.04232
220,3170.86773
221,3172.02059
222,3172.93938
223,3191.36644
224,3193.62032
225,3197.33125
226,3203.96051
227,3205.4792
228,3210.64464
229,3212.74593
230,3216.31081
231,3216.33925
232,3216.71551
233,3223.87418
234,3225.51316
235,3233.59232
236,3236.92934
237,3244.75957
238,3245.08839
239,3247.76071
240,3248.1686
241,3264.66376
242,3266.39474
243,3277.58024
244,3280.48211
245,3281.21549
246,3282.71398
247,3284.09067
248,3286.88068
249,3294.86436
250,3295.48155
