rank,score
1,2237.70796
2,2299.60492
3,2310.3789
4,2348.91588
5,2355.27931
6,2358.69422
7,2374.43757
8,2406.61602
9,2433.32836
10,2436.80158
11,2468.29269
12,2475.06378
13,2479.73539
14,2480.33651
15,2485.12297
16,2487.81777
17,2496.63211
18,2498.47636
19,2506.47835
20,2521.41537
21,2548.47343
22,2555.9185
23,2565.54929
24,2576.1822
25,2578.12365
26,2580.19372
27,2583.10787
28,2599.81059
29,2613.60125
30,2622.55582
31,2628.12638
32,2629.90095
33,2629.96825
34,2634.21346
35,2644.11464
36,2653.40279
37,2660.99875
38,2663.44886
39,2668.1683
40,2672.55655
41,2672.82347
42,2673.70317
43,2675.70661
44,2675.81255
45,2677.29905
46,2680.29185
47,2682.21116
48,2688.54995
49,2689.42758
50,2694.07588
51,2698.29524
52,2701.20071
53,2704.66421
54,2709.67161
55,2711.71357
56,2712.72582
57,2717.41319
58,2719.5675
59,2722.62875
60,2733.58883
61,2736.29142
62,2740.88243
63,2745.31692
64,2746.73067
65,2747.43271
66,2751.46204
67,2752.89931
68,2754.00847
69,2758.49923
70,2760.38212
71,2760.84447
72,2762.03721
73,2763.85472
74,2765.74785
75,2766.37032
76,2766.76134
77,2767.02984
78,2771.60807
79,2775.43961
80,2775.64905
81,2778.30649
82,2778.6731
83,2780.30975
84,2780.31384
85,2780.90993
86,2786.02028
87,2786.46164
88,2786.96846
89,2789.43471
90,2799.53841
91,2801.18543
92,2801.24783
93,2801.26208
94,2806.41999
95,2807.2476
96,2807.44917
97,2811.1656
98,2815.7429
99,2819.32669
100,2820.42772
101,2822.81888
102,2824.31367
103,2825.1592
104,2827.30916
105,2830.81124
106,2831.29866
107,2831.89197
108,2833.36186
109,2840.03411
110,2840.14227
111,2842.56093
112,2845.3502
113,2845.77859
114,2845.93251
115,2854.89128
116,2857.07303
117,2871.12837
118,2875.64302
119,2879.54582
120,2884.84669
121,2885.87578
122,2887.01518
123,2893.30733
124,2897.65086
125,2901.81504
126,2902.39422
127,2903.45743
128,2904.82211
129,2905.78504
130,2905.81562
131,2906.96742
132,2911.03605
133,2911.99921
134,2912.94615
135,2915.6535
136,2916.42479
137,2918.67882
138,2922.02824
139,2924.76315
140,2928.09282
141,2929.44783
142,2930.44748
143,2931.32285
144,2931.75164
145,2932.10088
146,2933.91153
147,2933.97073
