rank,score
1,0.78563
2,0.64924
3,0.63617
4,0.61281
5,0.60866
6,0.60631
7,0.59478
8,0.59449
9,0.5814
10,0.56508
11,0.56236
12,0.55779
13,0.55632
14,0.55168
15,0.52741
16,0.5229
17,0.51649
18,0.51112
19,0.50032
20,0.49923
21,0.49872
22,0.49857
23,0.4961
24,0.4941
25,0.48733
26,0.48262
27,0.4821
28,0.4821
29,0.47946
30,0.47856
31,0.47434
32,0.47176
33,0.47069
34,0.46999
35,0.46912
36,0.46821
37,0.46709
38,0.46481
39,0.46369
40,0.46202
41,0.45924
42,0.45808
43,0.45605
44,0.45547
45,0.45426
46,0.45375
47,0.45162
48,0.44902
49,0.44857
50,0.44852
51,0.44841
52,0.44756
53,0.44641
54,0.44349
55,0.44056
56,0.44047
57,0.44047
58,0.44031
59,0.43836
60,0.43594
61,0.43416
62,0.43351
63,0.43237
64,0.43237
65,0.43096
66,0.43052
67,0.42964
68,0.42838
69,0.42377
70,0.42337
71,0.42334
72,0.42294
73,0.42268
74,0.42235
75,0.42159
76,0.41963
77,0.41928
78,0.41898
79,0.41892
80,0.41805
81,0.41796
82,0.41613
83,0.41609
84,0.41593
85,0.41589
86,0.41562
87,0.41504
88,0.4146
89,0.41443
90,0.41226
91,0.41194
92,0.41155
93,0.41112
94,0.4109
95,0.40925
96,0.4092
97,0.40888
98,0.40791
99,0.40649
100,0.40515
101,0.40497
102,0.40493
103,0.40493
104,0.40483
105,0.40395
106,0.4036
107,0.40338
108,0.40147
109,0.40057
110,0.39919
111,0.39889
112,0.39747
113,0.39656
114,0.39633
115,0.39613
116,0.39567
117,0.39428
118,0.39397
119,0.39289
120,0.39229
121,0.39204
122,0.39155
123,0.39
124,0.38993
125,0.38894
126,0.38886
127,0.38766
128,0.38717
129,0.38716
130,0.38408
131,0.38384
132,0.38381
133,0.38371
134,0.38369
135,0.38369
136,0.38369
137,0.38369
138,0.38369
139,0.38369
140,0.38369
141,0.38369
142,0.38369
143,0.38369
144,0.38369
145,0.38369
146,0.38369
147,0.38369
148,0.38369
149,0.38369
150,0.38369
151,0.38369
152,0.38369
153,0.38328
154,0.38307
155,0.38303
156,0.38266
157,0.38176
158,0.38175
159,0.38165
160,0.38159
161,0.38149
162,0.38135
163,0.3813
164,0.38099
165,0.38052
166,0.38002
167,0.37962
168,0.37962
169,0.37962
170,0.37962
171,0.37962
172,0.37962
173,0.37962
174,0.37962
175,0.37962
176,0.37962
177,0.37962
178,0.37962
179,0.3794
180,0.37937
181,0.37932
182,0.37896
183,0.37893
184,0.3787
185,0.3787
186,0.3787
187,0.37856
188,0.37839
189,0.37689
190,0.37677
191,0.37641
192,0.3763
193,0.37602
194,0.37602
195,0.37568
196,0.37568
197,0.37519
198,0.37472
199,0.37434
200,0.37417
201,0.37367
202,0.3715
203,0.37069
204,0.36958
205,0.3689
206,0.36866
207,0.36802
208,0.36452
209,0.36437
210,0.36195
211,0.35984
212,0.35972
213,0.35847
214,0.35796
215,0.35787
216,0.35778
217,0.3549
218,0.3548
219,0.35458
220,0.35212
221,0.35143
222,0.35079
223,0.34902
224,0.34866
225,0.3452
226,0.34513
227,0.34475
228,0.3445
229,0.34339
230,0.3433
231,0.34107
232,0.33911
233,0.33856
234,0.33741
235,0.33714
236,0.33509
237,0.33318
238,0.33297
239,0.33253
240,0.33188
241,0.33187
242,0.331
243,0.33094
244,0.33085
245,0.33075
246,0.33042
247,0.33013
248,0.32999
249,0.32945
250,0.32941
251,0.3294
252,0.32933
253,0.32898
254,0.3289
255,0.32875
256,0.32858
257,0.32844
258,0.32835
259,0.32823
260,0.32806
261,0.32795
262,0.32791
263,0.32791
264,0.32788
265,0.32787
266,0.32787
267,0.32787
268,0.32787
269,0.32786
270,0.32786
271,0.32786
272,0.32786
273,0.32786
274,0.32786
275,0.32786
276,0.32786
277,0.32786
278,0.32786
279,0.32786
280,0.32786
281,0.32786
282,0.32786
283,0.32786
284,0.32786
285,0.32786
286,0.32786
287,0.32786
288,0.32786
289,0.32786
290,0.32786
291,0.32786
292,0.32786
293,0.32786
294,0.32786
295,0.32786
296,0.32786
297,0.32786
298,0.32786
299,0.32786
300,0.32786
301,0.32786
302,0.32786
303,0.32786
304,0.32786
305,0.32786
306,0.32786
307,0.32786
308,0.32786
309,0.32786
310,0.32786
311,0.32786
312,0.32786
313,0.32786
314,0.32786
315,0.32786
316,0.32786
317,0.32786
318,0.32786
319,0.32786
320,0.32786
321,0.32786
322,0.32786
323,0.32786
324,0.32786
325,0.32786
326,0.32786
327,0.32786
328,0.32786
329,0.32786
330,0.32786
331,0.32786
332,0.32786
333,0.32786
334,0.32786
335,0.32786
336,0.32786
337,0.32786
338,0.32786
339,0.32782
340,0.3278
341,0.3278
342,0.32778
343,0.32774
344,0.32772
345,0.32772
346,0.32771
347,0.32768
348,0.32767
349,0.32766
350,0.32766
351,0.32765
352,0.32762
353,0.3276
354,0.3276
355,0.3276
356,0.3276
357,0.32758
358,0.32758
359,0.32757
360,0.32757
361,0.32757
362,0.32754
363,0.32754
364,0.32754
365,0.32754
366,0.32754
367,0.32754
368,0.32754
369,0.32754
370,0.32754
371,0.32754
372,0.32754
373,0.32754
374,0.32754
375,0.32754
376,0.32754
377,0.32754
378,0.32754
379,0.32754
380,0.32752
381,0.3275
382,0.3275
383,0.32749
384,0.32748
385,0.32747
386,0.32747
387,0.32746
388,0.32734
389,0.32733
390,0.3273
391,0.32719
392,0.32718
393,0.32716
394,0.32709
395,0.32709
396,0.32693
397,0.32676
398,0.3266
399,0.32653
400,0.32629
401,0.32625
402,0.32611
403,0.32598
404,0.32578
405,0.32573
406,0.32549
407,0.32519
408,0.325
409,0.32497
410,0.32472
411,0.32466
412,0.32465
413,0.32458
414,0.32453
415,0.32453
416,0.32453
417,0.32453
418,0.32453
419,0.32453
420,0.32453
421,0.32453
422,0.32453
423,0.32453
424,0.32453
425,0.32453
426,0.32453
427,0.32117
428,0.32114
429,0.31672
430,0.3161
431,0.31406
432,0.31358
433,0.31121
434,0.30769
435,0.30581
436,0.30328
437,0.30327
438,0.30082
439,0.29877
440,0.29681
441,0.29576
442,0.29534
443,0.29326
444,0.28991
445,0.28948
446,0.28748
447,0.28747
448,0.28355
449,0.26695
450,0.26653
451,0.26492
452,0.25802
453,0.25614
454,0.25355
455,0.25092
456,0.24948
457,0.24657
458,0.24535
459,0.24369
460,0.24292
461,0.2298
462,0.22483
463,0.22479
464,0.21933
465,0.21472
466,0.19903
467,0.19772
468,0.19481
469,0.18987
470,0.18705
471,0.18462
472,0.18389
473,0.1791
474,0.17666
475,0.17418
476,0.17141
477,0.16953
478,0.169
479,0.16596
480,0.16081
481,0.15957
482,0.15936
483,0.15722
484,0.14535
485,0.12825
486,0.12581
487,0.1253
488,0.12491
489,0.12395
490,0.12286
491,0.10822
492,0.10649
493,0.1056
494,0.10286
495,0.10286
496,0.10121
497,0.09986
498,0.0966
499,0.08719
500,0.08078
501,0.07951
502,0.07282
503,0.07277
504,0.07221
505,0.06961
506,0.06874
507,0.06699
508,0.06524
509,0.0652
510,0.0501
511,0.05001
512,0.02689
513,0.02623
514,0.00631
515,0.00401
516,0.00305
517,0.00266
518,0.00204
519,0.00098
520,0.00078
521,0.00058
522,0.0003
523,0.00028
524,0.00021
525,0.00021
526,9e-05
527,0.0
