rank,score
1,0.99259
2,0.99156
3,0.97663
4,0.97617
5,0.97567
6,0.97383
7,0.97325
8,0.97309
9,0.97209
10,0.97144
11,0.97133
12,0.97089
13,0.97087
14,0.97081
15,0.97064
16,0.97008
17,0.97002
18,0.96992
19,0.96909
20,0.96904
21,0.96867
22,0.96867
23,0.96863
24,0.96853
25,0.96851
26,0.96851
27,0.96807
28,0.96789
29,0.96705
30,0.96696
31,0.96668
32,0.96661
33,0.96657
34,0.96649
35,0.966
36,0.96593
37,0.96592
38,0.9646
39,0.96437
40,0.96434
41,0.96417
42,0.96365
43,0.96365
44,0.96365
45,0.96357
46,0.96346
47,0.96344
48,0.96339
49,0.96329
50,0.96327
51,0.96327
52,0.96327
53,0.96326
54,0.96312
55,0.96311
56,0.96304
57,0.96255
58,0.96234
59,0.96222
60,0.96168
61,0.96158
62,0.96153
63,0.96148
64,0.96128
65,0.96123
66,0.96123
67,0.96114
68,0.96099
69,0.96084
70,0.96048
71,0.96047
72,0.96044
73,0.9601
74,0.96009
75,0.96004
76,0.9599
77,0.95989
78,0.95986
79,0.95977
80,0.95977
81,0.95972
82,0.95927
83,0.9591
84,0.95896
85,0.95892
86,0.95891
87,0.95873
88,0.95851
89,0.95846
90,0.95844
91,0.95841
92,0.95841
93,0.95766
94,0.95762
95,0.9575
96,0.95748
97,0.95732
98,0.95725
99,0.95723
100,0.95723
101,0.95706
102,0.9569
103,0.95688
104,0.95667
105,0.95652
106,0.95652
107,0.9562
108,0.95611
109,0.95578
110,0.95571
111,0.95541
112,0.95538
113,0.95528
114,0.95526
115,0.95408
116,0.95407
117,0.95391
118,0.95376
119,0.95375
120,0.95375
121,0.95358
122,0.95357
123,0.95356
124,0.95356
125,0.95356
126,0.95356
127,0.95351
128,0.9535
129,0.95325
130,0.95324
131,0.95307
132,0.95307
133,0.95294
134,0.95294
135,0.95294
136,0.95294
137,0.95294
138,0.95294
139,0.95294
140,0.95294
141,0.95294
142,0.95294
143,0.95294
144,0.95294
145,0.95294
146,0.95294
147,0.95294
148,0.95294
149,0.95294
150,0.95294
151,0.95294
152,0.95294
153,0.95294
154,0.95294
155,0.95294
156,0.95292
157,0.9529
158,0.95288
159,0.95288
160,0.95288
161,0.95288
162,0.95288
163,0.95271
164,0.95258
165,0.95244
166,0.95224
167,0.95224
168,0.95207
169,0.9517
170,0.9509
171,0.95086
172,0.95081
173,0.95075
174,0.95049
175,0.94949
176,0.94862
177,0.9478
178,0.94768
179,0.94754
180,0.94719
181,0.94701
182,0.9465
183,0.94646
184,0.94643
185,0.94642
186,0.94638
187,0.94636
188,0.94601
189,0.94591
190,0.94578
191,0.94576
192,0.9453
193,0.94486
194,0.94401
195,0.94314
196,0.94253
197,0.94087
198,0.94072
199,0.93991
200,0.93865
201,0.93744
202,0.93686
203,0.93686
204,0.93686
205,0.93619
206,0.93295
207,0.9326
208,0.93173
209,0.93153
210,0.93094
211,0.93057
212,0.93008
213,0.92998
214,0.9286
215,0.92799
216,0.92759
217,0.92696
218,0.92619
219,0.92612
220,0.9246
221,0.9246
222,0.9244
223,0.92348
224,0.9225
225,0.92185
226,0.92185
227,0.92168
228,0.92161
229,0.92151
230,0.92144
231,0.92131
232,0.92043
233,0.91933
234,0.91813
235,0.91456
236,0.91449
237,0.91357
238,0.91329
239,0.91183
240,0.91156
241,0.90584
242,0.90584
243,0.90584
244,0.90575
245,0.90532
246,0.90336
247,0.90335
248,0.90254
249,0.90052
250,0.90012
251,0.89508
252,0.894
253,0.89112
254,0.89103
255,0.89102
256,0.89102
257,0.89084
258,0.89084
259,0.8904
260,0.89024
261,0.88876
262,0.88844
263,0.88844
264,0.88536
265,0.882
266,0.87996
267,0.8779
268,0.87788
269,0.87756
270,0.87644
271,0.87584
272,0.875
273,0.87464
274,0.87288
275,0.8728
276,0.87228
277,0.872
278,0.87192
279,0.8714
280,0.86876
281,0.8684
282,0.86748
283,0.86724
284,0.86624
285,0.86588
286,0.86468
287,0.86412
288,0.86364
289,0.86168
290,0.86104
291,0.8604
292,0.86019
293,0.85952
294,0.85948
295,0.85888
296,0.85872
297,0.85828
298,0.85804
299,0.858
300,0.85724
301,0.8572
302,0.85688
303,0.8564
304,0.85636
305,0.85596
306,0.85572
307,0.8552
308,0.855
309,0.85492
310,0.85428
311,0.85428
312,0.85404
313,0.85396
314,0.85368
315,0.853
316,0.853
317,0.85292
318,0.85284
319,0.8528
320,0.85276
321,0.85262
322,0.85216
323,0.85164
324,0.85148
325,0.85088
326,0.85024
327,0.85
328,0.8498
329,0.84928
330,0.849
331,0.84892
332,0.84888
333,0.84884
334,0.84868
335,0.84844
336,0.8484
337,0.84824
338,0.84804
339,0.84804
340,0.8478
341,0.8478
342,0.84772
343,0.84772
344,0.84764
345,0.84752
