rank,score
1,0.716092
2,0.716047
3,0.714967
4,0.714067
5,0.712627
6,0.712582
7,0.712222
8,0.712042
9,0.711817
10,0.711817
11,0.711412
12,0.710872
13,0.710737
14,0.709432
15,0.709252
16,0.708802
17,0.708667
18,0.708442
19,0.708172
20,0.708127
21,0.707812
22,0.707767
23,0.707497
24,0.706822
25,0.706732
26,0.706507
27,0.706372
28,0.706327
29,0.705787
30,0.705562
31,0.705562
32,0.705247
33,0.705202
34,0.705157
35,0.705067
36,0.705022
37,0.704842
38,0.704797
39,0.704707
40,0.704527
41,0.703852
42,0.703807
43,0.703762
44,0.703357
45,0.703222
46,0.702907
47,0.702907
48,0.702907
49,0.702862
50,0.702772
51,0.702772
52,0.702727
53,0.702727
54,0.702682
55,0.702367
56,0.702232
57,0.702232
58,0.702232
59,0.702187
60,0.702142
61,0.702097
62,0.701512
63,0.701512
64,0.701062
65,0.700972
66,0.700927
67,0.700792
68,0.700657
69,0.700432
70,0.700387
71,0.700387
72,0.700297
73,0.700297
74,0.700252
75,0.699711
76,0.699216
77,0.699216
78,0.699171
79,0.699126
80,0.698991
81,0.698676
82,0.698316
83,0.698271
84,0.698271
85,0.698046
86,0.698001
87,0.697776
88,0.697731
89,0.697551
90,0.697551
91,0.697551
92,0.697416
93,0.697416
94,0.697281
95,0.697011
96,0.696876
97,0.696831
98,0.696651
99,0.696606
100,0.696381
101,0.696201
102,0.696156
103,0.696156
104,0.695931
105,0.695841
106,0.695526
107,0.695346
108,0.695166
109,0.694896
110,0.694536
111,0.694446
112,0.694266
113,0.694176
114,0.693771
115,0.693096
116,0.692511
117,0.692376
118,0.691926
119,0.691926
120,0.691881
121,0.691791
122,0.691701
123,0.691521
124,0.691521
125,0.691341
126,0.691251
127,0.691251
128,0.691161
129,0.691116
130,0.691071
131,0.690711
132,0.690621
133,0.690306
134,0.689946
135,0.689721
136,0.689721
137,0.689676
138,0.688821
139,0.688776
140,0.688731
141,0.688641
142,0.687921
143,0.687921
144,0.687786
145,0.687696
146,0.687651
147,0.687651
148,0.687606
149,0.687246
150,0.687156
151,0.687111
152,0.686976
153,0.686841
154,0.686571
155,0.686391
156,0.686346
157,0.686346
158,0.686301
159,0.686301
160,0.686301
161,0.686301
162,0.686301
163,0.686301
164,0.686301
165,0.686301
166,0.686301
167,0.686301
168,0.686301
169,0.686301
170,0.686301
171,0.686301
172,0.686301
173,0.686301
174,0.686301
175,0.686166
176,0.686166
177,0.686166
