rank,score
1,1.2125
2,1.21551
3,1.22723
4,1.22855
5,1.22979
6,1.2302
7,1.23107
8,1.23118
9,1.23687
10,1.23698
11,1.23711
12,1.23714
13,1.23868
14,1.24367
15,1.24379
16,1.24536
17,1.24544
18,1.24748
19,1.24785
20,1.24799
21,1.24808
22,1.24932
23,1.25035
24,1.25039
25,1.25123
26,1.25128
27,1.25132
28,1.25159
29,1.25167
30,1.252
31,1.25231
32,1.25304
33,1.25307
34,1.25358
35,1.25544
36,1.25545
37,1.25678
38,1.25688
39,1.2569
40,1.25739
41,1.25756
42,1.2577
43,1.25787
44,1.2589
45,1.25948
46,1.25994
47,1.2611
48,1.26202
49,1.26209
50,1.26222
51,1.26261
52,1.26319
53,1.26333
54,1.26345
55,1.26406
56,1.26438
57,1.26541
58,1.26613
59,1.26729
60,1.26778
61,1.26834
62,1.26842
63,1.26857
64,1.26867
65,1.26867
66,1.26943
67,1.26951
68,1.27079
69,1.27102
70,1.27105
71,1.2712
72,1.27165
73,1.27195
74,1.27217
75,1.27218
76,1.2731
77,1.27323
78,1.27378
79,1.27383
80,1.27394
81,1.2742
82,1.27446
83,1.2748
84,1.27495
85,1.27504
86,1.27508
87,1.27534
88,1.2754
89,1.27542
90,1.27552
91,1.27575
92,1.27577
93,1.27585
94,1.27597
95,1.27603
96,1.27612
97,1.27632
98,1.27637
99,1.27641
100,1.27657
101,1.27661
102,1.27682
103,1.2772
104,1.27737
105,1.27771
106,1.27782
107,1.27862
108,1.27889
109,1.27895
110,1.27939
111,1.27947
112,1.27999
113,1.28043
114,1.28123
115,1.28151
116,1.28155
117,1.28164
118,1.28206
119,1.28236
120,1.28238
121,1.28383
122,1.28517
123,1.28742
124,1.28746
125,1.28936
126,1.29017
127,1.29124
128,1.29763
129,1.29848
130,1.29939
131,1.3004
132,1.3026
133,1.30575
134,1.30841
135,1.31082
136,1.31437
137,1.32068
138,1.3213
139,1.3213
140,1.3225
141,1.32348
142,1.3276
143,1.32789
144,1.33209
145,1.33209
146,1.33213
147,1.33562
148,1.34161
149,1.34529
150,1.34702
151,1.37743
152,1.40265
153,1.40605
154,1.4129
155,1.90086
156,2.33026
157,3.06967
158,3.06967
