rank,score
1,1.19826
2,1.20455
3,1.2112
4,1.21539
5,1.21922
6,1.22077
7,1.22119
8,1.22517
9,1.22589
10,1.2274
11,1.22771
12,1.22846
13,1.22983
14,1.23095
15,1.2322
16,1.23336
17,1.23417
18,1.23505
19,1.23717
20,1.23847
21,1.23915
22,1.23954
23,1.23994
24,1.24018
25,1.24064
26,1.2408
27,1.24122
28,1.24166
29,1.242
30,1.24217
31,1.24272
32,1.24342
33,1.24345
34,1.24351
35,1.24378
36,1.24397
37,1.24428
38,1.24648
39,1.2468
40,1.24724
41,1.24849
42,1.24895
43,1.24897
44,1.24907
45,1.24928
46,1.24944
47,1.2496
48,1.24969
49,1.24976
50,1.25
51,1.25011
52,1.2502
53,1.25024
54,1.25049
55,1.25057
56,1.25123
57,1.25133
58,1.25169
59,1.25198
60,1.25205
61,1.25234
62,1.25312
63,1.25361
64,1.25381
65,1.25409
66,1.25468
67,1.25501
68,1.25503
69,1.25564
70,1.25623
71,1.25698
72,1.25721
73,1.25727
74,1.25731
75,1.25735
76,1.25739
77,1.2574
78,1.25742
79,1.25745
80,1.25754
81,1.25806
82,1.25829
83,1.25881
84,1.2591
85,1.25911
86,1.2593
87,1.25935
88,1.25936
89,1.25942
90,1.25951
91,1.25952
92,1.25965
93,1.26004
94,1.26031
95,1.26035
96,1.26041
97,1.26045
98,1.26064
99,1.26073
100,1.26117
101,1.26136
102,1.26156
103,1.26281
104,1.26288
105,1.26327
106,1.26329
107,1.26351
108,1.26454
109,1.26492
110,1.26544
111,1.26675
112,1.26719
113,1.26794
114,1.26922
115,1.26984
116,1.26993
117,1.26999
118,1.27104
119,1.27253
120,1.27259
121,1.2731
122,1.27367
123,1.2739
124,1.27818
125,1.27854
126,1.27955
127,1.27985
128,1.28058
129,1.28423
130,1.28975
131,1.29376
132,1.29547
133,1.2989
134,1.29891
135,1.30314
136,1.30417
137,1.30849
138,1.30849
139,1.30883
140,1.31108
141,1.31407
142,1.31549
143,1.31549
144,1.31549
145,1.31613
146,1.31665
147,1.32174
148,1.32906
149,1.33152
150,1.33824
151,1.37423
152,1.38874
153,1.3974
154,1.40545
155,1.91701
156,2.32347
157,3.0678
158,3.0678
